Company ID,Company Name,Name from URL,Description,Company Size,City,State,Country,Business Category,Founded at (Date),IPO status,E-mail,Phone:,Linkedin,Facebook,Twitter,Funding Rounds,Funding Total (USD),Acquisitions,Investments,Lead Investments,Investors,Lead Investors,Total Products Active,Active Tech Count,Monthly Visits,Monthly Visits Change(%),Similar Companies
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,"Sweater is a fintech company building the first fully-managed venture capital fund that is open to everyday investors.
Our mobile-first experience allows you direct access to the world's most exclusive asset class—Venture Capital. Sweater’s mission is to empower everyone to become investors in the next generation of venture-backed startups.

Every founder should be able to build their vision, and every person should be able to take part in the founder journeys that create the next generation of influence and wealth.",,,,,"['Financial Services', 'FinTech', 'Venture Capital']",2019-01-01,,team@sweaterventures.com,,https://www.linkedin.com/company/sweaterventures/,https://www.facebook.com/sweaterventures,https://twitter.com/sweaterventures?lang=en,3.0,14300000.0,[],"['EarlyBird', 'Hearth', 'Guest House', 'Pear Suite', 'SweatPals', 'Grapefruit Health', 'Wyndly', 'After.com', 'Shappi', 'IsoTalent']",2.0,"['Kickstart', 'Eli Broverman', 'Nick Perez', 'Litquidity Capital', 'Monsen Ventures', 'Aaron Wolko', 'Bison Venture Partners', ""Nate O'Brien"", 'Jeff Cruttenden', 'Spacestation Investments']",2.0,,27.0,2376.0,18.5,"['Stonepeak', 'Rainmatter Capital', 'Orange DAO', 'Horizon Technology Finance', 'Digital Currency Group', 'DigniFi', 'Blockchain Founders Fund', 'Pluto', 'Redbeard Ventures', 'Endeavor']"
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,"Itineris develops and implements UMAX, a cloud-based CIS & CRM solution specifically designed for Utilities. 

UMAX leverages workflow automation and AI to easily manage everything from meter to cash, advanced revenue collection, assets, complex rates, conservation, marketing and campaign programs, and much more to ensure advanced customer engagement and streamlined business processes. UMAX is developed on the powerful Microsoft Dynamics 365 platform, and is delivered as a service in the Microsoft Azure Cloud. 

Founded in 2003, Itineris has an impressive implementation track record. Our customer base includes De Watergroep (Belgium), Eneco (the Netherlands), SSE (UK), Flogas (Ireland), The New York Department of Environmental Protection (US), Boston Water and Sewer Commission (US), and the City of Tallahassee (US), to name a few.

With our software solutions, we want to empower utility professionals to play their part in the new world of energy and water.",c_00251_00500,Sint-denijs-westrem,Oost-Vlaanderen,Belgium,"['Business Information Systems', 'Clean Energy', 'CRM', 'Energy', 'Enterprise Software', 'Information Technology', 'Power Grid', 'Software']",2003-01-01,private,contact@itineris.net,+32 9 386 01 02,http://www.linkedin.com/company/itineris,http://www.facebook.com/itineris.umax,http://twitter.com/ITINERIS_NET,4.0,49920965.0,['Opinum'],[],,"['Alychlo', 'Gimv', 'Gimv', 'Edgard Vermeersch']",2.0,15.0,52.0,3733.0,177.34,"['Utilidata', 'Teamwork', 'Anchore', 'Talon.One', 'RD Station', 'GASTROFIX', 'MilkCrate', 'Infovista']"
7c0ccf2a-788f-43a3-9e57-8af6f88a278b,Allianz Partners,allianz-partners,"Allianz Partners is an insurance company. Their services include assistance, health and life, automotive, and travel insurance services. Their in-house data lab provides customer behavior and psychographic services.",c_10001_max,Saint-ouen,Ile-de-France,France,"['Finance', 'Financial Services', 'Insurance']",1890-01-01,private,help@allianz.com,+33 1 53 25 53 25,https://www.linkedin.com/company/allianz-partners,https://www.facebook.com/AllianzAssistance,https://twitter.com/allianzpartners,,,[],[],,[],,12.0,,33782.0,2.99,"['Ameriprise Financial', 'State Farm', 'Bank of Baroda', 'Akbank', 'Bank of Ireland', 'SILAC Insurance Company', 'StanCorp Financial', 'Die Vienna Insurance Group', 'Generali Česká pojišťovna', 'SV SparkassenVersicherung']"
aa563215-3b80-a140-7726-fe2859803a16,Unifonic,unifonic,"Unifonic  is a leading cloud-based customer communication and engagement solutions (CPaaS)  provider in the MENA region that empowers organizations to engage seamlessly with their customers.
Since it was founded in 2006, Unifonic has consistently developed its product line and its markets to provide an affordable enterprise-grade multilingual, seamless omnichannel communications platform throughout the Middle East.",c_00251_00500,Riyadh,Ar Riyad,Saudi Arabia,"['Cloud Computing', 'Information Technology', 'Messaging', 'PaaS', 'SaaS', 'SMS']",2006-01-01,private,sales@unifonic.com,+966920002687,https://www.linkedin.com/company/unifonic/,https://www.facebook.com/unifonic,https://www.twitter.com/unifonic,2.0,146000000.0,['SESTEK'],[],,"['Riyad TAQNIA Fund (RTF)', 'Highgoal Capital', 'Sanabil', 'Riyad Bank', 'SoftBank Vision Fund', 'STV', 'Riyad TAQNIA Fund (RTF)', 'Endeavor Catalyst', 'Elm', 'STV']",3.0,31.0,32.0,66576.0,-50.25,"['Route Mobile', 'Noogata', 'Sleeknote', 'Nvoip', 'Ujuzi Craft', 'e.Ocean', 'NXCLOUD', 'Qfast.co']"
c9310fd0-d888-4e14-b774-2201e96afc1f,Bupa Arabia,bupa-arabia,Bupa Arabia is an international healthcare group which offers health insurance and medical subscription products.,,,,,"['Health Care', 'Health Insurance', 'Insurance']",1997-01-01,,sales@bupa.com.sa,966 800 244 0307,https://www.linkedin.com/company/bupaarabia/,https://www.facebook.com/bupaarabia/,https://twitter.com/BUPAArabia,,,[],['Okadoc'],,[],,17.0,25.0,1363545.0,51.04,"['Wafa Insurance', 'Ehealthscanner', 'Morgan Price']"
fc5fbe7a-562d-d577-b05e-46797caa134c,IBM,ibm,"IBM is a technology and innovation company that offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development, and systems management.",c_10001_max,Armonk,New York,United States,"['Business Development', 'Business Information Systems', 'CRM', 'Data Management', 'Software']",1911-06-06,public,ews@us.ibm.com,(914)499-1900,https://www.linkedin.com/company/ibm,https://www.facebook.com/IBM,http://twitter.com/IBM,,,"['SiXworks', 'Skyarch Networks', 'HashiCorp', 'Pliant.io', 'webMethods', 'StreamSets', 'Manta', 'Apptio', 'Polar Security - an IBM Company', 'Ahana']","['Cohesity', 'Ghost Kitchens', 'Portal', 'Hugging Face', 'The University of Tokyo', 'University of Chicago', 'TechZig', 'NetBox Labs', 'Strangeworks', 'NetBox Labs']",20.0,[],,171.0,79.0,25938820.0,-1.99,"['SendGrid', 'Koridor', '66degrees', 'HKW', 'iTOTEM Analytics', 'RIVA', 'Inventa B-Corp', 'Axiom', 'Syncsort', 'IBM Security Services']"
568b48b2-3f1e-4bd9-6921-b6d2e712fd20,McKinsey & Company,mckinsey-company,"McKinsey & Company is a global management consulting firm, the trusted advisor to the world's leading businesses, governments, and institutions. 

McKinsey & Company provides solutions for issues of concern to senior management in large corporations and organizations. It provides advisory services to the world's leading businesses, governments, and institutions. It also provides industry practice solutions and functional practice solutions. Its industry practice solutions include advanced electronics, chemicals, metal and mining, electrical power, consumer goods, and more. Its functional practice solutions include business technology, corporate finance and sales, operations, and other related areas. 

McKinsey & Company was established in 1926 and is based in London, United Kingdom. It operates additional offices on each continent. When James O. McKinsey founded McKinsey in 1926, he could not have imagined the reach his small firm would eventually have. Eighty-seven years later, the firm has grown into a global partnership serving two-thirds of the Fortune 1000.",c_10001_max,New York,New York,United States,"['Consulting', 'Management Consulting', 'Professional Services']",1926-01-01,private,,+43-(212) 446-7000,https://www.linkedin.com/company/mckinsey/,http://www.facebook.com/mckinsey,http://twitter.com/McKinsey,,,"['Strategic Estimating Systems', 'Iguazio', 'SCM Connections', 'Caserta', 'Solutions for Growth Consulting', 'IncepTech', 'Material Economics', 'Vivid Economics', 'Hypothesis', 'Venturetec']","['Shiprocket', 'MediaGlobe', 'Holidoit', 'Upstreet', 'Praetorian', 'Element AI', 'Tjori', 'Bohemian Birds Group', 'Equippo.com', 'Bombay Shaving Company']",5.0,[],,62.0,96.0,5914850.0,-9.83,"['Techstars', 'Prophet', 'CBIZ', 'The Caldwell Partners', 'LMI', 'Capita', 'Bain & Company', 'The Boston Consulting Group', 'Kearney', 'Nityo Infotech Services']"
873fb633-b62d-4106-8304-5a42e68a5524,ITT,itt,ITT Cannon is a design and manufacture of highly engineered harsh-environment connector and interconnect solutions company.,c_01001_05000,Weinstadt-endersbach,Baden-Wurttemberg,Germany,"['Electronics', 'Manufacturing', 'Product Design']",1915-01-01,private,sales.germany@coactive-tech.com,49 30 439990,https://www.linkedin.com/company/itt-cannon/,https://www.facebook.com/ITTInc/?fref=ts,https://twitter.com/ITT_Inc,,,[],[],,[],,16.0,33.0,6565.0,38.27,"['Atlas Copco Group', 'Azbil Corporation', 'TCL Communication', 'SOURIAU SAS', 'Detectortesters', 'C3PO, SA', 'Polamco', 'Truck-Lite Europe', 'Unisto', 'HCC Industries, Inc.']"
3af3f638-2a80-e072-add0-8396e130d842,Beyond Limits,beyond-limits,"Beyond Limits is an Industrial and Enterprise-grade AI technology company that covers the full range of Artificial Intelligence, purpose-built for the most demanding sectors, including energy, utilities, and healthcare (as well as finance).  

Beyond traditional artificial intelligence, Beyond Limits has developed powerful Cognitive AI that unifies human knowledge with machine learning techniques.  Its technology provides decision makers with efficient, reliable guidance and clear, understandable recommendations for everyday operational challenges to the most complex, mission-critical situations.

Customers use Beyond Limits AI to drastically boost operational insights, improve operating conditions, enhance performance at every level, and ultimately increase profits as a result.",c_00251_00500,Glendale,California,United States,"['Artificial Intelligence (AI)', 'Energy', 'Health Care', 'Industrial', 'Machine Learning']",2014-01-01,private,sales@beyond.ai,+1 818-643-2344,https://www.linkedin.com/company/beyond-ai,https://www.facebook.com/BeyondLimitsAI/,https://twitter.com/beyondlimitsai,3.0,158500000.0,"['Altec', 'Oak Consulting']",[],,"['BP Ventures', 'G42', 'BP Ventures']",2.0,29.0,49.0,5853.0,32.15,"['Pieces', 'Kebotix', 'HEALTH[at]SCALE Technologies', 'Swoop']"
b6a09bde-184a-a6ed-7d3d-150d5ad95d2f,AECOM,aecom,"AECOM is a global provider of professional technical and management support services to a broad range of markets, including transportation, facilities, environmental, energy, water and government.  With approximately 45,000 employees around the world, AECOM is a leader in all of the key markets that it serves.  AECOM provides a blend of global reach, local knowledge, innovation and technical excellence in delivering solutions that create, enhance and sustain the world's built, natural, and social environments.  A Fortune 500 company, AECOM serves clients in more than 150 countries and had revenue of $8.0 billion during the 12 months ended March 31, 2014.",c_10001_max,Los Angeles,California,United States,"['Civil Engineering', 'Construction', 'Consulting', 'Energy', 'Government', 'Information Technology']",1990-01-01,public,info@aecom.com,9042712899,https://www.linkedin.com/company/aecom/,https://www.facebook.com/AecomTechnologyCorporation/,http://twitter.com/AECOM,,,"['Shimmick Construction', 'ACE International Consultants', 'Hunt Construction Group', 'URS Corporation', 'Capital Engineering Corp.', 'Spectral Services Consultants Pvt. Ltd.', 'RSW', 'Davis Langdon', 'McNeil Technologies', 'Tishman Construction Group']",[],,[],,36.0,124.0,454253.0,5.38,"['Jacobs', 'Kratos Defense and Security Solutions', 'Level Access', 'Feedback Infra', 'Serco', 'Charter Oak Environmental Services', 'Economics Research Associates']"
