,indeed_name,Crunchbase_name,Company_name_url
32,Gathern,gathern,https://www.crunchbase.com/organization/gathern
33,Mace,mace,https://www.crunchbase.com/organization/mace
61,Saudi AZM,saudi-azm,https://www.crunchbase.com/organization/saudi-azm
62,Valleysoft,valleysoft,https://www.crunchbase.com/organization/valleysoft
63,EY,e-y,https://www.crunchbase.com/organization/e-y
74,Varian Medical Systems,varian-medical-systems,https://www.crunchbase.com/organization/varian-medical-systems
75,Publicis Sapient,publicis-sapient,https://www.crunchbase.com/organization/publicis-sapient
77,Comspark International,comspark-international,https://www.crunchbase.com/organization/comspark-international
79,BIMTEC,b-imtec,https://www.crunchbase.com/organization/b-imtec
80,BIMTEC,bimtec,https://www.crunchbase.com/organization/bimtec
82,Rise,rise,https://www.crunchbase.com/organization/rise
83,ArabyAds,arabyads,https://www.crunchbase.com/organization/arabyads
85,ekar,ekar,https://www.crunchbase.com/organization/ekar
86,Dataiku,dataiku,https://www.crunchbase.com/organization/dataiku
107,Masimo,masimo,https://www.crunchbase.com/organization/masimo
