,indeed_name,Crunchbase_name,Company_name_url
0,Arabic Computer Systems,arabic-computer-systems,https://www.crunchbase.com/organization/arabic-computer-systems
1,Salla,salla,https://www.crunchbase.com/organization/salla
2,Mozn,mozn,https://www.crunchbase.com/organization/mozn
3,IBM,ibm,https://www.crunchbase.com/organization/ibm
4,Beyond Limits,beyond-limits,https://www.crunchbase.com/organization/beyond-limits
5,Jadeer,jadeer,https://www.crunchbase.com/organization/jadeer
6,Lucidya,lucidya,https://www.crunchbase.com/organization/lucidya
7,Islamic Development Bank,islamic-development-bank,https://www.crunchbase.com/organization/islamic-development-bank
8,Devoteam,devoteam,https://www.crunchbase.com/organization/devoteam
9,Microsoft,microsoft,https://www.crunchbase.com/organization/microsoft
10,TestCrew,test-crew,https://www.crunchbase.com/organization/test-crew
11,Aspen Technology,aspen-technology,https://www.crunchbase.com/organization/aspen-technology
12,Mrsool,mrsool,https://www.crunchbase.com/organization/mrsool
13,Devoteam Middle East,devoteam-middle-east,https://www.crunchbase.com/organization/devoteam-middle-east
14,GE Digital,ge-digital,https://www.crunchbase.com/organization/ge-digital
15,Digital Grid,digital-grid,https://www.crunchbase.com/organization/digital-grid
16,Digital Grid,digitalgrid,https://www.crunchbase.com/organization/digitalgrid
17,Nice One,nice-one,https://www.crunchbase.com/organization/nice-one
18,Master-Works,master-works,https://www.crunchbase.com/organization/master-works
19,Master-Works,masterworks,https://www.crunchbase.com/organization/masterworks
20,Alfaisal University,alfaisal-university,https://www.crunchbase.com/organization/alfaisal-university
21,EPAM Systems,epam-systems,https://www.crunchbase.com/organization/epam-systems
22,Creative Chaos,creative-chaos,https://www.crunchbase.com/organization/creative-chaos
23,Air Products,air-products,https://www.crunchbase.com/organization/air-products
24,Scalers,scalers,https://www.crunchbase.com/organization/scalers
25,Globant,globant,https://www.crunchbase.com/organization/globant
26,Lendo,lendo,https://www.crunchbase.com/organization/lendo
27,SAUDIA Airlines,saudia-airlines,https://www.crunchbase.com/organization/saudia-airlines
28,Sweater,sweater,https://www.crunchbase.com/organization/sweater
29,"ITT, Inc.",it-t,https://www.crunchbase.com/organization/it-t
30,"ITT, Inc.",itt,https://www.crunchbase.com/organization/itt
31,Excrin Think Labs,excrin-think-labs,https://www.crunchbase.com/organization/excrin-think-labs
32,Gateway,gateway,https://www.crunchbase.com/organization/gateway
33,Schneider Electric,schneider-electric,https://www.crunchbase.com/organization/schneider-electric
34,Qureos Inc,qureos,https://www.crunchbase.com/organization/qureos
35,Fortanix,fortanix,https://www.crunchbase.com/organization/fortanix
36,Beyond Limits Inc,beyond-limits,https://www.crunchbase.com/organization/beyond-limits
37,Enstoa,enstoa,https://www.crunchbase.com/organization/enstoa
38,PwC,pwc,https://www.crunchbase.com/organization/pwc
39,CLEARPEAKS,clearpeaks,https://www.crunchbase.com/organization/clearpeaks
40,Professional Recruitment,professional-recruitment,https://www.crunchbase.com/organization/professional-recruitment
41,Unifonic,unifonic,https://www.crunchbase.com/organization/unifonic
42,McKinsey & Company,mckinsey-company,https://www.crunchbase.com/organization/mckinsey-company
43,Shaguf,shaguf,https://www.crunchbase.com/organization/shaguf
44,Otis,otis,https://www.crunchbase.com/organization/otis
45,Hill International,hill-international,https://www.crunchbase.com/organization/hill-international
46,Tahaluf,tahaluf,https://www.crunchbase.com/organization/tahaluf
47,Foodics,foodics,https://www.crunchbase.com/organization/foodics
48,PASQAL,pasqal,https://www.crunchbase.com/organization/pasqal
49,Cognizant,cognizant,https://www.crunchbase.com/organization/cognizant
50,Delivery Hero,delivery-hero,https://www.crunchbase.com/organization/delivery-hero
51,WSP,wsp,https://www.crunchbase.com/organization/wsp
52,Noon Academy,noon-academy,https://www.crunchbase.com/organization/noon-academy
53,Dell,dell,https://www.crunchbase.com/organization/dell
54,Bupa Arabia,bupa-arabia,https://www.crunchbase.com/organization/bupa-arabia
55,Talent Arabia,talent-arabia,https://www.crunchbase.com/organization/talent-arabia
56,Rackspace,rackspace,https://www.crunchbase.com/organization/rackspace
57,Cartier,cartier,https://www.crunchbase.com/organization/cartier
58,Hewlett Packard,hewlett-packard,https://www.crunchbase.com/organization/hewlett-packard
59,Ninja,ninja,https://www.crunchbase.com/organization/ninja
60,Teradata,teradata,https://www.crunchbase.com/organization/teradata
61,KANTAR,kantar,https://www.crunchbase.com/organization/kantar
62,Snowflake,snowflake,https://www.crunchbase.com/organization/snowflake
63,Global Human Capital Group,global-human-capital-group,https://www.crunchbase.com/organization/global-human-capital-group
64,Commvault,commvault,https://www.crunchbase.com/organization/commvault
65,Allianz Partners,allianz-partners,https://www.crunchbase.com/organization/allianz-partners
66,Itineris,itineris,https://www.crunchbase.com/organization/itineris
67,Infosysta,infosysta,https://www.crunchbase.com/organization/infosysta
68,Johnson & Johnson,johnson-johnson,https://www.crunchbase.com/organization/johnson-johnson
69,Nahdi,nahdi,https://www.crunchbase.com/organization/nahdi
70,IO Tech,iotech,https://www.crunchbase.com/organization/iotech
71,CSI,c-s-i,https://www.crunchbase.com/organization/c-s-i
72,CSI,csi,https://www.crunchbase.com/organization/csi
