name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description,date_of_scrape,Job Role,Job_ind,day,Month,Year,keyword_count
PwC,a2eb9638680ab4c5,"Forensics, Data and Analytics Senior Manager - Deals, Riyadh",Riyadh,Full-time,Today,0,3.9,[],[],[],https://pwc.wd3.myworkdayjobs.com/en-US/Global_Experienced_Careers/job/Riyadh/Forensics--Data-and-Analytics-Senior-Manager---Deals--Riyadh_520077WD,https://sa.indeed.com/cmp/Pwc,"['tableau', 'databricks', 'mongodb', 'nosql', 'python', 'snowflake', 'sql', 'kafka', 'informatica', 'java', 'oracle', 'hadoop', 'azure', 'cloud']","['analysis', 'collaborative', 'communication', 'communication skills', 'design', 'focus', 'initiative', 'innovation', 'insight', 'planning', 'presentation skills', 'professional']","['data analysis', 'scripting', 'transform']","line of service advisory industry/sector not applicable specialism deals management level senior manager job description &amp; summary a career in our deals advanced analytics practice, will provide you with the opportunity to help our clients with the deal process and deliver outstanding services both pre-deal and post-deal from the perspective of mergers and acquisitions data analysis. a career in pwc’s capital projects and infrastructure technology department is an opportunity to bring pwcs strategy to life by developing and delivering technology and data-powered services in one of the fastest growing sectors in the region. our clients expect us to bring the right people and the right technology to solve their biggest problems; we meet that challenge and accelerate the adoption of disruptive solutions through our integrated team of specialists. we have skilled technologists, engineers, data scientists, business analysts and industry subject matter experts who come together to innovative and deliver across the capital projects and infrastructure value chain. having a sector-focus, our projects span the technology and data spectrum. we are therefore recruiting for senior technology and data leaders who can adapt to client demands, adapt and apply themselves to the following domains: digital and data strategy and transformation digital solution ideation, conceptualization, architecting and design development of business and functional requirements and specifications development of use cases and business cases for data engineering and data science data warehousing and enterprise architecture development/implementation data management and dataops design and implementation/execution business intelligence reporting design and implementation/execution responsibilities as a senior manager, you will develop your understanding of the themes and trends in the market, with access to the key client accounts in the region. you will work collaboratively with other experts to shape the future of our clients and to bring about positive change. in particular, it will be expected that the role includes the following: oversight of technical project delivery, including work output and quality management, client management, project planning, risk management, scope management and schedule and budget management. working to mentor and train other members of the business unit and the project team in order to foster a high performance team environment. contribution to innovation and insights on each project, proposal, proposition or proof of concept through leveraging existing commercial off-the-shelf solutions and driving the development of new technology and/or analytical solutions. ownership of business development efforts (both internal and external) through building and leveraging relationships, co-developing propositions and being active in the market. management of responding to rfps, including scope and budget development, pitch preparation and pitch delivery. collaborating with colleagues in pwc’s middle eastern offices on client work and internal initiatives as well as with international teams where appropriate and keeping up to date with current trends from the region and from across the world. strategizing and managing relationships with technology vendors and service providers, undertaking product evaluations and negotiating contractual terms. as a client advisor and service delivery leader, it is expected that the candidate will have excellent communication skills, stakeholder management skills, presentation skills, the ability to conceptualize and translate client needs into tangible solutions and to move easily from big picture thinking to managing relevant detail. pwc middle east operates as a regional practice and, accordingly, the candidate is expected to have the ability and willingness to travel within the region. preferred knowledge/skills: the following professional qualifications (or equivalent) would be beneficial to the candidate: dama’s certified data management professional (cdmp®) pmi’s certified project management professional (pmp®) professional scrum master™ (psm) certifications although the role will be focused on delivery oversight rather than performing technical delivery, it would be beneficial if the candidate had experience of performing technical delivery at some stage of their career. the following are platforms and/or skillsets that are applied within our practice and it would be beneficial if the candidate was familiar with or had a conceptual understanding of them: microsoft azure, google cloud platform, amazon web services, oracle cloud infrastructure relational databases, sql, t-sql or pl/sql data aggregators such as databricks, azure datafactory, palantir, snowflake or teradata and streaming\messaging services such as kafka data modeling and schema design and development big data platforms including hadoop, bigquery/bigtable, map/reduce nosql databases (e.g. cosmosdb, mongodb, documentdb, cloud datastore, casandra, etc.) data integration tools (ssis, informatica, api management, enterprise service bus) and rules engine (e.g biztalk) programming and scripting languages including c++, c#, java, python, r construction sector tools including autocad, primavera, ms project and understanding of bim models and aggregator tools such as ares prism. data visualisation tools including powerbi, tableau or qlikview education (if blank, degree and/or field of study not specified) degrees/field of study required: degrees/field of study preferred: bachelor degree - computer science certifications (if blank, certifications not specified) required skills optional skills desired languages (if blank, desired languages not specified) travel requirements available for work visa sponsorship? government clearance required? job posting end date",2024-03-19,DATA ANALYST,1,19,3,2024,15
Hewlett Packard,18914b48db5cd12c,Data and Business Analyst,Riyadh,,Today,0,4.0,[],[],[],http://www.respondhr.com/135534039,https://sa.indeed.com/cmp/HP,[],"['analysis', 'analytical skills', 'communication', 'communication skills', 'problem-solving', 'responsible', 'teamwork']",['business intelligence'],the person will be responsible to read data from different sources and generate executive reports for executive management. regularly report on business kpi's and monitor them. generate reports using multiple business intelligence tools and present the outcome. responsibilities: analyzes sales data and compiles information for reports. manages day-to-day post-sales order management and resolution of customer and business issues. resolves order management issues for all product lines using specialized subject matter knowledge and analysis. monitor business kpi's and report on a weekly basis. education and experience required: technical degreee required. relevant experience in data processing and analysis. university degree minimum of three years relevant experience. knowledge and skills: good communication skills strong problem-solving and analytical skills. good teamwork skills. good knowledge in data reporting tools. relevant experience in reporting. #li-post,2024-03-19,DATA ANALYST,1,19,3,2024,4
Mrsool,506a2639bb2bf06b,Senior Logistics Performance Analyst,Riyadh,Full-time,Today,0,,['1-3'],[],[],https://apply.workable.com/j/2E4528E71E,https://sa.indeed.com/cmp/Mrsool,"['tableau', 'excel', 'sql']","['accuracy', 'commitment', 'communication', 'communication skills', 'decision-making', 'problem-solving', 'written and oral communication']","['ml', 'metrics', 'problem-solving skills']","about the company welcome to the world of mrsool! ✨where on-demand delivery meets unparalleled user needs to deliver anything you desire. as one of the largest delivery platforms in the middle east and north africa (mena) region, mrsool has captivated users with its unique and seamless experience, earning it the highest ratings among all major delivery platforms on both apple's app store and google's play store. what sets mrsool apart is its commitment to providing an unmatched ""order anything from anywhere"" experience. this extraordinary feat is made possible by our extensive fleet of dedicated on-demand couriers. with their unwavering dedication, they ensure that your desired items reach your doorstep, no matter where you are. whether it's a late-night craving, a forgotten item, or a special gift for a loved one, mrsool is here to deliver, quite literally. we take pride in the convenience we offer, empowering you to get what you need when you need it, all at the tap of a button. responsibilities monitoring and maintaining supply and demand kpis such as forecast accuracy, supply efficiency, cost metrics, and service levels including delivery time. ensuring our service and cost are always on point. solving analytical problems and executing solutions with different markets, diving into complex data points to find the areas of development. ensuring the effective use and rollout of all delivery hero technology, tools, and data models for supply and demand management. providing data-driven decisions on the product roadmap to further enhance efficiency and speed. improving the supply management process in each country; creating sops, optimizing internal processes, guiding and supporting each market to further improve their efficiency. liaise with internal stakeholders such as marketing and sales to improve forecasting and customer data improve reporting and data visibility for faster and more effective decision-making for all markets, keeping up with the dynamic and fast nature of talabat operations to always provide the best solutions. requirements bachelor’s degree. stem and economics backgrounds are highly preferred. 1-3 years of experience in tech start-ups or operational roles are highly preferred. analytical and problem-solving skills and data-driven and results-oriented attitude are required. strong written and oral communication skills. ability to drive complex ideas and processes to diverse people across every market and team. proficiency in microsoft excel, and google slides. sql and tableau, or similar reporting tools are required. benefits what's in it for you? fast career development based on performance diversity and equal opportunities if this looks like your cup of coffee, we're looking forward to seeing your application! our life @ mrsool: the environment is an open space , flexible &amp; fun, around the clock, around the region. we are more than great team &amp; place to work; we respect and ensure equal opportunities, regardless of race, religion, ethnicity, origin, age, gender , disability and other legally protected characteristics",2024-03-19,DATA ANALYST,1,19,3,2024,5
HungerStation,df68faa65a4af135,Product Analyst - Riyadh,Riyadh,Contract,1 day ago,1,4.5,['3-4'],[],[],https://jobs.smartrecruiters.com/DeliveryHero/743999974647522-product-analyst-riyadh,https://sa.indeed.com/cmp/Hungerstation,"['tableau', 'python', 'redshift', 'postgresql', 'sql']","['analysis', 'communication', 'communication skills', 'design', 'insight', 'ownership', 'responsible', 'team player']","['mathematics', 'statistics']","company description hungerstation is the first saudi food delivery app in the region! established in 2012. today hungerstation enables you to browse the largest selection of restaurants and supermarkets in ksa that reach 35,000+ options. in hungerstation, we stand for our customers' satisfaction, partners’ loyalty and riders’ wellbeing, in addition to our expansion vision - always aiming higher and moving forward to the utmost levels of service platform. hungerstation is part of the delivery hero group, the world’s leading local delivery platform operating in 70+ countries worldwide. job description we are looking for a highly talented product analyst to join our team in riyadh. if you are looking for a place where you can gain hands-on experience and create direct impact, then this may be the place for you! the ideal candidate will have a track record as a significant individual contributor as well as a strong team player. you will be responsible for: drive data mindset in the team, guide in terms of methodology, support and execute testing, and be a quality gatekeeper on data leading to product decisions develop in-depth analytical understanding for what drives growth for the product and how it can be improved leverage insights from analytics data by providing analyses, reports and dashboards for, product management and other departments use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business, providing insights to help product managers, designers, and engineers to decide which features to build and why. own data projects from collection to operationalization. work with structured and semi-structured data from different data sources and different products (bigquery, redshift, postgresql and many more). qualifications 3-4 years of experience specifically in product analytics, preferably in e-commerce you've completed a degree in statistics, mathematics, economics, computer science or an equivalent education or possess relevant practical experience very good communication skills in english, both written and oral data analysis: strong experience in sql (bigquery) and python (alternatively r) a/b testing: experience designing experiments and analyzing results with a solid background in statistics tracking technologies: google analytics (preferably iq certified) or similar alternatives e.g. adobe analytics/omniture, snowplow, etc. tag management systems: preferably google tag manager or similar alternatives e.g. tealium, adobe dynamic tag management, etc. data visualization technologies: preferably google data studio or tableau or similar alternatives e.g. looker, qlikview, etc. qa technologies: preferably android studio, charles web debugging proxy, or similar alternatives observepoint, etc. additional information we offer visa &amp; relocation support globally to our permanent employees. exchange ideas and meet 2000+ colleagues from different teams within delivery hero in our active guilds and through our global tech &amp; product community. develop your skills with your personal educational budget for conferences and external training. access our linkedin learning platform and participate in our various inhouse training. and much more… you’ll have the space to learn, grow, and take ownership of your work. we invest in your development, from training or workshops to free language lessons, and we encourage you to take on projects which both interest and challenge you.",2024-03-19,DATA ANALYST,1,19,3,2024,13
Devoteam,c4facbaf25c4d315,Business Data Analyst,Riyadh,"Permanent, Full-time, Contract",1 day ago,1,3.6,"['14', '9']",[],[],https://www.devoteam.com/jobs/139820649603310278,https://sa.indeed.com/cmp/Devoteam,"['tableau', 'power bi', 'python', 'excel', 'sql', 'oracle', 'sql server']","['analysis', 'communication', 'design', 'focus', 'interpersonal skills', 'professional']","['data mining', 'data visualization', 'data warehousing', 'transform']","we are entrepreneurs in disruptive technology, at devoteam, we deliver innovative technology consulting for business. digital transformakers, we are 7,000+ professionals across emea dedicated to ensuring our clients win their digital battle. we improve business performance making their companies truly digital. we advise our clients and build it infrastructure for digital, making sure people are along for the ride. devoteam middle east, we are the region's leading consulting firm delivering innovative business &amp; technology consulting &amp; solutions. our 14 years of existence anchored in technologies that enables our clients business to flourish, accordingly our focus is to help our clients' win the digital battle, adapted to our clients’ business challenges, with a unique consideration to its impact on their systems and structures. to know more about us, please visit: www.devoteam.com translate business needs to technical specifications design, build, and maintain charts, dashboards, and kpis design &amp; build bi test cases facilitate the uat workshops with the with business play key roles in building rsd (report specs document) and kpi cards participate heavily in designing &amp; building bi user guides and awareness sessions conduct unit testing and troubleshooting story-telling using data visualization communicate with data warehousing and bi storage tools (e.g. olap cubes) to get the data for the visualizations evaluate and improve existing bi systems develop and execute sql database queries and conduct analyses work with different data format; structured, semi-structured, and geospatial data cleansing and normalization when needed perform descriptive, diagnostic, and predictive analysis on the data 4 - 9 years of experience in the field experience working with senior decision makers strong communication/interpersonal skills proven analytical background advanced excel skills deep understanding of database management systems, online analytical processing (olap) and etl (extract, transform, load) framework excellent background in data warehouse design (e.g. dimensional modeling) and data mining industry experience is a must, preferably with more than one business domain excellent command of sql language using multiple backend database engines such as sql server, oracle, db2, etc.. experience in generating visualization using python libraries is a plus bsc/ba in computer science, engineering or relevant field experience with at least two bi technology (e.g. microsoft power bi, tableau, spotfire, microstrategy, etc..) is a plus fluent in english &amp; arabic certifications business analysis certification from iiba (ecba™) business analysis certification from kpi institute",2024-03-19,DATA ANALYST,1,19,3,2024,13
Schneider Electric,ce1a74a064ee1406,Business Finance Analyst,Riyadh,Full-time,6 days ago,6,3.9,['1-3'],[],[],https://schneiderele.taleo.net/careersection/2/jobdetail.ftl?lang=en&job=1662687,https://sa.indeed.com/cmp/Schneider-Electric,"['excel', 'sap']","['analysis', 'analytical skills', 'collaboration', 'decision making', 'initiative']",['transform'],"responsibilities: perform monthly closing processes. report monthly and quarterly results in tool and analyze the figures data input, maintenance, contribution in development of reports in business intelligence tool provide support to finance business controller in analyzing reported data be able to support business by digging into sap and provide more granular data for the analysis/reports. improve processes and use of tools: leverage all system capabilities, increase automation of processes, deliver efficiencies. aoc/forecast reporting preparation and analysis, support product standard cost update drive cost optimization initiative and closely monitor the productivity including material, dvc labor, mbc. sfc. manufacture cost variance analysis (act vs std), cooperate with cross-functional team to drive product cost down. new product quotation/cost estimation and analysis. inventory management : full control on company inventory ,drive action to reduce the obsolete inventory and optimize the inventory level, identify the risk proactively well ahead of time. internal and external audit support, high risk process improvement and policy update. qualifications requirements: 1-3 years of experience as a controller or analyst bachelor's or master’s degree in finance, accounting, it skills: sap/oracle &amp; bi tools knowledge, advanced knowledge of excel, power query good command of english communication and collaboration skills - essential attention to details and ability to identify issues or inconsistencies experience in building automated reports and models is a must; strong analytical skills and ability to organize, summarize and articulate complex financial information for decision making strong can-do mentality and drive to accomplish tasks in an environment with multiple stakeholders experience in finance transformation is preferred passion for continuous improvements &amp; change management ability to work in pressure and independently primary location: sa-central-riyadh plants schedule: full-time unposting date: ongoing",2024-03-19,DATA ANALYST,1,19,3,2024,4
atlas crisis management,f5965dca49a9757e,Business Analyst,Riyadh,"Permanent, Full-time",6 days ago,6,,[],[],[],http://sa.indeed.com/job/business-analyst-f5965dca49a9757e,https://sa.indeed.com/cmp/Atlas-Crisis-Management,"['power bi', 'python', 'sql']","['analysis', 'attention to detail', 'communication', 'organization', 'professional']",['business intelligence'],"for more than three decades, uae-based atlas group has built a solid reputation for delivering solutions that works and that can be relied on in the mostdemanding situations. it provides industry leading technologies, highly secured telecommunications and a comprehensive range of security solutions. these solutions support entities that provide safety to businesses and protect society the business has a strong regional presence with operations in uae, ksa, bahrain, kuwait, oman, yemen, afghanstan, morocco, sychelles,pakstan,lebanon, india, ethiopia which gives the company regional breadth and local expertise in its primary markets. it is the first business in the middle east to provide a fully comprehensive telecommunications and security suite backed up by world-class engineers and world class technology. your mission if you accept it ... the business analyst will gather, analyse, and compile data needed to identify trends and patterns, then make recommendations for business actions. gathers business intelligence from a variety of sources including company data, industry and field reports, public information, or purchased sources. assesses market strategies by analysing related products, markets, or trends. uses business intelligence data and tools to identify and monitor current and potential customers. identifies markets for future product development and methods to improve sales of existing products by analysing technology trends. compiles business intelligence or trends to support actionable recommendations. maintains current knowledge of industry and business trends through communication with professional organizations, suppliers, customers, competitors, and other informed individuals. comparing and contrasting products ex. what if parameters. - our stack bachelor’s degree in engineering, it, computer science, business, physics. master’s degree preferred. excellent verbal and presentation skills. highly knowledgeable in power bi, sql &amp; python. ability to collect and compile relevant data from different sources. extremely organized with great attention to detail. excellent ability to analyses information and think systematically. strong business analysis skills. works well independently and as part of a team. thorough understanding of the company’s business processes and the industry at large. ability to handle databases and understand technology-driven business intelligence tools. job types: full-time, permanent",2024-03-19,DATA ANALYST,1,19,3,2024,5
JASARA PMC,83e46ef6c6f546b4,Senior Worker Welfare / Employment Practices Manager - THE LINE,Tabuk,Full-time,8 days ago,8,,[],[],['bachelor'],https://apply.workable.com/j/64B1B13E17,https://sa.indeed.com/cmp/Jasara-Pmc,['excel'],"['collaborative', 'communication', 'communication skills', 'flexibility', 'focus', 'initiative', 'responsible', 'teamwork', 'written communication']",[],"jasara pmc is seeking a senior worker welfare / employment practices manager for their civil engineering project, the line. as a member of the team, you will be responsible for ensuring that employment practices and worker welfare standards meet the highest industry and ethical standards. jasara is committed to delivering social infrastructure programs that elevate the kingdom of saudi arabia and contribute to the goals of vision 2030, and this role is crucial to achieving that mission. jasara is a joint venture between public investment fund (pif), jacobs, and saudi aramco, and this partnership ensures that jasara is uniquely positioned to take on the most complex programs in the world while maintaining a solutions-based approach. as a senior worker welfare / employment practices manager, you will have the opportunity to work on an innovative project that is redefining urban living and setting new standards for sustainability. responsibilities prepare a high level quarterly audit and inspections plan conduct as snr manager all employment practices audits including conducting fieldwork, interviewing workers and employers to measure compliance against the workers welfare standards. (triangulation) review and approve contractors ethical recruitment feedback reports, as well as other documentation as required attend and present workers welfare requirements at high level contractor mobilization meetings. implement a recruitment fee reimbursement program for worker who has paid recruitment fees implement and lead workers welfare forums as well as lead project ww forum programs on a large scale operation mange, log, and close out employee grievance cases lodged via the hotline provide advice on the best practices and recommended improvements to contractor management. follow up on the implementations of the recommended improvements. conduct training for relevant contractor personnel to ensure adherence by contractors of the standards. must have the ability to function both individually at senior management level and as part of a team conduct workers welfare requirements s during tender evaluations provide workers welfare approval of contractors during pre-start, and mobilization to site perform any other duties assigned by the director welfare &amp; wellbeing related or relevant to the job participate on an ad hoc basis or as required in the neom external audit process. tracking, reporting, and closing out employment practices non-compliance requirements knowledge of ksa labour law requirements. knowledge of the language(s) spoken by migrant workers is desirable (preferably hindi) arabic will be an advantage analytical ability to interpret audit results ability to function both individually and as part of a team competent collaborator and skilled cross-functional communicator. team player who can also work independently as and when needed. demonstrate initiative and problem solver. knowledge of various human rights guidelines and codes experience in liaising with human rights external stakeholders ilo, ministry of labour, external compliance auditors etc excellent excel skills required as well as excellent power point /power bi skills. key performance indicators: ethical practices audits completed and feedback reports issued. agreed timelines are met. maintain quality control of delivery of program hs&amp;w welfare and wellbeing program. client orientation: you are responsible to position yourself and your function in alignment with our core value as a relationship-based company. establish positive client relationships educate and encourage contractors to improve compliance levels and propose suggestions for improvement. initiate and strengthen collaborative relationships with clients and work co-operatively with projects teams. personal competencies: your skills &amp; behaviours required for success that can be observed: data analyst – able to collect and analyze data. auditing &amp; report writing– providing reports, including illustrations to other parties reflecting their compliance levels as well as recommendations. inter-personal skills – guide and train workers' welfare officers to improve compliance levels. traits: your natural style, aptitudes, and tendencies including personality and intellectual capacity. excellent verbal and written communication skills. ability to think clearly, creatively, and imaginatively. positive attitude and a strong focus on teamwork. ability to communicate with people from all backgrounds. ability to build and maintain positive relationships with people. focused on achievement, targets, and continuous improvement. demonstrate a high degree of flexibility and confidentially. ability to work under pressure and tight deadlines. ability to work on own initiative qualifications hold at least a bachelor’s degree in human resources management / welfare / audit and or accounting (or equivalent qualifications) minimum 8 year plus experience in (industry &amp; role) or in the relevant field of expertise. must possess valid ksa drivers’ license",2024-03-19,DATA ANALYST,1,19,3,2024,5
Novel Overseas Corporation,468d9ea47546a87c,Experiences Governance Consultant - Business Analyst - Arabic Speakers,Riyadh,Full-time,15 days ago,15,,[],[],['master'],http://sa.indeed.com/job/experiences-governance-consultant-business-analyst-arabic-speakers-468d9ea47546a87c,https://sa.indeed.com/cmp/Novel-Overseas-Corporation,"['tableau', 'sql']","['analysis', 'analytical skills', 'focus', 'initiative', 'insight', 'interpersonal skills', 'project management']","['data visualization', 'project management', 'statistical analysis']","job description: data analysis &amp; insight generation: analyze customer data, market trends, and the competitive landscape using advanced analytics tools to provide actionable insights, identify patterns, predict customer behavior, and evaluate cx strategies' effectiveness. managing projects: lead cx projects from start to finish, creating rsd (requirements specification document) and cp (concept papers) ensuring they adhere to quality standards, and timelines, and coordinate cross-functional teams to boost customer satisfaction and loyalty. alignment &amp; coordination: align &amp; work with internal units (b2b, b2c, wholesale &amp; others) like marketing, care, sales, and it teams and make sure our cx work fits with the bigger company goals. process improvement: pinpoint and suggest enhancements in customer interactions and company processes to increase efficiency, cut costs, and bolster customer engagement, all backed by data-driven insights. innovation and strategy: stay updated on the latest industry trends and technology. suggest new and creative ways to make our customer experience better and help the business grow. performance measurement: set up and track kpis to assess cx initiatives' success, and regularly report the outcomes, trends, and recommendations to management and stakeholders. qualifications: bachelor’s or master’s degree in business administration, data analytics, or a related field. proven experience as a business analyst, preferably with a focus on customer experience in the telecom sector. strong analytical skills with experience in statistical analysis, forecasting, and data visualization tools (e.g., sql, tableau, power bi). excellent project management abilities, capable of leading projects in a fast-paced environment. proficient in customer relationship management (crm) software. communication and interpersonal skills, with the ability to present complex data to non-technical stakeholders. job type: full-time",2024-03-19,DATA ANALYST,1,19,3,2024,9
Allianz Partners,4b321c3e947d1d19,Data Analyst,Riyadh,"Permanent, Full-time",20 days ago,20,3.8,['3'],[],['bachelor'],https://careers.allianz.com/job/Riyadh-Data-Analyst/1042643701/,https://sa.indeed.com/cmp/Allianz,"['ms access', 'excel', 'vba', 'sql', 'oracle']","['accuracy', 'analysis', 'analytical skills', 'attention to detail', 'design', 'focus', 'motivated', 'presentation skills', 'responsible', 'team player']","['data analysis', 'data mining', 'database design', 'extract', 'transform']","the data analyst specialist will be responsible for data mining, design of, creation and timely production of accurate international health reports. maintenance and support of these reports across all departments within operations also required. creation and maintenance of reports and data in line with documented key performance indicators (kpis). ability to design, create, maintain, enhance and analyze dashboard reports and kpis across a number of data intelligence tools. understand the data relationships that exist between the business processes and systems. in turn apply this knowledge when interpreting the information requirements from the business. ability to identify changing trends and anomalies in data and investigate/ explain same. ability to translate data, analysis and commentary into a clear and concise story to support management in strategic decisions. creation, test and delivery of existing and ad-hoc reporting from current systems maintenance of reporting from legacy systems including highly complex reports e.g. claims trend &amp; leakage reports to agreed deadlines. ability to gather, interpret, identify gaps and translate business reporting requirements into global reporting solutions. creation of ad hoc data extracts from an oracle database via sql. understanding database concepts and terminology, database design principles and elements in order to deliver reporting. expert knowledge of the functionality available within powerbi, oracle database, alteryx, celonis and excel. creation and maintenance of robust testing, analysis and aggregation of formatted data to ensure data trustworthiness. proactively manage own daily, weekly and monthly workflow to ensure key performance indicators and service standards are met. continue to develop technical and systems knowledge, business and insurance understanding and support other team members. act as the operations reference point for all business information management related questions. ensure all operations data performance is aligned with key stakeholder data e.g. regional office alignment. hold bachelor degree minimum of 3 years experience exceptional analytical skills (capable of understanding complex data structures, organize and structure data extract and transformation processes). excellent presentation skills. must be arabic speaker with medical background. customer focused, confident, personable character. personal effectiveness – highly motivated, proactive, self-starter, responsible and highly committed, high attention to detail and accuracy. experience in working to and meeting deadlines. role model who inspires and motivates others to perform, effective team player. proven management information reporting experience and business analyst skills including: requirements analysis / ability to interpret users needs source data analysis and consolidation report building and writing financial &amp; kpi reporting data modeling as an integrated model in a common landscape data quality and integrity problem solving &amp; effective solution delivery demonstrable expert knowledge of the following tools: powerbi, sql, plsql, ms excel, ms access additional experience with the following advantageous: vba, oracle job level: professional location: riyadh, sa area of expertise: data &amp; analytics unit: allianz partners employing entity: nextcare saudi arabia job type: full-time remote job: 100% on-site employment type: permanent id: 42070 position cluster:",2024-03-19,DATA ANALYST,1,19,3,2024,10
