key,Soft Skills,Month,Job Role
a2eb9638680ab4c5,communication skills,3,DATA ANALYST
a2eb9638680ab4c5,communication,3,DATA ANALYST
a2eb9638680ab4c5,planning,3,DATA ANALYST
a2eb9638680ab4c5,collaborative,3,DATA ANALYST
a2eb9638680ab4c5,innovation,3,DATA ANALYST
a2eb9638680ab4c5,insight,3,DATA ANALYST
a2eb9638680ab4c5,professional,3,DATA ANALYST
a2eb9638680ab4c5,focus,3,DATA ANALYST
a2eb9638680ab4c5,design,3,DATA ANALYST
a2eb9638680ab4c5,analysis,3,DATA ANALYST
a2eb9638680ab4c5,presentation skills,3,DATA ANALYST
a2eb9638680ab4c5,initiative,3,DATA ANALYST
18914b48db5cd12c,communication skills,3,DATA ANALYST
18914b48db5cd12c,communication,3,DATA ANALYST
18914b48db5cd12c,analytical skills,3,DATA ANALYST
18914b48db5cd12c,problem-solving,3,DATA ANALYST
18914b48db5cd12c,responsible,3,DATA ANALYST
18914b48db5cd12c,analysis,3,DATA ANALYST
18914b48db5cd12c,teamwork,3,DATA ANALYST
506a2639bb2bf06b,communication skills,3,DATA ANALYST
506a2639bb2bf06b,communication,3,DATA ANALYST
506a2639bb2bf06b,decision-making,3,DATA ANALYST
506a2639bb2bf06b,commitment,3,DATA ANALYST
506a2639bb2bf06b,problem-solving,3,DATA ANALYST
506a2639bb2bf06b,accuracy,3,DATA ANALYST
506a2639bb2bf06b,written and oral communication,3,DATA ANALYST
df68faa65a4af135,communication skills,3,DATA ANALYST
df68faa65a4af135,communication,3,DATA ANALYST
df68faa65a4af135,ownership,3,DATA ANALYST
df68faa65a4af135,insight,3,DATA ANALYST
df68faa65a4af135,responsible,3,DATA ANALYST
df68faa65a4af135,design,3,DATA ANALYST
df68faa65a4af135,analysis,3,DATA ANALYST
df68faa65a4af135,team player,3,DATA ANALYST
c4facbaf25c4d315,communication,3,DATA ANALYST
c4facbaf25c4d315,professional,3,DATA ANALYST
c4facbaf25c4d315,focus,3,DATA ANALYST
c4facbaf25c4d315,design,3,DATA ANALYST
c4facbaf25c4d315,analysis,3,DATA ANALYST
c4facbaf25c4d315,interpersonal skills,3,DATA ANALYST
ce1a74a064ee1406,analytical skills,3,DATA ANALYST
ce1a74a064ee1406,collaboration,3,DATA ANALYST
ce1a74a064ee1406,decision making,3,DATA ANALYST
ce1a74a064ee1406,analysis,3,DATA ANALYST
ce1a74a064ee1406,initiative,3,DATA ANALYST
f5965dca49a9757e,communication,3,DATA ANALYST
f5965dca49a9757e,organization,3,DATA ANALYST
f5965dca49a9757e,analysis,3,DATA ANALYST
f5965dca49a9757e,attention to detail,3,DATA ANALYST
f5965dca49a9757e,professional,3,DATA ANALYST
83e46ef6c6f546b4,communication skills,3,DATA ANALYST
83e46ef6c6f546b4,communication,3,DATA ANALYST
83e46ef6c6f546b4,collaborative,3,DATA ANALYST
83e46ef6c6f546b4,written communication,3,DATA ANALYST
83e46ef6c6f546b4,flexibility,3,DATA ANALYST
