key,Tools,Month,Job Role
a2eb9638680ab4c5,c++,3,DATA ANALYST
a2eb9638680ab4c5,tableau,3,DATA ANALYST
a2eb9638680ab4c5,snowflake,3,DATA ANALYST
a2eb9638680ab4c5,cloud,3,DATA ANALYST
a2eb9638680ab4c5,python,3,DATA ANALYST
a2eb9638680ab4c5,nosql,3,DATA ANALYST
a2eb9638680ab4c5,hadoop,3,DATA ANALYST
a2eb9638680ab4c5,databricks,3,DATA ANALYST
a2eb9638680ab4c5,informatica,3,DATA ANALYST
a2eb9638680ab4c5,sql,3,DATA ANALYST
a2eb9638680ab4c5,azure,3,DATA ANALYST
a2eb9638680ab4c5,java,3,DATA ANALYST
a2eb9638680ab4c5,oracle,3,DATA ANALYST
a2eb9638680ab4c5,mongodb,3,DATA ANALYST
a2eb9638680ab4c5,kafka,3,DATA ANALYST
506a2639bb2bf06b,excel,3,DATA ANALYST
506a2639bb2bf06b,tableau,3,DATA ANALYST
506a2639bb2bf06b,sql,3,DATA ANALYST
df68faa65a4af135,tableau,3,DATA ANALYST
df68faa65a4af135,postgresql,3,DATA ANALYST
df68faa65a4af135,redshift,3,DATA ANALYST
df68faa65a4af135,sql,3,DATA ANALYST
df68faa65a4af135,python,3,DATA ANALYST
c4facbaf25c4d315,power bi,3,DATA ANALYST
c4facbaf25c4d315,tableau,3,DATA ANALYST
c4facbaf25c4d315,sql server,3,DATA ANALYST
c4facbaf25c4d315,sql,3,DATA ANALYST
c4facbaf25c4d315,excel,3,DATA ANALYST
c4facbaf25c4d315,python,3,DATA ANALYST
c4facbaf25c4d315,oracle,3,DATA ANALYST
ce1a74a064ee1406,excel,3,DATA ANALYST
ce1a74a064ee1406,sap,3,DATA ANALYST
f5965dca49a9757e,python,3,DATA ANALYST
f5965dca49a9757e,power bi,3,DATA ANALYST
f5965dca49a9757e,sql,3,DATA ANALYST
83e46ef6c6f546b4,excel,3,DATA ANALYST
468d9ea47546a87c,tableau,3,DATA ANALYST
468d9ea47546a87c,sql,3,DATA ANALYST
4b321c3e947d1d19,vba,3,DATA ANALYST
4b321c3e947d1d19,sql,3,DATA ANALYST
4b321c3e947d1d19,ms access,3,DATA ANALYST
4b321c3e947d1d19,excel,3,DATA ANALYST
4b321c3e947d1d19,oracle,3,DATA ANALYST
a193a5a2c8f4f85b,power bi,3,DATA ANALYST
a193a5a2c8f4f85b,informatica,3,DATA ANALYST
a193a5a2c8f4f85b,sql,3,DATA ANALYST
a193a5a2c8f4f85b,sap,3,DATA ANALYST
a193a5a2c8f4f85b,python,3,DATA ANALYST
a193a5a2c8f4f85b,oracle,3,DATA ANALYST
b5cceea4d6b1f82c,sql,3,DATA ANALYST
73001591d8b5cba1,hadoop,3,DATA ANALYST
73001591d8b5cba1,talend,3,DATA ANALYST
4801390b320d585e,excel,3,DATA ANALYST
bdb57a8c70b6248e,power bi,3,DATA ANALYST
17ecc7d0bf39feed,powerpoint,3,DATA ANALYST
17ecc7d0bf39feed,r,3,DATA ANALYST
17ecc7d0bf39feed,power bi,3,DATA ANALYST
17ecc7d0bf39feed,tableau,3,DATA ANALYST
17ecc7d0bf39feed,sql,3,DATA ANALYST
17ecc7d0bf39feed,excel,3,DATA ANALYST
17ecc7d0bf39feed,python,3,DATA ANALYST
c68b1e9fd73e9dd7,sas,3,DATA ANALYST
c68b1e9fd73e9dd7,python,3,DATA ANALYST
c68b1e9fd73e9dd7,tableau,3,DATA ANALYST
39e51120b0a56304,excel,3,DATA ANALYST
20fc62ac4943f651,jira,3,DATA ANALYST
20fc62ac4943f651,sql,3,DATA ANALYST
6056a430f4711776,r,3,DATA ANALYST
6056a430f4711776,python,3,DATA ANALYST
6056a430f4711776,spark,3,DATA ANALYST
6056a430f4711776,c++,3,DATA ANALYST
e7b6dd273eec2647,outlook,3,DATA ANALYST
aa610c1f5f032eee,excel,3,DATA ANALYST
d75a629f02e1f6eb,power bi,3,DATA ANALYST
d75a629f02e1f6eb,tableau,3,DATA ANALYST
d75a629f02e1f6eb,sql server,3,DATA ANALYST
d75a629f02e1f6eb,sql,3,DATA ANALYST
d75a629f02e1f6eb,oracle,3,DATA ANALYST
