name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
Squadio,d0433170d0572d79,Junior Business Developer - KSA,Riyadh,Full-time,1 day ago,1,,[],[],[],https://apply.workable.com/j/461CC20805,https://indeed.com/cmp/Squadio,[],"['attention to detail', 'communication', 'communication skills', 'decision-making', 'initiative', 'motivated', 'negotiation', 'organization', 'problem-solving', 'professional', 'research', 'time management']",['problem-solving skills'],"gender: female/male level: junior-level experienced professional employment type: full-time visa sponsorship: no squadio is a global remote-first it service provider headquartered in riyadh ksa with delivery centers in egypt and ksa. our distributed teams are located in tunisia, egypt, ksa, palestine, nigeria &amp; india. we were founded in 2011 in riyadh, ksa, as an app development company (previously ibtikar technologies) successfully pivoted our model to support the growing need of startups and companies seeking to hire and manage their own engineering team remotely with engineers vetted by squadio’s talent community. we are looking for a junior business developer. your role will be to seek new business opportunities by establishing and developing relationships with potential customers. you will use your communication skills to cultivate strong relationships with customers, from first contact until you close the deal. duties/responsibilities: qualify leads as sales opportunities assisting the team in developing a new client base through identifying potential clients in the target market and research the market trends to identify the customer demand for the proposed products and services stay up-to-date with new products/services coordinate with management to research, identify, analyze and execute new business initiatives identify client needs and suggest appropriate products/services to increase customer satisfaction participate in executive events and meetings to represent the company develop strong relationships with prospective clients for new opportunities while maintaining long-term trusting relationships with existing clients negotiate contract terms with clients and communicate terms to stakeholders become a subject matter expert on our business services, processes and operations, and remain up-to-date on industry news collect customer requirements and business data to develop a business plan that meets these requirements work with the internal departments and external partners to execute business plans and strategies report sales results to management on a regular basis coordinate with management to review and improvise the relevant business development activities requirements job requirements works well autonomously and as part of a team excellent organizational skills and attention to detail and takes pride in their work excellent time management skills with a proven ability to meet deadlines research skills and analytical thinking. innovation and problem-solving skills that include the ability to develop and propose solutions for clients strong negotiation and decision-making skills excellent listening and presentation abilities ability to prioritize tasks ability to manage multiple projects and responsibilities simultaneously ability to function well in a high-paced and at times stressful environment a strong communicator with excellent writing skills self-motivated, proactive, enthusiastic and eager to learn determined and flexible with an upbeat positive approach education and experience: bsc degree in marketing, business administration or relevant field proven 1-2 year work experience as a business development representative, sales account executive or similar role."
Duncan & Ross,00d743de4f0a4820,AI/ML ENGINEER,Tabuk,Full-time,1 day ago,1,3.3,[],[],['master'],https://www.careers-page.com/duncan-ross-management-consultancies/job/QY7W9VV5?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Duncan-&-Ross,[],"['analysis', 'collaboration', 'communication', 'focus', 'insight', 'problem-solving', 'research']","['data analysis', 'data visualization', 'deep learning', 'extract', 'machine learning', 'mathematics', 'model deployment', 'natural language processing', 'problem-solving skills', 'statistical analysis', 'statistics']","responsibilities: utilize strong statistical analysis skills to analyze large datasets and derive actionable insights. develop and implement machine learning algorithms and models to solve business problems and optimize processes. specialize in implementing retrieval augmented generation (rag) applications to enhance information retrieval and generation capabilities. collaborate with cross-functional teams to understand business requirements and translate them into ai/ml solutions. utilize python for data analysis, model development, and deployment in production environments. apply advanced nlp techniques to extract insights from unstructured text data and develop text-based ai applications. utilize deep learning techniques to build and deploy state-of-the-art neural network models for various tasks. develop data visualization dashboards and reports to communicate findings and insights to stakeholders. stay up-to-date with the latest research and advancements in ai/ml technologies and techniques. work with tools such as palantir foundry, aip, dataiku, or databricks uap to facilitate data management, analysis, and model deployment. qualifications: bachelor's or master's degree in computer science, statistics, mathematics, or a related field. proven experience in data analysis, machine learning, and ai, with a focus on implementing advanced models and applications. strong proficiency in python for data analysis, model development, and deployment. experience with retrieval augmented generation (rag) applications and natural language processing (nlp) techniques. familiarity with data visualization tools such as tableau, power bi, or matplotlib. knowledge of predictive modeling techniques and methodologies. experience with deep learning frameworks such as tensorflow or pytorch. familiarity with tools such as palantir foundry, aip, dataiku, or databricks uap is preferred. excellent problem-solving skills and a strong analytical mindset. strong communication and collaboration skills, with the ability to work effectively in a team environment. vertical technology"
Duncan & Ross,58838c689ea2a4dc,BIM ARCHITECT,Tabuk,Full-time,1 day ago,1,3.3,[],[],[],https://www.careers-page.com/duncan-ross-management-consultancies/job/L3743958?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Duncan-&-Ross,[],"['accuracy', 'collaboration', 'communication', 'coordination', 'decision-making', 'design', 'discipline', 'innovation', 'integrity', 'organization', 'problem-solving', 'project management']","['ml', 'problem-solving skills', 'project management', 'scripting']","as a bim (building information modeling) engineer specializing in multi-disciplinary projects, you will play a pivotal role in the successful execution of high-speed rail projects. your responsibilities will encompass a wide range of tasks aimed at integrating bim methodologies across various disciplines to optimize project workflows and outcomes. key responsibilities: bim coordination: collaborate with project stakeholders including architects, engineers, designers, and contractors to ensure seamless integration of bim processes throughout the project lifecycle. multi-disciplinary integration: lead the coordination efforts between different disciplines such as civil, structural, mechanical, electrical, and architectural to synchronize bim models and data, resolving clashes and conflicts. model development: develop and maintain detailed bim models for various project components including tracks, stations, tunnels, bridges, and associated infrastructure using industry-standard software such as autodesk revit, bentley microstation, or equivalent. standards compliance: ensure compliance with project-specific bim standards, protocols, and guidelines, as well as industry standards such as iso 19650, to maintain consistency and quality across all project deliverables. quality assurance: conduct regular reviews and audits of bim models to identify errors, discrepancies, and areas for improvement, and implement corrective actions as necessary to uphold the integrity and accuracy of project data. interdisciplinary collaboration: facilitate interdisciplinary workshops and meetings to foster communication and collaboration among project teams, promoting a culture of innovation and knowledge sharing. data management: manage bim data and documentation including drawings, schedules, and specifications, ensuring version control, file organization, and proper documentation of changes for effective project management and decision-making. training and support: provide training and technical support to project team members on bim software tools, workflows, and best practices, empowering them to leverage bim technologies effectively in their respective disciplines. performance optimization: identify opportunities to streamline workflows, improve efficiency, and enhance project outcomes through the implementation of advanced bim techniques such as parametric modeling, scripting, and automation. client liaison: serve as a point of contact for clients regarding bim-related matters, addressing their requirements, concerns, and feedback, and ensuring alignment with project objectives and expectations. key qualifications: bachelors degree in engineering, architecture, or related field. proven experience in bim coordination and implementation on large-scale infrastructure projects, preferably in the rail transportation sector. proficiency in bim software platforms such as autodesk revit, bentley microstation, or equivalent. strong understanding of bim standards, protocols, and workflows, with the ability to interpret and apply industry-specific requirements. excellent communication, collaboration, and problem-solving skills, with the ability to work effectively in a multidisciplinary team environment. familiarity with relevant regulations, codes, and standards governing high-speed rail projects is desirable. certification in bim-related technologies or processes is a plus. vertical: digital engineering"
Duncan & Ross,04acbfbc28cdc1e8,PALANTIR FOUNDRY AND AIP ENGINEER,Tabuk,Full-time,1 day ago,1,3.3,[],[],[],https://www.careers-page.com/duncan-ross-management-consultancies/job/L77R6R65?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Duncan-&-Ross,['scala'],"['communication', 'design', 'insight', 'interpersonal skills', 'problem-solving']","['data integration', 'problem-solving skills']","responsibilities: deploy and manage palantir foundry and aip applications, ensuring optimal performance and scalability. develop custom applications and solutions using javascript, typescript, workshop, slate, and other relevant technologies. integrate and customize palantir solutions to align with client requirements and business processes. collaborate with cross-functional teams to design and implement data integration strategies within the foundry and aip environments. ensure compliance with data privacy and security protocols, implementing best practices to safeguard sensitive information. provide technical expertise and support to clients and internal stakeholders, troubleshooting issues and optimizing system performance. stay updated with the latest features and capabilities of palantir platforms, incorporating new insights into solution design and implementation. requirements: bachelor's degree in computer science, engineering, or related field. strong working knowledge of javascript and typescript, with experience in building and customizing applications. expertise in deploying and managing palantir foundry and aip applications, including configuration and customization. experience with workshop, slate, and other palantir development tools. familiarity with data integration, privacy, and security protocols within palantir foundry and aip environments. excellent problem-solving skills and ability to troubleshoot complex technical issues. strong communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams and clients. vertical: technology"
Duncan & Ross,d9d21399b97567f4,DEV-OPS/SRE - ARABIC SPEAKER,Riyadh,Full-time,1 day ago,1,3.3,['4'],[],[],https://www.careers-page.com/duncan-ross-management-consultancies/job/L47Y38V5?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Duncan-&-Ross,['scala'],"['analysis', 'collaboration', 'problem-solving', 'responsible']","['containerization', 'monitoring', 'problem-solving skills']","description as a devops engineer, you will play a crucial role in bridging software development, quality assurance, and it operations. you will be responsible for developing, maintaining, and optimizing our ci/cd pipelines, ensuring the scalability and security of our infrastructure, and deploying docker and kubernetes solutions. your role involves leveraging your expertise in devops best practices along with a solid understanding of web development, cyber security, and digital systems to enhance the performance and reliability of our digital platforms. key responsibilities: design, implement, and maintain continuous integration and continuous deployment pipelines to automate the software delivery process. implement and manage containerization with tools like docker and orchestrate containers using kubernetes to ensure scalable and efficient deployment. collaborate with development teams to automate repetitive tasks to improve efficiency and reduce the risk of human error. implement monitoring solutions for tracking application and infrastructure performance. use tools like prometheus, grafana, or new relic to monitor, analyze and report system performance data. work closely with development, operations, and other teams to ensure high-quality software development and deployment. diagnose and resolve technical issues in development, test, and production environments. monitor and improve system performance, stability, and security. conduct log analysis, error analysis, and resolution to enhance system functionality and reliability. stay up-to-date with emerging trends and technologies in devops, software development, and it operations. document devops processes, systems, and configurations for effective knowledge sharing and collaboration. required qualification: bachelor's degree in computer science, software engineering, or a related field. at least 4 years of experience in devops, system administration, or related roles. proficiency in managing docker containers and orchestrating them with kubernetes. experience in building and maintaining ci/cd pipelines using tools like jenkins, gitlab ci, circleci, or similar. wide knowledge in digital systems infrastructure, performance monitoring, and troubleshooting. excellent problem-solving skills and ability to work effectively in a team environment. vertical: technology"
Duncan & Ross,5019c83f6db15de3,TESTING MANAGER,Tabuk,Full-time,1 day ago,1,3.3,['5'],[],[],https://www.careers-page.com/duncan-ross-management-consultancies/job/L6875W35?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Duncan-&-Ross,['informatica'],['design'],['metrics'],"responsibilities: develop and implement comprehensive testing strategies and methodologies to ensure the quality and reliability of software products. lead and mentor a team of testers, providing guidance, support, and training as needed. define testing standards, processes, and best practices to be followed by the testing team. collaborate with project managers, developers, and other stakeholders to define testing requirements, scope, and timelines. plan and allocate resources effectively to meet project deadlines and objectives. oversee the creation and execution of test plans, test cases, and test scripts. coordinate with automation engineers to identify opportunities for test automation and implement automated testing solutions. monitor and analyze test results, identify defects and areas for improvement, and work with development teams to resolve issues. track and report on testing progress, including metrics such as test coverage, defect density, and defect trends. stay up-to-date with industry trends and advancements in testing tools, techniques, and methodologies. qualification: minimum 5 years of experience in designing test framework proficiency in software testing methodologies. experience in testing ai and data based applications, strong awareness of benchmarks and oss tooling available to create test workbench and frameworks. experience with automated testing tools. strong knowledge of quality assurance processes. experience in data-intensive applications testing is preferred. knowledge of palantir foundry and aip and related testing infrastructure is a plus. experience with databricks, informatica and data-driven testing design is a plus. vertical technology"
Duncan & Ross,ee2a96b509176b5d,Mechanical BIM Coordinator,Riyadh,Full-time,1 day ago,1,3.3,['5-7'],[],[],https://www.careers-page.com/duncan-ross-management-consultancies/job/LRVR7YR6?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Duncan-&-Ross,[],"['accuracy', 'analysis', 'collaboration', 'collaborative', 'communication', 'coordination', 'design', 'discipline', 'focus', 'organization', 'planning', 'problem-solving', 'professional', 'project management', 'responsible']","['data analysis', 'problem-solving skills', 'project management']","job overview: we are seeking a highly skilled mechanical bim coordinator with exceptional civil 3d, revit, navisworks and autocad capabilities, bim process knowledge, and bim 360 experience. the successful candidate will be responsible for managing and coordinating mechanical bim projects, ensuring project delivery on time, within budget, and to the highest quality standards. key responsibilities: manage and coordinate mechanical bim projects from inception to completion, ensuring compliance with project requirements, and bim standards. produce high-quality 3d models using civil 3d, revit, navisworks and autocad software, ensuring accuracy and completeness. collaborate with other disciplines to coordinate mep services and resolve any design clashes or issues. develop and maintain project schedules, ensuring project milestones are met, and resources are utilized effectively. provide technical expertise and support to project teams, including engineers, architects, and construction personnel. implement bim process workflows and standards, including bim 360, to improve project efficiency and collaboration. attend project meetings and provide progress updates, highlighting any issues or risks that may impact project delivery. develop and maintain relationships with key stakeholders, including clients, contractors, and consultants. qualifications and requirements: bachelor's degree in mechanical engineering or a related field. minimum of 5-7 years of experience in bim coordination, with a strong focus on mechanical engineering. proficient in civil 3d, revit, navisworks, and autocad software. extensive knowledge of bim processes, workflows, and standards, with experience in bim 360. strong knowledge of bim iso standards, including iso 19650, and ability to implement and comply with these standards in project deliverables. expertise in lod specifications and understanding of loi and loa requirements. experience producing design drawings, shop drawings, and as-built drawings from bim models using relevant software. exceptional knowledge of cobie and ability to implement cobie requirements in project deliverables. proficient in project parameters creation and schedules generation using relevant software. knowledge of 4d simulation and ability to create and implement 4d simulations in bim models. familiarity with 5d estimation and the ability to generate boqs from bim models. understanding of project workflows and the ability to optimize workflows for efficiency and accuracy. familiarity with construction sequencing and phasing and the ability to implement this knowledge in project planning. strong analytical and problem-solving skills and the ability to make informed decisions based on data analysis. ability to work on multiple projects simultaneously while ensuring project deadlines are met. experience collaborating with multi-disciplinary teams, including architects, engineers, and contractors. excellent communication, organization, and project management skills. ability to work independently and collaboratively within a team environment. strong problem-solving skills and the ability to identify and resolve design clashes and issues. willingness to learn and adapt to new software and technologies as needed. if you possess the skills and experience required for this role, we encourage you to apply. we offer a competitive salary and benefits package, as well as opportunities for professional development and career growth. vertical: digital engineering"
Worley,f99cf86b98c18afe,Senior Telecommunications Engineer,Al Khobar,Full-time,1 day ago,1,3.8,[],[],[],https://worleyparsons.taleo.net/careersection/ext/jobdetail.ftl?job=AL%2003GE&tz=GMT-05%3A00&tzname=America%2FChicago,https://indeed.com/cmp/Worley,[],"['communication', 'design', 'discipline', 'focus', 'innovation', 'interpersonal skills', 'leadership', 'problem-solving', 'professional', 'responsible']",['problem-solving skills'],"senior telecommunications engineer - al 03ge company: worley primary location: sau-ep-al khobar job: telecommunications schedule: full-time employment type: employee job level: experienced job posting: may 8, 2024 unposting date: jun 7, 2024 reporting manager title: department manager : building on our past. ready for the future worley is a global professional services company of energy, chemicals and resources experts headquartered in australia.? right now, we’re bridging two worlds as we accelerate to more sustainable energy sources, while helping our customers provide the energy, chemicals and resources that society needs now. we partner with our customers to deliver projects and create value over the life of their portfolio of assets. we solve complex problems by finding integrated data-centric solutions from the first stages of consulting and engineering to installation and commissioning, to the last stages of decommissioning and remediation. join us and help drive innovation and sustainability in our projects. job responsibilities deliver telecommunication discipline design engineering services that meets worley’s, its customers’ and applicable statutory, project’s requirements and regulatory specification requirements. perform design engineering service assignments on time and within budget. perform necessary engineering and design tasks to produce detailed design deliverables in conjunction with a team of engineers and designers perform telecommunication discipline specific design engineering deliverables and preparation work such as: cable and conduit layouts cable schematic diagram cable entrance details pedestal installation details manhole foldout details foc splicing details foc allocation table osp installation details transmission data link (link loss budget calculation) facility crossing schedule perform telecommunication engineering services such as: participate in relevant meetings and prepare progress reports. ensure the project scope is clear and that changes comply with project change management processes. provide assistance and advice during procurement, construction and commissioning activities. for example, write requisitions, conduct technical bid evaluations, and write purchase orders. perform quality review checks on design deliverables according to the project and company’s quality steps and procedures. perform site surveys and design verification according to site visit agenda when required. prepare telecommunication engineering design documentation such as: specifications, data, calculations, quantities, materials take-off lists and cost estimates and reports as required. provide technical support and assistance within the telecommunication discipline team (especially for juniors) and liaise with the other disciplines on the same project team. if required, act as the telecommunication engineering lead on specific projects. if responsible for a team: outline project requirements including actively promoting workshare, where appropriate, assign tasks and supervise progress; and ensure the required services meet worley, its customers, and applicable statutory and regulatory requirements, on time and within budget. proactively resolve any discrepancies between worley and its customer's requirements. keep up-to-date with the latest developments and technical innovations in the telecommunication design engineering. supervise the work of junior designers assigned to the projects. involves in project and workload decisions. responsible for personal safety safe working practices both field activities and design job specific experience experience in telecom design in oil &amp; gas and infrastructure sectors effective technical and practical engineering skills and ability to consistently deliver quality, accurate and timely work to the company and their clients. a sound knowledge of saudi aramco telecommunication technical codes &amp; standards as saes-t-916 , saes-t-624, saes-t-911 and saes-t-928. a sound knowledge of applicable international code/ standards such as tia, nec and bicsi standards. capable of interpreting key documents and drawings from telecommunication discipline as well as other disciplines such as process, piping, structural, electrical, mechanical, etc. ability to coordinate and interact with other engineering disciplines, clients, and vendors at all levels to develop designs. ensure all telecom interfaces with other engineering disciplines are being captured and maintained display strong communication, leadership, and interpersonal skills and with the ability to work in a fast-paced team environment with multiple deadlines demonstrate strong problem-solving skills and multitasking ability. knowledge in cad tool design software such as, 2d micro-station, autocad, arcmap gis, saudi aramco sacs …etc. is a plus competent use of relevant software such as ms office suite. education – qualifications, accreditation, training a recognized and relevant engineering degree. bicsi rcdd/ osp designer certification is a plus. moving forward together we want our people to be energized and empowered to drive sustainable impact. so, our focus is on a values-inspired culture that unlocks brilliance through belonging, connection and innovation. we’re building a diverse, inclusive and respectful workplace. creating a space where everyone feels they belong, can be themselves, and are heard. and we're not just talking about it; we're doing it. we're reskilling our people, leveraging transferable skills, and supporting the transition of our workforce to become experts in today's low carbon energy infrastructure and technology. whatever your ambition, there’s a path for you here. and there’s no barrier to your potential career success. join us to broaden your horizons, explore diverse opportunities, and be part of delivering sustainable change."
AtkinsRéalis,8c55a914caca16c3,"Project Manager - Riyadh, KSA",Riyadh,Full-time,1 day ago,1,3.9,[],[],['master'],https://careers.atkinsrealis.com/job/project-manager-riyadh-ksa-in-riyadh-jid-37499,https://indeed.com/cmp/Atkinsr%C3%A9alis,[],"['commitment', 'communication', 'decision-making', 'design', 'discipline', 'imagination', 'innovation', 'leadership', 'mentorship', 'organization', 'planning', 'problem-solving', 'professional', 'project management']","['project management', 'transform']","as a provider of multi-disciplined technical services to the built environment, atkinsréalis middle east is committed to design excellence in the delivery of first-class solutions which combine innovation, imagination, and best practice. due to the tremendous growth we are currently experiencing, we currently have an opportunity for a project manager to work in our land development division – an integrated, dynamic team of planners, designers, engineers and project managers. our large, diverse and fast-growing portfolio allows an excellent opportunity for the successful candidate to grow their career and make a meaningful contribution to some of the most exciting projects across the the middle east. about atkinsréalis created by the integration of long-standing organizations dating back to 1911, atkinsréalis is a world leading professional services and project management company dedicated to engineering a better future for our planet and its people. we create sustainable solutions that connect people, data, and technology to transform the world's infrastructure and energy systems. we deploy global capabilities locally to our clients and deliver unique end-to-end services across the whole life cycle of an asset including consulting, advisory &amp; environmental services, intelligent networks &amp; cybersecurity, design &amp; engineering, procurement, project &amp; construction management, operations &amp; maintenance, decommissioning and capital. the breadth and depth of our capabilities are delivered to clients in key strategic sectors such as engineering services, nuclear, operations &amp; maintenance and capital. news and information are available at www.atkinsrealis.com or follow us on linkedin. project manager – land development (master planning, infrastructure, landscape) job summary: we are seeking a highly qualified and experienced project manager with a strong technical background in land development (infrastructure, transport planning, landscape, sustainability) to lead and oversee large, complex projects within our organization. the ideal candidate will possess the knowledge, skills, and experience to lead multi-disciplinary land development teams and drive these projects from inception to completion. key responsibilities: project leadership: lead and manage master planning / urban design / land development projects team management: build and lead cross-functional project teams, providing guidance, mentorship, and motivation to team members to achieve project goals. client interaction: cultivate and maintain strong client relationships, understand their needs, and ensure project deliverables meet or exceed client expectations whilst aligning with project budgets project management fundamentals: cost and resource management: develop project budgets, monitor and control expenditures, and allocate resources efficiently to optimize project outcomes. risk management: identify potential project risks and develop mitigation strategies to ensure project success. scope and schedule management: develop a work breakdown structure for the project, create schedules, monitor and control project progress against schedule. ensure scope and deliverables are well-defined. ensure variance and scope creep are identified and that change is adequately documented and managed. quality management: manage and control quality on the project by implementing atkinsréalis processes and templates and instilling and maintaining a quality culture across the project teams. procurement management: apply commercial and legal acumen (with the contributions of support functions) to manage procurement activities on the project, ensuring main agreement execution, change control and supplier/subcontractor appointments. stakeholder and communication management: establish stakeholder and communication management plans. ensure communication is efficiently and accurately flowing into and out of the project, in accordance with business protocols. evaluate stakeholder power and influence and ensure relevant feedback is considered and requisite approvals sought. land development design delivery: experience project managing land development type projects within the middle east (master planning, infrastructure), leading multi-disciplinary teams design oversight: work with design managers and technical leads to oversee the design process, ensuring that urban design principles, aesthetics, and functionality are integrated effectively into project plans. sufficient technical understanding of supporting disciplines and their requirements in order to ensure a balanced and robust master plan which is suitable for progression into future project stages regulatory compliance: stay updated with relevant planning and zoning regulations, and ensure projects adhere to all legal requirements. maintain a strong understanding and ensure compliance with relevant international, regional, local planning and land development technical standards. key candidate attributes: proven experience as a project manager on land development projects within the middle east proficiency in project management tools, processes and principles knowledge and understanding of urban planning principles, land use, zoning, and architectural design. strong understanding of the full land development project life cycle and technical disciplines (visioning, master planning, detailed design, construction, handover, operations) to allow sufficient foresight to be applied at early stages to ensure designability, buildability and maintainability. experience in leading multi-disciplinary teams (master planning, transport planning, infrastructure, landscaping, architecture etc) through land development type projects. experience leading projects post-master planning stage is advantageous. technical background in a land development discipline (master planning, transport planning, infrastructure, landscaping) is preferred, in addition to a secondary technical understanding of key supporting disciplines excellent leadership and team management skills. exceptional communication and presentation abilities. familiarity with local, regional, and international design standards relevant to land development knowledge and understanding of key middle east clients and stakeholders strong problem-solving and decision-making capabilities. knowledge of sustainability and green building practices is preferable gis (geographic information system) proficiency is preferable familiarity with 3d modelling and visualization tools is preferable familiarity with publishing and graphics tools such as indesign and illustrator is preferable multilingual ability is preferable middle east experience is preferable qualifications: degree in a land development related discipline (master planning, urban design, transport planning, infrastructure, landscaping) is preferred. pmp, mapm or other similar project management accreditations preferred working conditions: this role may require travel to project sites and meetings with clients, local authorities, and stakeholders. it may also involve occasional extended working hours to meet project deadlines. rewards &amp; benefits: we offer an excellent package which includes: a competitive salary accommodation allowance transportation allowance annual leave medical and life insurance cover company gratuity scheme discretionary bonus scheme 22 working days annual leave (based on 5 days working a week) flight allowance equal opportunities statement: atkinsréalis is committed to eliminating discrimination and encouraging diversity amongst our workforces. we aim to provide quality and fairness for all job applicants and employees and not to discriminate on grounds of gender, marital status, age, race, ethnic origin, religious conviction, or disablement. we oppose all forms of unlawful treatment and discrimination. our aim is for the company to be representative of all sections of society and that each employee feels respected and able to give their best. we are committed to a policy of treating all our employees and job applications equally. we pursue this commitment by: having clear and concise procedures and guidelines for both line managers and employees to ensure policies are fully understood and implemented. complying with the relevant employment legislation and codes of practice. ensuring that all existing employees, potential employees, colleagues, and customers are treated equally and with respect. ensuring that the workplace is an environment free from discrimination, harassment, victimization and bullying regardless of an individual’s gender, marital status, age, race, ethnic origin, religious conviction, or disablement. making all decisions relating to recruitment, selection, or promotion according to the employees’ ability"
AtkinsRéalis,3d798038666224f0,Lifting Supervisor,Riyadh,Full-time,1 day ago,1,3.9,['15'],[],[],https://careers.atkinsrealis.com/job/lifting-supervisor-in-riyadh-jid-37487,https://indeed.com/cmp/Atkinsr%C3%A9alis,['scala'],"['design', 'inspiring', 'organization', 'professional', 'project management', 'research', 'responsible']","['project management', 'transform']","join us in engineering a better future for our planet and its people. atkinsréalis is a world-leading design, engineering and project management organization. we connect people, data and technology to transform the world's infrastructure and energy systems. together, with our industry partners and clients, and our global team of consultants, designers, engineers and project managers, we can change the world. we have a strong presence in the middle east that enables us to build deep and lasting relationships with our clients. we share their goals and long-term ambitions; we’re on the same journey to create places and infrastructure which will support long term sustainable development, healthy living and vibrant communities. we are seeking a lifting supervisor who will oversee the creation of multiple forms of editorial content to enhance understanding, awareness and drive strong positive engagement for the line at neom. this position will work with teams across the organization to identify and tell inspiring stories that illustrate the exceptional work being delivered on the line at neom, how it will transform the built environment sector, and the work being delivered to lead the way on issues like sustainability, health &amp; safety, and digitalization. reporting to the director of communications, the senior content manager will propose, draft and edit a wide range of material, including op-eds, success stories, research summaries, e-newsletters, and marketing materials. this position is responsible for maintaining the line’s intranet and stakeholder engagement materials. as a key member of the communications team, the role holder will have ample creative autonomy, and will be a keen collaborator to unlock ideas and new ways of doing things. responsibilities : able to give clear, unambiguous instruction to all other members of the lifting team and minimum 15 years’ experience in relevant field. have knowledge and understanding of when and how to escalate any matter relating to safe lifting practices or site safety in general. monitor lifting operations, ensuring that these are carried out in accordance with approved lifting procedures and lifting plans. ensuring that adequate inspection/examination and maintenance of the equipment and lifting accessories has been carried out. stop lifting operations whenever it is considered that danger is likely to arise if the operation was to continue. they are responsible for coordinating and supervising all lifting activities in accordance with regulations and is required to be present during all lifting operations. carry out lifting audits on contractors. fully conversant with the duties of all personnel involved in the lifting operation. able to give clear, unambiguous instruction to all other members of the lifting team. ensuring that contractors prestart inspections are carried on all lifting equipment and accessories. ensuring the contractors are wearing appropriate ppe. attend daily activity briefings of the contractors. refer to lifting managers / lifting leads for further instruction if necessary. lifting supervisors roles protect the reputation of the line management team and not be detrimental in their bearing or standards both at work and in private. refer to bs7121 for further roles and responsibilities. protect the reputation of the line management team and not be detrimental in their bearing or standards both at work and in private. why choose atkinsréalis your difference makes a difference. we care for our people and are committed to creating an inclusive working environment where you can thrive and build a future you want to be a part of. thrive with us. when you join us, your wellbeing, health and safety become our top priority. engineering the future with digital. from design and engineering to project management, digital is fundamental to our way of working. champion lasting change. we build sustainability into everything we do. about atkinsréalis created by the integration of long-standing organizations dating back to 1911, atkinsréalis is a world-leading professional services and project management company dedicated to engineering a better future for our planet and its people. we create sustainable solutions that connect people, data and technology to transform the world's infrastructure and energy systems. we deploy global capabilities locally to our clients and deliver unique end-to-end services across the whole life cycle of an asset including consulting, advisory &amp; environmental services, intelligent networks &amp; cybersecurity, design &amp; engineering, procurement, project &amp; construction management, operations &amp; maintenance, decommissioning and capital. the breadth and depth of our capabilities are delivered to clients in key strategic sectors such as engineering services, nuclear, operations &amp; maintenance and capital. news and information are available at www.atkinsrealis.com or follow us on linkedin."
