name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
Duncan & Ross,00d743de4f0a4820,AI/ML ENGINEER,Tabuk,Full-time,1 day ago,1,3.3,[],[],['master'],https://www.careers-page.com/duncan-ross-management-consultancies/job/QY7W9VV5?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Duncan-&-Ross,[],"['analysis', 'collaboration', 'communication', 'focus', 'insight', 'problem-solving', 'research']","['data analysis', 'data visualization', 'deep learning', 'extract', 'machine learning', 'mathematics', 'model deployment', 'natural language processing', 'problem-solving skills', 'statistical analysis', 'statistics']","responsibilities: utilize strong statistical analysis skills to analyze large datasets and derive actionable insights. develop and implement machine learning algorithms and models to solve business problems and optimize processes. specialize in implementing retrieval augmented generation (rag) applications to enhance information retrieval and generation capabilities. collaborate with cross-functional teams to understand business requirements and translate them into ai/ml solutions. utilize python for data analysis, model development, and deployment in production environments. apply advanced nlp techniques to extract insights from unstructured text data and develop text-based ai applications. utilize deep learning techniques to build and deploy state-of-the-art neural network models for various tasks. develop data visualization dashboards and reports to communicate findings and insights to stakeholders. stay up-to-date with the latest research and advancements in ai/ml technologies and techniques. work with tools such as palantir foundry, aip, dataiku, or databricks uap to facilitate data management, analysis, and model deployment. qualifications: bachelor's or master's degree in computer science, statistics, mathematics, or a related field. proven experience in data analysis, machine learning, and ai, with a focus on implementing advanced models and applications. strong proficiency in python for data analysis, model development, and deployment. experience with retrieval augmented generation (rag) applications and natural language processing (nlp) techniques. familiarity with data visualization tools such as tableau, power bi, or matplotlib. knowledge of predictive modeling techniques and methodologies. experience with deep learning frameworks such as tensorflow or pytorch. familiarity with tools such as palantir foundry, aip, dataiku, or databricks uap is preferred. excellent problem-solving skills and a strong analytical mindset. strong communication and collaboration skills, with the ability to work effectively in a team environment. vertical technology"
IBM,b450d717eaae3da3,Full Stack Developer,Riyadh,,3 days ago,3,3.9,['5+'],[],[],https://click.appcast.io/track/jeutsfe-org?cs=hqw,https://indeed.com/cmp/IBM,"['cloud', 'scala']","['analysis', 'confidence', 'design', 'focus', 'innovation', 'motivated', 'organization', 'ownership', 'professional', 'reliable', 'resilient', 'responsibility', 'responsible']","['cloud', 'machine learning', 'transform']","introduction the ibm sustainability software business unit is seeking talented and motivated software developers to work as a full stack developer on the envizi esg suite of products. your role and responsibilities the ibm sustainability software business unit is seeking talented and motivated software developers to work as a full stack developer on the envizi esg suite of products. in this role, you will be responsible for enhancing &amp; building new product capabilities including integration into the cloud service environment. you'll closely collaborate with the broader product management, design, development &amp; support team using scrum agile methodology. this is an exciting opportunity to contribute to ibm's envizi esg suite and help removes barriers to accelerating sustainability performance through the capture, consolidation, management, analysis and reporting on environmental, social and governance data. emaiwd24 sasw_24 required technical and professional expertise 5+ years experience : developing of data retrieval stored procedures using sql server or equivelent experience with c# and .net 4.5 or later experience in front-end development using javascript frameworks, html, typescript, css be involved and take ownership of end-to-end delivery - from solution design, estimation, development, testing and deployment uphold quality standards including reliability, efficiency, security, maintainability and usability by applying best practice processes, methodologies and tools contribute to the design and build evolution of the platform, ensuring it remains scalable, reliable, and easy to use contribute to engineering discussions across our platform collaborate with product managers, ux designers, engineers and qa to design, develop and deploy new platform features and functionality for our saas product preferred technical and professional expertise experience working with ibm maximo and tririgra or similar products in the asset &amp; building management domain about business unitibm software infuses core business operations with intelligence—from machine learning to generative ai—to help make organizations more responsive, productive, and resilient. ibm software helps clients put ai into action now to create real value with trust, speed, and confidence across digital labor, it automation, application modernization, security, and sustainability. critical to this is the ability to make use of all data, because ai is only as good as the data that fuels it. in most organizations data is spread across multiple clouds, on premises, in private datacenters, and at the edge. ibm’s ai and data platform scales and accelerates the impact of ai with trusted data, and provides leading capabilities to train, tune and deploy ai across business. ibm’s hybrid cloud platform is one of the most comprehensive and consistent approach to development, security, and operations across hybrid environments—a flexible foundation for leveraging data, wherever it resides, to extend ai deep into a business. your life @ ibmin a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as ibmers as we strive to be the catalyst that makes the world work better. being an ibmer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background. our ibmers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. they are trusted to provide on-going feedback to help other ibmers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. the courage our ibmers have to make critical decisions everyday is essential to ibm becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do. are you ready to be an ibmer? about ibmibm’s greatest invention is the ibmer. we believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and ai strategy to life for our clients and partners around the world.restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the fortune 50 companies relying on the ibm cloud to run their business. at ibm, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world. location statementfor additional information about location requirements, please discuss with the recruiter following submission of your application. being you @ ibmibm is committed to creating a diverse environment and is proud to be an equal-opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. ibm is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Talent Pal,89b765208e29577f,Process Engineer - Soap - Unilever,Jeddah,,15 days ago,15,,[],[],[],https://talentpal.qureos.com/jobs/4119331-process-engineer-soap-unilever,https://indeed.com/cmp/Talent-Pal,[],"['accountability', 'analysis', 'attention to detail', 'collaborative', 'communication', 'communication skills', 'design', 'discipline', 'focus', 'insight', 'leadership', 'responsibility', 'responsible', 'verbal communication']",['metrics'],"job title: process engineer - soap function: supply chain - make scope: local location: jeddah, ksa terms &amp; conditions: full time – based in jeddah factory about unilever with 3.4 billion people in over 190 countries using our products every day, unilever is a business that makes a real impact on the world. work on brands that are loved and improve the lives of our consumers and the communities around us. we are driven by our purpose: to make sustainable living commonplace, and it is our belief that doing business the right way drives superior performance. at the heart of what we do is our people – we believe that when our people work with purpose, we will create a better business and a better world. at unilever, your career will be a unique journey, grounded in our inclusive, collaborative, and flexible working environment. we don’t believe in the ‘one size fits all’ approach and instead we will equip you with the tools you need to shape your own future. job purpose unilever is the place where you can bring your purpose to life with the work that you do – creating a better business and a better world. if you are interested to put industrial performance to the next level, then this role is just for you! the process engineer role focuses on developing the factory and aiming for zero losses and zero waste. they will apply the unilever manufacturing system (ums) tools and methods to counter losses in safety, quality, and production. over time, they will also act as a technical trainer for line operators, providing training on subjects like machine mastery and ums tools. additionally, they will actively work in day-to-day activities to counter the issues happening on the lines along with the operators. throughout these activities, their main objective is to keep the lines ole in mind to achieve the desired target and sustaining the improvements. what will your main responsibilities be deploy appropriate safety and environmental procedures for people, processes, materials, products, and equipment to ensure a safe working environment for the whole team. research, design, and develop new equipment. configure and optimize end-to-end industrial processes, from ideation to certification. manage cost and time constraints. ensure compliance with both internal and external protocols and regulations. run risk assessments of the equipment and processes being used. collect data, write reports, and present findings to senior management. oversee and assess existing processes and workflows. optimize productivity by designing, implementing, and testing new procedures. assemble reports to document process product changes. track metrics to discover areas for improvement and monitor upgrades. communicate findings and proposals to upper management. utilize process simulation software to test and find the most appropriate production strategies. provide thorough instructions for the successful implementation of process changes. conduct risk assessments. assess compliance with applicable safety and quality standards. contribute to departmental efforts by accomplishing related tasks as needed. work towards achieving zero losses and zero waste on their respective lines. create standards across all line activities (operation standards, technical standards, and standard loss methodology). train line operators, create plans for their development, and assess their capabilities. data analysis for losses according to the mmp code. day-to-day follow-up on-line performance and loss reporting. participate in conducting trial and industrial tests of new types of packaging materials, raw materials, and finished products. participate in projects to upgrade existing equipment as well as purchase new ones. what you need to succeed experiences &amp; qualifications bachelor's degree in engineering (electrical or mechanical are preferred) discipline with a strong technical background. excellent analytical and mathematical skills. continuous improvement mindset. coaching skills. ability to use simulation tools to analyze production line stoppages is preferred. basic technical knowledge (ability to learn advanced technical concepts). data analytics skills. loss elimination experience is preferred. relevant production experience is preferred. strong written and verbal communication skills. strong attention to detail. proven ability to identify, assess, and solve problems. proficient with computers and information technology. knowledge of process engineering software systems. familiarity with applicable health and safety regulations. skills: purpose and service. personal mastery. agility. business acumen. talent catalyst. consumer love. passion for high performance. leadership you are energized by delivering fantastic results. you are an example to others – both your results and your resilience. you are constantly on the lookout for better ways to do things, engaging and collaborating with others along the way. as an individual you are the one responsible for your own wellbeing and delivering high standards of work. you must also focus on the consumer and what they need. you are humble and have your head up, looking around to interpret evidence and data smartly, spot issues and opportunities to make things better. critical sol (standards of leadership) behaviors passion for high performance: takes personal responsibility and accountability for execution and results. has an owner’s mindset, using data and insight to make decisions. personal mastery: sets high standards for themselves. actively builds own wellbeing and resilience. consumer love: whatever their role, always looks for better ways to serve consumers. invests time inside and outside to understand the needs of consumers. purpose &amp; service: has humility, understanding that leadership is service to others, inside and outside unilever. agility: explores the world around them, continually learning and developing their skills. unilever embraces diversity and encourages applicants from all walks of life! this means giving full and fair consideration to all applicants and continuing development of all employees regardless of age, disability, gender reassignment, race, religion or belief, sex, sexual orientation, marriage and civil partnership, and pregnancy and maternity. unilever is an organisation committed to equity, inclusion and diversity to drive our business results and create a better future, every day, for our diverse employees, global consumers, partners, and communities. we believe a diverse workforce allows us to match our growth ambitions and drive inclusion across the business. at unilever we are interested in every individual bringing their ‘whole self’ to work and this includes you! thus if you require any support or access requirements, we encourage you to advise us at the time of your application so that we can support you through your recruitment journey. this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,21229369f796b606,Data Engineer - Skills Acquisition,Jeddah,,15 days ago,15,,['5'],[],[],https://talentpal.qureos.com/jobs/4119149-data-engineer-skills-acquisition,https://indeed.com/cmp/Talent-Pal,['scala'],"['design', 'insight']","['extract', 'metrics', 'transform']","bachelors/masters degree or higher in computer science or a related field experience : 2 - 5 years jeddah/riyadh, saudi arabia alfalk skills database systems like sql and nosql data warehousing solutions etl tools machine learning data apis python, java, and scala programming languages understanding the basics of distributed systems knowledge of algorithms and data structur role create and maintain optimal data pipeline architecture assemble large, complex data sets that meet business requirements identify, design, and implement internal process improvements optimize data delivery and re-design infrastructure for greater scalability build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using sql and aws technologies build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics work with internal and external stakeholders to assist with data-related technical issues and support data infrastructure needs create data tools for analytics and data scientist team members this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Islamic Development Bank,54b4fe34517ff007,Data Visualization &Analytics Specialist,Jeddah,,17 days ago,17,4.2,[],[],[],http://www.isdb.jobs/careers/isdb/VacancyDetail.aspx?PageID=2004&VacancyID=168955&ChannelID=2894,https://indeed.com/cmp/Islamic-Development-Bank,[],"['agility', 'analysis', 'analytical skills', 'attention to detail', 'communication', 'communication skills', 'insight', 'leadership', 'organization', 'passion', 'planning', 'professional', 'responsible', 'team player', 'written communication']","['data analysis', 'data mining', 'data pipelines', 'data visualization', 'deep learning', 'feature engineering', 'mathematics', 'scripting', 'statistical analysis', 'transform']","job purpose the isdb internal audit department (iad) team is passionate about defining and executing iad activities that drive technology solutions fit for high-performing internal audit functions, implement data analytics (e.g., nlp, ml, rpa) and data visualization at scale; maintain an information technology systems environment consistent with the highest standards, explore emerging technology or continuous process improvements that enhance iad's operations, and advise iad leadership on the information technology and digital transformation (cost/benefit investment decisions and use cases) to achieve iad's strategy. the data visualization and analytics expert is responsible for providing analytical support to audit specialists, primarily in the execution of assurance and advisory services. he shall be experienced in analytics, data processing, modelling, cleansing, and data mapping. he will provide advanced data analytics through the use of technology scripting, development, configuration of programs, and integration of systems. also, contributes actively to the formulation of engagement strategies, approaches, and recommendations to improve efficiency, effectiveness, and internal controls. the data visualization and analytics expert will collaborate with senior audit staff and leaders to create insightful reports and dashboards that enable the successful execution of iad's digital transformation strategy. you will also help shape the future of the audit function by applying science, technology, and innovation to develop programs and activities in data mining, process mining, automation, and artificial intelligence. key accountabilities audit planning and execution contributes to the planning and execution of complex audits and advisory services through advanced data analytics. develop continuous audit programs (including scripts and algorithms) based on the automation of the projects already done on data mining and process mining. participate in the preparation of the yearly audit plan and collaborate with the audit team to plan and develop audit activities. contribute to implementing the audit plan by conducting relevant audit procedures for the required audit engagement. data management and access facilitate access to relevant data warehouses. effectively coordinate the communication of data requirements to stakeholders in and outside of iad for a cloud first-environment, with robust data pipelines, and fit-for-purpose artificial intelligence models. data visualization and reporting create data visualizations and analytical reports that promote understanding of key insights for a diverse range of audiences. process mining and ai implementation design, implement, run, and maintain process mining programs or activities using process mining software (e.g., celonis intelligent business cloud). introduce artificial intelligence adapted to internal audit in the internal audit department by starting to adopt innovative technologies such as: machine learning, deep learning and natural languages processing, and computer vision technologies. tools and software management manage and maintain iad's computer assisted audit tools software (teammate+, acl, celonis, signavio), websites (sharepoint), and dashboards (power-bi). knowledge sharing and capacity building share knowledge to contribute to increasing the auditors' use of data analytics. reporting and communication contribute to the preparation of a concise and informative audit report to effectively communicate the findings and recommendations to the relevant functions and senior management. relationship management develop and maintain effective and professional working relationships with all levels of staff within the organization, including senior management and audit committee of the board. special assignments and investigations assist in any special audit assignments or investigations mandated by the management. academic and professional qualifications bachelor's degree in information technology, data science, big data engineer/architect applied mathematics, economics, statistics, finance, or related field of study with a strong quantitative and computational background, preferably with advanced training. (mandatory) professional certification related to data science, artificial intelligence, machine learning, and business intelligence development (preferred) prior audit experience is preferred. minimum five years of experience, with at least two (2) years of relevant experience in data management and analysis. (mandatory) experience with database systems and data-warehousing, paired with demonstrated knowledge of leading data science practices, e.g., data acquisition, exploration, pipeline management, cleaning and feature engineering, modeling, and communicating results. (preferred) experience using algorithms (nlp and ml are key, deep learning is a bonus), and data analysis and visualization tools such as python and power bi, azure cognitive services, and power automate platform. (preferred) experience in finance, information technology, or related fields in financial institutions or large organizations. (preferred) familiarity with development banking operations and risk management, or similarly complex mission-driven global organizations would be an asset. (good to have) experience with microservices, devops, mlops, ux, design thinking, and digital transformation. (good to have) certification in azure data science, data engineering, or similar industry-recognized credentials. (good to have) analytical skills, ability to think strategically; rapidly analyze, interpret, and integrate data or innovative technology into actionable outcomes that communicate clear conclusions and recommendations. ability to simultaneously engage on multiple projects, anticipate and adjust to roadblocks, and deliver high-quality work with limited supervision. english proficiency, excellent oral and written communication skills, and the capacity to present data visualizations that translate complex information into actionable intelligence. maintaining a continuous improvement mindset, embracing agility, and being open to change. initiative-taker, as well as a team player with a proven ability to collaborate effectively with colleagues from a range of technical and non-technical roles to collaborate across organizational boundaries. skills &amp; knowledge it skills proficiency with data mining, mathematics, and statistical analysis, proficiency in applications for analytics, dashboards, reports, data warehousing, power apps, ai &amp; bi. experienced in analytics, bulk data processing, modeling, cleansing, and data mapping. experienced in power bi, msbi - ssis/ssas/ssrs, tableau, asp.net, azure, celonis. good knowledge related to databases (e.g. sql, oracle, sybase, teradata, etc.) experience in sap datawarehouse (bi/bw). knowledge of related programming languages (e.g., python, r, sql, and sas, etc.). experience with various models for machine learning and deep learning. experience in the use of computer assisted audit tools like acl/galvanize/diligent, teammate, etc. (preferred). proficiency in the use of standard software: microsoft windows and office, adobe, etc. other competencies strong organizational and analytical skills, attention to details, and ability to work independently and manage challenges. ability to collaborate with teams as a constructive team member. ability to share knowledge and develop strong working. relationships with colleagues and contribute to the creation of a positive team environment. sound judgment, fairness, and discretion. ability to develop rapport internally and externally in a multicultural environment. good oral and written communication skills."
IBM,fa81281b7ca33ff7,Senior QA Engineer,Riyadh,,20 days ago,20,3.9,[],[],[],https://click.appcast.io/track/j8ix081-org?cs=hqw,https://indeed.com/cmp/IBM,['cloud'],"['collaborative', 'communication', 'communication skills', 'confidence', 'continuous learning', 'design', 'focus', 'innovation', 'leadership', 'organization', 'passion', 'professional', 'resilient', 'responsibility', 'responsible']","['cloud', 'machine learning', 'transform']","introduction at ibm, work is more than a job - it's a calling: to build. to design. to code. to consult. to think along with clients and sell. to make markets. to invent. to collaborate. not just to do something better, but to attempt things you've never thought possible. are you ready to lead in this new era of technology and solve some of the world's most challenging problems? if so, lets talk. your role and responsibilities software development is critical to the success of ibm and our clients worldwide. at ibm, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of. this opportunity is for a new product suite, watsonx, that ibm brought to the market in 2024. we are looking for seasoned professionals who are passionate about data, ai and ml.. what's in it for you: you will work in an innovation driven, collaborative environment to understand requirements, architect, design and implement functionalities / features you will work with customers, understand their requirements and translate then to product features you will work in a agile development environment and be part of large scale scrums you will actively contribute to all phases of software development including development and testing you will experience a culture of continuous learning to aid progression you will develop proof of concepts to establish technical feasibility you will mentor junior members you will get an opportunity to work with various open source products and actively contribute back to their community you will get equal opportunity to work on cloud and software product deployments you will be the pioneers and be part core team to set up and establish this mission sasw_24 required technical and professional expertise strong experience in any automation tools like selenium, cypress. strong experience in qa automation area familiarity and experience with java demonstrate strong experience in all testing phases, working as a qa in agile programs and as part of agile scrums experience working with linux or unix based os working knowledge in container technologies: kubernetes, docker experience working with automation and integration processes and tools like jenkins. experienced with tools such as github experience working in an agile/scrum-based environment excellent communication skills (verbal and writing) excellent communicator team leading and leadership experience preferred technical and professional expertise experience with ai &amp; ml technologies experience with data engineering, data governance, data management aws or ibm cloud expertise awareness or past experience in big data technologies, spark, streaming data track record of open source contributions about business unitibm software infuses core business operations with intelligence—from machine learning to generative ai—to help make organizations more responsive, productive, and resilient. ibm software helps clients put ai into action now to create real value with trust, speed, and confidence across digital labor, it automation, application modernization, security, and sustainability. critical to this is the ability to make use of all data, because ai is only as good as the data that fuels it. in most organizations data is spread across multiple clouds, on premises, in private datacenters, and at the edge. ibm’s ai and data platform scales and accelerates the impact of ai with trusted data, and provides leading capabilities to train, tune and deploy ai across business. ibm’s hybrid cloud platform is one of the most comprehensive and consistent approach to development, security, and operations across hybrid environments—a flexible foundation for leveraging data, wherever it resides, to extend ai deep into a business. your life @ ibmin a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as ibmers as we strive to be the catalyst that makes the world work better. being an ibmer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background. our ibmers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. they are trusted to provide on-going feedback to help other ibmers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. the courage our ibmers have to make critical decisions everyday is essential to ibm becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do. are you ready to be an ibmer? about ibmibm’s greatest invention is the ibmer. we believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and ai strategy to life for our clients and partners around the world.restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the fortune 50 companies relying on the ibm cloud to run their business. at ibm, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world. location statementfor additional information about location requirements, please discuss with the recruiter following submission of your application. being you @ ibmibm is committed to creating a diverse environment and is proud to be an equal-opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. ibm is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
HR Consulting,62b3d07bdb8329bc,AI Tech lead,Riyadh,Full-time,23 days ago,23,,['2'],[],[],http://sa.indeed.com/job/ai-tech-lead-62b3d07bdb8329bc,https://indeed.com/cmp/HR-Consultring,[],"['insight', 'organization']","['feature engineering', 'ml']","an ambitious it company from central asia is expanding business in mena region and looking for talented ai tech lead with entrepreneur mindset in riyadh, ksa. key responsibilities: ● design, develop, and deploy ai solutions to address business needs and system capabilities.● lead the creation of chat and voice bots for interaction ensuring seamless user experience.● develop custom large language models tailored to the organization's data andoperational requirements.● implement ai tools and applications that automate processes, analyze data, andprovide predictive insights.● collaborate with cross-functional teams to understand system requirements andintegrate ai technologies accordingly.● stay abreast of emerging ai trends and technologies relevant to erp systems andassess their applicability to business needs.● ensure ai implementations comply with data privacy and security regulations.● mentor and lead a team of ai developers and engineers, providing guidance andsupport in their projects. requirements: ● advanced knowledge of machine learning and deep learning● expertise in natural language processing (nlp)● expertise in ai development tools● proven track record in the entire lifecycle of ai model development, from dataset preparation and model training to evaluation, deployment, and maintenance. .● data engineering and feature engineering● ability to perform feature engineering and selection to improve model performance. join us, if you want to be a part of a growing team! job type: full-time experience: chatbot development: 2 years (required)"
PepsiCo,65504dc63c7eedda,Intern - Production,Dammam,Internship,23 days ago,23,3.7,[],[],[],https://pepsicojobs.com/jobs/290738/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,https://indeed.com/cmp/PepsiCo,[],"['communication', 'communication skills', 'motivated', 'passion', 'professional']",['monitoring'],"overview: we are excited to launch this opportunity for you to gain valuable hands-on experience in the fmcg industry. futurepep is a unique program with pepsico middle east one of the largest fmcg in the region. throughout this program, you will have the chance to work alongside experienced professionals, develop new skills, and contribute to meaningful projects. we are committed to providing you with a supportive and enriching learning environment to help you grow and succeed in your career. we look forward to seeing all that you will accomplish during your time with us. responsibilities: understanding of process lines (potato chips line, doritos/dinamita line, cheetos, and forno line) comprehension of packaging machines (tna, ishida) participate and get involved in waste reduction and machines’ efficiency. process and packaging kpis overview sustainability, water agenda monitoring qualifications: bachelor, industrial engineer/ food process engineering/ food science/ food technology/ biology. strong communication skills time management skills teamwork and ability to collaborate with others we are excited to offer this internship opportunity to talented individuals who are eager to learn and grow in the fmcg industry. if you are passionate about learning, possess the necessary skills and qualifications, and are ready to take the next step in your career, we encourage you to apply. join us in our mission and make a meaningful impact in our community. we look forward to welcoming a motivated and dedicated intern to our team. apply now and embark on a rewarding journey with us!"
PepsiCo,bc9fb4400dc96325,Intern - Maintenance,Dammam,Internship,23 days ago,23,3.7,[],[],[],https://pepsicojobs.com/jobs/297047/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,https://indeed.com/cmp/PepsiCo,[],"['communication', 'communication skills', 'motivated', 'passion', 'professional']",[],"overview: we are excited to launch this opportunity for you to gain valuable hands-on experience in the fmcg industry. futurepep is a unique program with pepsico middle east one of the largest fmcg in the region. throughout this program, you will have the chance to work alongside experienced professionals, develop new skills, and contribute to meaningful projects. we are committed to providing you with a supportive and enriching learning environment to help you grow and succeed in your career. we look forward to seeing all that you will accomplish during your time with us. responsibilities: understanding of the implementation of pm and cm understanding of maintenance process (notification, work order, spars issuance, closing work order) understanding of the applications of different machine type additional for engineers: kpi planning technical store operation utility operation qualifications: bachelor, electrical engineering, mechanical, electrical. strong communication skills time management skills teamwork and ability to collaborate with others we are excited to offer this internship opportunity to talented individuals who are eager to learn and grow in the fmcg industry. if you are passionate about learning, possess the necessary skills and qualifications, and are ready to take the next step in your career, we encourage you to apply. join us in our mission and make a meaningful impact in our community. we look forward to welcoming a motivated and dedicated intern to our team. apply now and embark on a rewarding journey with us!"
Lucidya,addd4c31b02b0dc7,System Administrator - Jeddah,Jeddah,Full-time,30+ days ago,30,,['3+'],[],[],https://apply.workable.com/j/454B4C5585,https://indeed.com/cmp/Lucidya,['cloud'],"['design', 'innovation', 'organization', 'planning', 'problem-solving', 'responsible']","['cloud', 'monitoring', 'problem-solving skills', 'scripting']","you will join a team of highly qualified engineers to continue the innovation and development of our product which uses machine learning &amp; big data technologies to analyze content from several data sources. as a system admin, you will help us manage our cloud resources to ensure the continuity of our service. you will be responsible for configuring and securing our virtual machines, virtual networks and virtual drives and provide support to the development team by providing proper access to our resources. you will also be required to analyze application logs, operating system logs and system performance data to provide preemptive corrective plans. you will also be asked to prepare usage reports and support the cto in resource planning and cost management. we expect you to learn fast how our system is designed, efficiently troubleshoot any issues and quickly adapt to our fast changing technologies. lucidya offers a result-driven, fun, and dynamic environment full of challenges. apply only if scale and complexity excite you. key tasks &amp; responsibilities proactively maintain, develop company virtual resources including: virtual machines, databases, virtual disks, virtual networks and other cloud services. maintain best practices on managing systems and company services across all product environments coordinate with different teams to ensure smooth product deployment frequently monitoring system performance and capacity planning perform scheduled and urgent system backups, maintenance and upgrades any time of the day recover company product and resources in case of any unexpected downtime work in shifts as needed be available for on-call support as needed requirements bachelor's degree in computer science, software engineering, it or related field 3+ years of experience in administering cloud resources (aws, azure, etc.) good knowledge in shell scripting and ability to edit various server configurations strong background in linux concepts experience in building, installing, and configuring web servers such as nginx and apache experience in building, installing, and configuring open source systems such as elasticsearch, redis, rabbitmq, activemq, mysql, postgresql excellent organizational skills and proven analytical, planning, and problem-solving skills fluent in arabic and english"
