name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
Parsons,944628687b741984,Senior Data Analyst - Engineering,Yanbu' al Bahr,Full-time,Just posted,0,3.9,['8'],[],['bachelor'],https://parsons.wd5.myworkdayjobs.com/en-US/Search/job/SA---Yanbu/Senior-Data-Analyst---Engineering_R155076,https://indeed.com/cmp/Parsons,"['sql', 'powerpoint', 'oracle', 'python']","['communication', 'analysis', 'professional', 'communication skills', 'design']","['statistics', 'data analysis', 'data mining', 'mathematics', 'scripting', 'statistical analysis', 'data visualization']","job description: parsons is looking for an amazingly talented senior data analyst (engineering) to join our team! in this role you will get to design, develop, and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality of the engineering dept(ed) processes and procedure. he will carry out professional data analysis and set up automated reports that reflect and interpret the design management operations with ed. what you'll be doing: design, develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality of the engineering dept (ed) processes and procedure. interpret design management data, analyze results using statistical techniques and provide ongoing reports and dashboards. acquire data from primary or secondary data sources and maintain databases/data systems. identify, analyze, and interpret trends or patterns in complex data sets. locate and define new process improvement opportunities. working closely with respective sme's to gather, maintain and analyze data and set up automated reports. collect and analyze quantitative and qualitative data. apply testing and statistical analysis to engineering department and engineering projects data. assist respective sme's to make predictions and recommendations based on collected and analyzed information. the respective sme's will provide details and raw data, the candidate will need to perform the analytical processes and the automated reports. assist respective sme's to compose technical memoranda, reports and presentations. prepare powerpoint presentations including creating charts and tables etc. what required skills you'll bring: a bachelor's degree or equivalent in computer science, statistics, mathematics, or related technical or scientific field; or a related subject. minimum of 8 years' of experience in a similar position. familiarity with data mining, ability to develop and manipulate, and maintain databases e.g sql, oracle etc. demonstrated experience using software packages used for advanced statistical analysis of operational data and tools for data visualization. ability to develop mathematical algorithms and applications in response to analytical/reporting requirements. ability to identify systems enhancements and new capabilities, concept demonstrators, capability business cases. experience using python for data analysis, automation, or scripting ability to provide training as new systems and capabilities move into operational use. good verbal, written, and interpersonal communication skills. ability to work effectively, as well as independently, in a team environment. energetic self-starter who is flexible, organized, conscientious and proactive. what desired skills you'll bring: ability to provide training as new systems and capabilities move into operational use. good verbal, written, and interpersonal communication skills. ability to work effectively, as well as independently, in a team environment. energetic self-starter who is flexible, organized, conscientious and proactive. minimum clearance required to start: not applicable/none parsons is an equal opportunity employer committed to diversity in the workplace. minority/female/disabled/protected veteran."
Brains Valley,8ebf0dd6de5e30e2,Data Analyst,Riyadh,"Part-time, Full-time",2 days ago,2,,[],[],['bachelor'],http://sa.indeed.com/job/data-analyst-8ebf0dd6de5e30e2,https://indeed.com/cmp/Brains-Valley,[],"['analysis', 'professional', 'communication']",['data analysis'],"we are currently seeking a professional data analyst with a bachelor's degree in business administration, information and communication technology, data engineering, or a related field, along with five years of experience. key responsibilities: - utilize statistical methods to analyze data and generate useful business insights. - interpret data, analyze results, and provide ongoing reports. - develop and implement data analyses, data collection systems, and other strategies that optimize statistical efficiency and quality. requirements: - bachelor's degree in business administration, information and communication technology, data engineering, or a related field. - minimum of five years of experience in data analysis. - proficiency in data analysis tools and database query languages. if you are passionate about data analysis and meet the qualifications stated above, we encourage you to apply and join our team. your expertise will be invaluable in extracting valuable insights from our data. نوع الوظيفة: دوام كامل, دوام جزئي"
Talent Pal,4c6e390a110569b8,Data Analyst - Parsons,Riyadh,,4 days ago,4,,['3+'],[],['bachelor'],https://talentpal.qureos.com/jobs/4748787-data-analyst-parsons,https://indeed.com/cmp/Talent-Pal,"['power bi', 'spss', 'sql', 'javascript', 'xml', 'sas']","['collaborative', 'planning', 'analysis', 'design']","['mathematics', 'etl', 'statistics', 'statistical analysis']","job description: parsons is looking for an amazingly talented data analyst to join our team! in this role you will get to be part of a national best practice cost management team supported by digital transformation and ai. . what you'll be doing: benchmarking and cost analysis cost planning/estimating/budgeting/reviews and reporting tender review and analysis cost reporting and forecasting value management cost optimisation tender price index and economic indices superuser cost database population visualisation and reporting from the database platform and via power bi what required skills you'll bring: 3+ years of experience mining data as a data analyst bachelor’s degree (or equivalent) in mathematics, computer science, economics, or statistics proven analytics skills, including mining, evaluation, and visualization technical writing experience in relevant areas, including queries, reports, and presentations strong sql, excel skills, with aptitude for learning other analytics tools expert in power bi and power bi report builder experience with database and model design and segmentation techniques strong programming experience with frameworks, including xml, javascript, and etl practical experience in statistical analysis through the use of statistical packages, including excel, spss, and sas proven success in a collaborative, team-oriented environment what desired skills you'll bring: previous riba design stages and cost management experience would be desirable minimum clearance required to start: not applicable/none parsons is an equal opportunity employer committed to diversity in the workplace. minority/female/disabled/protected veteran. this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,1565bfd20ab8109a,Strategy Analyst - Health & Public Services - Accenture,Riyadh,,4 days ago,4,,[],[],"[' ms ', 'master']",https://talentpal.qureos.com/jobs/4748791-strategy-analyst-health-public-services-accenture,https://indeed.com/cmp/Talent-Pal,['powerpoint'],"['flexibility', 'focus', 'innovation', 'analysis', 'professional', 'coaching', 'collaboration', 'discipline', 'research', 'leadership', 'commitment']",['business intelligence'],"about accenture accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. we are a talent and innovation led company with 738,000 people serving clients in more than 120 countries. technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. we combine our strength in technology with unmatched industry experience, functional expertise and global delivery capability. we are uniquely able to deliver tangible outcomes because of our broad range of services, solutions and assets across strategy &amp; consulting, technology, operations, industry x and accenture song. these capabilities, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients succeed and build trusted, lasting relationships. we measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. visit us at confidential accenture strategy &amp; consulting in today’s world, business leaders want to rapidly and confidently reinvent to increase resilience,mitigate risk, and grow with sustainable value. that’s where accenture strategy &amp; consulting comes in. we bring together strategic visionaries, industry experts, practitioners from across every enterprise function, business intelligence professionals, change specialists, data and ai authorities, and many other specialized skills to cocreate each client’s unique path to reinvention. you will be a trusted partner to business leaders, working with a diverse team of experts to deliver successful tech-enabled transformation and new kinds of value for your clients your role there will never be a typical day at accenture, but that’s why people love it here. the opportunities to make a difference within exciting client initiatives are limitless in this ever-changing business landscape. that said, here are some of the things you’ll do: structure and perform analysis and primary research that address business issues and generate insights about client and industry business performance improvement. develop business cases and plans that are detailed, actionable and reflect accenture strategy’s deep industry, it and business process acumen present at team and client meetings, and determine the most practical way to drive lasting results based on your insights. help our clients build the capabilities they need for growth, innovation and sustainable high performance. work in multi-disciplinary teams and leverage the power of accenture’s global reach and end-to-end capabilities to deliver results. help clients understand leading-edge technology capabilities and the transformational impact they may have on their business. engage with the broader strategy community to foster collaboration and support growth and development of the strategy business. what you’ll learn you’ll work on a broad range of strategy assignments enabling you to develop core strategy skills across industries through hands-on client experience. for your personal development, you’ll have access to a strong network created to help you grow and advance your career through personal 1-1 coaching and mentoring as well as formal training and development. you’ll also enjoy: accenture’s dedicated strategy college (first and second year) to see what happens at strategy college. your own career counsellor to champion and support your development at accenture. the opportunity as well as great career prospects, you can look forward to a competitive rewards package, including a generous holiday allowance, personal laptop, an amex card, private healthcare, and much more. what are we looking for? we’re looking for students who love solving complex problems, are naturally curious and thrive on intellectual challenges. we’re more interested in identifying leadership potential than the degree you study, so you can join accenture strategy no matter what your academic discipline, but you’ll need to have or be expecting: undergraduate and/or master degree programs a consistent track record of outstanding academic performance at school and university strong quantitative acumen, with the ability to think analytically to identify and solve problems and drive strategic insights proven leadership roles in extra-curricular activities an outcome oriented and impactful approach excellent communications and relationship building skills an ability to collaborate and work successfully in a team an ability to work in a high intensity environment digitally/technology savvy the flexibility to work on different projects/different locations proficiency in english and arabic. experience with ms office (powerpoint, excel, word) preferable international experience studying or working overseas highly advantageous why join us? we offer a transparent, fast paced approach career progression, with a focus on your strengths and continuous coaching from senior colleagues you will benefit from working alongside accenture experts who are solving some of the biggest industry challenges with innovative thinking and pioneering tools flexible work arrangements and a range of benefits including competitive rewards you will have access to state-of-the-art technology that will give you the opportunity to deepen your existing skills even as you help create the latest business trends you will also have opportunities to make a difference to the communities in which we work and live next steps if this sounds like the ideal role, career and company for you, click below to apply. to learn more about life @accenturemiddleeast, follow us on social media and keep up with our latest news. accenture middle east: linkedin, instagram, facebook, twitter, youtube this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,9da0e356c602f7fc,Data Analyst Trainee - Jeddah ( Tamheer Program) -...,Jeddah,,4 days ago,4,,[],[],[],https://talentpal.qureos.com/jobs/4748789-data-analyst-trainee-jeddah-tamheer-program-chalhoub-group,https://indeed.com/cmp/Talent-Pal,[' excel '],"['innovation', 'professional', 'initiative', 'motivated', 'commitment']",[],"inspire | exhilarate | delight for over six decades, chalhoub group has been a partner and creator of luxury experiences in the middle east. the group, in its endeavour to excel as a hybrid retailer, has reinforced its distribution and marketing services with a portfolio of eight owned brands and over 300 international brands in the luxury, beauty, fashion, and art de vivre categories. more recently, the group expanded its expertise into new categories of luxury watches, jewellery, and eyewear. every step at chalhoub group is taken with the customer at heart. be it constantly reinventing itself or focusing on innovation to provide luxury experiences at over 750+ experiential retail stores, online and through mobile apps, each touch point leads to delighting the customer. today, chalhoub group stands for 14,000 skilled and talented professionals across seven countries, whose cohesive efforts have resulted in the group being ranked third in the middle east and first in saudi arabia as a great place to work. to keep the innovation journey going, the group has set up “the greenhouse”, which is not just an innovation hub, but also an incubator space and accelerator for start-ups and small businesses in the region and internationally. this is just one of the several initiatives taken by the group to reinvent itself, catalysed by forward thinking and future-proofing. the group has also been embedding sustainability at the core of its business strategy with a clear commitment towards people, partners and the planet, and by being a member of the united nations global compact community and signatory of the women's empowerment principles. what you'll be doing by being part of our journey here at chalhoub group, you can make a real impact on customers and some of the finest brands in the world. in return, you’ll have everything you need to innovate your career. what you'll need to succeed we are always looking for ambitious students and graduates from a wide range of backgrounds for our professional internship programs. you will up-skill in the everyday and experience working as a valued member of the team - you will be empowered to innovate, develop and learn in a fun and supportive environment! are you ready to jump start your career with the middle east's leading luxury retail group? you will be determined to succeed in all you do you take initiative, listen, learn and challenge the status quo you think like an entrepreneur and are motivated to create your own success you like to have fun and you will bring positivity and a smile to your work and the team! what we can offer you with us, you will turn your aspirations into reality. we will help shape your journey through enriching experiences, learning and development opportunities and exposure to different assignments within your role or through internal mobility. our group offers diverse career paths for those who are extraordinary, every day. we recognise the value that you bring, and we strive to provide a competitive benefits package which includes health care, child education contribution, remote and flexible working policies as well as exclusive employee discounts. to view all our perks and benefits, click here. we invite all applicants to apply it takes diversity of thought, culture, background, differing abilities and perspectives to truly inspire, exhilarate and delight our customers. at chalhoub group, we are committed to inclusion and diversity. we welcome all applicants to apply and be part of our exciting future. we ensure equal opportunity for all our applicants without regard to gender, age, race, religion, national origin or disability status. this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,2d08ec7e9efd3f50,"CYBERSECURITY ANALYST, SOC L1 - Odyssey",Dammam,,4 days ago,4,,['2'],[],['bachelor'],https://talentpal.qureos.com/jobs/4748801-cybersecurity-analyst-soc-l1-odyssey,https://indeed.com/cmp/Talent-Pal,[],"['communication', 'innovation', 'passion', 'analysis', 'professional', 'collaborative', 'analytical skills', 'communication skills', 'written communication', 'resilient', 'commitment']",['monitoring'],"we are odyssey, looking for cyber warriors to join our journey! we are odyssey, looking for cyber warriors to join our journey. as pioneers in the cybersecurity arena, our journey parallels that of the legendary odysseus. just as he ventured into the unknown with unwavering determination, we too navigate the ever-evolving threat landscape with an innovative and forward-thinking mindset. our mission is clear: to make the world a cyber safer place. if you share this determination, join our ranks and become an integral part of this journey, contributing your unique skills and perspectives to tackle impossible challenges as we build cyber-resilient futures for our clients. we firmly believe in the power of many and we promote an environment where your voice matters, learning and growth are encouraged, and innovation is rewarded. are you someone who thrives in the face of challenges? do you have a collaborative spirit, passion for innovation and a commitment to making the world a cyber safer place for all? if so, join our odyssey and make it your journey as well‘cause the beauty and reward lie in the journey and not the destination itself. role description an entry level position in the cybersecurity industry. the primary objective of a cybersecurity analyst (l1) is to actively monitor, track and analyze security threats on servers, endpoints, networks, applications, databases, websites and other technology systems. supported by the security information and event management (siem) platform of clearskies, the role involves receiving, validating, triaging and responding to alerts, requests and reports in order to provide essential information for incident responders. the service is provided 24/7/365 to our customers, so analysts have to be able to work on a shift environment that includes nights, weekends and holidays. main responsibilities real-time monitoring of cyber defense, intrusion detection and behavior analysis systems investigation &amp; analysis of suspicious activities &amp; automatically correlated events categorization of events, incidents and vulnerabilities based on relevance, exposure, impact and severity escalation of unresolved problems to higher levels of support, including the incident response and vulnerability mitigation teams knowlegde, skills and experience required required experience: bachelor’s degree or diploma in computer science or information systems, associated with a cybersecurity field of study academic and/or working experience with tcp/ip and networking services strong interpersonal and communication skills ability to work under pressure &amp; prioritize tasks strong organizational, observational and analytical skills excellent verbal &amp; written communication skills in arabic and english language nice to have: bachelor’s degree or diploma in cybersecurity or equivalent work experience comptia security+ or similar certification reflective of cybersecurity fundamentals 1 - 2 years of work experience in an it/network support role what’s in it for you competitive remuneration package (according to experience and qualifications) opportunity to work in a highly specialized, progressive and professional setting contemporary working environment, “best place to work” for 3 consecutive years medical insurance referral program - you can recommend the best talents to the company and receive a reward performance based awards and bonus career development and access to the latest technologies mentoring, training &amp; development opportunities please note that all cvs and any other personal data sent to odyssey are kept secure and confidential and will only be processed and/or stored for the purpose of potential offering employment. cvs and personal data of successful candidates will be stored in our system for as long as the process of selection lasts. cvs and personal data of candidates that are not successful or do not make it through our selection process, will not be stored or processed further and will be erased after a period of 6 months, unless the candidate provides us with an explicit consent allowing us to further store his/her personal data in our system always in accordance with personal data protection laws. code 135 job location dammam, ksa this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,13cfc91b033bb7a0,Principal Budget Analyst - Parsons,Yanbu' al Bahr,,4 days ago,4,,['10'],[],['bachelor'],https://talentpal.qureos.com/jobs/4748797-principal-budget-analyst-parsons,https://indeed.com/cmp/Talent-Pal,"['power bi', 'powerpoint']","['attention to detail', 'communication', 'organization', 'accuracy', 'analysis', 'interpersonal skills', 'responsible', 'analytical skills', 'planning']",['monitoring'],"job description: principal objective: a brief summary of the responsibilities of the position the principal budget analyst will be responsible for assisting in the development, implementation, and monitoring of budgets for an organization. your main role will involve analyzing financial data, identifying trends, and providing recommendations to support effective budget management. you will work closely with the finance team to ensure budgets are adhered to and financial goals are achieved. major activities performed: list the major job function(s) of the position. assist in the preparation and analysis of budgets for various departments or projects within the organization. monitor and track actual expenses against budgeted amounts, identifying any discrepancies or variances. conduct in-depth financial analysis to identify trends, patterns, and opportunities for cost savings or revenue generation. collaborate with department managers to review budget proposals, ensuring accuracy and alignment with strategic objectives. assist in the preparation of financial reports and presentations, providing clear and concise information to stakeholders. participate in budget planning sessions and provide input on financial forecasts and projections. evaluate and recommend process improvements to streamline budgeting and financial management procedures. stay updated on industry trends, regulatory changes, and best practices in budget management. experience and qualifications: list the background experience required for the position, number of years experience, in what fields. describe the desirable academic background. bachelor's degree in finance, accounting, or a related field. minimum 10 years of related experience. arabic language mandatory. advanced expertise in microsoft programs, especially excel, access, and powerpoint, in addition to have full knowledge of preparing financial reports, preparing and creating an executive budget dashboard, and knowing how to create power bi. strong analytical skills and attention to detail. proficient in using financial analysis tools and software. excellent communication and interpersonal skills. ability to work independently and collaboratively in a team environment. minimum clearance required to start: not applicable/none parsons is an equal opportunity employer committed to diversity in the workplace. minority/female/disabled/protected veteran. this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,4132dae27e4dd1e3,Management Consulting Analyst - CFO & Enterprise Value -...,Riyadh,,4 days ago,4,,[],[],"[' ms ', 'master']",https://talentpal.qureos.com/jobs/4748803-management-consulting-analyst-cfo-enterprise-value-accenture,https://indeed.com/cmp/Talent-Pal,['powerpoint'],"['project management', 'communication', 'focus', 'innovation', 'professional', 'coaching', 'problem-solving', 'discipline', 'design', 'leadership', 'presentation skills', 'commitment']","['problem-solving skills', 'business intelligence', 'project management']","about accenture accenture is a leading global professional services company that helps the world’s leading businesses, governments, and other organizations build their digital core, optimize their operations, accelerate revenue growth, and enhance citizen services—creating tangible value at speed and scale. we are a talent and innovation-led company with 738,000 people serving clients in more than 120 countries. technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. we combine our strength in technology with unmatched industry experience, functional expertise, and global delivery capability. we are uniquely able to deliver tangible outcomes because of our broad range of services, solutions, and assets across strategy &amp; consulting, technology, operations, industry x, and accenture song. together with our culture of shared success and commitment to creating 360° value, these capabilities enable us to help our clients succeed and build trusted, lasting relationships. we measure our success by the 360° value we create for our clients, each other, our shareholders, partners, and communities. visit us at confidential accenture strategy &amp; consulting in today’s world, business leaders want to reinvent rapidly and confidently to increase resilience, mitigate risk, and grow sustainably. that’s where accenture strategy &amp; consulting comes in. we bring together strategic visionaries, industry experts, practitioners from across every enterprise function, business intelligence professionals, change specialists, data and ai authorities, and many other specialized skills to co-create each client’s unique path to reinvention. you will be a trusted partner to business leaders, working with a diverse team of experts to deliver successful tech-enabled transformation and new value for your clients. your role there will never be a typical day at accenture, but that’s why people love it here. the opportunities to make a difference within exciting client initiatives are limitless in this ever-changing business landscape. that said, here are some of the things you’ll do: assisting finance executives address some of today the top challenges such as designing and implementing the finance operating model and workforce of the future assist in creating a new operating model design based on corporate strategic priorities to determine the right approach to developing the model from a zero base assess current state, identify pain points and gaps, and redesign detailed finance processes. capture business requirements and perform project management for finance platform transformation. creates and delivers on the program business case. maintains an understanding of finance and operating model trends and advancements in technology and innovations that are happening across digital, analytics, and the cfo ecosystem. engage in creative and innovative thinking from team members while helping them to bring their ideas and career plans to fruition work in multi-disciplinary teams and leverage the power of accenture’s global reach and end-to-end capabilities to deliver results. what you’ll learn you’ll work on a broad range of consulting assignments enabling you to develop core consulting skills across industries through hands-on client experience. for your personal development, you’ll have access to a strong network created to help you grow and advance your career through personal 1-1 coaching and mentoring as well as formal training and development. what are we looking for? we’re looking for students who love solving complex problems, are naturally curious, and thrive on intellectual challenges. we’re more interested in identifying leadership potential than the degree you study, so you can join accenture strategy no matter what your academic discipline, but you’ll need to have or be expecting: master’s degree programs a degree in finance and/or industry certification is preferred. a consistent track record of outstanding academic performance at school and university strong quantitative acumen, with the ability to think analytically to identify and solve problems and drive insights an outcome-oriented and impactful approach excellent communication and relationship-building skills an ability to collaborate and work successfully in a team an ability to work in a high-intensity environment digitally/technology savvy proficiency in english and arabic. experience with ms office (powerpoint, excel, word) ability to solve complex business problems and deliver client delight strong writing skills to build points of views on current industry trends good analytical and problem-solving skills with an aptitude to learn quickly excellent communication, interpersonal, and presentation skills cross-cultural competence with an ability to thrive in a dynamic consulting environment why join us? we offer a transparent, fast-paced approach to career progression, with a focus on your strengths and continuous coaching from senior colleagues you will benefit from working alongside accenture experts who are solving some of the biggest industry challenges with innovative thinking and pioneering tools flexible work arrangements and a range of benefits including competitive rewards you will have access to state-of-the-art technology that will allow you to deepen your existing skills even as you help create the latest business trends you will also have opportunities to make a difference in the communities in which we work and live next steps if this sounds like the ideal role, career, and company for you, click below to apply. to learn more about life @accenturemiddleeast, follow us on social media and keep up with our latest news. accenture middle east: linkedin, instagram, facebook, twitter, youtube #li-eu this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,e250847be5f580ed,Financial Planning Analyst Manager (2021793) - Nahdi,Jeddah,,4 days ago,4,,[],[],[],https://talentpal.qureos.com/jobs/4748804-financial-planning-analyst-manager-2021793-nahdi,https://indeed.com/cmp/Talent-Pal,[],"['collaboration', 'accuracy', 'decision making', 'analysis']",[],"accountabilities: lead the financial evaluation in the assigned departments’ projects through the set of the financial plan, development and review of the financial models, data and kpis and the alignment with the concerned stakeholders. act as the financial partner to the assigned departments through providing the support, financial knowledge, budget and forecasts and communicating the business requirements/needs of the assigned departments to the finance division’s different departments to ensure interdepartmental alignment. issue periodic financial reports for the assigned departments including the review of the actual progress against the financial plan in order to identify the financial performance of the assigned departments to the concerned stakeholders. perform financial analysis for the assigned departments including the deficiencies and the areas of improvement in order to support the decision making process. follow-up with the assigned departments and stakeholders on the decisions and corrective actions based on the financial analysis provided and identifying the financial impact of the decisions. participate with the assigned departments in the development, update and documentation of the processes, procedures, sops…etc. through the collaboration with the concerned stakeholders to ensure standardization and the alignment with the financial requirements. lead and participate in the automation of the financial analysis reports through the collaboration with the concerned departments as the it division to ensure the efficiency, timely and accuracy of the financial reports and financial data. employee duties are not limited only to the above-mentioned accountabilities; he/she may perform other duties as assigned. work environment indoors : 90% outdoors : 10% working days : 5 working days days off : 2 days off working hours : 8:00 am – 6:00 pm (1 hour break) job requirements education bsc in finance experience 3 years of experience computer skills ms office suite languages english arabic this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,87bf0c7c8dd981e2,"Business Analyst, Tenders and Order-to-Cash - Boston...",Riyadh,,4 days ago,4,,['40'],[],['bachelor'],https://talentpal.qureos.com/jobs/4748802-business-analyst-tenders-and-order-to-cash-boston-scientific-corporation,https://indeed.com/cmp/Talent-Pal,"['sql', 'tableau', 'sap']","['imagination', 'accuracy', 'innovation', 'analysis', 'responsible', 'collaboration', 'responsibility', 'discipline', 'design', 'time management']",[],"work mode: hybrid onsite location(s): riyadh, sa additional location(s): n/a diversity - innovation - caring - global collaboration - winning spirit - high performance at boston scientific, we’ll give you the opportunity to harness all that’s within you by working in teams of diverse and high-performing employees, tackling some of the most important health industry challenges. with access to the latest tools, information and training, we’ll help you in advancing your skills and career. here, you’ll be supported in progressing – whatever your ambitions. business analyst, tenders and order-to-cash we are seeking an experienced business analyst for the tenders and order-to-cash processes to join our team. the successful candidate will be responsible for extracting insights and deriving action plans from tender and order-to-cash data and present them to management on process improvement, optimization and operational decisions, while continuously maintaining accurate process documentation. the ideal candidate will have proven experience with analyzing, interpreting, and deriving insights from tenders and order-to-cash datasets. they should be proficient in using excel, with knowledge of t-sql as a big plus, and proven experience with extracting data from sap and sfdc (salesforce.com) platforms. they also would have demonstrable experience of applying process notations (bpmn/uml/or other) leading to producing artifacts of business analysis, such as process maps and user stories. they also need to have experience conducting analytics and influencing stakeholders without direct authority in a matrixed, multinational company. they need to be able to work independently and demonstrate structure, good discipline, time management, and task execution status given autonomy. on top of that, they will be given opportunities to accelerate their skills of developing dashboards using tableau and t-sql. key responsibilities: conduct regular root cause analyses of tenders and order-to-cash datasets and provide insightful reports to management; analyze processes and produce artifacts of business analysis (user stories, process maps) by standard notation; collaborate with stakeholders to validate recommendations and gather business requirements for dashboards and reports; ensure data accuracy, completeness, and security in all analytical products; provide training and support to end-users; work in an agile, fast-paced environment; design and develop dashboards, reports, and other visualizations to effectively communicate data insights qualifications: bachelor's degree in computer science, marketing analytics or supply chain, or related field; high proficiency with excel; experience with t-sql is highly desirable; experienced with agile/scrum methodology; first-hand experience rendering insights from data - from ideation through to trainings and presentation ability to translate business requirements and communicate across cross-functional teams as part of supply chain and commercial organizations; business fluency in english; experience in medtech industry or similarly regulated industry a plus requisition id: 586340 as a leader in medical science for more than 40 years, we are committed to solving the challenges that matter most – united by a deep caring for human life. our mission to advance science for life is about transforming lives through innovative medical solutions that improve patient lives, create value for our customers, and support our employees and the communities in which we operate. now more than ever, we have a responsibility to apply those values to everything we do – as a global business and as a global corporate citizen. so, choosing a career with boston scientific (nyse: bsx) isn’t just business, it’s personal. and if you’re a natural problem-solver with the imagination, determination, and spirit to make a meaningful difference to people worldwide, we encourage you to apply and look forward to connecting with you! at boston scientific, we recognize that nurturing a diverse and inclusive workplace helps us be more innovative and it is important in our work of advancing science for life and improving patient health. that is why we stand for inclusion, equality, and opportunity for all. by embracing the richness of our unique backgrounds and perspectives, we create a better, more rewarding place for our employees to work and reflect the patients, customers, and communities we serve. boston scientific is proud to be an equal opportunity and affirmative action employer. boston scientific maintains a prohibited substance free workplace. pursuant to va. code § 2.2-4312 (2000), boston scientific is providing notification that the unlawful manufacture, sale, distribution, dispensation, possession, or use of a controlled substance or marijuana is prohibited in the workplace and that violations will result in disciplinary action up to and including termination. please be advised that certain us based positions, including without limitation field sales and service positions that call on hospitals and/or health care centers, require acceptable proof of covid-19 vaccination status. candidates will be notified during the interview and selection process if the role(s) for which they have applied require proof of vaccination as a condition of employment. boston scientific continues to evaluate its policies and protocols regarding the covid-19 vaccine and will comply with all applicable state and federal law and healthcare credentialing requirements. as employees of the company, you will be expected to meet the ongoing requirements for your roles, including any new requirements, should the company’s policies or protocols change with regard to covid-19 vaccination. job segment: business analyst, supply chain, computer science, business process, technology, finance, operations, management this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
