name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
Novel Overseas Corporation,116c011b3cfcaa04,Senior Data Loss Prevention Engineer,Riyadh,Full-time,Today,0,,"['6', '5']",[],[],http://sa.indeed.com/job/senior-data-loss-prevention-engineer-116c011b3cfcaa04,https://indeed.com/cmp/Novel-Overseas-Corporation,[],['planning'],[],required professional qualifications/skills data loss prevention engineer job type: full-time ability to commute/relocate: riyadh: reliably commute or planning to relocate before starting work (required) experience: dlp: 6 years (required) forcepoint dlp: 5 years (required)
Dar Al Riyadh,60bb24b74ebbd9ca,Project Engineer,Jizan,,Just posted,0,4.4,"['10', '10']",[],['bachelor'],https://careers.daralriyadh.com/#/JobDetails/235,https://indeed.com/cmp/Dar-Al-Riyadh,[],"['collaboration', 'communication', 'communication skills', 'creativity', 'decision-making', 'design', 'innovation', 'leadership', 'planning', 'problem-solving', 'professional', 'project management']",['project management'],"we are seeking a skilled and experienced project engineer with a background in architecture to join our design department. the ideal candidate will possess a bachelor’s degree in architecture and a minimum of 10 years of experience in architectural design and project management. the project engineer will play a key role in leading architectural projects from conception to completion, ensuring adherence to design standards, project schedules, and client requirements. strong technical expertise, leadership abilities, and communication skills are essential for success in this role. responsibilities: lead and manage architectural design projects, including new construction, renovation, and restoration projects. collaborate with clients, architects, engineers, and other stakeholders to establish project goals, requirements, and design objectives. develop comprehensive project plans, schedules, and budgets, and oversee project execution to ensure adherence to timelines and financial targets. conduct site visits, surveys, and assessments to gather data and information for project planning and design development. prepare architectural drawings, plans, and specifications using cad software (e.g., autocad, revit) and other design tools. coordinate the work of architectural designers, drafters, and consultants to ensure accurate and timely completion of project deliverables. review and approve design documents, construction drawings, and material specifications to ensure compliance with building codes, regulations, and industry standards. identify and resolve technical issues, design conflicts, and construction challenges in collaboration with project team members. monitor project progress and performance, and provide regular updates to stakeholders on project status, risks, and mitigation strategies. conduct quality assurance reviews and inspections to ensure that design intent is maintained throughout the construction process. mentor and support junior architects, designers, and interns, and provide guidance on technical and professional development. foster a culture of innovation, creativity, and excellence within the architecture design department. maintain effective communication with clients, contractors, vendors, and regulatory authorities to address concerns and facilitate project approvals. minimum requirements: bachelor’s degree in architecture from an accredited institution. minimum of 10 years of experience in architectural design and project management, preferably in a consulting or architectural firm. proficiency in cad software (e.g., autocad, revit) and other architectural design tools. strong knowledge of building codes, zoning regulations, and industry standards. excellent design and visualization skills, with the ability to communicate ideas effectively through drawings, renderings, and presentations. demonstrated experience in leading architectural projects from concept design through construction administration. project management certification (e.g., pmp) is desirable. strong leadership, problem-solving, and decision-making abilities. excellent communication, interpersonal, and collaboration skills. ability to work independently, prioritize tasks, and manage multiple projects simultaneously. flexibility to travel to project sites and attend meetings as required."
ADB Safegate,e9e97ed23a9c09df,System Application Engineer,Saudi Arabia,,Today,0,3.5,['3'],[],[],https://career5.successfactors.eu/career?career%5fns=job%5flisting&company=ADBDP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=445&selected_lang=en_US&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=America/Costa_Rica&_s.crb=MztPloc8OTPGsNPGO5H9GsVkKa6X5HuJ8VPVENRcKcw%3d,https://indeed.com/cmp/Adb-Safegate,['scala'],"['adaptability', 'analysis', 'analytical skills', 'attention to detail', 'collaboration', 'collaborative', 'communication', 'communication skills', 'continuous learning', 'design', 'focus', 'motivated', 'ownership', 'problem-solving', 'professional', 'responsible', 'teamwork']",['problem-solving skills'],"location : riyadh airport, saudi arabia reports to: adb safegate mea region operations director about the role: we are seeking a self-motivated application software support engineer to work on-site in riyadh airport. the role is critical to our business and the successful candidate will be responsible for providing first-class l2 technical support to end-users and acting as the technical liaison between application users and the remotely based specialist support teams. the working pattern is weekday business hours, and being available on-call out of hours. on-site l2 application support role description the remit of the on-site l2 software application support role is to be main focal point of contact for the customer’s users in their day-to-day operational activities and usage of the aodb, fids rms, and also the customer’s own l1 support teams. the on-site l2 software application support role provides support and assistance to users and customer l1 teams in respect of all reported issues and requests. to do this the role holder shall have sufficient product knowledge to provide help and guidance to users of the applications, support them in exploiting the features of the products, assess and explore reported issues or problem areas. the role shall act as the link between the users and the remotely located adb safegate specialist product support teams for reported tickets on issues or requests and shall act in close co-ordination with them whilst they conduct their more in-depth support provision to users and customer l1 support teams on the applications. the role shall also carry out all defined l2 maintenance on the software applications. on-site l2 application support role responsibilities the on-site l2 application support role would have the following defined responsibilities: help ensure users of the aodb fids rms software applications use them in accordance with the training they were provided and highlight any user training or familiarisation needs to the nominated administrators and owners within riyadh airport company, at riyadh airport, saudi arabia. provide local assessment of all issues (incidents, problems and service requests) escalated by the customer l1 service team for the applications. help confirm the details that should be provided by the users and customer l1 support teams relating to the reported issue; this includes important contextual information like actual operating status of the relevant software application around the time an issue is reported; detail on other activities ongoing within application around that time, availability of all relevant system log files, etc. confirm with customer l1 support team that network issues or any 3rd party system issues have been investigated and ruled out as contributory factors to the reported issue. if the issues cannot be addressed by the customer l1 service team, then having first performed local detailed analysis of the issues, work with our remotely based 24/7 service centre team and specialist product support teams to produce, and or implement temporary workarounds, for incidents and maintain these in a local knowledgebase / service tool, as appropriate, until the permanent fix is supplied. keep users and other stakeholders informed of status and progress of reported matters. invoke technical or management escalation procedures as required. work with the specialist product support teams to ensure that releases and maintenance fixes for the software applications are properly tested in the on-site preproduction environments prior to their implementation in the production environment. acting as adb safegate’s local technical liaison with the customer owned elements of the release and change control, change management and configuration control processes for the deployed system. act as adb safegate’s local technical liaison with appropriate customer it departments when they carry out any security patches, firmware updates, anti-virus and anti-malware protection updates on any aspect of the system infrastructure, operating systems, servers, network devises, user workstations, display screen and display device controllers, etc. (which are all owned and managed by the customer), in accordance with customer’s defined change management processes. periodically hold reviews with the users, the customer l1 support teams and system administrators on aspects of the software applications configuration, such as resource rulebase definitions, fids page designs, fids page roll on/off definitions, reference data, etc. undertake the configuration addition or amendment of fids pages or resource layouts; for example, addition of a new check-in desk or gate fids page, working in tight co-ordination with the specialist product support teams at all times. qualifications and prior experience experience of our aodb, fids, rms system in use at riyadh airport is very advantageous. excellent analytical, diagnostic and problem-solving skills with an attention to detail is essential. an open, inquisitive nature, always keen to engage with people to ask questions and actively listen, and curious about learning new skills are the key behavioural characteristics needed to succeed in the role. at least 3 years of experience in a software support or technical liaison role in preferred. fluency in english language – speaking, reading and writing is essential, ability to also converse in arabic is an additional nice to have benefit. behaviours here are some key behavioural traits that are important for a successful employee in a l2 application software support analyst role: customer-focused: a successful software support analyst should have a customer-focused mindset and the ability to empathize with end-users who are experiencing technical issues. they should have strong communication skills and be able to explain technical concepts in a clear and concise way to non-technical users. analytical: software support analysts must be able to analyse and diagnose technical problems to determine the root cause of the issue. they should be detail-oriented and able to identify patterns, trends, and common themes among user issues. problem solver: successful software support analysts must be able to think on their feet and be effective problem solvers. they should be able to identify solutions to technical issues quickly and effectively while maintaining a positive attitude towards the end-users. patience: software support analysts must possess the patience and resilience needed to work with users who may be frustrated or upset due to technical issues. they should always maintain a calm and professional demeanour and be committed to finding a resolution to the issue. continuous learning: software support analysts must be curious and willing to learn about new products, technologies, and tools. they should be self-motivated and take ownership of their professional development while actively seeking out ways to improve and sharpen their skills. adaptability: the software support analyst role can be dynamic and fast-paced. a successful support analyst must be able to adapt quickly to changes in user needs, new products and software features, and shifting priorities while ensuring the user's requirements are always met. collaboration: software support analysts must have excellent teamwork skills and the ability to work collaboratively with other teams such as technical support, customer success, and development teams. they should be able to communicate effectively across departments and be committed to building positive working relationships with internal stakeholders. in summary, a successful l2 application software support analyst should possess customer focus, analytical skills, problem-solving ability, patience, continuous learning mindset, adaptability, and collaboration skills. adb safegate is an equal opportunity employer. adb safegate does not discriminate against any employee or applicant for employment because of characteristics protected by law, including but not limited to, race, color, age, creed, religion, national origin, ancestry, sex, sexual orientation, marital status, veteran status, or disability. if you need assistance or reasonable accommodation in completing this application or during the interview, please contact our human resources department."
EY,31380d7b4cb51972,"SC / AM, Data Strategy and Governance, FAAS, Riyadh",Riyadh,,Today,0,3.9,"['4 to 5', '4+']",[],['bachelor'],https://careers.ey.com/ey/job/Riyadh-SC-AM%2C-Data-Strategy-and-Governance%2C-FAAS%2C-Riyadh-11461/1031861801/?feedId=338701&utm_source=Indeed&utm_campaign=EY_indeed,https://indeed.com/cmp/Ey,[],"['accountability', 'coaching', 'confidence', 'decision-making', 'flexibility', 'focus', 'innovation', 'insight', 'leadership', 'organization', 'passion', 'professional', 'responsible', 'team player']","['data governance', 'monitoring', 'transform']","senior consultant / assistant manager, data strategy and governance, faas, riyadh in financial accounting &amp; advisory services (faas) within assurance, we assist our clients to address the accounting and financial reporting challenges facing their business. you will be part of a team that provides insight and services that accelerate analytics, decision-making and innovation to build a stronger and more efficient finance function. you will experience ongoing professional development through diverse experiences, world-class learning and individually tailored coaching. that is how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. sound interesting? well this is just the beginning. because whenever you join, however long you stay, the exceptional ey experience lasts a lifetime. this role will be based on our centre of excellence in karachi, jordan, beirut, egypt and riyadh and will remotely support mena client engagements. based on business need travel will be a requirement. the opportunity this opportunity is within our data &amp; ai team and provides advisory services focused on data strategy and data governance. as a data strategy and governance professional, you will help businesses define their overall data strategy, identifying and segmenting their data landscape into different business domains, define the data model (logical and technical) for each domain, and identify the strategic ai-ml and advanced analytics use-cases in order to monetize their data. enable value as an asset would require the application of known global data governance framework such as dama, and also local regulations such as ndmo for ksa. the consultant will have a broad set of skills working together with data scientists, data architects and data engineers, to ensure that the frameworks have a solid roadmap and concrete deliverables, and clients can satisfy the regulatory requirements for data. in this fast- moving new space you will be the main driver in identifying clients and business development. your key responsibilities in this exciting new role as a senior consultant / assistant manager you will be responsible for managing up to two projects alongside senior business leaders such as directors and partners, and enable clients to determine a faas strategy that appropriately addresses risk and manages client expectations relating to deliverables. provide client advisory in the context of data driven transformation, solution validation, test scenario development and data migration. develop business process and target operating model that are heavily enabled using data technologies. the role will also involve ensuring work is delivered timely and in compliance with regulatory requirements, delivering effective execution of the faas service delivery framework, working with other service lines in providing an integrated service delivery and monitoring the faas engagement team's performance against the budget. you will identify and communicate relevant trends, developments and key performance drivers relevant to the client, consult with appropriate resources on complex accounting issues and participate in sales of new faas work. skills and attributes for success pro- activity, accountability, and results- driven people will flourish in this environment. dealing with competing priorities, understanding how to manage resources, and communicating effectively are key skills. this will have a huge impact on those around you and help promote a positive work ethic. to qualify for the role, you must have. a bachelor's degree and approximately 4 to 5 years of related work experience data certifications are a plus even if not a must for the role if real experience is demonstrated through work experience. demonstrated work experience of at least 4+ years in a global consulting firm. established track record of business development, practice management and team development. demonstrated ability to manage and supervise teams through all phases of the project lifecycle, including requirements definition, business re-engineering, and application mapping. awareness about emerging technologies like chatgpt, llm, cloud, data fabric, data mesh strong technical skills and recognized cautious risk management ability. deep understanding of the client's industry and marketplace flexibility and willingness to travel on short notice, as necessary. ideally, you’ll also have track record with a leading consulting firm proficiency in the arabic language what we look for we are interested in ambitious leaders, who want to grow within the organization, are team players and are passionate about impacting clients and communities through the application of data and advanced technologies. we are interested in leaders with entrepreneurial mindset, who are accountable for their business results, and can help grow a new generation of talents within the organization. what we offer we offer a competitive compensation package where you’ll be rewarded based on performance and recognized for the value you bring to our business. plus, we offer: continuous learning: you’ll develop the mindset and skills to navigate whatever comes next. success as defined by you: we’ll provide the tools and flexibility, so you can make a meaningful impact, your way. transformative leadership: we’ll give you the insights, coaching and confidence to be the leader the world needs. diverse and inclusive culture: you’ll be embraced for who you are and empowered to use your voice to help others find theirs. if you can demonstrate that you meet the criteria above, please contact us as soon as possible. the exceptional ey experience. it’s yours to build. ey | building a better working world ey exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets. enabled by data and technology, diverse ey teams in over 150 countries provide trust through assurance and help clients grow, transform and operate. working across assurance, consulting, law, strategy, tax and transactions, ey teams ask better questions to find new answers for the complex"
Gates Corporation,dc9698d303f4a794,Production Planner,Dammam,,Today,0,3.4,[],[],[],https://search8.smartsearchonline.com/gates/globaljobs/jobdetails.asp?da=_202404&job_number=16625&sourcename=Indeed,https://indeed.com/cmp/Gates-Corporation,[],"['collaborative', 'coordination', 'planning', 'responsible']",['ml'],"production planner are you inspired by challenging the status quo? do you thrive in collaborative environments that drive results? if so, gates could be for you. gates is a leading manufacturer of application-specific fluid power and power transmission solutions. we push the boundaries of material science to engineer solutions that continually exceed customer expectations. let's simplify it… think belts and hoses. found in motorcycles, conveyor belts, cars, tractors, blenders, vacuum cleaners, bicycles, &amp; 3d printers just to name a few. because why not do it all? what to expect as an production planner, we look for ambitious, forward thinking, open-minded and well-rounded individuals to join our global team. located in our dammam, ksa office, you will be reporting into operations lead. production planner will be responsible for coordinating between the workshops, fleet, site, and clients on all queries related to the fleet or job within the timeframe, cost, quality and safety parameters. you'll be working with teams in gcc and ksa, customer service, sales , quality etc this is an exciting opportunity for you because you will be responsible for planning of smooth operations. your objective/goals will be monitored by the regular and timely delivery of goods and services you will be supporting workshop, warehouse and logistics teams. this position is vital to gates because as it helps smooth flow of all production processes and reduced waste of resources. key responsibilities : identify customer/workshop requirements and liaise with the workshop supervisor, site engineers, and logistics and sales coordinators to carry out the agreed scope of work. workshop coordination, planning, scheduling, man and material management, co-ordinations with engineers, supervisors and clients, submission of documents as required prepare time sheets, work orders, asset management on the orion systems. raise material requisition and follow up with purchase for materials required ensure high level of customer satisfaction through effective customer service, technical assistance &amp; prompt after sales service. about you 2 of years' of progressive indoor sales coordination or in administration of an operations role may be advantageous. degree, diploma or high school or equivalent. must have strong customer service skills: previous experience highly preferred. familiar with oracle based sales systems and sales procedures and practices. in addition to your normal working hours, you might be required to work overtime as and when required by the business / workload. at times you may have to cover the workload of other colleagues when he/she is on leave/vacation along with your normal duties. why gates? founded in 1911 in denver, colorado, gates is publicly traded on the nyse. while we might operate in a vast amount of time zones we operate as 'one gates' and have a common goal of pushing the boundaries of materials science. we invest in our people, bringing real-world experience that enables us to solve our customers' diverse challenges of today and anticipate those of tomorrow. work environment while performing the duties of this job, the employee is frequently required to sit; use hands to finger, handle, or feel objects, tools, or controls; and talk or hear. the employee is occasionally required to stand, walk, and reach with hands and arms. the employee must frequently lift and/or move up to 10 pounds. specific vision abilities required by this job include close vision. gates is an equal opportunity and is committed to ensuring equal employment opportunities for all job applicants and employees. employment decisions are based upon job-related reasons regardless of race, sex, color, religion, age, disability, pregnancy, citizenship, sexual orientation, gender identity, national origin, protected veteran status, genetic information, marital status, or any other consideration defined by law. gdpr: gates are committed to protecting your private data. please see below the link to our job applicants privacy statement which we would ask you to read in full. by applying for this position, you confirm that you have read, understood and accept this policy. https://www.gates.com/us/en/knowledge-center/resource-library/policies-and-statements/gates-job-applicants-privacy-statement.html are you driven by possibility?"
Halian International,1661d7a6f9e58c84,Senior Data Engineer,Riyadh,Contract,Today,0,3.4,['3+'],[],[],https://www.halian.com/jobs/126917,https://indeed.com/cmp/Halian-International,['sql'],"['organization', 'problem-solving', 'responsible']","['data pipelines', 'data visualization', 'monitoring', 'problem-solving skills', 'scripting']","senior data engineer location: riyadh, ksa about us: we are working with a dynamic technology company in riyadh who are seeking a senior data engineer to join our data services department. you will be responsible for building and optimizing data pipelines and datasets to support various teams within our organization. key responsibilities: design and implement data pipelines. improve processes to ensure timely data delivery. build data models to support analytics needs. collaborate with business stakeholders and technical teams. implement quality checks and monitoring schemes for data quality. design and build data platforms. requirements: 3+ years of experience in business intelligence/data engineering. strong problem-solving skills. advanced sql knowledge. experience with scripting languages such as python. familiarity with tools like sql server, postgresql, apache spark, and data visualization tools."
Halian International,cf68dbbae04e9e4d,Senior Data Modeler,Riyadh,Contract,Today,0,3.4,['7+'],[],[],https://www.halian.com/jobs/126916,https://indeed.com/cmp/Halian-International,['scala'],"['adaptability', 'analysis', 'communication', 'continuous learning', 'design', 'interpersonal skills']","['big data', 'data architecture', 'data governance', 'data manipulation', 'data modeling', 'data warehousing']","we are working with a leading technology company in riyadh, who specialize in innovative solutions for various industries. their team is dedicated to pushing the boundaries of technology to drive business growth and enhance customer experiences. as a senior data modeler, you will play a crucial role in designing and implementing robust data models to support our business objectives. you will work closely with cross-functional teams to ensure our data architecture meets the highest standards of efficiency and scalability. key responsibilities: design and develop scalable data models for transactional and analytical systems. optimize complex sql queries for efficient data manipulation and analysis. collaborate with teams to understand business requirements and translate them into effective data solutions. evaluate and improve existing data systems to enhance performance and scalability. lead the integration of big data infrastructure into our current data ecosystem. champion best practices in data modeling, data quality, and data governance. mentor junior data modelers and engineers to foster a culture of excellence and continuous learning. stay updated on industry trends and advancements in data technology. qualifications: 7+ years of experience in data modeling for transactional and analytical systems. strong expertise in sql and query optimization. excellent communication and interpersonal skills. experience working in diverse industries. in-depth knowledge of data warehousing principles and best practices. familiarity with big data infrastructure and solution architecture. flexibility and adaptability in a fast-paced environment. understanding of ci/cd practices. experience with data build tool is a plus."
Vindico Global,50ac8d1319e45bdd,Retail Delivery Manager/ Project Engineer (Mall or Shop fitout MUST),Riyadh,Full-time,Today,0,,"['6', '5']",[],[],http://sa.indeed.com/job/retail-delivery-manager-project-engineer-mall-or-shop-fitout-must-50ac8d1319e45bdd,https://indeed.com/cmp/Vindico---Assistant-Retail-Delivery-Manager-Tenant-Coordinator,[],"['communication', 'coordination', 'design', 'focus', 'planning']",['monitoring'],"role: retail delivery manager/ department: projects location: riyadh or jeddah (site based role) reporting to: project lead/senior retail delivery manager language: english &amp; arabic (native) preferred job purpose: the primary function of the retail delivery manager is to administer the terms and conditions of a tenants agreement for lease; facilitating design as per the design criteria manual, construction as per the fit-out guide and compliance with local authorities. primary objectives: 1. demonstrates a stakeholder focused approach; endeavors to establish and maintain positive working relationships throughout the retail delivery process. 1.1 makes every effort to build rapport with the client, tenants and tenant teams from the initial interaction understanding the importance of open communication. 1.2 demonstrates an understanding of the design aspirations of the development and is able to communicate these on behalf of the landlord, supporting and promoting their vision. 1.3 equips tenants, their consultants and their contracting teams will all required project documentation, answering process queries before they arise. 1.4 responds to requests for information promptly; facilitates introductions to relevant parties where they are unable to provide information or official responses themselves. 1.5 advises teams of all project and local authority related updates which may impact their operating as soon as they are received. 1.6 informs tenant of any serious concerns regarding their selected fit out contractor or consultant which may impact the quality of the fit out or project completion. provides objective examples to support concerns and allows tenants to make their own decisions. 1.7 provides a detailed handover of all tenant and unit related information to a designated colleague during absences. ensures that all relevant information is communicated to ensure that the units’ progress is not affected. 1.8 conducts a final snag inspection, completes and issues a detailed report to the tenant. ensures that snags are corrected to reflect the level of finish expected by the landlord. 2. coordinates all aspects of the retail delivery programme to achieve on time completion of allocated units using all available resources. 2.1 issues retail delivery milestones within the briefing meeting, setting expectations and explaining the importance of each. re-confirms within the pre-start meeting, ascertaining where delays may occur whilst discussing where time can be regained. 2.2 assesses the experience level of appointed tenant contractors within initial interactions to avoid potential issues and provide additional support where necessary. 2.3 demonstrates an understanding of the tenant contractors/consultants processes in tender, award, and contract and how these affect project timelines. 2.4 anticipates the start on site requirements of the tenant contracting teams, providing all required documents, facilitating the safety induction, completing documentation and ensuring payment for any temporary power, hoarding etc. 2.5 verifies that only complete sets of quality drawings are submitted to avoid rejection and delays. highlights submissions requirements before milestone date, monitors for on-time submission and follows up when delays are caused either by the tenant or the vindico studio. 2.6 completes floor walks to maintain awareness of on site progress for all assigned units; uses tools to monitor milestones, completes necessary project reports. 2.7 demonstrates an understanding of local authorities and the approvals that are required for a development e.g. municipality, civil defense, food authorities etc. 2.8 facilitates requests to avoid unnecessary delays, completes permit and inspection requests in a timely manner. communicates requests to the landlord/base build representative on behalf of the tenant contracting teams where necessary. 2.9 documents incidents where delays occur as a result of tenant/tenant contracting teams actions e.g. delay in drawing submissions, delay on site etc. and delays from the base build or landlord’s teams. 2.10 highlights cases where delays are being caused by the tenant and/or their contracting teams and are non-responsive to status update requests. gains additional support from project lead/landlord in order to achieve a positive outcome. 2.11 anticipates ‘approval to trade’ requirements, ensuring that these are highlighted to the tenant and their contracting teams in a timely manner. 2.12 collects and organizes all close-out documentation as required by the project that includes all snagging of the fit-out construction. 2.13 demonstrates an understanding of the importance of the close out process for their tenants. 3. actively monitors the fit out process to eliminate possible opportunities for delay whilst monitoring that all aspects of the build are compliant with required approvals. 3.1 ensures that all pre-start requirements and necessary approvals are obtained prior to issuing approval to start on site. records data within applicable project reports. 3.2 monitors each unit prior to contractors commencing on site to ensure readiness and avoid potential delays, 3.3 monitors general health and safety practices of the tenant contracting team; reports and issues warnings or suspends work if violations occur. 3.4 verifies that on site build complies with the approved design; encouraging contractor to keep sets of approved drawings readily available for inspection. 3.5 completes on-site inspections in a timely manner, issues relevant documentation and records data within applicable project reports. 3.6 obtains all required documentation for change order requests (tenant variation request) on behalf of the landlord representative. communicates requests with administration team in order for applicable trackers to be completed. monitors request, payment and completion of work on site. 3.7 provides a pre-snagging report to minimize the final snagging report issues. this is to be completed throughout the fit-out stage. undertake additional tasks as needed to fulfill the responsibilities of the role. job type: full-time ability to commute/relocate: riyadh: reliably commute or planning to relocate before starting work (preferred) experience: retail design and delivery / tenant coordination: 6 years (required) shop fitout: 5 years (preferred)"
Rawabi Holding Co.,7bc20aed5a99a5ae,Ammonia Production Supervisor,Jubail,Full-time,Today,0,3.9,[],[],[],https://careers.rawabi.com/en/saudi-arabia/jobs/ammonia-production-supervisor-4972002/,https://indeed.com/cmp/Rawabi-Holding,['aws'],"['accuracy', 'communication', 'communication skills', 'coordination', 'decision-making', 'initiative', 'interpersonal skills', 'leadership', 'organization', 'problem-solving', 'responsible', 'time management']",['monitoring'],"rawabi integrated gas company jubail, saudi arabia posted 2 months ago expires in a month job description job summary: we are looking for a knowledgeable and experienced gas industry production supervisor to oversee our production operations and ensure the smooth and efficient running of our gas production processes. the successful candidate will be responsible for monitoring production output, managing the production team, and implementing quality control measures. job responsibilities: oversee the daily operations of the gas production facility and ensure compliance with all safety regulations and production standards. monitor production output, identify areas for improvement, and implement strategies to enhance productivity and efficiency. coordinate and prioritize production schedules to meet customer demands and optimize resource utilization. supervise and train production staff, including hiring and evaluating their performance. collaborate with other departments, such as maintenance and quality assurance, to ensure effective coordination and maintenance of equipment and infrastructure. implement quality control measures to ensure that products meet or exceed customer specifications and industry standards. monitor and analyze production data to identify trends, issues, and opportunities for process improvement. implement and maintain continuous improvement initiatives, such as lean manufacturing or six sigma principles, to enhance production processes and reduce waste. prepare and maintain production reports, including inventory levels, equipment utilization, and production costs. stay updated with industry trends, technological advancements, and regulatory changes to ensure compliance and identify new opportunities for process optimization. candidate requirements: proven experience working in the gas industry, preferably in a production supervisor role. strong knowledge of production processes and equipment used in the gas industry. familiarity with safety regulations and quality control standards. excellent leadership and supervisory skills, with the ability to motivate and develop a team. strong problem-solving and decision-making abilities. exceptional communication and interpersonal skills. detail-oriented with strong analytical and organizational skills. ability to work under pressure and meet deadlines. proficient in using production management software and ms office applications. skills strong knowledge of gas industry processes, production techniques, and safety regulations. proficient in overseeing the production and operation of gas facilities, including managing equipment, materials, and manpower. excellent problem-solving and decision-making skills to address any technical or production issues that may arise. exceptional leadership and management abilities to supervise and guide a team of production workers effectively. strong communication skills to liaise with various stakeholders, such as engineers, technicians, and other departments. efficient organizational and time management skills to ensure smooth production workflow and meet deadlines. attention to detail to ensure compliance with quality control standards and accuracy in measuring, testing, and recording data. ability to analyze production data and identify areas for improvement, implementing strategies to enhance efficiency and productivity. flexibility to adapt to changing production demands and work extended hours as needed. knowledge of health, safety, and environmental regulations pertinent to the gas industry, ensuring compliance with all relevant laws and regulations. education engineering job details job location jubail, saudi arabia company industry industrial production company type employer (private sector) job role other joining date 2024-04-01 employment status full time number of vacancies 1 preferred candidate career level mid career years of experience min: 5 max: 7 degree bachelor's degree job details job location jubail, saudi arabia company industry industrial production company type employer (private sector) job role other joining date 2024-04-01 employment status full time number of vacancies 1"
Atkins,e83373e717918f58,CIVIL/STRUCTURAL ENGINEER (SAUDI NATIONAL),Jeddah,Permanent,1 day ago,1,3.9,['8-12'],[],[],https://jobs.smartrecruiters.com/JobsForHumanity/743999977518730-civil-structural-engineer-saudi-national-,https://indeed.com/cmp/Atkinsr%C3%A9alis,[],"['analysis', 'coordination', 'design', 'discipline']",['transform'],"company description jobs for humanity is collaborating with atkins to build an inclusive and just employment ecosystem. we support individuals coming from all walks of life. company name: atkins job description about atkinsreal atkinsreal is a company dedicated to creating a better future for our planet and its people. we strive to connect people, data, and technology to transform infrastructure and energy systems worldwide. our goal is to deploy global capabilities locally to our clients and provide comprehensive services throughout the entire life cycle of a project. from consulting and advisory services to design, engineering, and maintenance, we aim to deliver sustainable solutions that benefit all. for more information, visit www.atkinsreal.com or connect with us on linkedin. roles &amp; responsibilities coordinate with project engineering/planning manager to ensure deliveries align with project schedule. regularly conduct engineering review meetings with stakeholders and ensure schedule adherence. review designs, calculations, and drawings submitted by contractors in coordination with customers. capable of multitasking and delivering multiple tasks on time. clarify design issues with interdisciplinary managers and resolve project elements. review critical issues and procedural delays, provide support to the construction team, and manage a team of design engineers and draftspersons. review vendor evaluations based on client technical requirements. requirement b.e/b.tech in civil/structural engineering. experience: 8-12 years (preferred experience in tower design, foundation design, tower profiling). knowledge of international standards like bs-en, eurocodes, american codes, and more. proficiency in structural analysis using software like staad, sap2000, etabs. experienced in rcc design engineering and able to review detailed drawings of foundations, especially for ehv transmission line towers. manage design coordination across various project disciplines like electrical, mechanical, and construction."
