name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
AWS EMEA SARL (Saudi Arabia Branch),52156c8f36c93a29,"AI/ML Sales Specialist, MENAT AGS Specialist Team",Riyadh,Full-time,Just posted,0,3.5,"['7+', '7+']",[],[],https://www.amazon.jobs/jobs/2798556/aiml-sales-specialist-menat-ags-specialist-team?cmpid=DA_INAD200785B,https://indeed.com/cmp/Amazon.com,"['aws', 'cloud']","['mentorship', 'organization', 'leadership', 'responsible', 'professional', 'decision-making', 'innovation', 'passion', 'ownership']","['transform', 'cloud computing', 'cloud', 'machine learning']","7+ years of direct sales, pre-sales or business development in software, cloud or saas markets selling to c-level executives experience in account management with solution sales skills, product management experience. must have experience working with data scientist, developers and machine learning professionals. hands on experience on industry leading ide / development platform for machine learning, llm development and software development life-cycle. good arabic and english language skills. are you a customer-obsessed builder with a passion for helping customers achieve their full potential? do you have the business savvy, artificial intelligence and machine learning background, and sales skills necessary to help companies transform their industries by positioning amazon web services (aws) as the generative ai service provider of choice? do you love building new strategic and data-driven businesses? do you want to join generative ai specialty sales organization, one of the fastest-growing organization within aws? join the menat aws global sales organization as a generative ai and machine learning specialist seller! as a generative ai sales specialist, you will be at the forefront of driving adoption and revenue growth for aws's cutting-edge generative ai services. your role will involve identifying high-value customer opportunities within a specific territory and engaging with aws customers to understand their needs and align them with aws generative ai solutions. you will leverage your consultative expertise to become a trusted advisor, guiding customers in embedding and deploying aws generative ai solutions to unlock new value streams and solve key business problems using powerful ai capabilities. with a passion for developing high-potential opportunities and executing effective strategies, you will own the full-cycle sales engagement plan, from identifying qualified leads to realizing revenue. you will understand a customer’s business initiatives, help craft account plan to achieve those initiatives, identify and drive opportunity win plans to enabling those business initiatives, and ensure successful launch to realize both customer vision and aws revenue. you will earn trust with line of business, data science, it personas and executive leaders. you will understand detailed business drivers in your forecast, and intentionally work the best opportunities that maximize your ability to hit revenue goals. you will maintain an in-depth knowledge of aws's generative ai services, leading foundation models and relevant cross-functional areas to build strong relationships with customers. by driving the adoption of cutting-edge generative ai technologies, you will play a pivotal role in propelling aws's revenue growth while helping customers stay ahead of the curve in a rapidly evolving technological landscape. you exercise learn &amp; be curious to articulate aws’ gen ai strategy and the services we offer to accelerate these workloads. you conduct compelling executive conversations on the transformational possibilities of generative ai and data, while also being capable of helping our customers navigate which services to evaluate for their use-cases. you can describe the “why” and “what” of generative ai use case and technical solutions at a 200 to 300 level, with the detailed “how” being provided by solution architects. you will be the preferred point of contact for cross group functions within the organization for for customers in the region. aws sales, marketing, and global services (smgs) is responsible for driving revenue, adoption, and growth from the largest and fastest growing small- and mid-market accounts to enterprise-level customers including public sector. the aws global support team interacts with leading companies and believes that world-class support is critical to customer success. aws support also partners with a global list of customers that are building mission-critical applications on top of aws services. key job responsibilities accelerate customer adoption by defining and implementing tech domain specific gtm and sales strategies within your assigned accounts and technology domain. your strategies will leverage aws sales and our partner ecosystem. ideate with data science, developers, line of business and c-suite leaders, building trust with your deep technical expertise, and following through to help solve their most compelling business problems. act as the front line within your accounts for all specialist customer engagement in your tech domain. create &amp; articulate compelling value propositions that address specific needs of your customers. build and innovate: co-develop gtm motions on new product launches and work with product teams on the creation of innovative new services. partner with the world’s biggest system integrators, fm developers to deliver on customer projects. spearhead market expansion by pinpointing new customer segments and gen ai use cases collaborate cross-functionally to continuously strengthen aws's gen ai value proposition gather voice-of-customer insights to inform product roadmaps and enhance the customer experience drives conversations to build credibility and earn trust with the account teams and customers. drive sales efforts spanning multiple lines of business with decision-making authority and budget ownership. engage systems integrators and closely collaborate with aws partners to deliver maximum customer value develop and deliver compelling roi to drive adoption of aws gen ai solutions. role require traveling up to 50% (local / international). a day in the life you’re surrounded by innovation. you’re empowered with a lot of ownership. your growth is accelerated. the work is challenging. you have a voice here and are encouraged to use it. your experience and career development is in your hands. we live our leadership principles every day. at amazon, it's always ""day 1"". about the team diverse experiences amazon values diverse experiences. even if you do not meet all of the preferred qualifications and skills listed in the job description, we encourage candidates to apply. if your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying. why aws amazon web services (aws) is the world’s most comprehensive and broadly adopted cloud platform. we pioneered cloud computing and never stopped innovating — that’s why customers from the most successful startups to global 500 companies trust our robust suite of products and services to power their businesses. work/life balance we value work-life harmony. achieving success at work should never come at the expense of sacrifices at home, which is why flexible work hours and arrangements are part of our culture. when we feel supported in the workplace and at home, there’s nothing we can’t achieve in the cloud. inclusive team culture here at aws, it’s in our nature to learn and be curious. our employee-led affinity groups foster a culture of inclusion that empower us to be proud of our differences. ongoing events and learning experiences, including our conversations on race and ethnicity (core) and amazecon (gender diversity) conferences, inspire us to never stop embracing our uniqueness. mentorship and career growth we’re continuously raising our performance bar as we strive to become earth’s best employer. that’s why you’ll find endless knowledge-sharing, mentorship and other career-advancing resources here to help you develop into a better-rounded professional. 7+ years of direct sales or business development in software, cloud or saas markets selling to c-level executives experience. preferred experience working on sagemaker knowledge on generative ai services, ai, machine learning and foundation model development. prior sales experience is preferred. some travel involved"
Cognizant,660864c5f42bf5db,Azure AI,Riyadh,"Permanent, Full-time",3 days ago,3,3.9,[],[],[],https://www.efinancialcareers.ie/jobs-Saudi_Arabia-Riyadh-Azure_AI.id21896713,https://indeed.com/cmp/Cognizant-Technology-Solutions,"['azure', 'cloud', 'databricks', 'pytorch', 'scikit-learn', 'tensorflow', 'python']","['organization', 'responsible', 'innovation', 'collaboration', 'interpersonal skills', 'experimentation', 'communication', 'problem-solving', 'planning']","['ml', 'monitoring', 'cloud', 'machine learning', 'devops', 'cloud computing', 'model deployment']","overview this role is pivotal in driving the adoption and optimization of azure ai and machine learning services within an organization. the individual will be responsible for the management and support of these services, ensuring their seamless operation, performance, and alignment with business objectives. key responsibilities service management: overseeing the lifecycle of azure ai and machine learning services, including planning, deployment, configuration, monitoring, and optimization. ensuring high availability, performance, and scalability of ai/ml services. developing and maintaining detailed documentation of service configurations and procedures. technical support: providing technical support and troubleshooting for ai/ml-related issues. collaborating with data scientists, developers, and business users to resolve problems efficiently. identifying and implementing solutions to improve service performance and reliability. infrastructure management: managing the underlying infrastructure for ai/ml workloads, including compute resources, storage, and networking. optimizing resource utilization to maximize cost-efficiency. implementing disaster recovery and business continuity plans. model deployment and management: deploying and managing ai models into production environments. monitoring model performance and retraining as needed. integrating ai models into business applications and processes. team collaboration: collaborating with data scientists, engineers, and business stakeholders to understand their needs and requirements. providing guidance and expertise on ai/ml technologies and best practices. fostering a culture of innovation and experimentation within the team. stay updated: keeping abreast of the latest advancements in ai and machine learning. evaluating new technologies and tools to improve service capabilities. sharing knowledge and insights with the team through training and presentations. required skills and experience strong understanding of azure ai and machine learning services, including azure machine learning, cognitive services, and azure databricks. proficiency in python, r, or other programming languages used for data science and machine learning. experience with cloud computing platforms and infrastructure. knowledge of data engineering and data pipeline development. strong problem-solving and troubleshooting skills. excellent communication and interpersonal skills. ability to work independently and as part of a team. desired qualifications certifications in azure ai and machine learning. experience with specific ai/ml frameworks and tools (e.g., tensorflow, pytorch, scikit-learn). knowledge of devops practices and tools. experience with mlops and model lifecycle management. job id 00060967742"
KEO International Consultants,e2929de7d81cd73d,Statistical Analyst,Jeddah,,6 days ago,6,4.2,"['60', '3+']",[],['bachelor'],https://careers-keo.icims.com/jobs/9787/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,https://indeed.com/cmp/Keo-International-Consultants,"['sas', 'power bi', 'tableau', 'spss', 'python']","['communication skills', 'planning', 'responsible', 'attention to detail', 'professional', 'decision-making', 'design', 'accuracy', 'innovation', 'communication', 'analysis', 'analytical skills', 'integrity']","['monitoring', 'statistics', 'mathematics', 'data visualization', 'data analysis']","overview: keo is a creative enterprise, where innovation is a way of life. we are uniquely resourced with end-to-end services to take clients from inspiration – through conceptualization – to realization of planning, design or project delivery in the built and natural environments. for over 60 years we’ve led with vision, contributing to many of the world’s most ambitious projects, iconic places, remarkable experiences and prosperous communities. as a highly integrated and agile aep/pmcm firm, keo is recognized by enr as one of the top 225 international design firms and one of the top 20 international pm/cm firms. we are also ranked by world architecture as the 51st largest global architecture firm and the #1 firm in the middle east region in their 2024 wa100 survey. we invite you to join us. why? when you join keo, you’ll discover more than just a job – you’ll find a supportive environment that fosters your professional development through internal global mobility and career development and does so within a culture that supports company-wide health and well-being through on-demand counselling services and regular workplace clinics. you will be invited to celebrate community events such as sports days, fun-runs, in-house sports teams and beach clean ups. in addition to your competitive package and benefits you will have access to a suite of policies that include hybrid working arrangements, individual athletic sponsorship, study assistance sponsorship, employee referral rewards. responsibilities: our newest opportunity is for a talented statistical analyst to join our team based in jeddah, ksa. this position will be responsible for collecting, analyzing, and interpreting data related to the performance of cleaning and waste management projects in jeddah governorate. this role will involve developing statistical models, creating reports, and providing insights to support decision-making and optimize project outcomes. the successful candidate will play a crucial role in ensuring that data-driven insights contribute to the effective monitoring and improvement of project performance. we envisage success in this role to include: collecting and analyzing data from various sources to evaluate the performance of cleaning and waste management projects. developing statistical models to forecast trends and predict project outcomes. creating detailed reports and data visualizations to present findings and insights to project teams and stakeholders. identifying patterns and correlations in data that can be used to improve project efficiency and performance. collaborating with project managers to ensure that data analysis aligns with project goals and key performance indicators (kpis). ensuring the accuracy and integrity of data used for analysis, including validating data sources and cleaning data sets. providing recommendations based on data insights to guide project improvements and strategic decisions. staying up-to-date with new statistical techniques and data analysis tools to enhance reporting and analysis capabilities. qualifications: to be successful in this dynamic opportunity, we envision that your career journey to date will include 3+ years of experience in data analysis or statistical modeling, preferably in public infrastructure or environmental services, partnered with a bachelor’s degree in statistics, mathematics, data science, or a related field. furthermore, you should demonstrate: strong proficiency in statistical software and tools (e.g., r, python, spss, sas). experience with data visualization tools (e.g., power bi, tableau) for creating reports and dashboards. certification in data analysis or statistical modeling (e.g., certified data scientist) is an advantage. excellent analytical skills, with a strong attention to detail and ability to interpret complex data sets. excellent communication skills in both english and arabic. saudi nationals are strongly encouraged to apply. keo’s performance is founded upon integrity, results, innovation, safety and our people. we embrace diversity and recognise its’ contribution to client success wherever we work. we are excited to hear how you can partner with our award-winning team and treat all expressions of interest confidentially."
Infosysta,7eab2460a22d923e,Senior AI Lead Engineer,Riyadh,Full-time,6 days ago,6,,['8+'],[],"['master', 'phd']",http://sa.indeed.com/job/senior-ai-lead-engineer-7eab2460a22d923e,https://indeed.com/cmp/Infosysta,"['azure', 'cloud', 'aws', 'pytorch', 'spark', 'hadoop', 'tensorflow', 'python']","['focus', 'leadership', 'design', 'innovation', 'continuous learning', 'analysis']","['data security', 'google cloud', 'ml', 'cloud', 'big data', 'data analysis']","job description: we are looking for a lead/senior ai engineer with extensive experience in architecting and deploying ai-driven solutions for government and public sector projects. in this role, you will spearhead the development of ai systems designed to enhance public services, increase operational efficiency, and drive digital transformation within government agencies. you will work closely with senior government officials and decision-makers, providing technical leadership and innovative solutions that leverage ai to tackle some of the most pressing challenges in public administration. key responsibilities: lead the development and implementation of ai-driven solutions for complex government use cases, including smart city initiatives, citizen services automation, public safety, and large-scale data analysis. provide thought leadership on the application of ai in government operations, advising senior government officials and stakeholders on ai strategies. design scalable ai architectures that can be integrated into existing public sector it infrastructures while ensuring compliance with regulatory and security standards. collaborate with interdisciplinary teams (policy makers, software developers, data scientists) to deliver ai solutions that meet the unique needs of government clients. drive the adoption of ai in government, identifying and capitalizing on opportunities to improve services, optimize resource allocation, and reduce costs. stay abreast of emerging ai technologies and methodologies, continually applying them to government use cases to drive innovation. mentor junior engineers and data scientists, fostering a team culture of excellence and continuous learning. qualifications: master’s or phd in computer science, artificial intelligence, data science, or related fields. 8+ years of hands-on experience in ai/ml model development, with a strong focus on public sector or government projects. extensive expertise in ai frameworks (e.g., tensorflow, pytorch) and programming languages (python, r), as well as experience with big data processing tools (hadoop, spark). strong understanding of public sector challenges and use cases for ai, such as smart cities, healthcare analytics, public safety, and digital governance. demonstrated ability to lead large-scale ai initiatives and work with senior government officials or executives. expertise in ensuring data security, compliance, and privacy within government ai applications. proven track record of delivering ai projects in complex, multi-stakeholder environments. preferred skills: experience with cloud platforms (aws, azure, google cloud) for ai deployments in government. knowledge of government regulations and ethical considerations surrounding the use of ai, particularly in citizen data management and public policy. publications or contributions to ai thought leadership in public sector forums or conferences. job type: full-time pay: from ﷼25,000.00 per month application question(s): do you have a proven track record of delivering ai projects in complex, multi-stakeholder environments? government?"
Parsons,e32073bbbcc00faf,Urban Planner (Saudi National),Riyadh,Full-time,6 days ago,6,3.9,['8+'],[],"['master', 'bachelor']",https://parsons.wd5.myworkdayjobs.com/en-US/Search/job/SA---Riyadh/Urban-Planner--Saudi-National-_R158864,https://indeed.com/cmp/Parsons,[],"['coordination', 'planning']",[],"job description: ready to put your urban planning to work on marquee environmental projects that will change the fabric of our community? would you enjoy being involved on a wide variety of analytical tasks on complex projects? parsons is now hiring an urban planner for our rapidly expanding portfolio of environmental projects. responsibilities: performs various assignments requiring conventional planning expertise, but may include some difficult planning and coordination requirements. gathers, compiles, and analyzes data on economic, social, and physical factors affecting land use. confers with local authorities, civic leaders, social scientists, and land planning and development specialists to devise and recommend arrangements of land and physical facilities for residential, commercial, transportation, industrial, and community uses. prepares, coordinates, and facilitates public involvement and consensus building meetings and workshops. reviews and evaluates environmental impact reports. assists in coordinating reuse and redevelopment master plans. may coordinate the work of technicians and/or lower level planners. performs other responsibilities associated with this position as may be appropriate. qualifications: bachelor's degree in urban/environmental planning or related field. 8+ years of related work experience. certified planner certification is preferred at this level. working knowledge of urban/environmental planning practices and procedures. proficiency in utilizing pc and various software packages typically used in urban/environmental planning assignments is required. saudi nationals only. minimum clearance required to start: not applicable/none parsons is an equal opportunity employer committed to diversity in the workplace. minority/female/disabled/protected veteran."
FlyAkeed,32e245e0e3066695,Data Scientist Specialist,Riyadh,,7 days ago,7,,['3+'],[],['bachelor'],https://apply.workable.com/j/1056CBF9DA,https://indeed.com/cmp/Flyakeed,"['power bi', 'tableau', 'sql', 'python']","['communication skills', 'focus', 'attention to detail', 'collaborative', 'problem-solving', 'communication', 'analysis', 'planning', 'integrity']","['data manipulation', 'problem-solving skills', 'statistics', 'machine learning', 'data visualization', 'data analysis']","about flyakeed: flyakeed is an innovative platform designed to simplify travel planning, helping customers book flights and hotels seamlessly. founded in 2017 and based in riyadh, saudi arabia, we aim to revolutionize business travel with our state-of-the-art solutions. highlights: current funding stage: series a supported by: pif subsidiary sanabil investments, elm, artal capital, alrajhi partners. as a data scientist specialist at flyakeed, you will play a crucial role in analyzing complex datasets to derive actionable insights that inform our business strategies. you will work closely with various teams to understand their data needs and provide data-driven solutions that enhance our products and services. key responsibilities: perform exploratory data analysis to identify trends, patterns, and anomalies in the data. build and implement predictive models and machine learning algorithms to solve business challenges. create interactive dashboards and visualizations to effectively communicate insights to stakeholders. work with cross-functional teams to translate business questions into analytical tasks, and present findings in a clear and concise manner. stay updated on industry trends and advancements in data science methodologies. ensure data integrity and compliance with relevant data privacy regulations. requirements bachelor's degree in data science, statistics, computer science, or a related field. 3+ years of experience in a data science role with a strong focus on predictive modeling. proficiency in programming languages such as python or r. solid understanding of statistical methods and machine learning algorithms. experience with data visualization tools (e.g., tableau, power bi, or similar). familiarity with sql and data manipulation in relational databases. strong analytical and problem-solving skills with attention to detail. excellent communication skills to relay complex concepts to diverse stakeholders. ability to work independently and as part of a collaborative team environment."
WSP,44ee3d150309935a,Civil Engineer_Saudi National,Riyadh,,12 days ago,12,3.8,['5'],[],['bachelor'],https://emea5-foc.lumessetalentlink.com/tlk/pages/fo/advert/details.jsp?nPostingTargetId=155144&id=PH8FK026203F3VBQB8N6GLOGM&LG=UK&languageSelect=UK&source=Indeed&sType=Indeed+Organic,https://indeed.com/cmp/Wsp,[],"['responsible', 'professional', 'decision-making', 'design', 'motivated', 'problem-solving', 'project management', 'planning']","['project management', 'transform']","we are wsp - join us and make your career future ready! think bigger scale. think higher profile. think ground-breaking. join wsp, and you’ll be at the heart of a team of international experts all dedicated to growing and sharing their expertise and working on projects that transform society for all of us. we are seeking a highly skilled and motivated civil engineer specializing in infrastructure to join our dynamic team in riyadh. the ideal candidate will be responsible for designing, planning, and overseeing construction and maintenance of building structures and infrastructure, such as roads, pavements, utilities, hardscape. your new role, what's involved? conduct site surveys, soil investigations, and geotechnical assessments to gather data for design purposes. develop detailed designs for airport infrastructure, including runways, taxiways, aprons, and terminal buildings. prepare construction drawings, specifications, and cost estimates for airport projects. coordinate with other disciplines, such as structural, electrical, and mechanical engineers, to ensure integrated and cohesive designs. provide technical support during the construction phase, including reviewing submittals, responding to rfis, and attending site meetings. ensure compliance with applicable airport design standards, regulations, and safety requirements. collaborate with project managers and stakeholders to identify and mitigate risks, and develop contingency plans. contribute to the development of innovative and sustainable design solutions for airport projects. mentor and guide junior engineers and technicians within the team. supervise and inspect construction sites to monitor progress and ensure adherence to design specifications and safety standards. address and resolve any issues or discrepancies that arise during construction. conduct quality control checks and prepare progress reports. we'd love to hear from you if you have: bachelor's degree in civil engineering or a related field. minimum 5 years of experience in civil engineering, specifically in infrastructure projects. proficiency in autocad, civil 3d, and other relevant engineering software. strong understanding of civil engineering principles, construction methods, and project management. excellent problem-solving, analytical, and decision-making skills. ability to work collaboratively in a team environment and communicate effectively with stakeholders. fluency in english required. saudi national. what's in it for you? as well as rewarding you with competitive pay, wsp offers standard benefits including first class medical cover, generous annual leave, and paid professional subscriptions. be you, be happy - we strive to have a friendly and inclusive culture which respects and maximizes the contribution individuals can bring to wsp. we recognise the benefits that people with varying backgrounds and experiences can bring. here at wsp we positively encourage applications from suitably qualified and eligible candidates regardless of sex, race, disability, age, religion or belief, marital status, pregnancy or maternity/paternity. we will interview all disabled applicants who meet the essential criteria. apply now and be the future of wsp! wsp is one of the world's leading engineering professional services consulting firms. we are dedicated to our local communities and propelled by international brainpower. we are technical experts and strategic advisors including engineers, technicians, scientists, architects, planners, surveyors and environmental specialists, as well as other design, program and construction management professionals. we design lasting solutions in the property &amp; buildings, transportation &amp; infrastructure, environment, industry, resources (including mining and oil &amp; gas) and power &amp; energy sectors as well as project delivery and strategic. job reference: wspme04205"
AECOM,95e971efee6f47af,"Advisor - Safety, Health & Environment",Riyadh,Full-time,13 days ago,13,3.7,[],[],[],https://jobs.smartrecruiters.com/AECOM2/744000016307886-advisor-safety-health-environment,https://indeed.com/cmp/AECOM,[],"['commitment', 'responsible', 'professional', 'responsibility', 'design', 'analysis', 'flexibility', 'planning', 'integrity']",['data analysis'],"company description work with us. change the world. at aecom, we're delivering a better world. whether improving your commute, keeping the lights on, providing access to clean water, or transforming skylines, our work helps people and communities thrive. we are the world's trusted infrastructure consulting firm, partnering with clients to solve the world’s most complex challenges and build legacies for future generations. there has never been a better time to be at aecom. with accelerating infrastructure investment worldwide, our services are in great demand. we invite you to bring your bold ideas and big dreams and become part of a global team of over 50,000 planners, designers, engineers, scientists, digital innovators, program and construction managers and other professionals delivering projects that create a positive and tangible impact around the world. we're one global team driven by our common purpose to deliver a better world. join us. job description under minimal supervision, responsible for the most complex technical work in a wide range of environmental, health and safety disciplines to achieve compliance with es&amp;h standards along with federal and state regulatory requirements. maintains expert knowledge of specific government agency requirements. utilizes advanced techniques and diversified knowledge of environmental principles. assignments are usually self-initiated. uses independent judgment and discretion in data analysis and problem resolution. develops, implements and maintains safety and health programs, systems and procedures. monitors and prevents hazards and diseases that could be present in the work area. investigates accidents, injuries, and complaints concerning hazards in the workplace. recommends improvements in processes, design, procedures and operating equipment's to minimize hazards. develops and conducts employee training, emergency preparedness and assures the quality of programs. provides regulatory interpretation and technical advice. prepares reports and recommends corrective action. work includes technical responsibility for a major phase or component of a project. acts as a lead role for a team of es&amp;h specialists and/or support personnel. additional information about aecom aecom is the world’s trusted infrastructure consulting firm, delivering professional services throughout the project lifecycle – from advisory, planning, design and engineering to program and construction management. on projects spanning transportation, buildings, water, new energy and the environment, our public- and private-sector clients trust us to solve their most complex challenges. our teams are driven by a common purpose to deliver a better world through our unrivaled technical and digital expertise, a culture of equity, diversity and inclusion, and a commitment to environmental, social and governance priorities. aecom is a fortune 500 firm and its professional services business had revenue of $14.4 billion in fiscal year 2023. see how we are delivering sustainable legacies for generations to come at aecom.com and @aecom. freedom to grow in a world of opportunity you will have the flexibility you need to do your best work with hybrid work options. whether you’re working from an aecom office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed. you will help us foster a culture of equity, diversity and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients. aecom provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families. we also provide a robust global well-being program. we’re the world’s trusted global infrastructure firm, and we’re in this together – your growth and success are ours too. join us, and you’ll get all the benefits of being a part of a global, publicly traded firm – access to industry-leading technology and thinking and transformational work with big impact and work flexibility. as an equal opportunity employer, we believe in each person’s potential, and we’ll help you reach yours. all your information will be kept confidential according to eeo guidelines."
Salla,bf56819efe3b2ebc,Data Science Manager,Jeddah,Full-time,13 days ago,13,,"['7', '12']",[],['graduate'],https://apply.workable.com/j/AD45E41FF7,https://indeed.com/cmp/Salla,"['cloud', 'elasticsearch', 'python', 'aws', 'java', 'keras', 'snowflake', 'cassandra', 'spark', 'pandas', 'hadoop', 'scikit-learn', 'matlab', 'tensorflow', 'llms']","['presentation skills', 'communication skills', 'leadership', 'planning', 'collaborative', 'design', 'continuous learning', 'accuracy', 'collaboration', 'innovation', 'problem-solving', 'research', 'communication', 'analysis', 'analytical skills', 'project management']","['cloud', 'mathematics', 'big data', 'machine learning', 'llms', 'natural language processing', 'model deployment', 'deep learning', 'statistics', 'data modeling', 'nlp', 'classification', 'project management', 'data analysis']","we are seeking an experienced data science manager to lead our data science teams at salla. this role is pivotal in developing our roadmap for ai applications and services, ensuring that data-driven insights and models align with business objectives. the ideal candidate will oversee a team of data science professionals, including data science team leads and individual contributors, driving the planning, development, and deployment of advanced analytics and machine learning models. responsibilities team leadership: manage and mentor a diverse team of data scientists, machine learning engineers, mlops professionals, and business analysts. foster a collaborative and innovative environment. project management: lead the conception, planning, and execution of data science projects. align these projects with organizational goals and ensure timely delivery. data analysis and model building: oversee the analysis of raw data, including quality assessment, cleansing, preprocessing, and structuring for downstream processing. supervise the development and implementation of machine learning models across various domains. research and development: conduct r&amp;d activities in data science and machine learning practices. utilize deep learning techniques to solve complex problems in areas such as recommendation engines, chatbots, and natural language processing (nlp). model deployment: collaborate with engineering and product teams to ensure seamless integration of ai models into production. provide technical guidance and support during deployment. innovation and solution design: design and develop scalable machine learning models, ensuring accuracy and effectiveness. create new service offerings and solutions in e-commerce and other fields. cross-functional collaboration: work closely with data engineers, quality assurance officers, business analysts, and software developers to translate ideas and prototypes into robust solutions. continuous learning: stay abreast of the latest trends and advancements in data science, machine learning, and large language models (llms) to drive innovation within the team. stakeholder communication: communicate complex data insights and model outcomes to stakeholders, ensuring clarity and alignment with business objectives. requirements experience: minimum of 7 years in a leadership role managing data science projects and teams. at least 12 years of experience in data science, quantitative analytics, and data modeling. educational background: post-graduate degree in a quantitative field such as statistics, mathematics, computer science, or engineering. technical expertise: deep understanding of predictive modeling, machine learning, clustering, and classification techniques. proven experience with deep learning algorithms and llms. programming skills: proficiency in python and its libraries (tensorflow, keras, pandas, scikit-learn). familiarity with other programming languages (shell scripts, c++, .net, java, matlab, r) is an advantage. big data and databases: familiarity with database technology, query languages, , big data frameworks (elasticsearch, cassandra, hadoop, spark), cloud environments (aws, snowflake). knowledge of data management and visualization techniques. analytical skills: strong problem-solving abilities with a solid grasp of algorithms and object-oriented programming. project management: demonstrated organizational, leadership, and project management skills. ability to prioritize and manage multiple projects simultaneously. communication skills: excellent communication and presentation skills, with the ability to convey complex concepts to both technical and non-technical stakeholders. business acumen: a strong business mindset with the ability to align data products and ai models with organizational goals."
AECOM,a7632a22ae07b4af,BIM Technician,Riyadh,Full-time,14 days ago,14,3.7,[],[],['bachelor'],https://jobs.smartrecruiters.com/AECOM2/744000015982034-bim-technician,https://indeed.com/cmp/AECOM,[],"['commitment', 'attention to detail', 'professional', 'design', 'interpersonal skills', 'communication', 'flexibility', 'planning', 'integrity']",[],"company description work with us. change the world. at aecom, we're delivering a better world. whether improving your commute, keeping the lights on, providing access to clean water, or transforming skylines, our work helps people and communities thrive. we are the world's trusted infrastructure consulting firm, partnering with clients to solve the world’s most complex challenges and build legacies for future generations. there has never been a better time to be at aecom. with accelerating infrastructure investment worldwide, our services are in great demand. we invite you to bring your bold ideas and big dreams and become part of a global team of over 50,000 planners, designers, engineers, scientists, digital innovators, program and construction managers and other professionals delivering projects that create a positive and tangible impact around the world. we're one global team driven by our common purpose to deliver a better world. join us. job description assist in the creation and management of bim models to ensure they reflect the latest design changes and construction requirements. collaborate with site supervision teams to resolve technical issues related to bim models during construction. maintain accurate and up-to-date records of project data, including drawings, specifications, and models. conduct regular checks to ensure that bim outputs meet project standards and quality requirements. work closely with architects, engineers, and construction teams to facilitate communication and streamline project workflows. provide guidance and training to site staff on bim processes and software tools. prepare and maintain documentation related to bim processes, including reports and meeting minutes. identify potential challenges in the construction process and propose bim-based solutions to enhance efficiency. qualifications bachelor degree in architecture, engineering, construction management, or a related field. proficiency in bim software (e.g., revit, navisworks, autocad) and other relevant tools. strong understanding of construction processes, building codes, and industry standards. excellent communication and interpersonal skills to work effectively with diverse teams. attention to detail and strong organizational skills. ability to work in a fast-paced environment and adapt to changing project needs. additional information about aecom aecom is the world’s trusted infrastructure consulting firm, delivering professional services throughout the project lifecycle – from advisory, planning, design and engineering to program and construction management. on projects spanning transportation, buildings, water, new energy and the environment, our public- and private-sector clients trust us to solve their most complex challenges. our teams are driven by a common purpose to deliver a better world through our unrivaled technical and digital expertise, a culture of equity, diversity and inclusion, and a commitment to environmental, social and governance priorities. aecom is a fortune 500 firm and its professional services business had revenue of $14.4 billion in fiscal year 2023. see how we are delivering sustainable legacies for generations to come at aecom.com and @aecom. freedom to grow in a world of opportunity you will have the flexibility you need to do your best work with hybrid work options. whether you’re working from an aecom office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed. you will help us foster a culture of equity, diversity and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients. aecom provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families. we also provide a robust global well-being program. we’re the world’s trusted global infrastructure firm, and we’re in this together – your growth and success are ours too. join us, and you’ll get all the benefits of being a part of a global, publicly traded firm – access to industry-leading technology and thinking and transformational work with big impact and work flexibility. as an equal opportunity employer, we believe in each person’s potential, and we’ll help you reach yours. all your information will be kept confidential according to eeo guidelines."
