name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
Microsoft,efe5602ca4adb8c7,Cloud Solution Architect - Azure AI and Machine Learning,Saudi Arabia,Full-time,Just posted,0,4.2,[],[],[],https://careers.microsoft.com/us/en/job/1704509/Cloud-Solution-Architect---Azure-AI-and-Machine-Learning?jobsource=indeed&utm_source=Job Board&utm_campaign=indeed-feed,https://indeed.com/cmp/Microsoft,"['aws', 'cloud', 'scala']","['accountability', 'collaboration', 'communication', 'communication skills', 'design', 'insight', 'integrity', 'organization', 'responsible']","['cloud', 'transform']","with over 18,000 employees worldwide, the microsoft customer experience &amp; success (ce&amp;s) organization is responsible for the strategy, design, and implementation of microsoft’s end-to-end customer experience. come join ce&amp;s and help us build a future where customers come to us not only because we provide industry-leading products and services, but also because we provide differentiated and connected customer experience. the global customer success (gcs) organization is leading the effort to create the desired customer experience through support offer creation, driving digital transformation across our tools, and delivering operational excellence across ce&amp;s. as a cloud solution architect aligned to the azure ai platform for microsoft's customer experience &amp; success (ce&amp;s) organization, you will enable customers to achieve their outcomes based on their investments in microsoft technology. leveraging your microsoft azure artificial intelligence (ai) and machine learning (ml) technical subject matter expertise, you will lead technical conversations with customers and microsoft colleagues, driving value to their organization. this is a hands-on role that includes accelerating customer adoption by building generative ai solutions and identifying resolutions to unblock customer success projects. you will also drive product influence with engineering through technical feedback and increase technical intensity with the field teams. this opportunity will allow you to accelerate your career growth, honing your technical and collaboration skills, and deepening your cloud expertise. the microsoft customer experience &amp; success (ce&amp;s) organization is responsible for the strategy, design, and implementation of microsoft’s end-to-end customer experience. come join ce&amp;s and help us build a future where customers come to us not only because we provide industry-leading products and services, but also because we provide differentiated and connected customer experience. microsoft’s mission is to empower every person and every organization on the planet to achieve more. as employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond. responsibilities accelerate new customer opportunities from proof of concept (poc) to production for azure ai workloads such as azure openai, azure cognitive search, and azure machine learning provide customers with generative ai expertise and advisory through architecture designs, proof of concepts, production reviews, and post-sales support. expand and grow azure ai adoption for existing customer base. lead and provide guidance in technical escalations to unblock ai customers in collaboration with microsoft stakeholders. provide expert perspective to key stakeholders to increase platform adoption through customer insights &amp; feedback on a regular basis. drive product improvement and influence roadmap with engineering through deep technical insights. increase ai technical intensity in the field through upskilling, sharing best practices, and scaling repeatable ip other: embody our culture and values qualifications required/minimum qualifications bachelor’s degree in computer science, information technology, engineering, business, or related field and proven years’ experience in cloud/infrastructure technologies, information technology (it) consulting/support, systems administration, network operations, software development/support, technology solutions, practice development, architecture, and/or consulting or equivalent experience. proven years’ experience with enterprise-scale technical delivery experience with azure ai services including azure openai, azure cognitive search, azure speech, azure machine learning (or equivalent), generative ai, llm customization, nlp, search, mlops, open-source ai frameworks, ai infrastructure, architecture design. proven years’ experience creating ai proof of concepts and minimum viable products (mvps) and supporting production deployments. additional or preferred qualifications breadth of technical experience and knowledge (preferred): application development skills – proficient with python, java, or similar programming languages in the context of application development, and ability to integrate azure ai with other services; cloud application deployment experience with services such as azure functions, kubernetes, docker, api management, and related. architecture design – the ability to create and explain 3-tier architecture diagrams, system context diagrams, system interaction diagrams, etc. experience in architecting deployments for production in an enterprise setting including infrastructure knowledge, security, networking, and other considerations. proven years’ experience working on technical projects in a customer-facing role (e.g., internal and/or external) ability to build relationships, orchestrate, lead, and influence virtual teams, ensuring successful acceleration and unblocking of customer projects. technical certification in cloud (e.g., azure, amazon web services, google, security certifications) presentation and communication skills with a high degree of comfort with key audiences (senior executives, management, data scientists, engineers, etc.) microsoft is an equal opportunity employer. consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. if you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
Lucidya,addd4c31b02b0dc7,System Administrator - Jeddah,Jeddah,Full-time,2 days ago,2,,['3+'],[],[],https://apply.workable.com/j/454B4C5585,https://indeed.com/cmp/Lucidya,['cloud'],"['design', 'innovation', 'organization', 'planning', 'problem-solving', 'responsible']","['cloud', 'monitoring', 'problem-solving skills', 'scripting']","you will join a team of highly qualified engineers to continue the innovation and development of our product which uses machine learning &amp; big data technologies to analyze content from several data sources. as a system admin, you will help us manage our cloud resources to ensure the continuity of our service. you will be responsible for configuring and securing our virtual machines, virtual networks and virtual drives and provide support to the development team by providing proper access to our resources. you will also be required to analyze application logs, operating system logs and system performance data to provide preemptive corrective plans. you will also be asked to prepare usage reports and support the cto in resource planning and cost management. we expect you to learn fast how our system is designed, efficiently troubleshoot any issues and quickly adapt to our fast changing technologies. lucidya offers a result-driven, fun, and dynamic environment full of challenges. apply only if scale and complexity excite you. key tasks &amp; responsibilities proactively maintain, develop company virtual resources including: virtual machines, databases, virtual disks, virtual networks and other cloud services. maintain best practices on managing systems and company services across all product environments coordinate with different teams to ensure smooth product deployment frequently monitoring system performance and capacity planning perform scheduled and urgent system backups, maintenance and upgrades any time of the day recover company product and resources in case of any unexpected downtime work in shifts as needed be available for on-call support as needed requirements bachelor's degree in computer science, software engineering, it or related field 3+ years of experience in administering cloud resources (aws, azure, etc.) good knowledge in shell scripting and ability to edit various server configurations strong background in linux concepts experience in building, installing, and configuring web servers such as nginx and apache experience in building, installing, and configuring open source systems such as elasticsearch, redis, rabbitmq, activemq, mysql, postgresql excellent organizational skills and proven analytical, planning, and problem-solving skills fluent in arabic and english"
Lucidya,1d4d9fb3fec9e9df,Software Engineer - Backend (Jeddah),Jeddah,Full-time,2 days ago,2,,['3'],[],[],https://apply.workable.com/j/9AF722AFD2,https://indeed.com/cmp/Lucidya,['scala'],"['design', 'innovation', 'organization', 'planning', 'problem-solving', 'responsible']",[],"you will join a team of highly qualified team engineers to continue the innovation and development of our product which uses machine learning &amp; big data technologies to analyze content from several data sources. as a backend developer, you will be responsible for designing, developing, and maintaining the backend systems of lucidya's product. you will work with technologies such as redis, postgres, and cassandra, and develop apis using python and ruby on rails. you will work directly under the engineering manager in an agile yet demanding environment. we expect you to be a fast learner and quickly adapt to the technologies mentioned above. lucidya offers a result-driven, fun, and dynamic environment full of challenges. we are looking for talented candidates with strong programming skills. key tasks &amp; responsibilities rapidly develop scalable, flexible, and high-performance backend systems. design, develop, test, deploy, maintain, and improve software (backends and databases, in particular). manage individual project priorities, deadlines, and deliverables. handle devops tasks. contribute to the growth of lucidya through interviewing, onboarding, or other recruitment efforts. requirements ba/bs or master's degree in computer science, software engineering, it or equivalent practical experience. at least 3 years of experience in software development. strong knowledge of sql and nosql databases such as redis, postgres or cassandra. fluency in python or ruby on rails. knowledge of web servers and web application servers (e.g., apache, jetty, tomcat, iis). knowledge of code repositories like git. ability to multitask and adapt to shifting priorities, demands, and tight timelines. database design skills. experience in building high-quality code. excellent organizational skills and proven analytical, planning, and problem-solving abilities. full-stack development with a background in reactjs is a plus."
Salt Recruitment,af0293798268a039,Senior Data Scientist,Saudi Arabia,,5 days ago,5,3.3,"['6', '2']",[],[],https://welovesalt.com/mena/jobs/technology/data-science-analytics/senior-data-scientist-722447/,https://indeed.com/cmp/Salt-Recruitment,['cloud'],['focus'],"['cloud', 'machine learning', 'model deployment', 'transform']","my client is a premium cloud and digital transformation company based in the middle east you will contribute to the development and implementation of machine learning algorithms, particularly focusing on computer vision and time series prediction, to address business challenges. key responsibilities: design and implement machine learning models- primarily in the areas of computer vision and time series prediction. work with senior data scientists and data engineers to contribute to data pipeline construction, data preprocessing, and model deployment at scale. support the evaluation and refinement of existing machine learning models, following devops and ci/cd best practices. ideal candidate: master’s or bachelor’s in computer science, statistics, or related field. minimum of 6 years’ experience in data science, with minimum 2 years focus on computer vision. experience with machine learning frameworks such as tensorflow, or keras, or pytorch. proficiency in python and sql *** only successful candidates will be contacted *** salt is acting as an employment agency in relation to this vacancy. job information job reference: jo-2403-342553 salary: negotiable salary per: annum job duration: job start date: 07/07/2024 job location: saudi-arabia job industry: data science &amp; analytics job industries: data science &amp; analytics jobs job locations: saudi arabia"
Salt Recruitment,b80580082f19687e,Data Scientist,Saudi Arabia,,5 days ago,5,3.3,"['6', '2']",[],[],https://welovesalt.com/mena/jobs/technology/data-science-analytics/data-scientist-722446/,https://indeed.com/cmp/Salt-Recruitment,['cloud'],['focus'],"['cloud', 'machine learning', 'model deployment', 'transform']","my client is a premium cloud and digital transformation company based in the middle east you will contribute to the development and implementation of machine learning algorithms, particularly focusing on computer vision and time series prediction, to address business challenges. key responsibilities: design and implement machine learning models- primarily in the areas of computer vision and time series prediction. work with senior data scientists and data engineers to contribute to data pipeline construction, data preprocessing, and model deployment at scale. support the evaluation and refinement of existing machine learning models, following devops and ci/cd best practices. ideal candidate: master’s or bachelor’s in computer science, statistics, or related field. minimum of 3 – 6 years’ experience in data science, with minimum 2 years focus on computer vision. experience with machine learning frameworks such as tensorflow, or keras, or pytorch. proficiency in python and sql location: al khobar, ksa *** only successful candidates will be contacted *** salt is acting as an employment agency in relation to this vacancy. job information job reference: jo-2403-342552 salary: negotiable salary per: annum job duration: job start date: 07/07/2024 job location: saudi-arabia job industry: data science &amp; analytics job industries: data science &amp; analytics jobs job locations: saudi arabia"
Rieckermann,5381d795abde1be7,SERVICE ENGINEER,Jeddah,Full-time,7 days ago,7,4.6,['5'],[],[],https://rieckermann.com/wp-content/uploads/2024/03/rieckermann-job-ads-me2402-service-engineer.pdf,https://indeed.com/cmp/Rieckermann,[],"['motivated', 'organization', 'professional']",[],"service engineer we at rieckermann saudi arabia are on an exciting journey of growth and are looking for a motivated service engineer to join our team and help us achieve our vision to become “your first choice industrial solution provider”. at rieckermann, our employees are our most precious asset. we embrace the values quality, commitment and trust, which our colleagues and customers can appreciate in their rieckermann experience. we welcome ideas and innovative processes that can help us drive our organization further, and encourage learning and growth for your continuous professional development. we look forward to having you in the rieckermann family! key duties key requirements  must be familiar with various industrial machineries (i.e. food and  degree in mechatronics engineering beverage processing, bakery, and plastic)  with more than 5 years of professional experience in  must be able to understand and analyze pneumatic, hydraulic, electrical industrial machinery, service and maintenance schematic diagrams, layouts and process and instrumentation diagrams  applicants from ksa must have a valid saudi engineering  must be able to execute the given task in an efficient manner council certificate  must be able to do the assembly, inspection and testing of machines  fluent in english language (speaking, reading and writing)  must oversee the repair of each machine and inspection of its  strong communications and inter-personal skills coupled with components ability to manage personnel on site  must prepare service report after every job completion  excellent computer and technical reporting skills  must ensure all service jobs are completed on time  willingness to travel as needed  must liaise with suppliers/spare parts suppliers on timely basis or as required  must be able to orient and train customers on the use of machines  must be able to provide after sales technical support to customers rieckermann is a privately-owned group of companies providing international industrial solutions. we have more than 750 employees at 24 offices in 17 countries spanning europe, asia and the middle east. we have been in business since 1892 and have established ourselves as a leading provider in our core markets and industries. our service portfolio covers the entire value chain and scope of industrial plant development in various industry sectors: from single unit machines and equipment to complete production lines. we deliver high quality, tailor-made solutions in engineering operations, process technologies and technical services. for more information, please visit www.rieckermann.com if you would like to grow with us, please apply by sending your resume to cv.middleast@rieckermann.com me2402 rieckermann services ltd 5th floor, no. 506, arabian business center, king abdullah road northeast of tareq bin ziad roundabout, al ruwais district, p.o. box 7067, jeddah 21462 disclaimer: your information will be used solely for your job application. by sending your cv to us, you agree that your personal data shall be processed by us for the abovementioned purpose. in the event that you wish to remove your personal particulars from our system in the future, please email us via the abovementioned email address. scan to visit career page www.rieckermann.com"
Beyond Limits Inc,400d0d58f555e4d6,Machine Learning Quality Engineer,Al Khobar,Full-time,7 days ago,7,,"['8+', '2']",[],[],http://sa.indeed.com/job/machine-learning-quality-engineer-400d0d58f555e4d6,,['cloud'],"['collaboration', 'design', 'insight', 'integrity', 'passion']","['cloud', 'machine learning', 'metrics']","position overview beyond limits is seeking a resourceful and passionate machine learning qa engineer to grow our machine learning team. this role involves designing and implementing test cases, evaluating model performance, verifying data integrity, assessing the robustness of algorithms, and ensuring that machine learning applications meet functional and non-functional requirements. you will work closely with data scientists, software engineers, and other stakeholders to identify potential issues and improve the overall quality and reliability of our machine learning solutions. job duties/responsibilities verify the quality of input data, ensuring it is clean, relevant, and representative. define appropriate evaluation metrics based on the specific problem domain &amp; align with the project objectives and stakeholder requirements. implement robust cross-validation techniques to assess model performance and compare model output with expected results. evaluate the model for biases that may lead to unfair outcomes for certain groups. foster collaboration between data scientists, engineers, domain experts, and stakeholders throughout the qa process. communicate findings, insights, and potential limitations of the ml system effectively to the team. gather project schedules, software functional and non-functional requirements from our project teams, and turn them into test plans, test designs, and test cases work closely with stakeholders to setup qa processes and establish best practices create and execute manual &amp; automated tests perform regression testing to ensure no bugs are introduced in new builds estimate, plan and prioritize test activities track quality assurance metrics write test reports for project stakeholders be an integral member of the team that follows the agile software development lifecycle process debug, troubleshoot, and improve live cloud-based applications minimum qualifications 8+ years of qa experience. experience in ai (ml/ds) models testing. bs in computer science or a related degree experience writing test plans, cases, and designs from scratch for large scale distributed applications, web services or restful apis experience creating, executing and reviewing results of functional, integration, and regression testing experience with performance, security and/or stress. ability to design and implement test automation &amp; unit testing frameworks using cypress, selenium, cucumber or robot framework. experience working with javascript, java, python or a similar programming language preferred qualifications ms in computer science or related field comfortable using a variety of tools &amp; technologies to investigate and resolve issues (e.g. sql, rabbitmq, elastic search, postgres, postman, jmeter) knowledge of cloud technologies and distributed systems. experience with aws/azure, docker and container technologies is a solid plus experience with continuous integration/continuous deployment operations and toolsets (e.g. jenkins). job type: full-time experience: machine learning models testing: 2 years (required) application deadline: 31/03/2024"
IBM,e35a855ffd83e98b,Senior Backend Engineer,Riyadh,,7 days ago,7,3.9,[],[],[],https://click.appcast.io/track/izs8ugo-org?cs=hqw,https://indeed.com/cmp/IBM,['cloud'],"['collaborative', 'communication', 'communication skills', 'confidence', 'continuous learning', 'design', 'focus', 'innovation', 'leadership', 'organization', 'passion', 'professional', 'resilient', 'responsibility', 'responsible']","['cloud', 'machine learning', 'transform']","introduction at ibm, work is more than a job - it's a calling: to build. to design. to code. to consult. to think along with clients and sell. to make markets. to invent. to collaborate. not just to do something better, but to attempt things you've never thought possible. are you ready to lead in this new era of technology and solve some of the world's most challenging problems? if so, lets talk. your role and responsibilities software development is critical to the success of ibm and our clients worldwide. at ibm, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of. this opportunity is for a new product suite, watsonx, that ibm brought to the market in 2024. we are looking for seasoned professionals who are passionate about data, ai and ml.. what's in it for you: you will work in an innovation driven, collaborative environment to understand requirements, architect, design and implement functionalities / features you will work with customers, understand their requirements and translate then to product features you will work in a agile development environment and be part of large scale scrums you will actively contribute to all phases of software development including development and testing you will experience a culture of continuous learning to aid progression you will develop proof of concepts to establish technical feasibility you will mentor junior members you will get an opportunity to work with various open source products and actively contribute back to their community you will get equal opportunity to work on cloud and software product deployments you will be the pioneers and be part core team to set up and establish this mission emaiwd24 sasw_24 required technical and professional expertise strong development experience in java and object-oriented programming strong development experience with rest api development python and similar languages will be an advantage experience working with linux or unix based os working knowledge in container technologies: kubernetes, docker working knowledge on openshift experience working with automation and integration processes and tools like jenkins. experienced with tools such as github experience working in an agile/scrum-based environment excellent communication skills (verbal and writing) preferred technical and professional expertise team management and leadership experience experience with ai &amp; ml technologies experience with data engineering, data governance, data management aws or ibm cloud expertise awareness or past experience in big data technologies, spark, streaming data track record of open source contributions bachelor’s degree or higher in computer science, software engineering, information systems or equivalent about business unitibm software infuses core business operations with intelligence—from machine learning to generative ai—to help make organizations more responsive, productive, and resilient. ibm software helps clients put ai into action now to create real value with trust, speed, and confidence across digital labor, it automation, application modernization, security, and sustainability. critical to this is the ability to make use of all data, because ai is only as good as the data that fuels it. in most organizations data is spread across multiple clouds, on premises, in private datacenters, and at the edge. ibm’s ai and data platform scales and accelerates the impact of ai with trusted data, and provides leading capabilities to train, tune and deploy ai across business. ibm’s hybrid cloud platform is one of the most comprehensive and consistent approach to development, security, and operations across hybrid environments—a flexible foundation for leveraging data, wherever it resides, to extend ai deep into a business. your life @ ibmin a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as ibmers as we strive to be the catalyst that makes the world work better. being an ibmer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background. our ibmers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. they are trusted to provide on-going feedback to help other ibmers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. the courage our ibmers have to make critical decisions everyday is essential to ibm becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do. are you ready to be an ibmer? about ibmibm’s greatest invention is the ibmer. we believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and ai strategy to life for our clients and partners around the world.restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the fortune 50 companies relying on the ibm cloud to run their business. at ibm, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world. location statementfor additional information about location requirements, please discuss with the recruiter following submission of your application. being you @ ibmibm is committed to creating a diverse environment and is proud to be an equal-opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. ibm is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Aspen Technology,e035baeaf8ac9cad,Sr Consultant Engineer,Saudi Arabia,Full-time,8 days ago,8,2.0,['5-8'],[],[],https://aspentech.wd5.myworkdayjobs.com/en-US/aspentech/job/Saudi-Arabia/Sr-Consultant-Engineer_R5877,https://indeed.com/cmp/Aspen-Technology-1,[],"['analysis', 'analytical skills', 'communication', 'communication skills', 'design', 'discipline', 'focus', 'organization', 'passion', 'project management', 'responsibility', 'responsible']","['data integration', 'machine learning', 'project management']","the driving force behind our success has always been the people of aspentech. what drives us, is our aspiration, our desire and ambition to keep pushing the envelope, overcoming any hurdle, challenging the status quo to continually find a better way. you will experience these qualities of passion, pride and aspiration in many ways — from a rich set of career development programs to support of community service projects to social events that foster fun and relationship building across our global community. the role we are looking for a sr. consultant engineer to join our asset performance management (apm) team at aspen technology. this role would be part of our professional services organization based in saudi. the main responsibility would be to provide consulting services within the apm portfolio of products focused on reliability, availability, and maintainability (ram) analysis and modeling. modeling will consist primarily of applying aspentech’s discrete-event simulation software to provide business value to clients. the successful applicant is expected to lead a small team per project and is responsible for the project’s technical success. competency in real time relational databases such as ip.21, process data historians, data analytics, a general understanding of holistic nature of integrated process units, utilities, supply chain and general knowledge of rotating assets, such as, compressors, motors, pumps, turbine is expected. this is a unique position for an exceptional engineer to work on project implementations, working closely with our business customers and travelling to their locations from time to time. this is also a very creative role that contributes to the creation and improvement of internal processes and tools to meet customer’s needs. your impact deliver consulting services including solutions architecture &amp; design, implementation, training, and advisory services in supporting client’s use of aspen fidelis modeling software and other apm products. design and configure model-based decision support systems and data integration with external systems and databases. co-ordinate solution delivery in concert with aspentech project management and the client, to ensure projects achieve stated milestones, delivery dates and financial goals. maintain and extend client satisfaction levels and develop opportunities for additional services. work with different departments internally to achieve project implementation excellence and success. what you'll need bachelor’s degree in any of the following engineering areas: chemical, industrial, reliability, mechanical, electronic (focused on process control automation), or similar technically focused degree. 5-8 years’ experience in process control, equipment maintenance and/or reliability in oil &amp; gas, chemical, and/or petrochemical industries. strong understanding of performing reliability, availability, and maintainability (ram) analysis, along with experience with one or more ram modeling software, e.g., titan, fidelis (preferred) programming skills with one or more of vb.net, vba, c++, c# are recommended. strong understanding of chemical economics, and ability to interact with customers about plants, processes, and manufacturing economics. advanced english language level. experience in power bi, tableau or other dashboard platforms are considered a plus. programming in python, r, big data are considered a plus. data analytic experience is mandatory. knowledge in data science areas or specializations are considered a plus. familiarity with machine learning technologies is desirable. self-discipline and motivation to produce results with remote supervision. excellent communication skills. outstanding problem solving and analytical skills. great organizational skills. ability to work in a very fast paced environment. experience working with teams remotely. flexibility to work with clients in different times zone in order to collaborate with colleagues and stakeholders that have a global presence."
IBM,796354f7f686f5f4,QA Automation Engineer,Saudi Arabia,,18 days ago,18,3.9,"['10', '5']",[],[],https://click.appcast.io/track/ivttcka-org?cs=hqw,https://indeed.com/cmp/IBM,['cloud'],"['collaborative', 'confidence', 'design', 'focus', 'initiative', 'innovation', 'organization', 'planning', 'professional', 'resilient', 'responsibility', 'responsible']","['cloud', 'machine learning', 'transform']","introduction who we are: at ibm, work is more than a job - it's a calling: to build. to design. to code. to consult. to think along with clients and sell. to make markets. to invent. to collaborate. not just to do something better, but to attempt things you've never thought possible. are you ready to lead in this new era of technology and solve some of the world's most challenging problems? if so, lets talk. machine learning and ai are increasingly powering applications across organizations like financial institutions, healthcare, government etc. in order for ai to be successful and help improve our lives, it must be trustworthy by providing transparency and be explainable. organizations are recognizing the importance of a holistic approach to governed data and ai technology in order to manger risk and regulations and to safeguard their brand reputations. at ibm we are helping people and organizations adopt ai responsibly. watsonx governance is an enterprise-grade toolkit to accelerate responsible, transparent and explainable ai workflows. we enable organizations to comply with regulations, demonstrate strong model governance and mitigate business risk using an integrated and transparent approach. who you are: software developers at ibm are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. whether you are working on projects internally or for a client, software development is critical to the success of ibm and our clients worldwide. at ibm, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of. what you'll do: at ibm, you will be part of the watsonx governance team and will build capabilities that enable organizations to deploy and scale ai applications that are compliant with regulations and are trustworthy. your role and responsibilities you as a quality assurance engineer, who will design, develop and/or re-engineer complex product component test cases, and integrate software packages, programs and reusable objects residing on multiple platforms. you will work in an innovation driven, collaborative development environment that implements trusted ai solutions. as a test automation engineer you will be responsible for testing and automating test cases for ai governance applications through the full systems development lifecycle. you will understand customer use cases and technical design and validate software keeping the end user in mind you will automate functional, integration and performance test cases for both ui and api using the latest technologies and tools. required technical and professional expertise 10 years of experience in development or validation of software 4/5 years of experience in automating api/ui tests experience with java and junit, experience with linux operating systems and databases exposure to docker and container orchestration technologies such as open shift container platform, kubernetes knowledge of jdbc requests, http &amp; https protocols experience working in agile model understand design, collaborate with architects, leads, developers, support teams across locations experience with test case writing, test planning, tracking and execution. setting up environments for testing experience with test tooling – defect tracking, test execution, jenkins work experience with ci/cd pipelines excellent problem solving skills and the zeal to learn quickly and adapt to changing requirements ability to collaborate and work independently when required. preferred technical and professional expertise knowledge on micro-services understanding of different cloud platforms shell scripting, linux administration exposure to devops practices knowledge on ui and api automation technologies and tools, such as selenium, junit etc experience with data generation for testing complex applications with experience in selenium,python, junit,experience with java, api/ui test,jdbc, databases/sql about business unitibm software infuses core business operations with intelligence—from machine learning to generative ai—to help make organizations more responsive, productive, and resilient. ibm software helps clients put ai into action now to create real value with trust, speed, and confidence across digital labor, it automation, application modernization, security, and sustainability. critical to this is the ability to make use of all data, because ai is only as good as the data that fuels it. in most organizations data is spread across multiple clouds, on premises, in private datacenters, and at the edge. ibm’s ai and data platform scales and accelerates the impact of ai with trusted data, and provides leading capabilities to train, tune and deploy ai across business. ibm’s hybrid cloud platform is one of the most comprehensive and consistent approach to development, security, and operations across hybrid environments—a flexible foundation for leveraging data, wherever it resides, to extend ai deep into a business. your life @ ibmin a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as ibmers as we strive to be the catalyst that makes the world work better. being an ibmer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background. our ibmers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. they are trusted to provide on-going feedback to help other ibmers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. the courage our ibmers have to make critical decisions everyday is essential to ibm becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do. are you ready to be an ibmer? about ibmibm’s greatest invention is the ibmer. we believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and ai strategy to life for our clients and partners around the world.restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the fortune 50 companies relying on the ibm cloud to run their business. at ibm, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world. location statementfor additional information about location requirements, please discuss with the recruiter following submission of your application. being you @ ibmibm is committed to creating a diverse environment and is proud to be an equal-opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. ibm is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
