name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,Data Jobs Keywords,description,date
webook.com,c6d6d4ddfa8f68cd,Data Engineer,Riyadh,Full-time,Just posted,0,,['5-6'],[],[],https://www.careers-page.com/supertech-2/job/L5398R33?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Webook.com,"['java', 'sql', 'tableau', 'cloud', 'python', 'aws', 'mongodb']","['passion', 'communication', 'project management', 'planning', 'integrity', 'agility', 'design', 'problem-solving', 'organization', 'presentation skills']","['data ingestion', 'data governance', 'data integration', 'cloud', 'cloud computing', 'data modeling', 'google cloud', 'etl', 'business intelligence', 'devops', 'machine learning', 'project management', 'data visualization', 'monitoring', 'problem-solving skills', 'transform', 'extract']","['AWS', 'Python', 'Data Visualization', 'SQL', 'Cloud Computing', 'Analytics', 'Business Intelligence', 'Machine Learning']","do you want to love what you do at work? do you want to make a difference, an impact, transform peoples lives? do you want to work with a team that believes in disrupting the normal, boring, and average? if yes, then this is the job youre looking for ,webook.com is saudis #1 private event ticketing and experience booking platforms in terms of technology, features, agility, revenue serving some of the largest mega events in the kingdom surpassing half a billion in sales. webook.com is part of the supertech group also consisting of uxbert labs, one of the best digital and user experience design agencies in the gcc, along with kafu games, the largest esports tournament platform in mena. key responsibilities: data integration and etl development architect and implement robust data integration pipelines to extract, transform, and load data from various sources (e.g., databases, saas applications, apis, and flat files) into a centralized data platform. design and develop complex etl (extract, transform, load) processes to ensure data quality, consistency, and reliability. optimize data transformation workflows to improve performance and scalability. data infrastructure and platform management: implement and maintain data ingestion, processing, and storage solutions to support the organization's data and analytics requirements. ensure the reliability, security, and availability of the data infrastructure through effective monitoring, troubleshooting, and disaster recovery planning. data governance and metadata management: collaborate with the data governance team to establish data policies, standards, and procedures. develop and maintain a comprehensive metadata management system to ensure data lineage, provenance, and traceability. implement data quality control measures and data validation processes to ensure the integrity and reliability of the data. qualifications: 5-6 years of experience as a data engineer or a related role in a data-driven organization. proficient in designing and implementing data integration and etl pipelines using tools such as apache airflow, airbyte, or any cloud-based data integration services. strong experience in setting up and managing data infrastructure, including data lakes, data warehouses, and real-time streaming platforms (e.g. elastic , google bigquery, mongodb). expertise in data modeling, data quality management, and metadata management. proficient in programming languages such as python, or java, and experience with sql. familiarity with cloud computing platforms (e.g., aws,google cloud) and devops practices. excellent problem-solving skills and the ability to work collaboratively with cross-functional teams. strong communication and presentation skills to effectively translate technical concepts to business stakeholders. preferred qualifications: familiarity with data visualization and business intelligence tools (e.g., tableau, qlik.etc). knowledge of machine learning and artificial intelligence concepts and their application in data-driven initiatives. project management experience and the ability to lead data integration and infrastructure initiatives. if you are a seasoned data engineer with a passion for building scalable and robust data integration solutions, we encourage you to apply for this exciting opportunity.",2024-06-26
Infosysta,428446f90e694721,IT Control Engineer - Saudi National,Riyadh,Full-time,Just posted,0,,"['2 to 7', '2 to 7']",[],['bachelor'],http://sa.indeed.com/job/it-control-engineer-saudi-national-428446f90e694721,https://indeed.com/cmp/Infosysta-1,['matlab'],"['motivated', 'attention to detail', 'focus', 'communication', 'professional', 'continuous learning', 'accuracy', 'interpersonal skills', 'design', 'problem-solving']",['problem-solving skills'],['Matlab'],"job title: it control engineer - saudi national. position overview:we are seeking a talented and motivated it control engineer to join our dynamic team. the ideal candidate will have 2 to 7 years of experience in the field of control engineering, with a strong background in designing, implementing, and optimizing control systems for industrial applications. as a it control engineer, you will play a key role in developing innovative solutions to enhance the performance, efficiency, and reliability of our control systems. key responsibilities:design, develop, and implement control strategies and algorithms to optimize the performance of industrial processes and equipment.collaborate with cross-functional teams to gather requirements, analyze system specifications, and develop control system architectures.program and configure plcs (programmable logic controllers), dcs (distributed control systems), scada (supervisory control and data acquisition) systems, and other control devices.conduct testing, simulation, and validation of control systems to ensure accuracy, stability, and reliability under various operating conditions.troubleshoot and debug control systems, identifying and resolving issues in a timely manner to minimize downtime and production losses.provide technical support and guidance to junior engineers and technicians, sharing knowledge and best practices to promote continuous learning and development.stay current with industry trends, emerging technologies, and best practices in control engineering, applying new knowledge to improve existing systems and processes. qualifications:bachelor's degree in electrical engineering, mechanical engineering, or related field required; advanced degree preferred.2 to 7 years of experience in control engineering, with a focus on designing and implementing control systems for industrial applications.proficiency in plc programming languages (e.g., ladder logic, structured text), as well as experience with hmi (human-machine interface) development.strong understanding of control theory, signal processing, and system dynamics.experience with industrial communication protocols such as modbus, profibus, ethernet/ip, etc.familiarity with simulation tools (e.g., matlab/simulink) and control system design software (e.g., allen-bradley rslogix, siemens tia portal).excellent problem-solving skills and attention to detail, with the ability to analyze complex systems and identify optimal solutions.effective communication and interpersonal skills, with the ability to work collaboratively in a team environment. preferred qualifications:experience in industries such as manufacturing, automotive, aerospace, or energy.knowledge of safety instrumented systems (sis) and functional safety standards (e.g., iec 61508, iec 61511).familiarity with advanced control techniques such as model predictive control (mpc), adaptive control, or fuzzy logic control.relevant certifications such as certified automation professional (cap) or certified control systems technician (ccst). job type: full-time pay: from ﷼10,000.00 per month application question(s): are you a saudi national?",2024-06-26
Jadeer,1fe34d7b29bfa925,Machine Learning Engineer,Riyadh,,3 days ago,3,,['3-5'],[],[],https://jobs.jadeer.ai/jobs/4639173-machine-learning-engineer,https://indeed.com/cmp/Jadeer,"['python', 'tensorflow', 'pytorch']","['analytical skills', 'professional', 'accuracy', 'design', 'problem-solving', 'innovation']","['data pipelines', 'model deployment', 'feature engineering', 'machine learning']","['Python', 'TensorFlow', 'PyTorch', 'Data Preprocessing', 'Feature Engineering', 'R', 'Machine Learning']","ready to build intelligent systems that can learn and adapt? become our next machine learning engineer! about our client: we are recruiting for a top-tier software company in ksa known for its innovation in artificial intelligence and machine learning. this company is dedicated to developing cutting-edge solutions that leverage machine learning to solve complex problems. the role: as a machine learning engineer, you will design, develop, and implement machine learning models and algorithms. you will work with large datasets to create predictive models and deploy them in production environments. what you'll do: design and implement machine learning models and algorithms work with large datasets to train and evaluate models develop and maintain data pipelines and infrastructure for model deployment collaborate with data scientists and engineers to integrate machine learning solutions monitor and improve model performance and accuracy stay updated on the latest advancements in machine learning what we're looking for: 3-5 years of experience in machine learning proficiency in programming languages (e.g., python, r) strong understanding of machine learning frameworks (e.g., tensorflow, pytorch) experience with data preprocessing and feature engineering excellent problem-solving and analytical skills benefits: competitive salary health insurance professional development opportunities flexible working hours exciting and innovative projects",2024-06-26
Cundall,b5a7a7576b028719,Graduate Structural Engineer,Riyadh,"Permanent, Full-time",7 days ago,7,3.3,[],[],['graduate'],https://earlycareers-cundall.icims.com/jobs/4470/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,https://indeed.com/cmp/Cundall,['python'],"['analysis', 'collaborative', 'focus', 'communication', 'professional', 'initiative', 'communication skills', 'design', 'responsibility', 'enthusiasm']",['machine learning'],"['Python', 'Machine Learning']","join our team: our structural engineering teams at cundall have a mission: they want to play a key role in making buildings more energy efficient, cost effective to run and, ultimately, more sustainable. to do this, we’re looking for graduates who have a desire and enthusiasm to make a difference: in our homes, our offices, our projects, our industry, and our community. working across a variety of industry sectors, our structural engineers are a source of world leading expertise, producing innovative and award-winning sustainable engineering solutions throughout the lifecycle of any building project. with offices in the uk, europe, middle east, asia, and australia, we offer a pro-active and collaborative approach to skill development, professional excellence, and knowledge sharing. the role you'll play: in this graduate structural engineer role, you’ll join a team in our riyadh office who specialise in the design of some of the most exciting construction projects in the ksa and worldwide. working closely with colleagues across our multi-disciplinary practice, you’ll provide specialist consultancy input on projects across a wide range of sectors including education, healthcare, workplace, retail, and critical systems (data centres). under the guidance of our team of experienced engineers, we’ll equip you to undertake detailed structural engineering design and analysis, define and translate clients’ needs into designs for buildings, facilities, and services - all with sustainability at the forefront of the design. you’ll have the opportunity over time to assume greater levels of responsibility and autonomy as your professional skills develop and with accredited professional development programmes. the skills you'll bring: you are a saudi national accredited with, or on course to achieve a meng degree level (or equivalent) in structural engineering, you’re passionate about innovative and sustainable engineering for the built environment. ideally, you’ll have furthered this interest by undertaking some form of relevant work experience or placement/internship. you have an appreciation for the core elements of mechanical building services engineering and crucially, have a love for creative and intuitive design. digital engineering is a big focus at cundall, so ideally, you’ll have an understanding of parametric modelling techniques (grasshopper or dynamo), or at least one modern programming language (e.g., python, c#, vb). an understanding of engineering optimisation techniques, the principles of structured programming and basic knowledge in the application of machine learning would also be desirable. you are organised and methodical in your approach to managing your tasks and priorities, you strive to meet deadlines and have a close appreciation of the commercial factors which affect design solutions. collaborative in nature, you’ll be able to empathise with your clients’ needs and utilise excellent communication skills, both in writing and verbally, with internal and external stakeholders. you’re used to using your initiative to overcome challenges and have a positive, can-do attitude. job description why join cundall? we know that to be the best at what we do we need a diverse workforce underpinned by an inclusive culture. creating environments where everyone can find joy doing their best work is also great for everyone. that’s why we positively welcome applications from people of all backgrounds and identities, and encourage, support, and celebrate the diverse voices of our people. #li-cj1",2024-06-26
Dell,f55b3145b1fe5978,Advisory Systems Engineer - AI & Big Data SME,Riyadh,,13 days ago,13,4.0,"['5', '12+']",[],['bachelor'],https://jobs.dell.com/en/job/riyadh/advisory-systems-engineer-ai-and-big-data-sme/375/66345516448,https://indeed.com/cmp/Dell-Technologies,"['azure', 'java', 'scikit-learn', 'sql', 'tableau', 'hadoop', 'cloud', 'kubernetes', 'docker', 'nosql', 'power bi', 'python', 'spark', 'aws', 'pytorch', 'tensorflow']","['analysis', 'reliable', 'responsible', 'design', 'flexibility', 'mentorship']","['data analysis', 'containerization', 'big data', 'cloud', 'google cloud', 'kubernetes', 'machine learning', 'transform', 'data visualization', 'data warehousing']","['Big Data', 'AWS', 'Python', 'Data Visualization', 'BI', 'SQL', 'Data Warehousing', 'TensorFlow', 'PyTorch', 'Spark', 'Scikit-learn', 'Hadoop', 'Azure', 'Data Analysis', 'R', 'NoSQL', 'Machine Learning']","our field sales professionals rely on proactive technical support during the sales process – and our expert systems engineering team always steps up to the mark. we lead the development and implementation of complex and specialized products, applications, services and solutions. from delivering sales presentations and product demonstrations, formulation overall solution architecture and collaborating with delivery team to ensure successful delivery, we ensure customers get the innovative, relevant, interoperable solutions they need. join us to do the best work of your career and make a profound social impact as anadvisory systems engineer - ai &amp; big data smeon oursystems engineeringteam inriyadh, saudi arabia. what you’ll achieve as an advisory systems engineer - ai &amp; big data sme you will have a deep understanding of ai, machine learning, and data engineering principles and you will be responsible for setting strategies, delivering best practices for architecture, and ensuring the successful implementation and integration of ai solutions for our clients. you will: develop and implement ai and data engineering strategies aligned with business objectives. design and architect scalable, reliable, and efficient ai and data engineering solutions. lead the integration of ai models into existing systems and ensure seamless operation. collaborate with cross-functional teams and eco-system technology partners to understand requirements and deliver high-quality solutions. conduct thorough data analysis and model evaluation to ensure optimal performance. stay updated with the latest advancements in ai and data engineering and apply them to enhance our systems. provide technical guidance and mentorship to junior engineers and other team members. ensure adherence to best practices and standards in ai and data engineering. take the first step towards your dream career every dell technologies team member brings something unique to the table. here’s what we are looking for with this role: essential requirements minimum of 5 years of experience in ai and data engineering proficiency in programming languages such as python, r, or java. strong understanding of machine learning frameworks (e.g., tensorflow, pytorch, scikit-learn) experience with data engineering tools and platforms (e.g., apache spark, hadoop, sql, nosql databases). knowledge of cloud platforms (e.g., aws, azure, google cloud) and containerization (e.g., docker, kubernetes) familiarity with big data technologies and data warehousing solutions strong skills in data visualization and reporting tools (e.g., tableau, power bi). experience with version control systems (e.g., git) desirable requirements senior-level sales engineer with expertise in sophisticated products and services offerings. 12+ years of field sales experience or related experience in a relationship selling role with a bachelor’s degree. who we are we believe that each of us has the power to make an impact. that’s why we put our team members at the center of everything we do. if you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you. dell technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. join us to build a future that works for everyone because progress takes all of us. application closing date: 27 june 2024 dell technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. job id:r245512 dell’s flexible &amp; hybrid work culture at dell technologies, we believe our best work is done when flexibility is offered. we know that freedom and flexibility are crucial to all our employees no matter where you are located and our flexible and hybrid work style allows team members to have the freedom to ideate, be innovative, and drive results their way. to learn more about our work culture, please visit our locations page.",2024-06-26
TestCrew,b455810f9ffe0fa4,DevOps Senior Engineer,Riyadh,Full-time,17 days ago,17,,"['5', '4', '4', '4']",[],"['master', 'bachelor']",http://sa.indeed.com/job/devops-senior-engineer-b455810f9ffe0fa4,https://indeed.com/cmp/Testcrew-4,"['azure', 'cloud', 'kubernetes', 'python', 'docker', 'jenkins', 'ci/cd', 'terraform']","['analytical skills', 'communication', 'collaboration', 'written and oral communication', 'resilient', 'design', 'problem-solving']","['containerization', 'logging', 'cloud', 'kubernetes', 'google cloud', 'machine learning', 'model deployment', 'ci/cd', 'monitoring', 'problem-solving skills', 'scripting']","['Azure', 'Python', 'Machine Learning']","responsibilities: 1. end-to-end automation: design, implement, and manage end-to-end automation pipelines for software development, deployment, and machine learning model lifecycle. 2. ci/cd implementation: develop and maintain ci/cd pipelines for both traditional application development and machine learning model deployment. 3. infrastructure as code (iac): utilize infrastructure as code (iac) tools (e.g., terraform, alibaba cloud ros / cloud formation) for provisioning and managing cloud resources efficiently. 4. containerization and orchestration: implement containerization using docker and orchestrate containers using kubernetes for scalable and resilient applications and machine learning workloads. 5. monitoring and logging: implement and manage monitoring solutions for both software applications and machine learning models, proactively addressing issues. 6. security and compliance: enforce security measures for applications and machine learning systems, ensuring compliance with industry standards and data privacy regulations. 7. automation and scripting: write automation scripts (e.g., bash, python) to streamline operational tasks, enhance system efficiency, and support machine learning workflows. 8. incident response: participate in incident response activities for both application and machine learning-related incidents. skills: proficiency with ci/cd tools such as jenkins, gitlab ci, or travis ci. experience with iac tools like terraform or alibaba cloud formation and familiarity with cloud platforms (e.g., alibaba, azure, google cloud). hands-on experience with docker and kubernetes. knowledge of monitoring tools such as cloud monitor, cloud watch, prometheus, grafana, elk stack, or similar. proficiency in scripting languages (e.g., bash, python) for automation. effective communication and collaboration skills to work with cross-functional teams. strong problem-solving skills and the ability to troubleshoot complex issues across both application and machine learning domains. qualifications: 1. bachelor's/master’s degree in computer science information technology or a related field, or relevant experience. 2. minimum of 5 years of experience in a cloud support role. 3. acp certified; cka &amp; ace will be an advantage. 4. excellent problem-solving and analytical skills. 5. excellent written and oral communication in arabic and english job type: full-time application question(s): we are looking to fill this position urgently, how soon you'd join us? what is your salary expectations? in sar currency experience: ci/cd: 4 years (preferred) cloud support: 4 years (preferred) iac tools: 4 years (preferred) language: arabic (required) location: riyadh (required)",2024-06-26
webook.com,1ee26161fe8743b5,Machine Learning Engineer,Riyadh,Full-time,19 days ago,19,,[],[],['bachelor'],https://www.careers-page.com/supertech-2/job/L53YR99R?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Webook.com,"['azure', 'java', 'cloud', 'python', 'aws', 'llms', 'pytorch', 'tensorflow']","['communication', 'accuracy', 'communication skills', 'agility', 'design', 'problem-solving']","['mathematics', 'transform', 'google cloud', 'cloud', 'machine learning', 'problem-solving skills', 'llms', 'feature engineering', 'deep learning', 'natural language processing']","['Azure', 'Natural Language Processing', 'AWS', 'Python', 'TensorFlow', 'Deep Learning', 'PyTorch', 'Data Preprocessing', 'Feature Engineering', 'Computer Vision', 'Machine Learning']","do you want to love what you do at work? do you want to make a difference, an impact, and transform people's lives? do you want to work with a team that believes in disrupting the normal, boring, and average? if yes, then this is the job you're looking for ,webook.com is saudis #1 private event ticketing and experience booking platforms in terms of technology, features, agility, revenue serving some of the largest mega events in the kingdom surpassing half a billion in sales. webook.com is part of the supertech group also consisting of uxbert labs, one of the best digital and user experience design agencies in the gcc, along with kafu games, the largest esports tournament platform in mena. key responsibilities: lead the development of innovative ai tools. leverage existing ai models and frameworks, including large language models (llms) and retrieval-augmented generation (rag), to address complex business challenges. collaborate with cross-functional teams to gather requirements and translate them into effective ai solutions. fine-tune and optimize ai models for specific applications, ensuring high performance and accuracy. experiment with various ai models, libraries, and techniques to identify the best solutions for specific problems. develop custom ai solutions when necessary, utilizing machine learning, deep learning, natural language processing, and computer vision techniques. integrate ai solutions seamlessly into existing systems and workflows, working closely with data scientists and software engineers. document and communicate technical designs, processes, and best practices to ensure clarity and knowledge sharing. qualifications: bachelor's degree in computer science, engineering, mathematics, or a related field. strong programming skills in languages such as python, java, or c++. in-depth knowledge of machine learning algorithms, deep learning frameworks (e.g., tensorflow, pytorch), and ai technologies. experience with data preprocessing, feature engineering, and model evaluation techniques. proficiency in software development best practices, version control systems, and agile methodologies. excellent problem-solving skills with the ability to think critically and analytically. strong communication skills and the ability to collaborate effectively with cross-functional teams. experience with cloud platforms (e.g., aws, azure, google cloud).",2024-06-26
IBM,289ec8c20bc8ffa0,Full Stack Developer,Riyadh,,25 days ago,25,3.9,['5+'],[],[],https://click.appcast.io/track/jo3rlkm-org?cs=hqw,https://indeed.com/cmp/IBM,"['sql', 'cloud', 'javascript', 'sql server']","['analysis', 'reliable', 'motivated', 'confidence', 'professional', 'ownership', 'resilient', 'responsible', 'design', 'responsibility', 'innovation']","['transform', 'cloud', 'machine learning']","['SQL', 'Machine Learning']","introduction the ibm sustainability software business unit is seeking talented and motivated software developers to work as a full stack developer on the envizi esg suite of products. your role and responsibilities the ibm sustainability software business unit is seeking talented and motivated software developers to work as a full stack developer on the envizi esg suite of products. in this role, you will be responsible for enhancing &amp; building new product capabilities including integration into the cloud service environment. you'll closely collaborate with the broader product management, design, development &amp; support team using scrum agile methodology. this is an exciting opportunity to contribute to ibm's envizi esg suite and help removes barriers to accelerating sustainability performance through the capture, consolidation, management, analysis and reporting on environmental, social and governance data. emaiwd24 sasw_24 required technical and professional expertise 5+ years experience : developing of data retrieval stored procedures using sql server or equivelent experience with c# and .net 4.5 or later experience in front-end development using javascript frameworks, html, typescript, css be involved and take ownership of end-to-end delivery - from solution design, estimation, development, testing and deployment uphold quality standards including reliability, efficiency, security, maintainability and usability by applying best practice processes, methodologies and tools contribute to the design and build evolution of the platform, ensuring it remains scalable, reliable, and easy to use contribute to engineering discussions across our platform collaborate with product managers, ux designers, engineers and qa to design, develop and deploy new platform features and functionality for our saas product preferred technical and professional expertise experience working with ibm maximo and tririgra or similar products in the asset &amp; building management domain about business unitibm software infuses core business operations with intelligence—from machine learning to generative ai—to help make organizations more responsive, productive, and resilient. ibm software helps clients put ai into action now to create real value with trust, speed, and confidence across digital labor, it automation, application modernization, security, and sustainability. critical to this is the ability to make use of all data, because ai is only as good as the data that fuels it. in most organizations data is spread across multiple clouds, on premises, in private datacenters, and at the edge. ibm’s ai and data platform scales and accelerates the impact of ai with trusted data, and provides leading capabilities to train, tune and deploy ai across business. ibm’s hybrid cloud platform is one of the most comprehensive and consistent approach to development, security, and operations across hybrid environments—a flexible foundation for leveraging data, wherever it resides, to extend ai deep into a business. your life @ ibmin a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as ibmers as we strive to be the catalyst that makes the world work better. being an ibmer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background. our ibmers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. they are trusted to provide on-going feedback to help other ibmers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. the courage our ibmers have to make critical decisions everyday is essential to ibm becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do. are you ready to be an ibmer? about ibmibm’s greatest invention is the ibmer. we believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and ai strategy to life for our clients and partners around the world.restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the fortune 50 companies relying on the ibm cloud to run their business. at ibm, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world. location statementfor additional information about location requirements, please discuss with the recruiter following submission of your application. being you @ ibmibm is committed to creating a diverse environment and is proud to be an equal-opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. ibm is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",2024-06-26
Shaguf,f2b64af70404037c,Senior AI Engineer,Riyadh,,27 days ago,27,,['5+'],[],"['master', 'bachelor']",https://shaguf.jobsoid.com/j/83313/senior-ai-engineer?source=indeed,https://indeed.com/cmp/Shaguf,"['azure', 'cloud', 'python', 'aws', 'llms']","['collaborative', 'commitment', 'professional', 'continuous learning', 'design', 'research']","['google cloud', 'cloud', 'machine learning', 'ml', 'llms', 'nlp', 'natural language processing']","['Natural Language Processing', 'AWS', 'Python', 'NLP', 'Azure', 'R', 'Machine Learning']","about bites: bites is an innovative genai app transforming the way students learn by converting their learning material into interactive, personalized, and bite-sized learning content. in just 9 months, bites has reached over 700,000 students and is on track to reach millions more. our product has generated hundreds of millions of outputs, underscoring our commitment to delivering high-quality educational content. we are looking for a passionate and experienced senior ai engineer to join our dynamic team. this role is pivotal in advancing our ai capabilities to deliver a more personalized and efficient learning experience for our users. key responsibilities: lead the r&amp;d of our ai features to enhance the performance of our models and build different learning modes. design and build machine learning models to improve content quality, personalization, and customization features. collaborate with product managers, designers, and developers to understand user needs and translate them into ai solutions. optimize and maintain our current ai infrastructure to ensure scalability and performance. conduct research to stay up-to-date with the latest advancements in ai and machine learning technologies. mentor and guide junior ai engineers, fostering a culture of continuous learning and improvement. qualifications: bachelor’s or master’s degree in computer science, artificial intelligence, machine learning, or a related field. 5+ years of experience in ai and machine learning, with a proven track record of developing and deploying ai models in production. experience with large language models (llms) and their applications in generating and enhancing educational content. strong programming skills in python and proficiency with ml frameworks. experience with natural language processing (nlp) and optical character recognition (ocr) technologies. familiarity with cloud platforms (e.g., microsoft azure, aws, google cloud) and deploying ai solutions in a cloud environment. why join bites? be part of a mission-driven company focused on revolutionizing education through technology. work in a collaborative and inclusive environment with a passionate and innovative team. opportunities for professional growth and development. competitive salary and benefits package. job type: full-time, remote. ready to shape the future of education? apply now and be a part of the bites journey!",2024-06-26
SAP,ad38d02f1af6bd82,SAP Young Professionals Program KSA 2024,Riyadh,,29 days ago,29,4.2,['3'],[],['bachelor'],https://jobs.sap.com/job/Riyadh-SAP-Young-Professionals-Program-KSA-2024-11435/1076718801/?feedId=118200&utm_source=Indeed&utm_campaign=SAP_Indeed,https://indeed.com/cmp/SAP,"['cloud', 'sap']","['analysis', 'coaching', 'commitment', 'initiative', 'planning', 'responsible', 'design', 'innovation']","['cloud', 'machine learning']","['Data Science', 'Analytics', 'Optimization', 'Machine Learning']","company description sap started in 1972 as a team of five colleagues with a desire to do something new. together, they changed enterprise software and reinvented how business was done. today, as a market leader in enterprise application software, we remain true to our roots. that’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures. the sap young professionals program the sap young professionals program is a free initiative delivered by the digital skills center of sap. the program, which lasts for 2 months, is designed to give recent graduates the certifications and soft skills required to begin a career as an sap associate consultant. at the end of the training, sap will work very closely with the program graduates to introduce them to a host of opportunities with sap customers and partners to work as an sap consultant. sap consultants the role of an sap consultant can be divided into 2 functions: functional and technical. the consultant will contribute to blueprinting, design, implementation, operation, optimization, and upgrade phase of a s/4 hana project, and provide business process as well as functional expertise, and project guidance to our clients to ensure their investment in sap software and consulting services will make their business the best run business. the consultant is also responsible for maintaining a high degree of customer satisfaction in each of their accounts in addition to growing and developing referenceable customers through their investigation, analysis, consulting, coaching, knowledge transfer, and relationship-building efforts. certificate information: sap s/4hana cloud is a complete enterprise resource planning (erp) system with built-in intelligent technologies, including ai, machine learning, and advanced analytics. it helps companies adopt new business models, manage business change at speed, orchestrate internal and external resources, and use the predictive power of ai. benefit from tight, native integration between processes, industry depth, and a consistent in-memory data model. sap business technology platform (sap btp) brings together data management, analytics, artificial intelligence, application development, automation, and integration in one, unified environment. sap business technology platform is a unified, business-centric, and open platform for the entire sap ecosystem, enabling users to integrate and create value from data and extend their sap and third-party solution landscapes to meet evolving business needs. how you benefit: start your journey to become an sap consultant; gain globally-recognised associate-level sap certifications; learn directly from sap experts; experience classroom and workshop-based training in sap technologies; develop the soft skills needed to prepare you for successful job applications; benefit from introductions to job opportunities within the sap ecosystem to help secure a position after the training. please note this program does not guarantee you a job at the end of it. what we require from a candidate: candidates must have the legal right to work in ksa. candidates must be currently unemployed or employed in a part time/non-permanent role not related to career aspirations; candidates must be educated to at least bachelor level in a field related to business administration / management information systems / engineering / or information technology / data science / computer science candidates will preferably have graduated within the last 3 years with a gpa in the top quartile – proof of this may be requested. candidates must have a keen interest in starting an sap-related career involving travel; candidates should be fluent in english, both written and spoken; the program will commence by late july 2024 and full-time availability from 9am – 6pm from sunday - thursday throughout the training period is essential. the program will last for 2 months. this training will take place online in a virtual live classroom format. please ensure you have strong enough internet at home to be able to participate in this program. please share an english version of your resume while applying for this program. sap's diversity commitment to harness the power of innovation, sap invests in the development of its diverse employees. we aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company. sap is committed to the principles of equal employment opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. if you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to recruiting operations team: careers@sap.com successful candidates might be required to undergo a background verification with an external vendor. for sap employees: only permanent roles are eligible for the sap employee referral program, according to the eligibility rules set in the sap referral policy.",2024-06-26
