name,key,title,location
AWS EMEA SARL (Saudi Arabia Branch),7d59d776ed53d1bd,"Enterprise Greenfield Account Manager, MENAT Enterprise Greenfield",Riyadh
AWS EMEA SARL (Saudi Arabia Branch),1f3285d6603773b2,"AI/ML Sales Specialist, MENAT AGS Specialist Team",Riyadh
AWS EMEA SARL (Saudi Arabia Branch),0196ab1502f43925,"Corporate Counsel, AWS Sales and Marketing Global Services",Riyadh
AWS EMEA SARL (Saudi Arabia Branch),9b044376d812f445,"Senior Account Manager, MENAT Enterprise Greenfield",Riyadh
AZAD PROPERTIES,7b6575c20b972595,Property Manager,Riyadh
AbbVie,af6acd78c3d9ca5e,Brand Manager - Immunology,Riyadh
Abbott Laboratories,b8ab6c4c43edf153,Regional Commercial Excellence Manager – Middle East Region,Riyadh
Accenture,b385190560840a35,"Business Strategy Manager, Health & Public Sector",Riyadh
Accenture,9aff4e2d0a06ae30,SIEM Administrator,Riyadh
Accenture,6adf4c63a9e6d351,Technology Strategy Cloud Advisory Consultant,Riyadh
Accenture,72ff94403e3bca39,Technology Strategy/Enterprise Architect Consultant,Riyadh
AccorCorpo,28bce3d51f9f5b11,"Vice President Development, KSA, Oman, Egypt & Levant",Jeddah
AccorHotel,9518c483a330df7e,Director of Revenue Management,Mecca
AccorHotel,61cf3e3f03ba62bf,Director of Sales,Jeddah
Adax Business Systems,94798c2c60c12b9a,Sales Engineer,Riyadh
Adree,cde0dbf03fef7ea0,Senior CRM Developer,Riyadh
Afaq - Warehouse Branch,24f8253264c62475,"Procurement Manager (Saudi National), AMET",Riyadh
Afaq Q Tech General Trading,14ff52bf8e45236c,2025 Program Manager Intern,Riyadh
Afaq Q Tech General Trading,edcb383d843c68c6,2025 Account Rep Intern,Riyadh
Afaq Q Tech General Trading,553538134bb41c53,2025 Business Analyst Intern,Riyadh
Afaq Q Tech General Trading,926ae58faca08021,2025 Retail Vendor Manager Intern,Riyadh
Air Products,ca5665943f0ec368,Sub-Contract Manager,Saudi Arabia
Air Products,d0b3230ba7a84120,Engineering Manager,Saudi Arabia
Air Products,ae76cf251cf8c9cb,Contract Administrator,Jizan
Alfaisal University,b2b399ed837f277b,Faculty Poistions in Software Engineering,Riyadh
Alhalees Group,b62a406726330ffd,National Sales Manager,Jeddah
Alibaba,0fac3029ad55d335,"Alibaba Cloud Intelligence-Business Development Manager (MEA region)-Riyadh, Saudi Arabia",Riyadh
Alibaba,6e62c7f6a707dfc4,Alibaba Cloud Intelligence-Technical Service Manager-Saudi Arabia,Riyadh
Amazon Web Services Ltd. Regional Headquarter Co.,8727946cbda21947,"Data Center Operations Cluster Manager (Saudi National Only), DCC Communities",Riyadh
Ant Group,d72c8e2b76601b40,Chief Information Security Officer (CISO) – Saudi Arabia/Middle-East,Riyadh
Arabic Computer Systems,fb945b09845a0559,PowerBI engineer,Riyadh
Arabic Computer Systems,1ace295c6dce1617,Operation and Maintenance Presales,Riyadh
Arabic Computer Systems,8790ffc7c8d3c2fc,Data Scientist,Riyadh
ArabyAds,d18d3fa4b2a0f5ac,Sales Manager- Media Vertical,Riyadh
ArabyAds,c5608ffb44650992,Sales Director- Media Vertical,Riyadh
Aram Meem,3add1c0c1b3c7e70,Account Manager (Saudi Citizen),Jeddah
Aram Meem,40a07ac97d535000,Business Development Manager /Sales ( For Saudi Only),Jeddah
BIMTEC,7c7bc2141e2a31b0,Business Development Manager,Riyadh
Barco,851ff7f802583d0f,Business Development Representative,Riyadh
Barco,c8ed3507ff53c7c1,Territory Manager,Riyadh
Beckman Coulter Diagnostics,53fa72f823048935,Key Account Manager - MOH,Riyadh
