name,key,title,location
700Apps,307d00a74734881d,Business Process Management (BPM) - Alfabet Tool,Riyadh
AL ITTEFAQ STEEL PRODUCTS CO.,1774f0f6f876c6a1,"Senior Officer, Stores",Dammam
APC Oilfield Services,4c2d7795d62cc606,Cased Hole Log Analyst,Saudi Arabia
"ARABIC COMPUTER SYSTEM, RIYADH SAUDI",1a65d7118c24fa1c,MUREX DEVELOPER,Saudi Arabia
Accenture,b385190560840a35,"Business Strategy Manager, Health & Public Sector",Riyadh
AccorHotel,0c5a476665f2ea81,Revenue Analyst,Medina
Adree,3a6ff892f3bd9a09,Senior Outsystem Engineer,Riyadh
Afaq Q Tech General Trading,553538134bb41c53,2025 Business Analyst Intern,Riyadh
Afaq Q Tech General Trading,453a16a912a401cc,"Head of Marketplace Strategy - KSA, (KSA National), MENA Marketplace",Riyadh
Afaq Q Tech General Trading,9192accd3767c15a,2025 Financial Analyst Intern,Riyadh
Air Products,a932abe05783b5fc,Senior Data Analyst,Jizan
Air Products,b1ad39de3012237c,SAP SF Business Analyst,Jizan
Air Products,61bba22b1cd10e12,Data Specialist,Jizan
"Akima, LLC",a93cce32858de542,CH-47F Quality Control Inspector,Tabuk
AlBorg Diagnostics,dfe6448696e15c7b,ERP Functional Lead,Jeddah
AlMosafer,b71e42a4a50e30b0,Data Intelligence Analyst – Officer/Senior Officer,Riyadh
Alfaisal University,4cd77820ebbc9269,DevOps Engineer,Riyadh
Araamis,2877c706d2bb46fb,Business Analyst,Riyadh
Arabic Computer Systems,8790ffc7c8d3c2fc,Data Scientist,Riyadh
Arabic Computer Systems,7feb9daf89026034,GIS Engineer ( Multiply position ),Medina
Arabic Computer Systems,f6bed5737716d459,Full Stack Developer,Riyadh
Arabic Computer Systems,e23fb610fec111d9,System Analyst,Al Majma
Arabic Computer Systems,14ea635bd4b815e8,quality lead,Riyadh
Arabic Computer Systems,f8a5e282b620ed7f,Senior Database Developer and Administrator,Riyadh
Arthur D. Little Austria,27d66ceccf2c64ca,Business Analyst - Riyadh,Riyadh
AtkinsRéalis,225502a52e6e7248,GIS Analyst,Saudi Arabia
BEC Arabia,1e899cd25dc9728d,Financial Analyst,Riyadh
BRF,d96982f2bc69926a,Talent Acquisition Analyst - KSA,Dammam
Black Pearl,2144ed59dc31dfbf,Financial Analyst - Clinical Costing,Dammam
British American Tobacco,5bd0d1d2cbc6f246,Corporate Finance Analyst,Jeddah
CBRE,6cdc6a383b07f991,Analyst - Research,Riyadh
Career Maker,e13eb54ceabbb38b,Cybersecurity Manager - Fintech Industry,Riyadh
Chalhoub Group,260acdd5929a1fde,Data Analyst Trainee - Jeddah ( Tamheer Program),Jeddah
Comspark Innov & Infra,5ee7607c3b1063e2,Data Architect,Riyadh
Dar Al Riyadh,ee8ab1b5cf804360,Data Analyst,Riyadh
Dentsu,54c4910dabd72e7a,Senior Operational Finance Analyst,Riyadh
EY,52e683a8f84cc30c,Project Finance and Infrastructure Advisory - Senior - KSA National 1,Riyadh
EY,91d107dc75ab0738,"Manager, Digital, Data and AI, FAAS, Riyadh",Riyadh
EY,1da065b8b945f42a,Manager Transfer Pricing - ITTS - KSA - Al Khobar,Al Khobar
Edelman,fa3176ab98d052c8,Sr Finance/ Finance Analyst (Arabic Speaker),Riyadh
Enstoa,19201200ed48e02c,Project Controls Analyst,Riyadh
Excrin Think Labs,985d0ddc75ae4bf5,Full Stack Developer,Saudi Arabia
Frost & Sullivan,416e9774b8ef588a,Senior Consultant- Supply Chain & Logistics,Riyadh
Gas Power Global Supply Chain,0bacaa9e38e2d4fe,Early Career training ship - Operation Analyst,Dammam
Gathern,56b92d8f0523551a,Data Analyst,Riyadh
Gathern,5543c3acb8065e04,Data Engineer,Riyadh
Gathern,f555015758ec5700,Product Analyst,Riyadh
Giza Systems EG,6c137813962d74b6,Data Testing Lead,Riyadh
Globant,bbcaba38eb88ff69,"Data Scientist, Sr Level 3 - KSA",Riyadh
Golf Saudi,163447af69d2a892,Project Manager (Data Analysis),Riyadh
Gulf Business Solutions,1fd25b1818c91691,Senior Systems Analyst,Riyadh
Gulf Business Solutions,99dab82b27029e1c,Software Developer Trainee,Riyadh
HDR,68422cdcbcb74949,Graduate Traffic Engineer,Riyadh
HITACHI ENERGY LTD,7dcfd61b7c68a0e7,Procurement Team Leader,Dammam
Help AG,cdf2216ae9e5e687,SIEM Engineer (Splunk),Riyadh
Help AG,e5a95c2d95fe8625,Cybersecurity Defense Analyst – Specialist,Riyadh
Help AG,800a503e20d09c20,Incident Response Lead,Riyadh
Hudson Manpower,193fa0d89623705c,Admin Analyst - KSA,Jeddah
Hudson Manpower,948b80576f387ee9,Safety Statistics Analyst - KSA,Jeddah
"ITT, Inc.",deefb9b088117a36,Financial Analyst,Dammam
Infinium Associates,ce40cf1e92a2422d,Investment and Asset Manager,Riyadh
Infosys,0120aadd15bf4ef2,Analyst - CRL consultant - Middle East,Riyadh
InterContinental,a9cc2b8261748aad,Assistant Revenue Manager,Ta'if
Islamic Development Bank,dfd13e9ad7349021,Digital Analyst (Consultancy),Jeddah
Islamic Development Bank,19d18c449ecaf22c,Primary Healthcare Specialist (Consultancy),Jeddah
Islamic Development Bank,914cd3bd98e65f64,Portfolio Analyst (Consultancy),Jeddah
Itineris,47ed0543ac3ab224,"Saudi National, Financial Analyst – Riyadh, Saudi Arabia",Riyadh
JASARA PMC,83e46ef6c6f546b4,Senior Worker Welfare / Employment Practices Manager - THE LINE,Tabuk
JASARA PMC,a279518bc2b9a710,Controls and Reporting Analyst,Riyadh
JLL,3a7fa9c4a443e5aa,Senior Research Analyst,Riyadh
Jadeer,f5b797257d96812f,Data Analyst,Riyadh
Jadeer,f366944f418da988,Data Engineer,Riyadh
Jadeer,0afbc0fef51a5c83,Business Analyst,Riyadh
Jadeer,228da0f69747ae10,Cybersecurity Analyst,Riyadh
John Wood Group,d969301ba33af6ac,Senior Geospatial Information System Engineer,Al Khobar
Johns Hopkins Aramco Healthcare,b4388b64534439c8,Business Analyst,Dhahran
Johns Hopkins Aramco Healthcare,4493a2978e2b288f,Senior IT Functional Analyst,Dhahran
Johns Hopkins Aramco Healthcare,82e886899d0e32d6,Human Resources Analyst - HRIS,Dhahran
KEO International Consultants,e2929de7d81cd73d,Statistical Analyst,Jeddah
KORNFERRY,0c6d4ef9c95daa63,Associate Consultant (KSA Nationals),Riyadh
Knight Frank,d8e31dd661356e40,Senior Manager - Capital Markets,Riyadh
Lucidya,33ff428eb9752773,"Digital Analyst, Strategic Accounts",Riyadh
"M/S VALUETECH TECHNOLOGY SOLUTION CO. RIYADH, SAUDI ARABIA",6ebbc737e23be360,DATA ANALYST,Saudi Arabia
Mace,086745e3cf912e24,Sharepoint Developer,Riyadh
Mass,c8fc8c5efe99acdd,Weapon Systems Analyst,Riyadh
Master-Works,5341dd660c3e5e11,iServer Orbus Developer,Riyadh
Master-Works,94f192878857a76f,Data Engineer,Riyadh
Master-Works,75e2836877c36af7,Cloud Data Engineer,Riyadh
Microsoft,a59e450773768da2,Go-To-Market (GTM) Manager for Data and Analytics - Field Product Marketing,Riyadh
Miebach Consulting GmbH,d61cfcc9f10e5d19,Analyst in KSA / Jeddah,Jeddah
Mrsool,206d941c793dbf64,"Principal, Product - Remote",Riyadh
Mrsool,19b3ffbeae5a08f9,"Analyst, Product",Riyadh
Mrsool,5d28e23a39ae08e8,"Principal, Product",Riyadh
Mrsool,fa6773007930a695,"Engineer III, Data",Riyadh
Multimedia Club,022b5d0616aae275,Marketing Analyst - Reporting & Social Listening,Riyadh
Musanada HR,7bdaadd92f5f4b5d,Account Manager,Riyadh
Müller`s Solutions,43925a9f52ff4780,Business Analyst - Saudi National,Riyadh
Müller`s Solutions,82df2469fa01fc2f,Business Analyst,Riyadh
NOV Inc.,d1fea23368cf9793,Supply Chain Analyst,Jubail
NTT DATA,ca0304c8111b7675,IAM Consultant | SailPoint,Riyadh
NTT DATA,0e5cc137781ace8b,SOC Analyst L3,Riyadh
Noon Academy,08dbf529ac16589f,Data Analyst,Riyadh
Obrela,d737a010950167d7,L2 Cyber Security Analyst,Riyadh
One Tech Capital LLC,b36285bd0b72a809,Finance Manager,Riyadh
"Palladium Group, Inc.",f6402462e5652d80,"Analyst, Consulting",Riyadh
Parsons,8d7c0c0e9c2fcce7,Senior Planner & Data Analyst Engineer,Riyadh
Parsons,4eb820897acac88c,BI Developer,Riyadh
People Perfect Advisory,0497dd5692264918,Financial Analyst,Riyadh
PepsiCo,e91943f399e8b8ae,Intern - Sales Analyst,Jeddah
Perfect Vision,af25da9f3a226bf0,Accountant (Heavy Equipment Rental),Dammam
Perfect Vision,05994b29e00aec9a,Stock Portfolio Manager,Dammam
PradeepIT Consulting Services,07f355cc64cea2ab,Business Analyst,Riyadh
PwC,7e5e588c70ae65a0,Forensics - Managed Services - Alert Clearance Analyst - Deals,Riyadh
PwC,10e3a9550afe0277,Senior Finance Analyst,Al Khobar
Qiddiya Investment Company,325688d0ffeabba6,Director - Financial Analysis & Modeling,Riyadh
Qureos Inc,8f325451e0a24df8,Finance Team Leader - PSC,Riyadh
Qureos Inc,ff1c2c8f3e5d30e4,Revenue Manager - Alhokair Group,Riyadh
Qureos Inc,8150e71785f899e6,Business Analyst - AlShiaka Co,Jeddah
Rawaj - Human Capital Management,d2a82ca9346d38be,Financial Investment Senior Manager | Saudi Arabia,Dammam
Raytheon,ef85a0df83987389,"Sr. Analyst, Supplier Development",Riyadh
Riyadh Air,a800a818e69b8ac3,Financial Analyst ll - Financial Planning and Analysis,Riyadh
Roche,680b27a51ec86da7,"Payroll, Time & Benefits Analyst",Riyadh
Rosewood Hotel Group,4dbc7d377e564a22,Director of Rooms,Saudi Arabia
S&P Global,be5bd066320546b6,Economist,Riyadh
S&P Global,6d6a343768c4420c,Desktop and Channels Sales Director – Kingdom of Saudi Arabia,Riyadh
SHC,b48ac68b2fb0e780,Business Analyst,Riyadh
SS&C,7bd8f1617e65ad07,"Senior Business Systems Analyst (Riyadh, KSA)",Saudi Arabia
Salla,bf56819efe3b2ebc,Data Science Manager,Jeddah
Salla,0d531b98f7f4480a,Senior Quality and Technical Operation Analyst,Jeddah
Salla,a743c1fa06832785,Data Analyst,Jeddah
Salla,251e363e0d82eb1f,Data Quality Assurance Specialist,Jeddah
Saudi AZM,5e319370cdce1d8a,Business Analyst,Riyadh
Saudi AZM,7f959b28454dbea2,Senior Business Analyst,Riyadh
Saudi Business Machines,12c6686610b65ac5,Security Solution Analyst,Al Khobar
SolarWinds,05ad601a40b82e5a,"Account Executive - Riyadh, KSA",Riyadh
Sparc Consulting,1e17940f0b9ecfc3,Analyst,Riyadh
Squadio,3680e62b88190d0b,Senior Business Analyst - KSA,Riyadh
Stats Perform,c5c146776d929706,Technical Success Manager - Saudi Pro League (SPL),Riyadh
Sweater,20fc62ac4943f651,Product Specialist,Riyadh
Sweater,b96c2c0a988dcda8,Product Analyst,Riyadh
Systems Limited,3c5e6beddaaf4168,Consultant Business Analyst,Al Madīnah
TAM Development Co.,91ae7cc27ee51515,"Tamheer Opportunities - Product and Operation Analyst, Digital",Riyadh
Tamara,45c8c5d7a3fe8070,Senior Analyst - Strategic Finance,Riyadh
TechTalent,c5d1a623712a25d3,Data Quality Analyst,Riyadh
The Cigna Group,6418972f7a68b9fe,Senior Data & Analytics Analyst,Riyadh
V2X,74add58a6c371f3b,Project Control Analyst,Riyadh
VML,5f02ba1868f0f51c,Project Manager,Riyadh
Waed Ventures,e5186f55ffe95c82,Investment Analyst,Dhahran
aramcoservices,785e8b07b03e2feb,Sr Financial Analyst,Saudi Arabia
aramcoservices,27517104cf28b2eb,Material Procurement / Supply Chain Analyst,Saudi Arabia
aramcoservices,37b75e164dbaf8a5,Plng & Perf Mgmt Specialist,Saudi Arabia
aramcoservices,d796d05798cfc3ab,Planning & performance Management Specialist,Saudi Arabia
aramcoservices,e1c6d6f172837a9f,Lead Plng & Perf Mgmt Analyst,Saudi Arabia
aramcoservices,2a7ebdff08784819,Legal Operations Specialist,Saudi Arabia
aramcoservices,b4871418f87fb255,Business Development Lead,Saudi Arabia
aramcoservices,7577d0138e5a0eb7,Marketing Research Analyst / Behavior Science Specialist,Saudi Arabia
aramcoservices,e7b6dd273eec2647,Market Analyst,Saudi Arabia
aramcoservices,7189801d4c344db7,Business Development Specialist,Saudi Arabia
aramcoservices,76015d08774e1728,Finance IT-Controls Assurance Analyst,Saudi Arabia
