name,key,title,location
"21Tech, LLC",461c059e27a96403,AI Solutions Architect,Saudi Arabia
700Apps,949e5180ca1a74f8,Operations Engineer - .NET Developer,Riyadh
AECOM,9b2ea728814e8a5d,Electrical Engineer,Riyadh
AECOM,44c3c6c7c1ba1855,Senior Quantity Surveyor,Tabuk
AECOM,d355fddf7b0fb62d,Senior Architect,Riyadh
AECOM,a7632a22ae07b4af,BIM Technician,Riyadh
AECOM,d3a5a26ee01a122a,Quantity Surveyor,Tabuk
AECOM,fdfecfc2266e08d6,Senior Administrator,Riyadh
AECOM,efa2d98fae2fed4f,Senior Manager - Facility Maintenance,Riyadh
AECOM,dfcf0f88a59aa5f1,Contract Manager,Duba
AECOM,95e971efee6f47af,"Advisor - Safety, Health & Environment",Riyadh
AECOM,92265168d77db8f5,Cost Manager,Tabuk
AECOM,8a8a1f65803611cd,Change Manager,Tabuk
AECOM,0d24e935ea084dbc,Inspector - Electrical,Riyadh
AL ITTEFAQ STEEL PRODUCTS CO.,5a9ada23ac54a918,"Engineer, Induction Furnace",Dammam
AL QIMMA EQUIPMENT FACTORY SAUDI ARABIA,b0aa38b06f109f12,DESIGN ENGINEER,Saudi Arabia
AL QIMMA EQUIPMENT FACTORY SAUDI ARABIA,ba204fe30387d42a,QUALITY ENGINEER MANAGER,Saudi Arabia
ALSTOM,5c43b771cc5abfc3,Project Manager,Riyadh
ALSTOM,165b7aba782317f4,Service Quality Engineer,Riyadh
AWS EMEA SARL (Saudi Arabia Branch) - H11,db39accc3788748c,"Security Program Manager (Saudi Arabian/GCC national), DCC Communities",Riyadh
Accounts Quality For Financial Consulting,ed15824e03f7bf7e,DevOps Engineer,Riyadh
Accounts Quality For Financial Consulting,05951412564537e1,AI/ML Engineer,Riyadh
Adree,3a6ff892f3bd9a09,Senior Outsystem Engineer,Riyadh
Afaq - Warehouse Branch,f746e56d458721bb,"Automation Engineer, Reliability Maintenance Engineering",Riyadh
Afaq - Warehouse Branch,a8c547c4c9777abc,"Area Manager, FC Operations",Riyadh
Afaq - Warehouse Branch,9e9f418fd1fc5f06,"Maintenance Engineer, Reliability Maintenance Engineering",Jeddah
Air Products,0c9f81b807c01fa3,Mechanical Commissioning Engineer - (GFU /AGR /HRU),Jizan
Air Products,a2eded8b1847c16b,Environmental and Sustainability Engineer,Saudi Arabia
Air Products,6fd91f0062c86936,Plant Process Engineer (Modelling and Optimisation),Jizan
Air Products,42517d7891fbc90d,Reliability and Maintenance System Engineer (Open),Dhahran
Air Products,59a85404cf738f33,Lead Systems Engineer,Jizan
AlMosafer,7f898509f7883953,Senior Backend Engineer,Riyadh
Alaan,0fb1817f9ca23282,"General Manager, KSA",Riyadh
Alfaisal University,23befa5c53061b80,Information Technology (IT) Technician,Riyadh
Arab Center for Engineering Studies,0962bc9b8326cd95,Senior Civil Engineer - Materials - KSA,Riyadh
Arab Center for Engineering Studies,9238a638d2ac204b,Senior Geotechnical Engineer - KSA,Riyadh
Arab Center for Engineering Studies,9da520092dc6551e,Surveying Engineer,Riyadh
Arab Operators Trading EST,96112e5a45c7d9a7,Senior Network and Data Centre Engineer,Riyadh
Arabic Computer Systems,7feb9daf89026034,GIS Engineer ( Multiply position ),Medina
Arabic Computer Systems,f5e9bdccaac4f0f4,Addressable telephone systems and wireless network systems engineer,Riyadh
Arabic Computer Systems,6e3ea7146532c9d2,Backup and Storage Administrator,Dhahran
Arabic Computer Systems,fb945b09845a0559,PowerBI engineer,Riyadh
Arabic Computer Systems,83037bc32335b5d0,Geospatial data engineer,Riyadh
ArchiSite Group,c0d4e1e2ff0a32bb,Electrical Engineer,Riyadh
Archirodon Group N.V,3aa1bf1abdb55c16,Project Controls Manager / Cost/Commercial Manager,Tabuk
Archirodon Group N.V,01512c35fc5b03be,Electrical Site Engineer,Tabuk
Archirodon Group N.V,9d3eb598bbb97335,Procurement Engineer (Civil),Mecca
Archirodon Group N.V,eb91cd59014c278a,Deputy HSE Manager (Local),Saudi Arabia
Archirodon Group N.V,d4ce6b568c554bcf,Cost Control Engineer,Saudi Arabia
Archirodon Group N.V,ab81c9b18a6562b2,Civil Quantity Surveyor,Jeddah
Archirodon Group N.V,58b7b50308a0de2b,Technical Office Engineer (Civil),Saudi Arabia
Aricrypta,f093fe947f485a4a,Android developer,Jeddah
Assystem,5884c39a508286f0,Wet Utilities Designer,Al Khobar
Assystem,343cd4aee1dffc6b,BIM Manager,Al Khobar
Assystem,bfe53f732ca5a8c4,Electrical Engineer,Al Khobar
AtkinsRéalis,e00dbcbd7ed87ca3,Public Health Design Manager (NEOM Site),Saudi Arabia
AtkinsRéalis,c5ef15c41f10734b,Senior Project Manager (Neom Site),Saudi Arabia
AtkinsRéalis,e53d94bf40e66bcc,Communication Engineer - Saudi National,Saudi Arabia
AtkinsRéalis,fffa4aba2e27851e,Associate Principal Structural Engineer,Riyadh
AtkinsRéalis,b687e164e97f8e2d,Mechanical and Ventilation Design Manager,Saudi Arabia
AtkinsRéalis,ec0ba017fcd7f01e,Project Director - MMC (NEOM Site),Saudi Arabia
AtkinsRéalis,70d8a4e2b51586b1,Project & Design Management Opportunities for Saudi Nationals,Riyadh
AtkinsRéalis,06f1230cdd90e24b,Senior Power Plant Engineer,Saudi Arabia
AtkinsRéalis,27552f9334f7944c,Senior Manager - Sustainability (NEOM Site),Saudi Arabia
AtkinsRéalis,1fc938fbb8bc469d,Civil/Structural Engineer - Saudi National,Saudi Arabia
AtkinsRéalis,57dd51f04af4a8f5,Risk Analyst,Saudi Arabia
AtkinsRéalis,b5d0480dae584915,Senior Design Manager (Highrise - NEOM Site),Saudi Arabia
AtkinsRéalis,2e43953c6387b7ff,Senior Civil Engineer (Saudi National),Saudi Arabia
AtkinsRéalis,b6fc95cfdf8e61e5,Architectural Engineer,Riyadh
AtkinsRéalis,447fa9aacbc2db1d,Principal Wet Utilities Engineer,Riyadh
