name,key,title,location
"21Tech, LLC",461c059e27a96403,AI Solutions Architect,Saudi Arabia
Accounts Quality For Financial Consulting,05951412564537e1,AI/ML Engineer,Riyadh
Afaq - Warehouse Branch,9e9f418fd1fc5f06,"Maintenance Engineer, Reliability Maintenance Engineering",Jeddah
Arabic Computer Systems,71262cd70810e49b,Data Engineer,Riyadh
Arabic Computer Systems,e1337d48be917b54,AI Engineer,Riyadh
Chemdelves,800e1d1426699a4d,Computer Vision Engineer,Saudi Arabia
Cognizant,175a926742706306,Azure AI & ML,Riyadh
DarkVision,563ad2da52d037ec,Wireline logging Sales Engineer,Dammam
Devoteam,4fa59cea31c69542,Lead Cloud Architect,Riyadh
Empowering Energy,41fb5e2140c10c9b,AI/ML Engineer,Riyadh
Giza Systems,8458a1b76961b086,Senior Business Intelligence Engineer,Riyadh
Giza Systems EG,3af1de517a1bc7b7,Senior Business Intelligence Engineer,Riyadh
Hewlett Packard Enterprise,b88a2331be080b84,Graduate HPC Technical Consultant,Riyadh
KAUST,6a005bf189733340,FACULTY POSITION IN BIOLOGY BY DESIGN (BIOTECH METABOLIC ENGINEERING) AND ENGINEERING BIOLOGY,Thuwal
KAUST,56408afbd09b8775,FACULTY POSITION IN COMPUTATIONAL METHODS FOR BIOENGINEERING,Thuwal
KAUST,a0a7b06b3b3b1e90,FACULTY POSITION IN BIO-DEVICES AND BIOINTERFACES FOR DIAGNOSTICS AND THERAPY,Thuwal
Lucidya,c36561c46dc00422,Technical Internship or Coop,Riyadh
Ma’aden,61f6dab4e925d263,"Senior Specialist, Reliability I",Ras Al-Khair
Müller`s Solutions,cd09c9f63c7c5cdd,AI / Computer Vision ENGINEER,Riyadh
Oivan Group Oy,994183e4e58f8c96,"Senior Data Engineer (Riyadh, on-site)",Riyadh
PASQAL,97061ccc96a721c3,Quantum Technical Sales Engineer - Middle East / Saudi...,Thuwal
Perfect Vision,db7dade836f4158c,AI Developer,Dammam
Salla,fe8f23e822728e1c,Machine Learning Ops Engineer,Jeddah
Saudi Business Machines,ae39155a4f6c38de,Data Scientist,Saudi Arabia
Unifonic,1e13670fdfa113f1,Senior Machine Learning (AI) Engineer,Riyadh
Unifonic,f2eef6f2cc64d03f,Machine Learning (AI) Engineer,Riyadh
Varian Medical Systems,52222da28a07efcc,Software Installation Engineer,Riyadh
aramcoservices,4c01a8b9893f9fe4,Generative AI Expert,Saudi Arabia
webook.com,c6d6d4ddfa8f68cd,Data Engineer,Riyadh
webook.com,1ee26161fe8743b5,Machine Learning Engineer,Riyadh
