key,Tools,Month,Job Role
a2eb9638680ab4c5,tableau,3,DATA ANALYST
a2eb9638680ab4c5,databricks,3,DATA ANALYST
a2eb9638680ab4c5,mongodb,3,DATA ANALYST
a2eb9638680ab4c5,nosql,3,DATA ANALYST
a2eb9638680ab4c5,python,3,DATA ANALYST
a2eb9638680ab4c5,snowflake,3,DATA ANALYST
a2eb9638680ab4c5,sql,3,DATA ANALYST
a2eb9638680ab4c5,kafka,3,DATA ANALYST
a2eb9638680ab4c5,informatica,3,DATA ANALYST
a2eb9638680ab4c5,java,3,DATA ANALYST
a2eb9638680ab4c5,oracle,3,DATA ANALYST
a2eb9638680ab4c5,hadoop,3,DATA ANALYST
a2eb9638680ab4c5,azure,3,DATA ANALYST
a2eb9638680ab4c5,cloud,3,DATA ANALYST
506a2639bb2bf06b,tableau,3,DATA ANALYST
506a2639bb2bf06b,excel,3,DATA ANALYST
506a2639bb2bf06b,sql,3,DATA ANALYST
df68faa65a4af135,tableau,3,DATA ANALYST
df68faa65a4af135,python,3,DATA ANALYST
df68faa65a4af135,redshift,3,DATA ANALYST
df68faa65a4af135,postgresql,3,DATA ANALYST
df68faa65a4af135,sql,3,DATA ANALYST
c4facbaf25c4d315,tableau,3,DATA ANALYST
c4facbaf25c4d315,power bi,3,DATA ANALYST
c4facbaf25c4d315,python,3,DATA ANALYST
c4facbaf25c4d315,excel,3,DATA ANALYST
c4facbaf25c4d315,sql,3,DATA ANALYST
c4facbaf25c4d315,oracle,3,DATA ANALYST
c4facbaf25c4d315,sql server,3,DATA ANALYST
ce1a74a064ee1406,excel,3,DATA ANALYST
ce1a74a064ee1406,sap,3,DATA ANALYST
f5965dca49a9757e,power bi,3,DATA ANALYST
f5965dca49a9757e,python,3,DATA ANALYST
f5965dca49a9757e,sql,3,DATA ANALYST
83e46ef6c6f546b4,excel,3,DATA ANALYST
468d9ea47546a87c,tableau,3,DATA ANALYST
468d9ea47546a87c,sql,3,DATA ANALYST
4b321c3e947d1d19,ms access,3,DATA ANALYST
4b321c3e947d1d19,excel,3,DATA ANALYST
4b321c3e947d1d19,vba,3,DATA ANALYST
4b321c3e947d1d19,sql,3,DATA ANALYST
4b321c3e947d1d19,oracle,3,DATA ANALYST
a193a5a2c8f4f85b,power bi,3,DATA ANALYST
a193a5a2c8f4f85b,python,3,DATA ANALYST
a193a5a2c8f4f85b,sap,3,DATA ANALYST
a193a5a2c8f4f85b,sql,3,DATA ANALYST
a193a5a2c8f4f85b,informatica,3,DATA ANALYST
