name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
Ipsos Zrt.,64ce64ddd911f3b9,Research Analyst,Riyadh,,Today,0,3.7,[],[],[],https://ecqf.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/requisitions/preview/2218,https://indeed.com/cmp/Ipsos,[],"['analysis', 'insight', 'organization', 'research']","['data analysis', 'monitoring']","assisting line manager in writing research proposal. designing and assisting in the development of questionnaire and plans to ensure that necessary data is captured as per the proposal. day-to-day involvement in the projects, with emphasis on field launch phase. resolve the day-to-day problems as they arise. review and improve questionnaire in english and verify arabic translation of questionnaire. maintain the data privacy and data confidentiality that are applicable to the country and ensure field staff and interviewers are applying them. conducting in-depth data analysis using advances statistical software provided by ipsos. preparing findings reports, finalizing as per feedback provided by manager and presentation of reports if required. any additional tasks that will be related to this job, including (but not limited), including and tracking of business within business unit. ipsos is one of the world’s largest research companies and currently the only one primarily managed by researchers, ranking as a #1 full-service research organization for four consecutive years . with over 75 different data-driven solutions, and presence in 90 markets, ipsos brings together research, implementation, methodological, and subject-matter experts from around the world, combining thematic and technical experts to deliver top-quality research and insights. simply speaking, we help the biggest companies solve some of their biggest problems, serving more than 5000 clients across the globe by providing research, data, and insights on their target markets. and we’re proud to share we’ve received our great place to work certification in 2022 &amp; 2023! the brand health tracking service line helps clients manage their in-market brands in terms of monitoring health and making sure they are on the right course. clients have their own sales data, we provide them with brand affinity data to understand how people feel about the brand and its competitors longitudinally."
Ipsos,f2539944209c6abe,Research Analyst,Riyadh,,Today,0,3.7,[],[],[],https://ecqf.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions/preview/2218,https://indeed.com/cmp/Ipsos,[],"['analysis', 'research']",['data analysis'],"assisting line manager in writing research proposal. designing and assisting in the development of questionnaire and plans to ensure that necessary data is captured as per the proposal. day-to-day involvement in the projects, with emphasis on field launch phase. resolve the day-to-day problems as they arise. review and improve questionnaire in english and verify arabic translation of questionnaire. maintain the data privacy and data confidentiality that are applicable to the country and ensure field staff and interviewers are applying them. conducting in-depth data analysis using advances statistical software provided by ipsos. preparing findings reports, finalizing as per feedback provided by manager and presentation of reports if required. any additional tasks that will be related to this job, including (but not limited), including and tracking of business within business unit."
Persistence Recruitment,ef3c8b63c238c911,SAP Developer for CRM Project,Riyadh,Full-time,1 day ago,1,,['5'],[],[],https://apply.workable.com/j/89B44D19A6,https://indeed.com/cmp/Persistence-Recruitment,[],"['attention to detail', 'communication', 'communication skills', 'design', 'focus', 'problem-solving']","['ml', 'problem-solving skills']","jawraa, a leading saudi digital transformation company, is seeking an experienced sap developer for a crm project as part of our client's public investment fund (pif) 64 billion sar culture and tourism destination giga-project in riyadh. as an sap developer for the crm project, your primary responsibilities will include: designing, developing, and implementing sap crm solutions to meet project requirements. customizing and configuring sap crm modules, including sales, marketing, and service, to optimize business processes. collaborating with business analysts and stakeholders to gather requirements and translate them into technical specifications. developing and maintaining integrations between sap crm and other enterprise systems to ensure seamless data flow. conducting testing and debugging to ensure the stability, performance, and reliability of sap crm applications. providing technical support and troubleshooting assistance to end-users and resolving system issues in a timely manner. documenting technical designs, configurations, and development activities for reference and future enhancements. keeping abreast of sap crm updates requirements requirements: bachelor's degree in computer science, information technology, or a related field. minimum of 5 years of hands-on experience as an sap developer with a focus on crm projects. proficiency in sap crm modules, including sales, marketing, and service, with expertise in customizations and configurations. strong understanding of sap crm architecture, data models, and integration techniques. experience with sap crm webui, bol/genil programming, and sap fiori/ui5 development is a plus. knowledge of sap crm middleware and data exchange mechanisms. excellent problem-solving skills, analytical thinking, and attention to detail. effective communication skills with the ability to collaborate with cross-functional teams and stakeholders. sap certification in crm or related areas is preferred."
Rasi Consulting,7716c0c57d880cb1,Business Analyst,Riyadh,Full-time,1 day ago,1,,[],[],[],http://sa.indeed.com/job/business-analyst-7716c0c57d880cb1,https://indeed.com/cmp/Rasi-Consulting,[],"['analysis', 'attention to detail', 'communication', 'insight', 'interpersonal skills', 'organization', 'planning', 'problem-solving', 'project management', 'research']",['project management'],"business analyst job description: as a business analyst, you'll work as part of a team of problem solvers, you will have a significant impact on the collection, examination, and interpretation of data to offer insightful analysis that supports wise business decisions. for the purpose of improving strategic planning and operational effectiveness, you will concentrate on carrying out in-depth business research, spotting market trends, and working with internal departments in order to meet the clients' business needs. your responsibilities will include: work closely with business stakeholders to understand their needs, objectives, and challenges. elicit, document, and analyze business requirements, processes, and workflows. translate business requirements into clear and concise functional specifications for technical teams. maintain accurate and up-to-date project documentation throughout the project lifecycle. collaborate with project managers to define project scope, objectives, and deliverables. assist in project planning, estimation, and resource allocation. monitor project progress and identify potential risks or deviations from the plan. invite and give feedback constructively in the moment. share and collaborate effectively with others. identify and make suggestions for improvements when problems and/or opportunities arise. handle, manipulate and analyze data and information responsibly. present findings, recommendations, and project updates to various audiences. ensure that proposed solutions align with the organization's strategic goals and technological capabilities. build and maintain an internal and external network. keep up to date with developments in area of specialism. qualifications and requirements: bachelor's degree in business administration, project management, or a related field (master's degree is a plus). arabic speaker preferably a saudi national. proven experience in business analyst or in a related role. exceptional communication and interpersonal skills. ability to build relationships with clients &amp; stakeholders. strong analytical, problem-solving, and critical-thinking skills. proficiency in requirement gathering techniques, process modeling, and documentation. familiarity with project management methodologies and software development lifecycle. ability to collaborate effectively with cross-functional teams. innovative thinker. strong organizational skills and attention to detail. fluency in microsoft office suite (outlook, excel, word, powerpoint, etc.) location: riyadh type of employment: full-time years of experience: 0-2 years job type: full-time application deadline: 30/04/2024"
Persistence Recruitment,6c068539c9cff810,SAP Tester for CRM Project,Riyadh,Full-time,1 day ago,1,,['3'],[],[],https://apply.workable.com/j/4702E84944,https://indeed.com/cmp/Persistence-Recruitment,[],"['communication', 'communication skills', 'focus', 'integrity', 'planning', 'problem-solving']",[],"jawraa, a leading saudi digital transformation company, is seeking an experienced sap tester for a crm project as part of our client's public investment fund (pif) 64 billion sar culture and tourism destination giga-project in riyadh. as an sap tester for the crm project, your primary responsibilities will include: collaborating with business analysts and stakeholders to understand crm requirements and develop comprehensive test plans and test cases. executing test cases, identifying defects, and documenting issues in defect tracking tools. conducting functional, integration, regression, and performance testing for sap crm solutions. validating data integrity, system functionality, and user acceptance criteria for sap crm modules such as sales, marketing, and service. developing and maintaining automated test scripts using testing tools such as sap test automation framework (taf) or similar tools. participating in test strategy discussions, test estimation, and test execution planning. analyzing test results, preparing test reports, and providing feedback to project teams and stakeholders. collaborating with development teams to troubleshoot and resolve issues identified during testing. supporting user acceptance testing (uat) and coordinating with end-users for feedback and validation. ensuring adherence to testing standards, best practices, and regulatory requirements. requirements requirements: bachelor's degree in computer science, information technology, or a related field. minimum of 3 years of experience as an sap tester or qa engineer with a focus on sap crm projects. proficiency in testing sap crm modules, including sales, marketing, and service, and familiarity with sap testing tools and methodologies. strong understanding of software testing concepts, techniques, and best practices. experience in test automation using tools such as sap test automation framework (taf), selenium, or similar tools. knowledge of test management tools such as hp alm, jira, or similar tools. excellent analytical, problem-solving, and communication skills. ability to work effectively in a fast-paced, dynamic environment and collaborate with cross-functional teams. sap certification in quality assurance or related areas is a plus."
Atkins,72f6bc6357bc82c8,DESK SIDE AND TECHNOLOGY SUPPORT ANALYST,Riyadh,Permanent,1 day ago,1,,['3'],[],[],https://jobs.smartrecruiters.com/JobsForHumanity/743999977519392-desk-side-and-technology-support-analyst,,[],"['communication', 'design', 'focus', 'organization', 'project management', 'teamwork']",['project management'],"company description jobs for humanity is collaborating with atkins to build an inclusive and just employment ecosystem. we support individuals coming from all walks of life. company name: atkins job description join us in engineering a better future for our planet and its people. atkinsréalis is a leading organization in design, engineering, and project management. we work together with people, data, and technology to improve the world's infrastructure and energy systems. our diverse global team collaborates with clients and industry partners to create positive change. we value strong relationships with our clients in the middle east. our shared vision is to develop sustainable infrastructure that promotes healthy living and vibrant communities for long-term benefit. we are looking for a desk side and technology support analyst in riyadh, saudi arabia. responsibilities: provide essential it support for atkins employees. ensure timely resolution of it incidents and requests. troubleshoot desktop computing issues and deploy computer systems. maintain service excellence and customer satisfaction. manage it equipment rooms and assets. support new office setups and site projects. effectively communicate technical issues to team members. conduct training programs for team development. requirements: 3 years of it service management experience. proficiency in corporate it environments. knowledge of hardware and software management processes. experience in meeting service level agreements. strong business focus and customer service skills. ability to learn and adapt to new technologies. excellent communication and teamwork skills. it certifications and knowledge of itil and service now. benefits: competitive salary. medical and life insurance. company gratuity and bonus schemes. annual flight allowance. well-being program for personal support."
Schneider Electric,7a207c5cc00de0ff,HR Analyst,Riyadh,Full-time,2 days ago,2,3.9,[],[],['master'],https://schneiderele.taleo.net/careersection/2/jobdetail.ftl?lang=en&job=1681429,https://indeed.com/cmp/Schneider-Electric,[],"['insight', 'problem-solving']","['data extraction', 'extract', 'problem-solving skills']","the hr analyst role purpose is to provide data-driven insights by data extraction &amp; modelling, drive efficiency and completion of hr processes, and support hrvp and hr people with administrative tasks. responsibilities/activities contribute to master data optimization and digitization contribute to the deployment and animation tools and platforms to process data and support hr performs data extractions from sources in line with requirements part of the extended network of hr analytics, reporting into regional/local/country hr organizations conduct periodic checks as per set plan to ensure compliance with hr kpis, policies, frameworks, as well as strategy and plans communicate scheduling of compliance checks to concerned stakeholders to ensure awareness and timely execution develop periodic analytical reports to depict results of compliance checks and follow up with concerned stakeholders to ensure resolution of any non-compliances manage and distribute information within an office support hrvp and hr team with scheduling and coordinating meetings and appointments, and assist with travel arrangements and expense reports maintain office supplies and equipment organize and maintain files and records provide general administrative support to staff assist with basic bookkeeping tasks and handling incoming and outgoing correspondence qualifications minimum of 1 year experience in a similar role bachelor degree in hr management, management information systems, or equivalent is required experience using hris and microsoft office suite english language proficiency research, analytical, and problem-solving skills business acumen primary location: sa-central-riyadh regional office schedule: full-time unposting date: ongoing"
Knight Frank,a0dd0598f554a3af,Associate Partner - Valuation and Advisory,Riyadh,,4 days ago,4,3.8,['7'],[],[],https://jobs.knightfrank.com/job/Riyadh-Associate-Partner-Valuation-and-Advisory/1055172501/,https://indeed.com/cmp/Knight-Frank,[],"['accuracy', 'communication', 'decision making', 'professional', 'research', 'responsibility', 'team player']",['monitoring'],"overview based in our riyadh office, we’re looking to recruit a royal institution of chartered surveyors (rics) qualified associate partner with a flexible attitude and variable skill set to work primarily on commercial valuation instructions but also to be capable of undertaking research related advisory work. responsibilities increase the range and quantity of instructions via business generation to ensure development of the department as a whole. undertake such valuations in an accurate and professional manner. understand and be proficient in the use of all the office technology employed in undertaking valuations. attend events to promote the department and firm amongst clients and professional organisations. respond quickly to client enquiries. prepare reports with support from junior staff members. lead projects for demanding public sector clients and understand local ways of working and be sympathetic to local client requirements. acquire and build a sound knowledge of property markets and legal case law. take a close interest in the property press and the national press with a view to building up a wide perspective of the property market and related activities. adhere to all deadlines set for the completion of work. maintain neat tidy orderly file records of valuations, including computer files, at all times. fully understand office records and vetting procedures and be able to make good use of all the available information contained therein. maintain confidentiality in respect of all work undertaken by the department and to be aware of what is likely to be sensitive information. abide by the principle of continuing professional development as required by the rics. comply with knight frank best practice procedures. ensure consistency between project objectives and project work plan and take responsibility for project strategy, objectives and scope. develop knowledge of leading-edge issues in the industry through speaking or writing publicly (to be undertaken in conjunction with the research team.) liaise with members of other departments and to get to know the individuals and their markets both for the purpose of obtaining information in support of valuations and also to look for opportunities for cross selling of business. work closely with the strategic consultancy and research teams to ensure accuracy of data and market u information used for all assignments. assist with oversight of others and manage the local team allocating workloads appropriately, often for multiple complex and diverse projects. monitor resources, team communications and tasks to achieve project work plan and client deadlines. manage service delivery and delegate appropriate level of autonomy and decision making. manage junior team members and mentor / train analysts and interns. produce project plans for complex projects and take responsibility for monitoring, qa and best practice. act as a role model on policies regarding document storage and filing, clean desk policies and all internal operational policies. participate in firm wide marketing of the business. take a lead in the development of knight frank awareness in the market through marketing and business development. attend pitches and presentations with senior client personnel and stand in for the partner as required. support knight frank senior management where needed both through business development and client management. refer business leads or other potential fee earning opportunities into other parts of the middle east and global business. build and maintain goodwill, confidentiality, and trust with prospective and existing clients at all times in order to foster the professional image of the partnership. other tasks as required. skills and qualifications bachelor's degree in real estate or a rics accredited degree. minimum 7 years’ commercial valuation experience in mature and emerging markets. attention to detail and a high level of accuracy. clear and logical thinker with well-developed report writing skills. commitment and determination to investigate thoroughly and seek out information necessary for the accurate valuation of property. excellent interpersonal and communications skills. strong team player with the ability to build relationships. ability to work effectively in a fast-paced and dynamic environment. ability to maintain confidentiality and handle sensitive information. ability to work flexible schedules to ensure successful and timely delivery of projects. understanding of regional business culture and regulations. the ability to understand and make use of computers and information technology (knight frank internal systems). certifications and licenses: mrics and rics registered valuer required. taqeem qualifications would be advantageous. software: microsoft office programs to a proficient level. proficiency using argus enterprise, argus developer and estate master. language skills: fluency in english, written and verbal. fluency in arabic or other languages is advantageous. travel: flexible attitude towards travelling."
"S&P Global, Inc.",aacc730c12372924,Desktop and Channels Sales Director - Kingdom of Saudi Arabia,Riyadh,"Permanent, Full-time",4 days ago,4,3.9,[],[],[],https://www.efinancialcareers.ie/jobs-Saudi_Arabia-Riyadh-Desktop_and_Channels_Sales_Director_-_Kingdom_of_Saudi_Arabia.id20877909,https://indeed.com/cmp/S&P-Global,[],"['commitment', 'communication', 'communication skills', 'curiosity', 'design', 'flexibility', 'focus', 'imagination', 'initiative', 'innovation', 'insight', 'integrity', 'negotiation', 'organization', 'passion', 'planning', 'professional', 'research', 'responsible', 'sense of urgency']","['monitoring', 'transform']","desktop and channels sales director - kingdom of saudi arabia about the role: grade level (for internal use): 12 desktop and channels sales director - kingdom of saudi arabia the role: we are looking for a sales director based in the riyadh office. this role is responsible for promoting and consultatively selling a portfolio of products to current and target customers. the clients are across multiple segments, such as commercial lending, investment banking, private equity, investment management and corporations. the impact: your contribution and dedication to your role is critical as you directly impact business generation. you can lead from the front and directly impact the business's future growth in ksa. in doing so, you will learn the client's business and help identify their needs while providing solutions utilising our products and tools. what's in it for you: you are a key player within the sales team, and you will have the opportunity to work with the major key clients across all sectors. this is a great opportunity to grow professionally and contribute to the business's growth. your skills: you have exceptional communication skills and can articulate ideas and complex information in a clear and structured manner. you have in-depth knowledge of the financial market industry and know what's happening. you have strong personal integrity and negotiation skills. responsibilities: revenue generation - carry an individual sales target and generate new revenue from white space and existing clients across all segments (i.e., commercial lending, investment management, investment banking, insurance, corporations and government institutions) ability to carry out a client sales meeting, including diagnosing, designing and delivering solutions for our clients identify and initiate new client relationships and work on end-to-end sales cycle from origination to closing of the deal. optimize revenue by prioritising opportunities and engaging clients proactively through cold calling campaigns, marketing strategies, and account planning with relationship managers develop and nurture deep and strong relationships with client organisations, addressing their needs and maintaining high customer satisfaction develop an exceptional understanding of, and stay current on, the s&amp;p global market intelligence products and functionality and their application to specific clients/job functions produce accurate sales forecasting and keep an up-to-date pipeline, contacts and meeting notes in the salesforce crm system staying current on competitor offerings to identify the strengths and vulnerabilities of s&amp;p global market intelligence offerings in comparison contribute to the business strategy through a deep understanding of industry regulatory requirements, market trends and client requirements what we're looking for: saudi nationals only bachelor's degree or equivalent experience fluency in english and arabic experience in enterprise sales within ksa strong understanding of sustainability solutions a proven track record in consultative sales ambition, passion, drive and a hunger for a sales role confidence in cold calling and dealing with c-level executives over the phone and in person, client-first approach to sales entrepreneurial mindset; demonstrates drive, initiative, energy, and a sense of urgency resilience, flexibility, and long-term thinking about s&amp;p global ratings at s&amp;p global ratings, our analyst-driven credit ratings, research, and sustainable finance opinions provide critical insights that are essential to translating complexity into clarity so market participants can uncover opportunities and make decisions with conviction. by bringing transparency to the market through high-quality independent opinions on creditworthiness, we enable growth across a wide variety of organizations, including businesses, governments, and institutions. s&amp;p global ratings is a division of s&amp;p global (nyse: spgi). s&amp;p global is the world's foremost provider of credit ratings, benchmarks, analytics and workflow solutions in the global capital, commodity and automotive markets. with every one of our offerings, we help many of the world's leading organizations navigate the economic landscape so they can plan for tomorrow, today. for more information, visit www.spglobal.com/ratings what's in it for you? our purpose: progress is not a self-starter. it requires a catalyst to be set in motion. information, imagination, people, technology-the right combination can unlock possibility and change the world. our world is in transition and getting more complex by the day. we push past expected observations and seek out new levels of understanding so that we can help companies, governments and individuals make an impact on tomorrow. at s&amp;p global we transform data into essential intelligence®, pinpointing risks and opening possibilities. we accelerate progress. our people: we're more than 35,000 strong worldwide-so we're able to understand nuances while having a broad perspective. our team is driven by curiosity and a shared belief that essential intelligence can help build a more prosperous future for us all. from finding new ways to measure sustainability to analyzing energy transition across the supply chain to building workflow solutions that make it easy to tap into insight and apply it. we are changing the way people see things and empowering them to make an impact on the world we live in. we're committed to a more equitable future and to helping our customers find new, sustainable ways of doing business. we're constantly seeking new solutions that have progress in mind. join us and help create the critical insights that truly make a difference. our values: integrity, discovery, partnership at s&amp;p global, we focus on powering global markets. throughout our history, the world's leading organizations have relied on us for the essential intelligence they need to make confident decisions about the road ahead. we start with a foundation of integrity in all we do, bring a spirit of discovery to our work, and collaborate in close partnership with each other and our customers to achieve shared goals. benefits: we take care of you, so you can take care of business. we care about our people. that's why we provide everything you-and your career-need to thrive at s&amp;p global. our benefits include: health &amp; wellness: health care coverage designed for the mind and body. flexible downtime: generous time off helps keep you energized for your time on. continuous learning: access a wealth of resources to grow your career and learn valuable new skills. invest in your future: secure your financial future through competitive pay, retirement planning, a continuing education program with a company-matched student loan contribution, and financial wellness programs. family friendly perks: it's not just about you. s&amp;p global has perks for your partners and little ones, too, with some best-in class benefits for families. beyond the basics: from retail discounts to referral incentive awards-small perks can make a big difference. for more information on benefits by country visit: https://www.spglobal.com/en/careers/our-culture/ diversity, equity, and inclusion at s&amp;p global: at s&amp;p global, we believe diversity fuels creative insights, equity unlocks opportunity, and inclusion drives growth and innovation - powering global markets. our commitment centers on our global workforce, ensuring that our people are empowered to bring their whole selves to work. it doesn't stop there, we strive to better reflect and serve the communities in which we live and work, and advocate for greater opportunity for all. s&amp;p global has a securities disclosure and trading policy (""the policy"") that seeks to mitigate conflicts of interest by monitoring and placing restrictions on personal securities holding and trading. the policy is designed to promote compliance with global regulations. in some divisions, pursuant to the policy's requirements, candidates at s&amp;p global may be asked to disclose securities holdings. some roles may include a trading prohibition and remediation of positions when there is an effective or potential conflict of interest. employment at s&amp;p global is contingent upon compliance with the policy. equal opportunity employer s&amp;p global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. only electronic job submissions will be considered for employment. if you need an accommodation during the application process due to a disability, please send an email to: eeo.compliance@spglobal.com and your request will be forwarded to the appropriate person. us candidates only: the eeo is the law poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law. 103 - middle management (eeo job group) (inactive), 10 - officials or managers (eeo-2 job categories-united states of america), slsgrp103.2 - middle management tier ii (eeo job group) job id 295177"
Eram Talent,60e9cc07480dbbf6,Business Development Analyst (Oil & Gas),Dhahran,Contract,4 days ago,4,,['10'],[],[],https://apply.workable.com/j/1EB3501950,https://indeed.com/cmp/Eram-Talent,[],"['analysis', 'research', 'responsible']",[],"eram talent, a leading talent acquisition company, is looking for a business development analyst to join their team. as a business development analyst at eram talent, you will play a crucial role in driving the growth and development of the company. you will be responsible for analyzing market trends, identifying new business opportunities, and developing strategies to increase revenue and market share. responsibilities: conduct market research to identify new business opportunities and trends. analyze sales data and market trends to develop strategies for increasing revenue and market share. build and maintain relationships with clients and stakeholders. prepare and deliver presentations to clients and management. collaborate with cross-functional teams to execute business strategies. develop and maintain a strong understanding of company products and services. stay up-to-date with industry developments and trends. requirements: bachelor's degree in business administration, marketing, or related field with a minimum of 10 years of experience. skills: investment sourcing &amp; evaluation, market analysis, financial modeling and feasibility study. partner evaluation, risk assessment, financial analysis, merger &amp; acquisition, corporate evaluation and financing. negotiation, business valuation, market intelligence and business development. ability to build and maintain relationships with clients and stakeholders. proficiency in microsoft office suite. ability to work independently and as part of a team."
