name,key,title,location,date,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
EY,df49c3450f8c88df,Manager Transfer Pricing - ITTS - KSA - Al Khobar,Al Khobar,2024-06-26,,Just posted,0,3.9,['5'],[],"['phd', 'bachelor', 'master']",https://careers.ey.com/ey/job/AlKhobar-Manager-Transfer-Pricing-ITTS-KSA-Al-Khobar-31952/1087181901/?feedId=338701&utm_source=Indeed&utm_campaign=EY_indeed,https://indeed.com/cmp/Ey,[],"['flexibility', 'focus', 'discipline', 'collaboration', 'analytical skills', 'collaborative', 'communication skills', 'confidence', 'planning', 'organization', 'coaching', 'written communication', 'leadership', 'professional', 'analysis', 'communication', 'continuous learning']",['transform'],"the international tax and transaction services (itts) practice is comprised of three competencies focused on advising corporate and private equity clients on all aspects of their capital agenda – transaction tax advisory, international corporate tax advisory and transfer pricing. itts is unique in that it is a joint venture between the transaction advisory services and tax service lines allowing itts to maximize market opportunities as well as the growth and development of itts professionals. the transactions market is a major part of ey’s market strategy and a huge opportunity for the business and ey professionals. the transfer pricing (tp) competency addresses planning, documentation and controversy issues associated with all types of intercompany transactions, assisting companies with supply chain matters, with a particular focus on intangible property, and helping companies accurately reflect and monitor their transfer pricing in their financial systems. with this many service offerings, you will have the opportunity to participate in cross competency trainings to help develop your career through a broad scope of engagements, mentoring and formal learning. the opportunity constantly changing regulatory environments have led to rapid growth in the area of transfer pricing. ey is a leader in synthesizing global developments and advising our clients. you’ll see that reflected in your career, as you’ll be working with prestigious global clients at the leading front of economic analysis. whether you’ve built your skills in another global organization, you’re approaching this from an industry perspective, or you’ve recently completed a b.a., master’s or phd and are interested in applying your analytical skills, you could really shine here. your key responsibilities you’ll be heavily involved at all stages of the project life cycle, making this a high-profile opportunity to take on a wide range of responsibilities and diversify your skills and experience. it’s all about translating information from a variety of sources into quantitative and qualitative analyses to inform and advise our clients. that will include building relationships with clients in a spectrum of industries and getting to know their unique needs and aspirations to provide tailored global services. it will also mean demonstrating your leadership by supervising multiple transfer pricing engagements and contributing to the delivery of quality tax planning services for our diverse clients. skills and attributes for success applying complex transfer pricing concepts and economic/financial knowledge to resolve client challenges providing a fully integrated approach to transfer pricing by preparing documents and assisting in defending transfer pricing in audits supplying innovative transfer pricing and economic ideas, alongside responsive services and work products modelling financial outcomes, valuing intangible assets and developing practical planning approaches coordinating work with other client service colleagues globally to drive collaboration to qualify for the role, you must have a bachelor’s degree in business, finance, economics, management, policy analysis or another relevant discipline and a minimum of 5 years of related work experience a master’s, law degree, cpa, chartered financial analyst (cfa), american society of appraiser's business valuation certification or certified management accountant (cma) excellent verbal and written communication skills the ability to work at a fast-pace, often with shifting responsibilities ideally, you’ll also have a phd in a relevant discipline a consistent record of excellence in a professional services environment existing transfer pricing experience what we look for we’re interested in experienced tax professionals with a collaborative, client-focused approach to work. you’ll need strong communication skills, and the ability to effectively prioritize when working with multiple clients and engagement teams. if you’re a naturally curious problem solver with confidence to get involved and support colleagues and clients across the business, this role is for you. what we offer we offer a competitive compensation package where you’ll be rewarded based on performance and recognized for the value you bring to our business. plus, we offer: continuous learning: you’ll develop the mindset and skills to navigate whatever comes next. success as defined by you: we’ll provide the tools and flexibility, so you can make a meaningful impact, your way. transformative leadership: we’ll give you the insights, coaching and confidence to be the leader the world needs. diverse and inclusive culture: you’ll be embraced for who you are and empowered to use your voice to help others find theirs. if you can demonstrate that you meet the criteria above, please contact us as soon as possible. the exceptional ey experience. it’s yours to build. ey | building a better working world ey exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets. enabled by data and technology, diverse ey teams in over 150 countries provide trust through assurance and help clients grow, transform and operate. working across assurance, consulting, law, strategy, tax and transactions, ey teams ask better questions to find new answers for the complex issues facing our world today."
Hamad M. Al Rugaib & Sons Trading Co.,a6b83461ac8b24f8,Data Analyst - Marketing,Al Khobar,2024-06-26,,1 day ago,1,,[],[],['bachelor'],https://alrugaib.jobsoid.com/j/82964/data-analyst-marketing?source=indeed,https://indeed.com/cmp/Hamad-M.-Al-Rugaib-&-Sons-Trading-Co.,[],"['team player', 'problem-solving', 'planning', 'presentation skills', 'time management', 'communication']",['problem-solving skills'],"responsibilities developing and coordinating various marketing activities creating, managing, and updating mailing and subscriber lists communicating with the clients and negotiating contract terms with them researching and keeping up-to-date with the latest digital marketing trends organizing and overseeing the flow of various marketing events coordinating with the digital marketing strategist to plan and develop content for various digital platforms planning and implementing effective marketing campaigns helping the company build a strong social media presence optimize seo requirements bachelor’s degree in cis,cs, marketing, advertising or equivalent excellent knowledge of the marketing techniques and tools like google analytics and webtrends familiarity with social media management tools up-to-date with the latest trends and developments in digital marketing industry strong communication and presentation skills good time management and organizational skills good analytical and problem-solving skills a team player as well as having the ability to work independently ability to work under pressure and in a competitive environment excellent copywriting skills"
Procter & Gamble,d37191400762a4fc,Financial Analyst Manager,Jeddah,2024-06-26,Full-time,1 day ago,1,4.1,['0-3'],[],"['bachelor', 'master']",https://www.pgcareers.com/global/en/job/PGBPGNGLOBALR000109513EXTERNALENGLOBAL/Financial-Analyst-Manager?utm_source=indeed&utm_medium=phenom-feeds,https://indeed.com/cmp/Procter-&-Gamble,[' excel '],"['collaboration', 'analytical skills', 'communication skills', 'organization', 'decision-making', 'leadership', 'analysis', 'communication']",['data analysis'],"job location jeddah job description overview of the job the financial analysis role at procter &amp; gamble offers a broad range of opportunities for growth and development as a business leader! professionals in this field play a crucial role in providing decision-making guidance and leadership to the company, improving long-term profits, cash flow, and shareholder value through comprehensive financial analysis. job description: as a brand-category financial analyst at procter &amp; gamble, you will play a crucial role in identifying and developing value creation opportunities for various business categories! you will use your strong analytical skills to collect and analyze data and translate them into actionable insights. collaboration with cross-functional teams will be essential to implement plans effectively. responsibilities of the role implement small scale projects, conducting financial analysis to identify value creation opportunities for different business categories. collaborate with cross-functional teams to implement plans and build the organization translate analysis into actionable insights and recommendations. support business development and decision-making processes. monitor financial performance and provide accurate reports. continuously improve processes and find opportunities for optimization. stay updated on industry trends and competitive landscape. job qualifications role requirements bachelor's or master’s degree in finance, accounting, economics, business administration, or a related field. 0-3 years of relevant work experience. strong analytical skills with the ability to analyze data. excellent communication skills to effectively translate analysis into actionable strategies. proven collaboration skills to work effectively with cross-functional teams. knowledge of financial analysis techniques and tools. familiarity with accounting principles and financial reporting. proficiency in microsoft excel and other data analysis software. about us we produce globally recognized brands, and we grow the best business leaders in the industry. with a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. we serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including always®, ariel®, gillette®, head &amp; shoulders®, herbal essences®, oral-b®, pampers®, pantene®, tampax® and more. our community includes operations in approximately 70 countries worldwide. we are an equal opportunity employer and value diversity at our company. we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. please contact us to request accommodation. visit http://www.pg.com to know more. job schedule full time job number r000109513 job segmentation recent grads/entry level (job segmentation)"
TRS Staffing Solutions - UAE,a2995d28f331e861,Cost Analyst,Al Khobar,2024-06-26,,2 days ago,2,,[],[],"['bachelor', 'master']",http://www.gulftalent.com/saudi-arabia/jobs/cost-analyst-423514?utm_source=indeed&utm_medium=referral&utm_campaign=xml_feed,https://indeed.com/cmp/Trs-Staffing-Solutions---Uae,[],"['responsible', 'problem-solving', 'planning', 'decision-making', 'professional', 'presentation skills', 'analysis', 'communication', 'design']",[],"the role we are looking for a detail-oriented and analytical cost analyst to join our team in khobar, saudi arabia. the cost analyst will be responsible for analyzing and managing the costs associated with our company's operations, providing valuable insights to support decision-making and strategic planning. key responsibilities: • collect and interpret data related to the mining construction project. • analyze results using statistical techniques and provide ongoing reports. • develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality. • identify, analyze, and interpret trends or patterns in complex data sets. • work with management to prioritize business and information needs. • locate and define new process improvement opportunities. requirements bachelor's degree in finance, accounting, or related field; master's degree or professional certification (e.g., cpa, cma) is a plus. • proven experience in cost analysis, financial planning, or similar roles, preferably in a corporate environment. • strong analytical and quantitative skills, with the ability to interpret complex data and generate meaningful insights. • proficiency in financial modeling and cost estimation techniques, with advanced proficiency in microsoft excel. • excellent communication and presentation skills, with the ability to effectively convey financial information to non-financial stakeholders. • detail-oriented and organized, with the ability to manage multiple priorities and deadlines effectively. • familiarity with cost management software and erp systems is an advantage. • demonstrated problem-solving abilities and a proactive approach to identifying and addressing cost-related issues. about the company established in 1984 trs works around the world finding and connecting the best talent with businesses and organisations that: design, build, operate, maintain or support the production of goods and services for a variety of industry sectors covering; oil, gas, chemicals, infrastructure, life sciences, manufacturing, mining, power, renewable energy and public sector."
Infosys Consulting - Europe,455515ac3336cd6f,Junior Consultant - Consumer Goods and Services,Riyadh,2024-06-26,,2 days ago,2,3.8,[],[],[],https://apply.workable.com/j/A11F2F9BB2,https://indeed.com/cmp/Infosys,[],"['communication skills', 'innovation', 'integrity', 'planning', 'problem-solving', 'interpersonal skills', 'organization', 'research', 'verbal communication', 'leadership', 'communication']","['transform', 'natural language processing', 'machine learning', 'monitoring']","arabic speaking - junior consultant - consumer goods and services analyst or consultant level you want to boost your career and collaborate with expert, talented colleagues to solve and deliver against our clients' most important challenges? we are growing and are looking for people to join our team. you'll be part of an entrepreneurial, high-growth environment of 300.000 employees. our dynamic organization allows you to work across functional business pillars, contributing your ideas, experiences, diverse thinking, and a strong mindset. are you ready? about your role as a junior consultant, you will be part of our dynamic consulting team in ksa, contributing to digital transformation projects. your role involves collaborating with senior consultants, analysing data, and implementing ai-driven solutions. requirements you.. have a broad business skill set including stakeholder management, problem-solving, and resilience. have experience in gathering, validating, synthesizing, documenting, and communicating data and information for a range of audiences. have excellent interpersonal skills and strong written and verbal communication skills in arabic (c2 proficiency) and english (c2 proficiency), project-related mobility/willingness to travel. assist senior consultants in project planning, execution, and monitoring. apply your knowledge of ai concepts (machine learning, natural language processing, etc.) to project tasks. gather requirements, conduct research, and contribute to project deliverables. given that this is just a short snapshot of the role we encourage you to apply even if you don't meet all the requirements listed above. we are looking for team members who strive to make an impact and are eager to learn. if this sounds like you and you feel you have the skills and experience required, then please apply now. benefits about your team our crl (consumer goods, retail &amp; logistics) practice helps some of the largest global firms and most recognizable local brands solve their biggest challenges in today’s age of constant disruption. with diverse services spanning growth strategy and new product innovation, to omni-channel customer experience, supply chain resiliency and ai-driven new business models, we help clients , both private and public sector, shape and achieve their growth agenda for a sustainable future. we transform traditional organizations to digitally centric business models and drive new revenue streams. we are currently expanding into some strategic accounts in the middle east and need strong arabic speaking consultants to join us. about infosys consulting be part of a globally renowned management consulting firm on the front-line of industry disruption and at the cutting edge of technology. we work with market leading brands across sectors. our culture is inclusive and entrepreneurial. being a mid-size consultancy within the scale of infosys gives us the global reach to partner with our clients throughout their transformation journey. our core values, ic-life, form a common code that helps us move forward. ic-life stands for inclusion, equity and diversity, client, leadership, integrity, fairness, and excellence. to learn more about infosys consulting and our values, please visit our careers page. within europe, we are recognized as one of the uk’s top firms by the financial times and forbes due to our client innovations, our cultural diversity and dedicated training and career paths. infosys is on the germany’s top employers list for 2023. management consulting magazine named us on their list of best firms to work for. furthermore, infosys has been recognized by the top employers institute, a global certification company, for its exceptional standards in employee conditions across europe for five years in a row. we offer industry-leading compensation and benefits, along with top training and development opportunities so that you can grow your career and achieve your personal goals. curious to learn more? we’d love to hear from you.... apply today!"
"S3, Inc.",ba26b3c66a3ea535,AH64E Technical Inspector,Saudi Arabia,2024-06-26,,2 days ago,2,3.6,[],[],[],https://phe.tbe.taleo.net/phe01/ats/careers/v2/viewRequisition?org=S3INC&cws=38&rid=4178,"https://indeed.com/cmp/S3,-Inc.",['s3'],"['analysis', 'coordination', 'research']",[],"job code: 4178 team gdc is seeking an ah-64/ah-6i armament weapons repairman to support contracts with the kingdom of saudi arabia. functions as the aviation maintenance quality control/quality assurance, technical inspector under the direction of the quality control manager. technical inspector / inspector authorization duties include sign-off of all red ‘x’ and circle red ‘x’ conditions pertaining to the aircraft systems, and aircraft components. technical inspector of all specific airframe, power-train, power-plant, armament, electrical and avionics systems. determines requirement to conduct a maintenance test flight (mtf) / maintenance operational check (moc), and provides inspection criteria interpretation to maintenance staff. uses common measuring tools, precision measuring gages and alignment fixtures (gfe). assists the customer in maintaining a current technical library and applicable aircraft forms and records. assists the customer weight and balance (w&amp;b) technician to complete weight and balance records for all assigned aircraft and complete all appropriate weight and balance documentation according to customer directives and applicable manuals. functions as the site quality control data analyst, and the technical and compliance documentation administrator. establishes the maintenance quality control processes, procedures, standards, measures and reports in support of the maintenance program for all maintenance support activities. ensures that all related quality control procedures are conducted in a safe manner. develop training programs, schedule training and document training in an automated training management system. provide training reports to the division training officer as required. conducts maintenance and technical inspector training as required and input ojt training data in learning management system database. performs quality technical inspection of aircraft, equipment, vehicles, aircraft components, parts, and systems (including avionics, electrical, instrument and armament) as required by functional assignment. performs quality and safety inspections of on-site equipment and tools used in aircraft maintenance, vehicles, and equipment performs in-progress and final quality technical inspections during maintenance, repair, modification, rework, and overhaul of aircraft, aircraft components, and component parts. inspects job procedural forms and maintenance forms used in the performance of aircraft maintenance, vehicle and equipment maintenance to assure compliance with approved methods and procedures. assists in preparation, processing, and answering of quality deficiency reports (qdrs). assists in aircraft accident investigations, prepares estimated cost of damage reports as required. establish the maintenance quality control processes, procedures, standards, measures, reports in support of the maintenance program and in coordination with supply chain management (scm) activities. directs inquires, investigations, and research analysis related to quality control maintenance processes and supporting maintenance activities, to the maintenance manager. ensures all quality control maintenance operations and related maintenance support activities are conducted in a safe manner. supports, in coordination with the aviation manager, the downed aircraft recovery team (dart) process and procedure. conducts maintenance training and technical inspector training as required. other duties as assigned. possession of the federal aviation administration (faa) inspector authorization (ia) certificate desired. experience as an ah-64e ti preferred. experience training ah-64e ti's preferred. if you are a qualified individual with a disability or a disabled veteran, you have the right to request a reasonable accommodation. if you are unable or limited in your ability to use or access the s3 inc. careers page as a result of your disability, you can request reasonable accommodations by calling (256) 539-1700 ext 1127 or by sending an email to: recruiter@s3inc.com . thank you for your interest in s3 inc."
شركة دواجن الوشم,8c010aa65951894a,Data analyst,Riyadh,2024-06-26,Full-time,3 days ago,3,,['4'],[],['bachelor'],http://sa.indeed.com/job/data-analyst-8c010aa65951894a,https://indeed.com/cmp/%D8%B4%D8%B1%D9%83%D8%A9-%D8%AF%D9%88%D8%A7%D8%AC%D9%86-%D8%A7%D9%84%D9%88%D8%B4%D9%85-1,[],[],[],data analyst qualification: bachelor's degreeexperience: 4 yearslanguages: arabic-english experience in food companies نوع الوظيفة: دوام كامل
Jadeer,f5b797257d96812f,Data Analyst,Riyadh,2024-06-26,,3 days ago,3,,['2-4'],[],[],https://jobs.jadeer.ai/jobs/4639166-data-analyst,https://indeed.com/cmp/Jadeer,"['power bi', 'tableau', 'sql', 'python']","['communication skills', 'innovation', 'integrity', 'problem-solving', 'decision-making', 'professional', 'analysis', 'communication']","['problem-solving skills', 'data visualization', 'data analysis']","are you passionate about turning data into actionable insights? join us as a data analyst! about our client: we are hiring for a leading software company in ksa that leverages data to drive strategic decision-making. this company is dedicated to extracting valuable insights from data to support business growth and innovation. the role: as a data analyst, you will collect, analyze, and interpret large datasets to help the company make informed business decisions. you will work closely with various departments to provide data-driven insights and recommendations. what you'll do: collect and analyze large datasets to identify trends and patterns develop and maintain data models and reports collaborate with stakeholders to understand data needs and requirements provide actionable insights and recommendations based on data analysis ensure data quality and integrity stay updated on the latest data analysis tools and techniques what we're looking for: 2-4 years of experience as a data analyst proficiency in data analysis tools (e.g., sql, python, r) strong understanding of data visualization tools (e.g., tableau, power bi) excellent analytical and problem-solving skills strong communication skills to present findings effectively benefits: competitive salary health insurance professional development opportunities flexible working hours dynamic and data-driven work environment"
Accenture,205d518806480a14,Security Delivery Senior Analyst,Riyadh,2024-06-26,Full-time,5 days ago,5,4.0,['6'],[],['bachelor'],https://accenture.com/sa-en/careers/jobdetails?id=12280707_en,https://indeed.com/cmp/Accenture,"['cloud', 'azure']","['focus', 'communication skills', 'confidence', 'innovation', 'problem-solving', 'organization', 'coaching', 'written communication', 'professional', 'analysis', 'communication']","['problem-solving skills', 'cloud', 'monitoring', 'extract']","role title: soc l2 location: kuwait about accenture accenture is a global professional services company with leading capabilities in digital, cloud and security. combining unmatched experience and specialized skills across more than 40 industries, we offer strategy and consulting, song, technology and operations services — all powered by the world’s largest network of advanced technology and intelligent operations centers. our 738,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. we embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. visit us at www.accenture.com. about accenture security join accenture security to pioneer security solutions that blend risk strategy, digital identity, cyber defense, application security and managed services. using the coolest next-gen tech, you’ll have every chance to stay one step ahead of cybercrime and out-hack the hackers. accenture security provides comprehensive security services – from security strategy development, to business transformation, to managed security services – on demand and at a global scale to help mitigate risks and take full advantage of advanced technologies and proven risk management models. our experienced team of global security professionals helps businesses understand their risks and build resilience from the inside out, giving them the confidence to focus on what matters most: innovation and business growth. key responsibilities: as a mid-level security engineer, you’ll use your security operations monitoring expertise to monitor and analyze security events, identify potential threats, and respond to security incidents. your day-to-day activities involve monitoring security systems, analyzing security events, and collaborating with the team to ensure the security of the organization. monitor security systems and analyze security events to identify potential threats. respond to security incidents and provide timely resolution. collaborate with the team to ensure the security of the organization. maintain and update security documentation and procedures. provide technical guidance and support to the team. interface with technical personnel and other teams as required. experience on splunk enterprise security. manage security incidents from identification through remediation; receive, document, and report cyber security events. assist in larger security incidents and more complex investigations. analyze reports to understand threat campaign(s) techniques, lateral movements and extract indicators of compromise (iocs). recommend effective process changes to enhance defense and response procedures. identify emerging threat activities globally and across the region. respond to security incidents and provide post-incident analysis. excellent verbal and written communication skills including the ability to clearly articulate technical and strategic level cyber matters to a variety of audiences. skill requirements: at least 3 – 6 years of experience in security monitoring and response it security certifications such as gcia, gcih, gcia, grem, ceh, gcfa, cissp, etc. experience with siem, edr and intrusion detection solutions. incident and problem management skills experience with sandbox solution. experience with splunk enterprise security. understanding of cloud infrastructure (amazon, azure, google) security analysis skills (logfile analysis and analysis of mixed data sources/types) basic skills in forensic and threat hunting. ability to manipulate and present data fundamental understanding of network protocols &amp; architecture strong problem-solving skills strong willingness to learn and grow within the role educational qualification: bachelor's or above degree in a related field or equivalent full-time course why join us? we offer a transparent, fast paced approach career progression, with a focus on your strengths and continuous coaching from senior colleagues you will benefit from working alongside accenture experts who are solving some of the biggest industry challenges with innovative thinking and pioneering tools flexible work arrangements and a range of benefits including competitive rewards you will have access to state-of-the-art technology that will give you the opportunity to deepen your existing skills even as you help create the latest business trends you will also have opportunities to make a difference to the communities in which we work and live. next steps if this sounds like the ideal role, career and company for you, click below to apply. to learn more about life @accenturemiddleeast, follow us on social media and keep up with our latest news. accenture middle east: linkedin, instagram, facebook, twitter, youtube"
Citi,f1c230ba431d9435,Investment Banking Analyst (Saudi Nationals Preferred),Riyadh,2024-06-26,,5 days ago,5,3.9,['1-4'],[],[],https://jobs.citi.com/job/-/-/287/66616886960,https://indeed.com/cmp/Citi,[],"['responsible', 'motivated', 'communication skills', 'research', 'verbal communication', 'communication']",[],"are you looking for a career move that will put you at the heart of corporate finance? are you keen to work on mergers &amp; acquisitions and ipo transactions in the booming middle east region? this position might be for you! as investment banking analyst you will be at the forefront of executions / pitches and will have direct exposure to some of the largest corporations and investors in the middle east. by joining citi, you will become part of a global organisation whose mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. what you’ll do work with senior investment bankers in executing live transactions and preparing pitches as the junior member of the investment banking team responsible for organizing and analysing financial data assist in the preparation of pitchbooks draft marketing materials for executions, both for mergers &amp; acquisitions and ipo prepare written valuation materials build complex financial models evaluate company’s financial performance vs. overall industry and market trends conduct economic/financial research what we’ll need from you 1-4 years of relevant experience strong modelling and technical skills fully comfortable with corporate finance theory excellent written and verbal communication skills ability to work in diverse deal teams able to work under pressure in a rapidly changing environment by joining citi saudi, you will not only be part of a business casual workplace with a hybrid working model (up to 2 days working at home per week), but also receive a competitive base salary (which is annually reviewed) and enjoy a whole host of additional benefits that support you (and your family) to be well, live well and save well. alongside these benefits citi is committed to ensuring our workplace is where everyone feels comfortable coming to work as their whole self every day. we want the best talent around the world to be energized to join us, motivated to stay, and empowered to thrive. sounds like citi has everything you need? then apply to discover the true extent of your capabilities. - job family group: institutional banking - job family: investment banking - time type: full time - citi is an equal opportunity and affirmative action employer. qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. citigroup inc. and its subsidiaries (""citi”) invite all qualified interested applicants to apply for career opportunities. if you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review accessibility at citi. view the ""eeo is the law"" poster. view the eeo is the law supplement. view the eeo policy statement. view the pay transparency posting"
