name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
Halliburton,000169d6ebf26e44,FRS09-ESG-Geoscientist II,Al Khobar,Full-time,Just posted,0,3.9,['4'],[],['graduate'],https://jobs.halliburton.com/job/Al-Khobar-FRS09-ESG-Geoscientist-II-04-31952/1192858000/?feedId=162400&utm_source=Indeed&utm_campaign=Halliburton_Indeed,https://indeed.com/cmp/Halliburton,[],"['discipline', 'communication skills', 'communication']",[],"we are looking for the right people — people who want to innovate, achieve, grow and lead. we attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry. job duties and qualifications under broad direction, a geoscientist ii applies advanced knowledge gained via a stem degree and internal training to perform detailed analyses of highly-specialized sensor data from hydrocarbon reservoirs. the sensor data analyzed typically includes acoustic, nuclear spectroscopy, and electromagnetic measurements. the analyses are performed using highly specialized scientific methods in order to translate the measured data into hydrocarbon reservoir rock and fluid properties. the consultant ii uses their own discretion in selecting the parameters used in the analyses and to determine if there are quality issues with the sensor data. they compile the resulting analyses and their findings in a report that is provided to oil and gas company customers. their findings include descriptions of the analyses steps used, as well as potential quality issues with the sensor data. the customers are geoscientists (petrophysicists, geologists, geophysicists) and engineers (reservoir engineers, completion engineers, production engineers) who use the reports to make decisions on if, and how the oil and gas companies develop their reservoirs. geoscientist ii&amp;aposs integrate the analyses from multiple sensor types to provide more comprehensive analyses and reports on hydrocarbon reservoir rock and fluid properties. these integrated analyses reports are targeted to particular geoscience and engineering disciplines (petrophysics, geology, geophysics, reservoir engineering, completion engineering, production engineering). geoscientist ii&amp;aposs are able to provide these reports to customers in at least two of these disciplines. they routinely engage customers and have frequent involvement in business development activities. their communication skills must include effective verbal, written, and listening skills. they plan and manage their own time to perform the accountabilities of their job duties. completion of an undergraduate degree in a stem discipline is required to successfully perform the job. possession of a graduate degree in a stem discipline is preferred. a minimum of 4 years of experience is required. halliburton is an equal opportunity employer. employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation. location jubail highway abu hadria exit, al-khobar, alessandria, 31952, saudi arabia job details requisition number: 191355 experience level: entry-level job family: support services product service line: [[division]] full time / part time: full time additional locations for this position: compensation information compensation is competitive and commensurate with experience."
Afaq - Warehouse Branch,bd15b47bf600c6d1,"Area Manager, FC Operations",Jeddah,Full-time,Just posted,0,3.5,[],[],"['bachelor', ' ms ']",https://www.amazon.jobs/jobs/2706180/area-manager-fc-operations?cmpid=DA_INAD200785B,https://indeed.com/cmp/Amazon.com,['outlook'],"['focus', 'analysis', 'professional', 'leadership', 'planning']","['data analysis', 'metrics']","bachelor’s degree (or working towards a bachelor’s degree) advanced proficiency in written and verbal english and local language relevant experience in performing data analysis work a flexible schedule/shift/work area, including weekends, nights, and/or holidays when you join amazon as an area manager, you’ll gain experience leading a large and diverse team to make sure your area of the business keeps pace with demand. in this hands-on role, you’ll learn about the complexity of operations at a global business and what it takes to make everything run seamlessly. while you implement your team’s approach to drive productivity, you’ll also work closely with your colleagues to address challenges, which means no two days will be the same. key job responsibilities promote a culture of safety and wellbeing analyse and implement corrective actions to make sure quality and productivity are at consistently high levels, and business objectives are met across all shifts support and lead a team and handle administrative work alongside building and supporting a strong team culture analyse performance and suggest process improvements to optimise work and improve customer service collaborate with other managers to standardise shift processes a day in the life you’ll work shifts and be based at one of our operational sites. your main focus will be to maintain safety standards within your team and across your site. you’ll also monitor and maintain process efficiency. your days will always include prioritising routine team management and daily operational tasks, alongside other tasks like individual escalations, process improvement work and wide-scale operational contingency planning. being a key part of the operations team involves working with colleagues in other teams and external partners to make sure we stay on track to meet our customer demands and targets. this will involve analysing data and performance metrics with leaders in your business area, as well as discussing the operational pros and cons of technical improvements with engineers. experience of communicating with a wide range of stakeholders, including your peers and leadership experience in a logistical working environment experience working with the ms office suite (word, excel, outlook) in a professional environment"
AtkinsRéalis,a4033ce38c32b47c,Design Architect (Hospitality),Saudi Arabia,Full-time,Just posted,0,3.9,[],[],"['bachelor', 'master']",https://careers.atkinsrealis.com/job/design-architect-hospitality-in-site-office-jid-38897,https://indeed.com/cmp/Atkinsr%C3%A9alis,[],"['attention to detail', 'project management', 'communication', 'focus', 'organization', 'accuracy', 'interpersonal skills', 'responsibility', 'design']","['transform', 'project management']","join us in engineering a better future for our planet and its people. atkinsréalis is a world-leading design, engineering and project management organization. we connect people, data and technology to transform the world's infrastructure and energy systems. together, with our industry partners and clients, and our global team of consultants, designers, engineers and project managers, we can change the world. we have a strong presence in the middle east that enables us to build deep and lasting relationships with our clients. we share their goals and long-term ambitions; we’re on the same journey to create places and infrastructure which will support long term sustainable development, healthy living and vibrant communities. we are seeking a skilled and detail-oriented design architect to join our team. as a design architect, your primary responsibility will be to design and review architectural designs for various projects. you will collaborate with clients, project managers, and other team members to develop design concepts, produce detailed drawings and specifications, and ensure the quality and accuracy of architectural designs. the ideal candidate will have a strong design background, excellent technical skills, and a meticulous approach to reviewing and refining architectural plans. responsibilities: collaborate with clients and project stakeholders to understand their design objectives, functional requirements, and budget constraints. develop innovative and aesthetically pleasing design concepts that align with the project requirements and objectives. create detailed architectural drawings, using (cad) software. review architectural designs and drawings, adherence to design standards, and compliance with building codes and regulations. conduct design reviews and provide constructive feedback to improve the quality and efficiency of architectural designs. stay updated on industry trends, materials, and construction techniques to ensure design solutions are innovative, sustainable, and cost-effective. requirements: bachelor's or master's degree in architecture from an accredited institution. 10+ experiences working as a design architect, with a focus on design development and review. proficiency in architectural design software such as autocad, revit, sketchup, or similar tools. in-depth knowledge of building codes, regulations, and construction standards. excellent attention to detail and the ability to review and refine architectural drawings for accuracy and compliance. strong communication and interpersonal skills. why choose atkinsréalis your difference makes a difference. we care for our people and are committed to creating an inclusive working environment where you can thrive and build a future you want to be a part of. thrive with us. when you join us, your wellbeing, health and safety become our top priority. engineering the future with digital. from design and engineering to project management, digital is fundamental to our way of working. champion lasting change. we build sustainability into everything we do."
AECOM,f38e4efbdc0e3d0e,Procurement Specialist,Riyadh,Full-time,Just posted,0,3.7,['3'],[],['bachelor'],https://jobs.smartrecruiters.com/AECOM2/744000002073524-procurement-specialist,https://indeed.com/cmp/AECOM,[],"['flexibility', 'communication', 'integrity', 'organization', 'negotiation', 'analysis', 'interpersonal skills', 'professional', 'problem-solving', 'design', 'planning', 'commitment']",['problem-solving skills'],"company description work with us. change the world. at aecom, we're delivering a better world. whether improving your commute, keeping the lights on, providing access to clean water, or transforming skylines, our work helps people and communities thrive. we are the world's trusted infrastructure consulting firm, partnering with clients to solve the world’s most complex challenges and build legacies for future generations. there has never been a better time to be at aecom. with accelerating infrastructure investment worldwide, our services are in great demand. we invite you to bring your bold ideas and big dreams and become part of a global team of over 50,000 planners, designers, engineers, scientists, digital innovators, program and construction managers and other professionals delivering projects that create a positive and tangible impact around the world. we're one global team driven by our common purpose to deliver a better world. join us. job description under close/direct supervision, purchases supplies and services from vendors at the lowest cost, according to company standards and specifications. assists in preparing request for proposals, analyzes quotes received, selects vendors, schedules and expedites deliveries and follows up on invoices received. this level requires a fundamental knowledge of professional concepts, but has not mastered the application of that knowledge. qualifications bachelor's degree in supply chain management, logistics, business administration or a related field minimum 3 years of experience in a procurement or sourcing role, preferably in a fast-paced, global organization demonstrated expertise in strategic sourcing, supplier management, contract negotiation, and cost optimization thorough understanding of procurement processes, including vendor selection, bidding, and contract management proficient in utilizing procurement software and tools, such as e-procurement platforms, spend analysis tools, and contract management systems strong analytical and problem-solving skills with the ability to interpret data and make data-driven decisions excellent communication and interpersonal skills to collaborate effectively with cross-functional teams and external vendors experience in developing and implementing procurement strategies to support the overall business objectives ability to work under pressure and prioritize multiple tasks to meet deadlines additional information about aecom aecom is the world’s trusted infrastructure consulting firm, delivering professional services throughout the project lifecycle – from advisory, planning, design and engineering to program and construction management. on projects spanning transportation, buildings, water, new energy and the environment, our public- and private-sector clients trust us to solve their most complex challenges. our teams are driven by a common purpose to deliver a better world through our unrivaled technical and digital expertise, a culture of equity, diversity and inclusion, and a commitment to environmental, social and governance priorities. aecom is a fortune 500 firm and its professional services business had revenue of $14.4 billion in fiscal year 2023. see how we are delivering sustainable legacies for generations to come at aecom.com and @aecom. freedom to grow in a world of opportunity you will have the flexibility you need to do your best work with hybrid work options. whether you’re working from an aecom office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed. you will help us foster a culture of equity, diversity and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients. aecom provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families. we also provide a robust global well-being program. we’re the world’s trusted global infrastructure firm, and we’re in this together – your growth and success are ours too. join us, and you’ll get all the benefits of being a part of a global, publicly traded firm – access to industry-leading technology and thinking and transformational work with big impact and work flexibility. as an equal opportunity employer, we believe in each person’s potential, and we’ll help you reach yours. all your information will be kept confidential according to eeo guidelines."
Accenture,2374a1e4982acaff,Data Protection Manager,Dammam,Full-time,Just posted,0,4.0,['4'],[],[],https://accenture.com/sa-en/careers/jobdetails?id=12342957_en,https://indeed.com/cmp/Accenture,['cloud'],"['confidence', 'organization', 'focus', 'innovation', 'professional', 'coaching']","['cloud', 'data security']","title: data protection manager location: dammam al khobar, saudi arabia about accenture accenture is a global professional services company with leading capabilities in digital, cloud and security. combining unmatched experience and specialized skills across more than 40 industries, we offer strategy and consulting, song, technology and operations services — all powered by the world’s largest network of advanced technology and intelligent operations centers. our 742,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. we embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. visit us at www.accenture.com. about accenture security join accenture security to pioneer security solutions that blend risk strategy, digital identity, cyber defense, application security and managed services. using the coolest next-gen tech, you’ll have every chance to stay one step ahead of cybercrime and out-hack the hackers. accenture security provides comprehensive security services – from security strategy development to business transformation, to managed security services – on demand and at a global scale to help mitigate risks and take full advantage of advanced technologies and proven risk management models. our experienced team of global security professionals helps businesses understand their risks and build resilience from the inside out, giving them the confidence to focus on what matters most: innovation and business growth. roles &amp; responsibilities ensure data processing of personal identifiable information or any critical data is protected and disposed when necessary ensure consent management is within the data processing lifecycle monitor and enforce the organization to comply with local data protection regulations as well as international regulations such as gdpr develop data protection policies and conduct periodic data protection impact assessments educate employees on their responsibilities regarding processing data act as the point of contact and advisor to any issues that may arise during or after the data processing lifecycle is complete liaison with legal advisors and enforce contractors to oblige to the organization s data protection and privacy requirements qualifications 4 years of experience in data security tools demonstrable experience of data privacy regulations and requirements strong knowledge and understanding of regulatory compliance requirements, internal audit concepts, standards and processes certifications cdpse certified data privacy solutions engineer and other relevant data privacy certification why join us? we offer a transparent, fast paced approach career progression, with a focus on your strengths and continuous coaching from senior colleagues. you will benefit from working alongside accenture experts who are solving some of the biggest industry challenges with innovative thinking and pioneering tools. flexible work arrangements and a range of benefits including competitive rewards. you will have access to state-of-the-art technology that will give you the opportunity to deepen your existing skills even as you help create the latest business trends. you will also have opportunities to make a difference to the communities in which we work and live. next steps if this sounds like the ideal role, career and company for you, click below to apply. to learn more about life @accenturemiddleeast, follow us on social media and keep up with our latest news. accenture middle east: linkedin, instagram, facebook, twitter, youtube"
Parsons,6c39cab848eb6ec8,Requirements and Configuration Manager (Aviation),Riyadh,Full-time,Just posted,0,3.9,['10+'],[],"['bachelor', 'master']",https://parsons.wd5.myworkdayjobs.com/en-US/Search/job/SA---Riyadh/Requirements-and-Configuration-Manager--Aviation-_R156273,https://indeed.com/cmp/Parsons,['jira'],"['communication', 'analysis', 'communication skills', 'design', 'written communication', 'critical thinking', 'planning']",['critical thinking'],"job description: parsons is currently seeking a talented and experienced requirements &amp; configuration manager (aviation) to join our team to provide support to an airport construction project. as a crucial member of our dynamic team, you will play a vital role in gathering, analyzing, and managing requirements and configuration management aspects for the program. what you'll be doing: requirement management elicit and document requirements from stakeholders through various techniques such as interviews, workshops, and document analysis. analyze and prioritize requirements to ensure alignment with project needs and objectives. develop and maintain comprehensive requirements documentation. manages changes to requirements throughout the project lifecycle. collaborate with cross-functional teams, including systems engineers, to ensure clear communication and understanding of requirements. develop and execute plans to validate and verify requirements, ensuring they meet technical standards and operational needs. maintain detailed documentation of requirements, validation processes, and outcomes. configuration management prepare a configuration management plan (cmp) or align with project goals and operational requirements. cm baseline, interface and management configuration audits: establish a method of planning, conducting, and archiving both functional (fca) and physical (pca) audits of requirements and technical data respectively. technical data packages: prepare technical data packages project specifications development statement of work development systems engineering: participate and contribute to the planning and conduct of the se technical reviews. establish a means to manage the configurations of models that may be used within the oipr mbse environment. training: provide training and support to team members on configuration management processes and tools. what required skills you'll bring: bachelor’s degree in computer science, engineering, business analysis, or related field; master’s degree preferred. 10+ years of experience in systems engineering, requirements analysis, or requirements management roles proficiency in using requirements management software (e.g. doors, jira, jama, complypro etc.) proficiency in using configuration management software and tools experience using agile framework development methods and processes broad systems engineering experience including early concept development, requirements analysis, design, test and evaluation, and risk assessment strong verbal and written communication skills, as well as strong critical thinking skills ability to interact effectively with and lead diverse, multidisciplinary teams, including industry and government sponsors. what desired skills you'll bring: experience working within aviation programs. advanced degree in systems engineering experience integrating models across multiple software applications to perform detailed analysis by leveraging data from several engineering domains. minimum clearance required to start: not applicable/none parsons is an equal opportunity employer committed to diversity in the workplace. minority/female/disabled/protected veteran."
Vision Valley,ab3f6e36db5587b6,Edge Computing and IoT Integration Engineer,Riyadh,"Permanent, Full-time",Just posted,0,,[],[],[],http://sa.indeed.com/job/edge-computing-and-iot-integration-engineer-ab3f6e36db5587b6,https://indeed.com/cmp/Vision-Valley-2,[],['communication'],[],"qualification and key skills required: engineering in electronics and communication engineering 3+ in the same domain experience plc programming: siemens , allen-bradley etc data acquisition &amp; sensor integration: expertise in connecting and configuring various sensors (temperature, humidity, current, voltage, pressure, proximity, level, etc.) for various applications. bms systems: experience with bms including hvac systems, lighting systems and energy management. edge computing: skilled deploying edge computing solutions, covering local data processing, data aggregation, data filtering, protocol conversions, etc .. protocols: knowledgeable in handling and configuring different communication protocols (modbus, profibus, mqtt, bacnet, etc.). communication technologies: familiar with uplink communication technologies, including 4g, 5g, and lpwan (lorawan, nb-iot). job types: full-time, permanent"
Müller`s Solutions,cd09c9f63c7c5cdd,AI / Computer Vision ENGINEER,Riyadh,Full-time,Just posted,0,,[],[],['bachelor'],https://apply.workable.com/j/D701C8D433,https://indeed.com/cmp/Muller's-Solutions,"['sql', 'python', 'nosql']","['communication', 'collaboration', 'problem-solving', 'ownership', 'analytical skills', 'design']",['machine learning'],"as an ai / computer vision engineer at müller's solutions, you will have the opportunity to work on cutting-edge projects that leverage artificial intelligence and computer vision technologies. you will collaborate with cross-functional teams to develop innovative solutions that solve complex business challenges using ai and computer vision algorithms and techniques. responsibilities: design and develop ai and computer vision solutions for various industries and use cases. implement and optimize computer vision algorithms for object detection, image recognition, and image segmentation. train and fine-tune machine learning models using large datasets. collect and preprocess data for training and validation purposes. integrate ai and computer vision solutions into existing systems and platforms. perform testing and debugging of ai and computer vision models and systems. stay current with the latest advancements in ai and computer vision technologies. building computer vision ai models including all pre-processing and post- processing ownership of the entire solution daily updates knowledge sharing requirements requirements: bachelor's degree in computer science, engineering, or a related field. proven experience in ai and computer vision development. hands on python and databases( sql and nosql), open cv comfortable with linux experience with data preprocessing and data augmentation techniques. knowledge of software development practices and version control systems. excellent problem-solving and analytical skills. ability to work independently and in a team environment. good communication and collaboration skills."
ALSTOM,165b7aba782317f4,Service Quality Engineer,Riyadh,,1 day ago,1,4.0,['4+'],[],[],https://jobsearch.alstom.com/job/Riyadh-Service-Quality-Engineer-01/1096657101/,https://indeed.com/cmp/Alstom,[],"['passion', 'communication']",[],"req id:461148 at alstom, we understand transport networks and what moves people. from high-speed trains, metros, monorails, and trams, to turnkey systems, services, infrastructure, signalling and digital mobility, we offer our diverse customers the broadest portfolio in the industry. every day, more than 80 000 colleagues lead the way to greener and smarter mobility worldwide, connecting cities as we reduce carbon and replace cars. accountabilities &amp; authorities: implement and ensure the requirements of the project quality plan remains adequate and relevant throughout the phases of the project, manage all product quality issues through the pst (8ds and supplier ncrs), support and assist in the management of the railway safety management aspects of the project, to work with the project quality &amp; safety manager to ensure that the requirements of the alstom management systems and quality and continuous improvement activities are met, ensure all quality and railway safety documentation, processes and procedures are current, controlled and communicated, manage quality processes through gsi/maximo, plan and perform technical assessment audits for the maintenance activities as per the maintenance schedule from all the subsystems. perform incoming inspections: perform inspections according to incoming control plan, accept or reject products as defined in the inspection instruction/ checklist, records inspection results in the digital tools as required, accurately document non-conformity when applicable with clear characterization, complete all associated non-conformity activities such as completing the qm order, blocking stock and tasking appropriate parties in the erp system (ex gsi) to initiate the ncr resolution process, ensure the use of calibrated equipment and instrumentations used in the inspections, maintain all controlled document files and test records in a timely and accurate manner, assist in the writing and updating inspection procedures, control plan and checklists, inspect and sort material from inventory purges as directed by sq serial or supply chain, inform supply chain and supplier quality on ncrs and impact of defects on part availability, coordinate outside special process inspection or outside lab testing if required, with incoming inspection leader, supports the sq serial and incoming inspection leader by providing inspection-related data for kpis, participates in daily meetings and fulfills daily priorities as set by the incoming inspection leader. all about you we value passion and attitude over experience. that’s why we don’t expect you to have every single skill. instead, we’ve listed some that we think will help you succeed and grow in this role: degree in engineering or a related technical field, familiarity with iso 9001 and other relevant quality management systems, knowledge of continuous improvement methodologies such as lean, six sigma, or kaizen, experience or understanding of quality assurance processes and regulations in the railway industry, a certification in quality engineering or a strong capability in technical communication. desirable: railway experience is a ""plus"". experience: 4+ years quality inspection experience within manufacturing industry including using of digital tools. you don’t need to be a train enthusiast to thrive with us. we guarantee that when you step onto one of our trains with your friends or family, you’ll be proud. if you’re up for the challenge, we’d love to hear from you! important to note as a global business, we’re an equal-opportunity employer that celebrates diversity across the 63 countries we operate in. we’re committed to creating an inclusive workplace for everyone. job segment: lean six sigma, six sigma, supply chain, quality assurance, erp, management, operations, technology"
IO Tech,45bad3dfc6a15212,Cloud Engineer,Riyadh,Full-time,1 day ago,1,,[],[],['bachelor'],http://sa.indeed.com/job/cloud-engineer-45bad3dfc6a15212,https://indeed.com/cmp/Io-Tech,"['azure', 'docker', 'ci/cd', 'python', 'kubernetes', 'terraform', 'cloud', 's3', 'aws']","['communication', 'interpersonal skills', 'responsible', 'collaboration', 'problem-solving', 'analytical skills', 'planning', 'motivated']","['microservices architecture', 'ci/cd', 'google cloud', 'scripting', 'technical documentation', 'containerization', 'kubernetes', 'cloud', 'devops']","we are looking for a talented and motivated cloud engineer with a minimum of 1 year of experience to join our team. the ideal candidate will have hands-on experience in cloud infrastructure, deployment, and management. as a cloud engineer, you will be responsible for designing, implementing, and maintaining cloud-based systems to ensure their reliability, scalability, and security. key responsibilities: cloud infrastructure management: manage and monitor cloud infrastructure (aws, azure, google cloud platform, etc.). deploy and maintain cloud resources, including virtual machines, storage, databases, and networking components. perform routine maintenance and upgrades of cloud systems. deployment and automation: automate cloud deployments using infrastructure as code (iac) tools (e.g., terraform, cloudformation). develop and maintain ci/cd pipelines to streamline application deployment processes. ensure efficient resource utilization and cost management in the cloud environment. security and compliance: implement and manage cloud security measures to protect data and infrastructure. monitor cloud environments for security threats and vulnerabilities. ensure compliance with industry standards and regulations. troubleshooting and support: diagnose and resolve issues related to cloud infrastructure and services. provide technical support to development teams and end-users. conduct performance tuning and optimization of cloud resources. documentation and reporting: maintain accurate documentation of cloud configurations, processes, and procedures. generate and analyze cloud usage and performance reports. participate in the creation of technical documentation and training materials. collaboration: work closely with other it team members and departments to ensure seamless cloud operations. assist in the planning and implementation of cloud projects and migrations. qualifications: bachelor’s degree in computer science, information technology, or a related field, or equivalent work experience. minimum of 1 year of experience in cloud engineering or a related role. experience with at least one major cloud platform (aws, azure, google cloud platform). familiarity with cloud architecture and services (e.g., ec2, s3, rds, vpc, iam). basic understanding of cloud security principles and practices. experience with infrastructure as code (iac) tools (e.g., terraform, cloudformation). strong problem-solving and analytical skills. excellent communication and interpersonal skills. relevant certifications (e.g., aws certified solutions architect, microsoft certified: azure administrator) are a plus. preferred skills: experience with containerization and orchestration tools (e.g., docker, kubernetes). knowledge of serverless computing and microservices architecture. understanding of devops practices and ci/cd pipelines. experience with scripting languages (e.g., python, bash). job type: full-time application question(s): what is your notice period? (in weeks) what is your current monthly salary?(sar) what is your salary expectations? (sar/month) experience: cloud engineer: 1 year (required) language: arabic (required) location: riyadh (required)"
