name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
AECOM,f38e4efbdc0e3d0e,Procurement Specialist,Riyadh,Full-time,Just posted,0,3.7,['3'],[],['bachelor'],https://jobs.smartrecruiters.com/AECOM2/744000002073524-procurement-specialist,https://indeed.com/cmp/AECOM,[],"['flexibility', 'communication', 'integrity', 'organization', 'negotiation', 'analysis', 'interpersonal skills', 'professional', 'problem-solving', 'design', 'planning', 'commitment']",['problem-solving skills'],"company description work with us. change the world. at aecom, we're delivering a better world. whether improving your commute, keeping the lights on, providing access to clean water, or transforming skylines, our work helps people and communities thrive. we are the world's trusted infrastructure consulting firm, partnering with clients to solve the world’s most complex challenges and build legacies for future generations. there has never been a better time to be at aecom. with accelerating infrastructure investment worldwide, our services are in great demand. we invite you to bring your bold ideas and big dreams and become part of a global team of over 50,000 planners, designers, engineers, scientists, digital innovators, program and construction managers and other professionals delivering projects that create a positive and tangible impact around the world. we're one global team driven by our common purpose to deliver a better world. join us. job description under close/direct supervision, purchases supplies and services from vendors at the lowest cost, according to company standards and specifications. assists in preparing request for proposals, analyzes quotes received, selects vendors, schedules and expedites deliveries and follows up on invoices received. this level requires a fundamental knowledge of professional concepts, but has not mastered the application of that knowledge. qualifications bachelor's degree in supply chain management, logistics, business administration or a related field minimum 3 years of experience in a procurement or sourcing role, preferably in a fast-paced, global organization demonstrated expertise in strategic sourcing, supplier management, contract negotiation, and cost optimization thorough understanding of procurement processes, including vendor selection, bidding, and contract management proficient in utilizing procurement software and tools, such as e-procurement platforms, spend analysis tools, and contract management systems strong analytical and problem-solving skills with the ability to interpret data and make data-driven decisions excellent communication and interpersonal skills to collaborate effectively with cross-functional teams and external vendors experience in developing and implementing procurement strategies to support the overall business objectives ability to work under pressure and prioritize multiple tasks to meet deadlines additional information about aecom aecom is the world’s trusted infrastructure consulting firm, delivering professional services throughout the project lifecycle – from advisory, planning, design and engineering to program and construction management. on projects spanning transportation, buildings, water, new energy and the environment, our public- and private-sector clients trust us to solve their most complex challenges. our teams are driven by a common purpose to deliver a better world through our unrivaled technical and digital expertise, a culture of equity, diversity and inclusion, and a commitment to environmental, social and governance priorities. aecom is a fortune 500 firm and its professional services business had revenue of $14.4 billion in fiscal year 2023. see how we are delivering sustainable legacies for generations to come at aecom.com and @aecom. freedom to grow in a world of opportunity you will have the flexibility you need to do your best work with hybrid work options. whether you’re working from an aecom office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed. you will help us foster a culture of equity, diversity and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients. aecom provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families. we also provide a robust global well-being program. we’re the world’s trusted global infrastructure firm, and we’re in this together – your growth and success are ours too. join us, and you’ll get all the benefits of being a part of a global, publicly traded firm – access to industry-leading technology and thinking and transformational work with big impact and work flexibility. as an equal opportunity employer, we believe in each person’s potential, and we’ll help you reach yours. all your information will be kept confidential according to eeo guidelines."
Abbott Laboratories,3a2a25492bc9384d,Ambassador ( Sales Executive ) - Core Lab,Dammam,Full-time,3 days ago,3,3.9,['3-5'],[],['bachelor'],https://click.appcast.io/track/k3xq8uc-org?cs=hqw,https://indeed.com/cmp/Abbott,[],"['responsible', 'decision making', 'communication skills', 'communication']",['transform'],"about abbott abbott is a global healthcare leader, creating breakthrough science to improve people’s health. we’re always looking towards the future, anticipating changes in medical science and technology. working at abbott at abbott, you can do work that matters, grow, and learn, care for yourself and family, be your true self and live a full life. you will have access to: career development with an international company where you can grow the career you dream of. a company recognized as a great place to work in dozens of countries around the world and named one of the most admired companies in the world by fortune. a company that is recognized as one of the best big companies to work for as well as a best place to work for diversity, working mothers, female executives, and scientists. the opportunity we’re empowering smarter medical and economic decision making to help transform the way people manage their health at all stages of life. every day, more than 10 million tests are run on abbott’s diagnostics instruments, providing lab results for millions of people. our diagnostic solutions are used in hospitals, laboratories and clinics around the globe. the crucial information derived from our tests, instruments and informatics systems are often the first step in patient care decision making for hundreds of health conditions from heart attacks to blood disorders to infectious diseases and cancers. what you’ll do the abbott ambassador is responsible to create ongoing value that results in customer renewal, generation of additional business, and to establish strong brand loyalty. the abbott ambassador is responsible to serve customers across all aspects of their business excluding instrument repair: support implementation transition for new start-ups, own post-sales support and drive overall health system operations optimization. the abbott ambassador is responsible to own and execute account strategy to expand abbott business and assist customers with growing their business: understand their future needs, identify new opportunities that offer additional value, and become a trusted advisor improving customer satisfaction. key responsibilities ensures that all activities are performed in compliance with quality system requirements. develop strategic growth plan at the territory level and leverage the plan on a daily basis. maintain accurate and up-to-date customer data in aforce. execute account plan tactics to grow existing business. conduct client business reviews. act as abbott point of contact for clients to handle any issues or support requests. support renewal of existing business, with the enterprise team. work with customer to ensure the entire abbott solution is being utilized as expected. assess utilization and inefficiencies on instruments and work with customer to maximize testing capabilities. add solutions, including assays and software, to help customer achieve strategic priorities or improve efficiencies. continue to manage post-sales customer support activities. consult with customer to improve operations and kpi’s. develop relationships with all relevant stakeholders such as lab director / manager etc. maintain a high nps score at each account. oversee progress of cross-functional implementation team (post-sale) with project manager. required qualifications bachelor´s degree or equivalent experience required. bachelor´s/engineering degree in bio-medical/electrical/mechanical/medical technology/biology/pharmacy or commercial is preferred minimum 3-5 years of experience in diagnostic industry with an emphasis on managing and expanding existing accounts, managing and improving customer relationships, improving profitability of accounts. ideally a proven track record in a similar position supported by management and customer references. excellent product and industry knowledge. strong understanding of key stakeholders and customer dynamics. strong solution selling and relationship building skills. excellent communication skills. fluent in local language and english, additional languages are advantageous. apply now follow your career aspirations to abbott for diverse opportunities with a company that can help you build your future and live your best life. abbott is an equal opportunity employer, committed to employee diversity. connect with us at www.abbott.com, on facebook at www.facebook.com/abbott and on twitter @abbottnews and @abbottglobal."
Talent Pal,dfcf9f591d4bd0b5,Design Director - Master Planning - Parsons,Riyadh,,4 days ago,4,,['20'],[],['master'],https://talentpal.qureos.com/jobs/4748921-design-director-master-planning-parsons,https://indeed.com/cmp/Talent-Pal,[],"['communication', 'responsible', 'professional', 'communication skills', 'design', 'leadership', 'coordination', 'planning', 'initiative']",[],"job description: overview: director level urban planner / master planner requires the depth of professional experience for an advanced understanding of all elements of city/urban and site master planning and design. in addition to general competency in urban planning and design, candidates should possess a comprehensive, interdisciplinary perspective, as well as a diverse knowledge of planning and design principles and best practices. this includes, but is not limited to, expertise in creating and evaluating land uses, real estate developments, regulations, standards and guidelines, proposed plans for the utilization of land and infrastructure in support of planning, design and development projects, including urban mixed-use development, new master planned communities, and complex planning initiatives related to real estate development. this role will evaluate and oversee studies for planning, design and development projects, support internal coordination and external outreach efforts, manage a team and represent the client on technical and advisory groups. the director urban planner/master planner is responsible for assignments that are highly complex and sensitive in nature, where substantial judgment and initiative are essential in making recommendations and resolving problems relative to planning, design and development. main tasks: provide general planning and design assistance to leadership, including input, review, evaluation, advice and comment on planning, design and development initiatives, studies and reports. support the management and direction of internal/external multi-disciplinary teams, including the development and evaluation of requests for proposals, including scope, deliverables and performance measures. provide recommendations in support of the procurement of consultant services and proposing suitable consultant teams for competitions and projects, review and report on project, program progress and deliverables. manage consultant and internal master planning and design team activities. lead, coordinate and review the work of less experienced planners and/or technical support personnel assigned to the project. supervision, training and mentoring of junior planners and other team members serve as a liaison between clients and agencies, subcontractors, and design teams. maintain relationships with peers from kingdom-wide and regional authorities, including ministries, agencies, public utilities and their officials; confer with local authorities, civic leaders, social scientists, and land planning and development specialists to devise and recommend strategies for land use and physical facilities for residential, commercial, industrial, and community uses. interact and coordinate with government agencies demonstrate familiarity with relevant, emerging ksa policies and standards. conduct and/or actively participate in planning, design and development workshops develop and implement plans for public outreach and stakeholder engagement. assist in the preparation of presentations and official correspondence intended for senior management, boards, government partners and other external bodies as required compiles and analyzes data on financial, social, and physical factors affecting land use, and prepares or requisitions graphic and narrative reports on data providing comments on planning reports for major projects, including phasing, management and constructability studies at a range of scales performs other related duties as required and assigned. knowledge, skills and experience: leadership skills and experience working across disciplines and with interdisciplinary teams on quality projects. proven experience and track record in urban and site, city planning, and commercial mixed-use development projects proven delivery of complex quality master and urban planning projects. proven experience of leading and managing a team of designers. experienced with large-scale programs is preferable; experience in saudi arabia, gcc or mena region (preferred). excellent writing, oral, presentation, and graphic communication skills english language skills essential qualifications: master of science in planning, architecture or business program and a degree in architect or civil engineer (preferred). certification, license or registration is essential minimum of 20 years of professional experience with significant experience in complex projects the middle east and the kingdom of saudi arabia minimum clearance required to start: not applicable/none parsons is an equal opportunity employer committed to diversity in the workplace. minority/female/disabled/protected veteran. this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,e11d3ebd9fc3186c,Senior Data Engineer - Nice One,Riyadh,,4 days ago,4,,['4'],[],[],https://talentpal.qureos.com/jobs/4748950-senior-data-engineer-nice-one,https://indeed.com/cmp/Talent-Pal,"['sql', 'mysql', 'redshift', 'azure', 'docker', 'kafka', 'talend', 'python', 'spark', 'hadoop', 'tableau', 'mongodb', 'kubernetes', 'postgresql', 'snowflake', 'cloud', 'aws']","['communication', 'integrity', 'accuracy', 'analysis', 'collaboration', 'problem-solving', 'communication skills', 'design', 'written communication', 'commitment']","['data ingestion', 'data integration', 'problem-solving skills', 'data architecture', 'data warehousing', 'google cloud', 'data visualization', 'machine learning', 'etl', 'containerization', 'kubernetes', 'cloud', 'data governance']","job description: we are looking for an experienced and detail-oriented senior data engineer to join our team. as a senior data engineer, you will play a crucial role in designing, implementing, and optimizing our data infrastructure, ensuring that our systems are effective, scalable, and maintainable. responsibilities data architecture and design: develop and maintain scalable data architectures and pipelines to support data integration, processing, and analysis. data integration: design and implement data ingestion processes from various data sources into our data warehouse. etl/elt processes: build robust etl/elt processes using tools like apache airflow, talend, or similar, ensuring data quality and integrity. database management: manage and optimize databases, ensuring high availability, performance, and security. data quality and governance: implement data quality checks, data profiling, and data governance practices to ensure the accuracy and reliability of data. collaboration: work closely with data scientists, analysts, and business stakeholders to understand data requirements and translate them into technical solutions. documentation: create and maintain comprehensive documentation for data processes, architectures, and best practices. performance optimization: optimize and tune data processes for improved performance and scalability. requirements experience: minimum 4 years of experience in a data engineering role, with a strong understanding of data architecture, etl processes, and database management. technical skills: proficiency with sql, python, and data engineering tools such as apache kafka, apache spark, and hadoop. database expertise: hands-on experience with relational and non-relational databases like postgresql, mysql, mongodb, etc. cloud platforms: experience with cloud platforms such as aws, google cloud, or azure including services like redshift, bigquery, or snowflake. data warehousing: expertise in data warehousing concepts and best practices. problem-solving skills: strong analytical and problem-solving skills, with the ability to troubleshoot complex data issues. communication: excellent verbal and written communication skills in english. team collaboration: proven ability to work collaboratively in a team-oriented environment. preferred qualifications experience with docker and kubernetes for containerization and orchestration. familiarity with machine learning workflows and data science tooling. knowledge of data visualization tools such as tableau, powerbi, or looker. if you are a proactive and passionate data engineer with a commitment to excellence, we encourage you to apply and join our dynamic team. together, we can build a robust data infrastructure that drives informed business decisions and innovative solutions. this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,a12358cc290a6a4b,Business Designer - Client Engineering - IBM,Riyadh,,4 days ago,4,,[],[],[],https://talentpal.qureos.com/jobs/4748823-business-designer-client-engineering-ibm,https://indeed.com/cmp/Talent-Pal,['cloud'],"['continuous learning', 'communication', 'focus', 'organization', 'innovation', 'responsible', 'professional', 'collaborative', 'responsibility', 'research', 'written communication', 'design', 'storytelling', 'commitment']","['cloud', 'transform']","introduction ibm client engineering designers take a human-centered perspective in value engineering. they understand the human needs behind a client's challenge through lean user research and participative activities (enterprise design thinking) in client conversations. designers can uncover additional client needs to be addressed with ibm technologies, leading to cross-and up-sell opportunities. designers are responsible for translating client needs into desirable experiences that connect business, technology, and user goals. we increase client satisfaction with meaningful outcomes and drive adoption by bringing real value to real people. if you come from outside tech; think you look a bit different to us; have a non-degree education, and wonder if your application would be welcome, please know that it very much is. we would love to get to know you a bit better, so apply. this might be a perfect match. excellent onboarding training will set you up for success, whilst ongoing development will continue to advance your career through its upward trajectory. our sales environment is fast-paced and supportive. always part of a team, you'll be surrounded by leaders and colleagues who are always willing to help and be helped – as you support mvps that obsess over user-centricity and business impact. your role and responsibilities as a designer within client engineering, you'll be a key player in a multi-disciplinary team made up of architects, data scientists, engineers, developers, and business strategists to deliver a unique client co-creation experience that uses ibm technology to accelerate and prove value for our clients. your primary responsibilities will include: user-centric design: synthesize research, client insights, and requirements to create user experiences that establish enduring connections between individuals and products, services, and brands. facilitate user sessions: lead and facilitate user sessions, involving both clients and the ibm team. utilize modern methods and tools to identify and prioritize technical challenges, revealing opportunities, fostering innovation, and translating ideas into reality. ux and customer journey design: take charge of ux and customer/user journey design for prioritized use cases and minimal viable solutions, often reimagining how work processes are carried out. continuous learning: exhibit a growth mindset and an ongoing commitment to learning. develop concept and process designs to guide clients in solving business challenges and delivering human-centered solutions. user advocacy: champion the user's perspective to craft meaningful and engaging experiences that bridge the connection between human needs, business objectives and technology solutions. required technical and professional expertise ux and visual design skills: experience in ux and/or visual design best practices, including wireframing, research, prototyping and information architecture (ia). ux and visual design expertise: a high level of proficiency in visual and ux design best practices. excellent written communication and storytelling abilities. workshop facilitation: expertise in workshop preparation, facilitation, and post-session follow-up. a track record of guiding non-designers through design concepts and techniques, providing clients with a clear vision of optimized ux that contributes to business value. enterprise design thinking: understand enterprise design thinking and how to apply it to arrive at user-centric solutions for complex technical challenges. user research: understand how to use user research methods, both formal and informal, to uncover critical user, business, and technical needs. preferred technical and professional expertise business integration: experience in connecting user and service design with the broader business context, including business framing, to create holistic solutions for clients. agile and lean methodologies: proficiency in agile and lean methodologies, including experience working in collaborative environments. capable of understanding stakeholder requirements and ensuring that designs align with user needs. technical fluency: comfort and technical fluency with hybrid cloud and data &amp; ai concepts, enabling you to design solutions that leverage these technologies effectively. about business unitibm has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. the company’s global markets organization is a strategic sales business unit that manages ibm’s global footprint, working closely with dedicated country-based operating units to serve clients locally. these country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. by complementing local expertise with global experience and digital capabilities, ibm builds deep and broad-based client relationships. this local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. additionally, the global markets organization serves clients with expertise in their industry as well as through the products and services that ibm and partners supply. ibm is also expanding its reach to new and existing clients through digital marketplaces. your life @ ibmin a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as ibmers as we strive to be the catalyst that makes the world work better. being an ibmer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background. our ibmers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. they are trusted to provide on-going feedback to help other ibmers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. the courage our ibmers have to make critical decisions everyday is essential to ibm becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do. are you ready to be an ibmer? about ibmibm's greatest invention is the ibmer. we believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and ai strategy to life for our clients and partners around the world. restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the fortune 50 companies relying on the ibm cloud to run their business. at ibm, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world. location statementfor additional information about location requirements, please discuss with the recruiter following submission of your application. being you @ ibmibm is committed to creating a diverse environment and is proud to be an equal-opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. ibm is also committed to compliance with all fair employment practices regarding citizenship and immigration status. this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,b6484bbd7bb08f24,Graphic Designer - HDR,Riyadh,,4 days ago,4,,['5'],[],[],https://talentpal.qureos.com/jobs/4748807-graphic-designer-hdr,https://indeed.com/cmp/Talent-Pal,['powerpoint'],"['communication', 'verbal communication', 'professional', 'collaboration', 'ownership', 'communication skills', 'design', 'planning', 'commitment']",[],"graphic designer (180344) about us at hdr, we specialize in engineering, architecture, environmental and construction services. while we are most well-known for adding beauty and structure to communities through high-performance buildings and smart infrastructure, we provide much more than that. we create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists. that's why we believe diversity is our greatest strength. hdr is proud to be an equal opportunity workplace and an affirmative action employer. watch our story:' confidential we believe that the way we work can add meaning and value to the world. that ideas inspire positive change. that coloring outside the lines can illuminate fresh perspectives. and that small details yield important realizations. above all, we believe that collaboration is the best way forward. primary responsibilities in the role of graphic designer, we'll count on you to: development of compelling, professional visual design to communicate to and educate clients, stakeholders and the public about community infrastructure projects provide input on strategy and innovative message delivery for distinct target audiences interpret and distill highly technical information for mainstream audiences work products may include video, infographics, poster boards, interactive media, style guides, presentations, branding design, handouts and flyers, annual reports, web and direct mail pieces, advertisements, etc. strong emphasis on data-driven or information design management of printing vendors #li-mw4 qualifications: associate’s degree in graphic design, web design, fine arts or related field of study or equivalent experience minimum of 5 years of professional graphic design experience proficiency in adobe creative suite print and digital design proficiency in powerpoint or other presentation software creative self-starter who excels in a fast-paced, team environment strong written and verbal communication skills service and client-oriented personality detail oriented with strong organizational skills ability to handle multiple assignments at a time and meet set deadlines demonstrated interest in ongoing training/education to stay relevant with rapid technology changes an attitude and commitment to being an active participant of our employee-owned culture is a must a portfolio of relevant design work is required for consideration preferred qualifications proficiency in video/animation design (aftereffects and/or premiere pro, or other multimedia software) strong layout skills agency/in-house experience web experience a plus why hdr at hdr, we know work isn't only about who you work for it's also about what you do and how you do it. led by the strength of our values and a culture shaped by employee ownership, we network with each other, build on each other's contributions, and collaborate together to make great things possible. when you join hdr, we give you license to do the same. we help you take charge of your career, giving you multiple growth opportunities along the way. primary location: saudi arabia-riyadh city industry: building engineering schedule: full-time employee status: regular businessclass: transportation planning job posting: jul 15, 2024 this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,3c9cacc1bcf886fd,Machine Learning Engineer - Jadeer,Riyadh,,4 days ago,4,,['3-5'],[],[],https://talentpal.qureos.com/jobs/4749225-machine-learning-engineer-jadeer,https://indeed.com/cmp/Talent-Pal,"['pytorch', 'tensorflow', 'python']","['accuracy', 'innovation', 'professional', 'problem-solving', 'analytical skills', 'design']","['model deployment', 'feature engineering', 'data pipelines', 'machine learning']","ready to build intelligent systems that can learn and adapt? become our next machine learning engineer! about our client: we are recruiting for a top-tier software company in ksa known for its innovation in artificial intelligence and machine learning. this company is dedicated to developing cutting-edge solutions that leverage machine learning to solve complex problems. the role: as a machine learning engineer, you will design, develop, and implement machine learning models and algorithms. you will work with large datasets to create predictive models and deploy them in production environments. what you'll do: design and implement machine learning models and algorithms work with large datasets to train and evaluate models develop and maintain data pipelines and infrastructure for model deployment collaborate with data scientists and engineers to integrate machine learning solutions monitor and improve model performance and accuracy stay updated on the latest advancements in machine learning what we're looking for: 3-5 years of experience in machine learning proficiency in programming languages (e.g., python, r) strong understanding of machine learning frameworks (e.g., tensorflow, pytorch) experience with data preprocessing and feature engineering excellent problem-solving and analytical skills benefits: competitive salary health insurance professional development opportunities flexible working hours exciting and innovative projects this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Talent Pal,f62e8bd842e45c48,Junior Acoustic Engineer - WSP,Riyadh,,4 days ago,4,,"['1-3', '19']",[],"['bachelor', 'master']",https://talentpal.qureos.com/jobs/4749226-junior-acoustic-engineer-wsp,https://indeed.com/cmp/Talent-Pal,[],"['flexibility', 'organization', 'analysis', 'professional', 'collaborative', 'discipline', 'analytical skills', 'design', 'work-life balance']","['data analysis', 'transform']","we are wsp - join us and make your career future ready! think bigger scale. think higher profile. think ground-breaking. join wsp, and you’ll be at the heart of an international collective of innovative thinkers, all dedicated to growing and sharing their expertise, working on projects that transform society for all of us. wsp middle east is looking for a junior acoustic engineer to join us in riyadh, saudi arabia. your new role, what's involved? conducting acoustic surveys, field measurements, data analysis, and preparing reports for architectural, building services, and environmental assessments across the middle east region. performing acoustic calculations throughout various project phases. utilizing acoustic modeling software to support calculations and simulations. delivering acoustic consultancy services to both private and public sector clients. collaborating effectively within project teams, ensuring timely response to project requirements. developing and maintaining technical expertise, staying abreast of industry developments. identifying opportunities to enhance service delivery to clients within the wsp framework. we'd love to hear from you if you have: bachelor’s or master’s degree in acoustics or other related engineering discipline. 1-3 years of experience in the acoustic field. proficiency in architectural acoustics, mechanical hvac noise control design, and vibration isolation. experience with sound and vibration measurement instruments and modeling software (e.g., cadna, insul, odeon, catt, ease, sound design). familiarity with autodesk and sketchup software is advantageous. strong quantitative and analytical skills, with a proven ability to communicate results effectively, both verbally and in writing. ability to engage with stakeholders ranging from developers to site personnel. collaborative approach, capable of working effectively with architects, mep, structural engineers etc. capable of understanding client needs, proactive in learning new skills, and adept at organizing tasks to align with client and organizational goals. flexibility to work within a global client organization, demonstrating diplomacy and entrepreneurial spirit. willingness to travel within the region valid driver’s license with a clean driving record. what's in it for you? wsp is one of the world’s leading engineering and professional services consulting firms. dedicated to our local communities, and propelled by international expertise, we are technical experts and strategic advisors, working together to solve some of the most complex challenges. we have one of the largest, if not the largest acoustics team in the middle east and globally. we have multiple licenses of various acoustic software such as ease, odeon, insul, sound design, cadna a, cadna b, sonarchitect, soundplan etc. as well as multiple state-of-the-art measurement equipment. our acoustic team leader in ksa has 19 years of international acoustic experience and has been working on projects around the world, hence there will be an amazing opportunity to learn and grow with our local ksa acoustic team here at wsp, we greatly value your work-life balance, and your requirements for flexibility. work is only one part of our lives, and making time for other things is important, be that our families, our friends, or ourselves. as well as rewarding you with competitive pay, wsp offers first class medical cover, generous annual leave, and paid professional subscriptions. be you, be happy – we strive to maintain a friendly and inclusive culture which respects and maximises the contribution every individual can bring to wsp. we recognize the value of working with diverse teams of varying backgrounds and experiences, and we positively encourage applications from suitably qualified and eligible candidates of all backgrounds. apply now and be the future of wsp! our team is made up of technical experts and strategic advisors including engineers, technicians, scientists, architects, planners, surveyors, environmental specialists, designers, and program and construction management professionals. together we utilise our local understanding, international reach, and global scale to prepare our cities and environments for the future, connect communities, and help societies thrive in built and natural ecosystems. we design lasting solutions in the property &amp; buildings, transportation &amp; infrastructure, environment, industry, resources (including mining and oil &amp; gas) and power &amp; energy sectors as well as project delivery and strategic consulting services. job reference: wspme04282 this job has been sourced from an external job board. more jobs on https://www.qureos.com/"
Gateway,af61aa6156ac45b5,Principal Data Scientist,Riyadh,Full-time,5 days ago,5,3.7,[],[],['ph.d'],https://www.careers-page.com/gateway/job/L53X793R?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Gateway,"['azure', 'keras', 'python', 'tensorflow', 'pytorch', 'cloud', 'aws']","['communication', 'innovation', 'professional', 'collaborative', 'problem-solving', 'research', 'communication skills', 'analytical skills', 'decision-making']","['statistics', 'natural language processing', 'google cloud', 'nlp', 'extract', 'cloud', 'ml']","company overview: join an innovative startup that's revolutionizing the tech landscape with groundbreaking ai solutions. our client is at the forefront of developing advanced technologies that are set to redefine industries and enhance everyday life. with a vibrant culture of innovation and a passionate team, this startup offers a unique opportunity to work on cutting-edge projects that push the boundaries of what's possible in ai. position: principal data scientist job type: full-time key responsibilities: lead the development and implementation of advanced ai and ml models. drive data strategy and architecture to support business objectives. collaborate with cross-functional teams to integrate data science solutions into products. mentor and guide junior data scientists and team members. analyze large datasets to extract actionable insights and drive decision-making. stay updated with the latest advancements in ai and data science to ensure cutting-edge solutions. present findings and recommendations to senior management and stakeholders. qualifications: ph.d. or masters degree in data science, computer science, statistics, or a related field. extensive experience in ai/ml development and implementation. strong programming skills in python, r, or similar languages. proficiency with ai frameworks such as tensorflow, pytorch, or keras. proven experience in leading data science projects and teams. excellent problem-solving and analytical skills. strong communication skills and the ability to explain complex concepts to non-technical stakeholders. preferred skills: experience with natural language processing (nlp) or computer vision. familiarity with cloud platforms like aws, google cloud, or azure. published research in ai/ml journals or conferences. strong understanding of the startup ecosystem and its unique challenges. what we offer: competitive salary and benefits package. opportunity to lead and influence innovative ai projects. collaborative and inclusive work environment. career growth and professional development opportunities."
Gateway,a1a73c10de90be12,AI Research Scientist,Riyadh,Full-time,5 days ago,5,3.7,[],[],['ph.d'],https://www.careers-page.com/gateway/job/L7637V93?utm_medium=free_job_board&utm_source=indeed,https://indeed.com/cmp/Gateway,"['azure', 'keras', 'python', 'tensorflow', 'pytorch', 'cloud', 'aws']","['communication', 'innovation', 'analysis', 'professional', 'collaborative', 'problem-solving', 'research', 'analytical skills', 'communication skills']","['natural language processing', 'google cloud', 'data mining', 'machine learning', 'nlp', 'cloud', 'statistical analysis', 'ml']","join an innovative startup that's revolutionizing the tech landscape with groundbreaking ai solutions. our client is at the forefront of developing advanced technologies that are set to redefine industries and enhance everyday life. with a vibrant culture of innovation and a passionate team, this startup offers a unique opportunity to work on cutting-edge projects that push the boundaries of what's possible in ai. position: ai research scientist job type: full-time key responsibilities: conduct cutting-edge research in ai and machine learning to develop novel algorithms and models. collaborate with cross-functional teams to integrate ai solutions into products. publish research findings in leading ai/ml conferences and journals. stay updated with the latest advancements in ai and machine learning. mentor junior researchers and provide technical guidance. participate in the development of ai prototypes and proof-of-concepts. qualifications: ph.d. in computer science, ai, machine learning, or a related field. extensive research experience in ai/ml, demonstrated through publications and projects. strong programming skills in python, r, or similar languages. proficiency with ai frameworks such as tensorflow, pytorch, or keras. excellent problem-solving and analytical skills. strong communication skills, with the ability to present complex concepts to both technical and non-technical audiences. preferred skills: experience in natural language processing (nlp) or computer vision. familiarity with cloud platforms like aws, google cloud, or azure. strong background in statistical analysis and data mining. experience in mentoring and leading research projects. what we offer: competitive salary and benefits package. opportunity to lead and influence innovative ai projects. collaborative and inclusive work environment. career growth and professional development opportunities."
