name,key,title,location
AECOM,39797bb84898fe57,Senior Quality Officer,Riyadh
AECOM,4ee6a24ea96074b5,Land Surveyor,Riyadh
AECOM,969d8b656bca34e1,Senior Planner,Medina
AECOM,3b927bcea61e1a5d,Senior Engineer - Environment,Riyadh
AECOM,0d24e935ea084dbc,Inspector - Electrical,Riyadh
AECOM,bca40986b51368d4,Administrator,Riyadh
AECOM,27916eac05e4bd7f,Senior Engineer - Electrical,Medina
AECOM,53dca1c98647c299,Senior Engineer - Planning,Riyadh
AECOM,52f85c77b28032eb,"Manager - Safety, Health & Environment",Riyadh
AECOM,1b9a155f3c33877c,Architecture,Medina
AECOM,ea6a02cec50ce749,Planner (STADIUM),Riyadh
AECOM,8719dc8336979e35,Senior Urban Designer,Riyadh
AECOM,6f5aea7f73a92eff,Structural Engineer (Site),Medina
AECOM,91714579a9afbf37,Engineer - Electrical,Riyadh
AECOM,fa678206ab31273e,Engineer - Electrical (Site),Medina
AECOM,0c8fe550cc9dcf36,Environmental Inspector,Riyadh
AECOM,da65dab66f858e38,Senior Project Controls (Trend) Engineer,Duba
AECOM,380ef8aeed35697f,Cost Manager,Riyadh
AECOM,dfbd5d56ce98e8cb,Senior Cost Engineer,Tabuk
AECOM,a99cdb9bab405d44,Senior Planning Engineer,Duba
AECOM,fdfecfc2266e08d6,Senior Administrator,Riyadh
AECOM,3e9ef9ba52a3ef2c,Associate Director - Project Controls,Tabuk
AECOM,04dddd631c040555,Senior Quantity Surveyor,Riyadh
AECOM,4d6bc9600005614a,Landscape Architect,Tabuk
AECOM,d355fddf7b0fb62d,Senior Architect,Riyadh
AECOM,f38e4efbdc0e3d0e,Procurement Specialist,Riyadh
AECOM,f7568c814dbb2111,Senior Engineer - Mechanical,Medina
AECOM,a2d35adc35f066a5,Chief Strategic Planning Engineer,Riyadh
AECOM,3982304d50e07580,Associate - Project Controls,Tabuk
AECOM,a832dcfbd53f858c,Discipline Lead - Civil & Structural (AlUla),Saudi Arabia
AECOM,87e4678e372d1ee0,Engineer - Mechanical,Medina
AECOM,b3db6871f27ea69c,Inspector - Electrical (STADIUM),Riyadh
AECOM,4dd12e6dbce7583c,Contracts Administrator,Tabuk
AECOM,522a5257c08f3e57,Engineer - Mechanical (VHT),Medina
AECOM,d3a5a26ee01a122a,Quantity Surveyor,Tabuk
AECOM,a576d5761191f529,Document Controller (STADIUM),Riyadh
AECOM,18fcf85ada114a87,"Advisor - Safety, Health & Environment",Tabuk
AECOM,07a7f607c4bc7b35,Planning Engineer,Riyadh
Abbott Laboratories,3a2a25492bc9384d,Ambassador ( Sales Executive ) - Core Lab,Dammam
Abdul Latif Jameel Group - Toyota KSA,3021285602414084,CRM Data Scientist,Jeddah
Alfaisal University,6a2e2461d6e3b95a,Post Doc,Riyadh
Alfaisal University,8c3da2a5dec82190,Postdoctoral Researcher,Riyadh
Alfaisal University,1824b65719b4f732,Mass Spectrometry Specialist,Riyadh
Arabic Computer Systems,8790ffc7c8d3c2fc,Data Scientist,Riyadh
ArabyAds,c5608ffb44650992,Sales Director- Media Vertical,Riyadh
ArabyAds,d18d3fa4b2a0f5ac,Sales Manager- Media Vertical,Riyadh
BeiGene,033909135e9673e6,"Associate Director/ Senior Manager, Saudi Arabia QPPV and MENA Regional Lead",Saudi Arabia
Cepheid,0d33142cabc11ef4,"Field Service and Applications Specialist - Molecular Diagnostics (Abha, Southern Region)",Abha
EPAM Systems,d8491687ea4ba9d1,Senior/Lead Data Scientist,Dammam
Evolvice GmbH,d5f401b42ed76b44,Data Scientist Engineer,Saudi Arabia
Excrin Think Labs,985d0ddc75ae4bf5,Full Stack Developer,Saudi Arabia
Gateway,5da395dcb57ce7e3,Senior Data Scientist,Riyadh
Gateway,af61aa6156ac45b5,Principal Data Scientist,Riyadh
Gateway,a1a73c10de90be12,AI Research Scientist,Riyadh
Globant,bbcaba38eb88ff69,"Data Scientist, Sr Level 3 - KSA",Riyadh
HDR,373036f109ebeba4,Graphic Designer,Riyadh
HDR,68422cdcbcb74949,Graduate Traffic Engineer,Riyadh
IBM,11b5d3af413edfea,Associate Data Scientist - IBM Consulting,Riyadh
IBM,7ea6b65c32476253,Business Designer - Client Engineering,Riyadh
Jadeer,0926ef0bbb2d0a89,AI Engineer,Riyadh
Jadeer,1fe34d7b29bfa925,Machine Learning Engineer,Riyadh
Jadeer,f366944f418da988,Data Engineer,Riyadh
KAUST,ff98eedcd2e146c9,RESEARCH SCIENTISTS POSITIONS - CYBERSECURITY AND DEPENDABILITY: 2023-2024,Thuwal
KAUST,38acdc7fb452b872,POSTDOCTORAL FELLOWSHIP POSITION - DATA DRIVEN MACHINE LEARNING,Thuwal
KAUST,56408afbd09b8775,FACULTY POSITION IN COMPUTATIONAL METHODS FOR BIOENGINEERING,Thuwal
KAUST,2c8a52e4068bf368,RESEARCH SCIENTIST - VISUAL COMPUTING CENTER,Thuwal
KAUST,eccfb448b3e2cd93,POSTDOC FOR SYNTHETIC BIOLOGY AND GENERATIVE BIOLOGY,Thuwal
KAUST,21487917221405b1,FACULTY POSITION IN STATISTICS 2024,Thuwal
KAUST,902f61b315d82686,ASSISTANT PROFESSOR IN MARINE SYSTEMS MODELING,Thuwal
KAUST,cd6c79d92d91012f,"POSTDOCTORAL RESEARCH FELLOW - COMPUTER VISION, COMPUTER GRAPHICS AND DEEP LEARNING",Thuwal
KAUST,e08d974137a177b6,POSTDOCTORAL RESEARCH FELLOWS POSITIONS IN CYBERSECURITY AND DEPENDABILITY: 2023-2024,Thuwal
KAUST,f265ff8b6505fb95,SOFTWARE ENGINEER,Thuwal
KAUST,819e9a1c898473d9,POSTDOCTORAL POSITION IN ‘WHEAT GENOMICS AND EVOLUTION’,Thuwal
Lilly,def16b7a02d7321b,Real Worl Evidence (RWE) Project Manager- KSA (Saudi nationals only),Riyadh
Mass,c8fc8c5efe99acdd,Weapon Systems Analyst,Riyadh
Mozn,decf264a774c6c48,Data Scientist,Riyadh
Mozn,81e8e1eb8301400b,Staff Data Scientist,Riyadh
Nice One,2f14f8b011675bdf,Senior Data Engineer,Riyadh
Parsons,c873722f77faea03,Design Director - Master Planning,Riyadh
SAUDIA Airlines,1d828e437a5937d9,Data Science / Data Analysis,Jeddah
Shipsy,be6b97af923758fb,Inside Sales Manager,Riyadh
Talent Pal,b6484bbd7bb08f24,Graphic Designer - HDR,Riyadh
Talent Pal,dfcf9f591d4bd0b5,Design Director - Master Planning - Parsons,Riyadh
Talent Pal,e11d3ebd9fc3186c,Senior Data Engineer - Nice One,Riyadh
Talent Pal,a12358cc290a6a4b,Business Designer - Client Engineering - IBM,Riyadh
Talent Pal,f62e8bd842e45c48,Junior Acoustic Engineer - WSP,Riyadh
Talent Pal,3c9cacc1bcf886fd,Machine Learning Engineer - Jadeer,Riyadh
Varian Medical Systems,ea043e87731e73fb,Finance Head KSA & Regional Lead MEA,Riyadh
Varian Medical Systems,fbc1481b6c4b7d5c,Field Service Manager (onsite),Riyadh
WSP,a053af7c4832a65d,Risk Lead,Riyadh
WSP,6794b8f57f90f91b,Junior Acoustic Engineer,Riyadh
WSP,4e6d1340360c9c89,Lead QA/QC Engineer,Riyadh
Worley,09be6d1681e9c538,Senior Piping Engineer - Site,Al Khobar
aramcoservices,a97ed96b3a9e551c,Lead Data Scientist,Saudi Arabia
aramcoservices,6056a430f4711776,Downstream Data Scientist,Saudi Arabia
aramcoservices,4c01a8b9893f9fe4,Generative AI Expert,Saudi Arabia
aramcoservices,f3ae73beca9b9e43,Analytical Research Scientist,Saudi Arabia
aramcoservices,128e8d3b7c4f9224,Catalyst Development Expert,Saudi Arabia
