posted,Experience,location,jobType,Education,description,name,title,feed
,12 - 14 Years,Riyadh,,Bachelor of Business Administration(Management),"Job DescriptionRoles & ResponsibilitiesRole Summary:Reporting to the Director of Business Development, you will be responsible for establishing SANTECHTURE as an industry leader in providing RCM solutions for the healthcare industry. You will develop new revenue streams and grow our market share by cultivating and driving deep relationships with key customers and strategic partners. In doing so, you will gain a deep understanding of customer needs to evolve and strengthen SANTECHTURE's value propositions.Primary Responsibilities:• Analyze the healthcare sector and define growth strategies for the business. • Identify and evaluate new business opportunities and develop compelling value propositions• Understand the unique needs of customers (public/private small/big) and effectively pitch SANTECHTUREs solutions with a focus on value-creation. • Have a understanding of key Saudi Arabia public health entities with established network. • Establish strategic partnerships to build and strengthen our network. • Be accountable for measurable outcomes such as revenue growth, and market share.• Contribute to SANTECHTUREs marketing efforts to position SANTECHTURE as the leading RCM technology supplier in the region. • Work closely with our sales and product teams by providing sound business intelligence to enhance the competitive positioning of SANTECHTUREs suite of solutions. • Ability to travel inside KSAJob Requirements:• At least 12+ years experience in Enterprise sales. • Well versed with the Healthcare Technology sales. • Possess a good network across the Kingdom of Saudi Arabia (KSA) market . • Strong understanding of the commercial workings of the Healthcare sector and industry trends.• Deep network amongst Middle East Healthcare ecosystem players such as government agencies, hospitals and medical providers.• A strong commercial sense, creative strategist with an entrepreneurial spirit.• Self-starter, confident and target oriented. • Willing to be hands-on in a fast-growing company.• Excellent interpersonal and communication skills, able to represent SANTECHTURE and lead discussions with C-level, senior management and regulators.• Knowledge of CRM tools.",SANTECHTURE,Associate Director Sales - Healthcare Technology,https://www.naukrigulf.com/associate-director-sales-healthcare-technology-jobs-in-riyadh-saudi-arabia-in-santechture-12-to-14-years-n-cd-40000779-jid-270824500306
,0 - 3 Years,Dammam,Full Time,"MBA/PG Diploma in Business Mgmt(International Business, Marketing)","Job DescriptionRoles & Responsibilities- Lead Generation- Cold Calling- Meeting with B-B Clients- Giving Demonstration for our IT Products (ERP , CRM)- Negotiation & Closure of sales",Nazia,Software Sales Consultant - ERP / CRM Sales - Focus Dammam & Bahrain,https://www.naukrigulf.com/software-sales-consultant-erp-crm-sales-focus-dammam-bahrain-jobs-in-dammam-saudi-arabia-in-nazia-0-to-3-years-n-cd-253370-jid-270924000055
,6 - 11 Years,Riyadh,Full Time,Riyadh - Saudi Arabia,"Job DescriptionRoles & ResponsibilitiesResearches and understands the client’s industry. Deeply understands client business strategies and challenges.Demonstrable experience in consultative, solution selling and business development skills to align the client’s business needs with software solutions.Deep territory knowledge and a proven history of exceeding IT consulting sales quotas through strategic selling skills.Engage in consultative selling efforts requiring a clear understanding of the client’s business, the opportunity and how ERP solution(s) effectively address it.Participate as a team player across sales, sales operations, finance, legal and professional services teams to meet customer’s expectations.Good written and oral communication and presentation skills in Arabic and English.Experience in of IT software Consulting Services is required. Knowledge of Oracle products are preferred.",Confidential Company,Assistant Manager Sales IT,https://www.naukrigulf.com/assistant-manager-sales-it-jobs-in-riyadh-saudi-arabia-in-confidential-6-to-11-years-n-jid-231024000082
,4 - 9 Years,BahrainSaudi ArabiaUnited Arab Emirates,,Any Graduation(),"Job DescriptionRoles & Responsibilities  As an ETL Tester, you will be responsible for validating and testing ETL processes to ensure accurate data transformation, integration, and loading from source systems to target databases. You will work closely with data engineers and business analysts to maintain data quality and support business intelligence initiatives.   Key Responsibilities:   Review and analyze ETL requirements and specifications to understand data flows and transformations. Develop and execute test plans, test cases, and test scripts for ETL processes. Perform data validation, data reconciliation, and performance testing of ETL jobs. Identify, document, and track defects, working closely with development teams to ensure timely resolution. Monitor ETL processes for performance and data quality issues, providing recommendations for optimization. Collaborate with data stakeholders to ensure data accuracy and integrity across various systems. Prepare and maintain documentation related to testing processes and results. Participate in project meetings and provide updates on testing progress and challenges.    Qualifications:   Bachelors degree in Computer Science, Information Technology, or a related field. 3+ years of experience in ETL testing or data quality assurance. Proficiency in ETL tools such as Informatica, Talend, or Microsoft SSIS. Strong understanding of SQL for data validation and testing. Familiarity with data warehousing concepts and methodologies. Experience with data visualization tools (e.g., Tableau, Power BI) is a plus. Excellent analytical and problem-solving skills. Strong attention to detail and commitment to data quality. Effective communication and teamwork abilities.",Client of EdRoy Consigliere,ETL Tester,https://www.naukrigulf.com/etl-tester-jobs-in-null-in-client-of-edroy-consigliere-4-to-9-years-n-cd-20010126-jid-281024500377
,8 - 10 Years,Saudi Arabia,,Bachelor of Science(Computers),"Job DescriptionRoles & ResponsibilitiesSystem Implementation: Leading or assisting in the implementation of SAP BI and BO solutions, including installing software, configuring systems, and integrating them with other SAP modules or external data sourcesData Modeling: Designing and creating data models, data warehouses, and data marts that support effective data analysis and reportingReport Development: Designing and developing interactive and customized reports, dashboards, and visualizations using SAP Business Objects tools like Web Intelligence, Crystal ReportsData Extraction and Transformation: Extracting, transforming, and loading (ETL) data from various source systems into SAP BI/BO environments, ensuring data accuracy and integrityPerformance Optimization: Monitoring and optimizing the performance of SAP BI/BO systems, including query performance, report execution, and data loadsSecurity and Authorization: Implementing security measures and user access controls to ensure data privacy and compliance with regulationsBusiness Analysis: Collaborating with business stakeholders to gather requirements, understand data needs, and translate business needs into technical solutions",Carbynetech India Pvt Ltd,SAP BI BO Consultant,https://www.naukrigulf.com/sap-bi-bo-consultant-jobs-in-saudi-arabia-in-carbynetech-india-pvt-ltd-8-to-10-years-n-cd-20010126-jid-071124500857
,8 - 10 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & ResponsibilitiesJob Title: Head of Asset Management     Reports to: Senior Management Team     Direct Reports: 1      Location: Riyadh, KSA      The Company    Our client is a leading Investment Advisory Firm based in Riyadh, Saudi Arabia. They offer specialized advisory services to help their clients grow their wealth and achieve their investment goals.     Job Purpose     You will be responsible for leading the asset management team, setting performance goals and providing training to all members of the team. Managing client assets in accordance with their investment preferences, developing and organising client portfolios and preparing financial forecasts are vital parts of this role. You will also be responsible for establishing and maintaining relationships with key stakeholders of the business.      Duties and Responsibilities   • Leadership and strategic management of the asset management team.   • Acquire new assets in line with Company s objectives.   • Source new business leads and opportunities to manage each client portfolio.   • Manage multiple client accounts and maintain effective communication with stakeholders.   • Regularly research market trends and changes that may impact managed assets.   • Identify important data insights and generate reports using business intelligence software.   • Create impact analysis reports and deliver reports to key stakeholders and clients.   • Communicate any needed account changes with clients in a timely manner.   • Analyze portfolio changes and identify any irregularities that may negatively impact client asset accounts.   • Make needed changes to client portfolio as needed.   • Organize and lead meetings with key stakeholders to review accounts.   • Keeping up to date with the latest financial trends and market developments.    • Keeping up to date with the latest financial laws and regulations.    • Developing and sustaining ongoing relationships with clients who are looking to invest in the long term.       Skills and Experience   • Strong financial background and experience with financial modelling.    • Proven experience in an asset management role managing multiple portfolios.    • Strategically minded with strong analytical and problem-solving skills.    • Strong time-management skills with the ability to prioritize tasks effectively whilst meeting all key client deadlines.    • Strong oral and written communication and presentation skills, including the ability to effectively interact with stakeholders at all levels.    • Strong leadership skills.   • Ability to work well in a fast-paced environment.    • Highly proficient in MS Office and business modelling software.      Qualifications & Experience   • Bachelor s degree with concentration in finance or business.    • 8+ years in a similar asset management role.",J. Awan & Partners,Head of Asset Management (JAP Client),https://www.naukrigulf.com/head-of-asset-management-jobs-in-riyadh-saudi-arabia-in-j-awan-partners-8-to-10-years-n-cd-10005206-jid-160924500519
,3 - 5 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & ResponsibilitiesWe are seeking an experienced Palantir Consultant to join our team. The successful candidate will play a crucial role in implementing and optimizing Palantir technologies for our clients, enabling them to harness the power of data to drive decision-making processes. This role requires a deep understanding of Palantir's platforms, strong analytical skills, and the ability to work closely with cross-functional teams to deliver data-driven solutions.Key Responsibilities:• Implementation and Integration: Lead the implementation of Palantir technologies (e.g., Foundry, Gotham) within client environments, ensuring seamless integration with existing systems and data sources.• Data Management: Develop and manage data pipelines, ensuring the accurate and efficient flow of data into Palantir platforms. Work with clients to structure and organize their data for optimal analysis.• Customization and Configuration: Customize Palantir platforms to meet specific client needs, including configuring workflows, dashboards, and analytical tools to align with business objectives.• Client Engagement: Collaborate closely with clients to understand their business challenges and objectives, providing expert advice on how Palantir technologies can address these needs.• Training and Support: Provide training and ongoing support to client teams, enabling them to effectively use Palantir tools and make data-driven decisions.• Analysis and Reporting: Perform advanced data analysis using Palantir tools, generating actionable insights and presenting findings to stakeholders.• Project Management: Manage projects from initiation to completion, ensuring that deliverables are met on time and within budget.• Continuous Improvement: Stay updated on the latest developments in Palantir technologies and industry best practices, recommending improvements to existing systems and processes.Qualifications:• Education: Bachelors or Masters degree in Computer Science, Data Science, Engineering, or a related field.Experience:• Proven experience in implementing and working with Palantir platforms (Foundry, Gotham, etc.).• Strong background in data analysis, data engineering, or business intelligence.• Experience working with large-scale data sets and complex data environments.• Prior consulting experience is preferred.Technical Skills:• Proficiency in SQL, Python, or other programming languages relevant to data manipulation and analysis.• Familiarity with data visualization tools and techniques.• Understanding of data governance, data privacy, and security practices.Soft Skills:• Excellent communication and interpersonal skills.• Ability to work independently and as part of a team.• Strong problem-solving skills and attention to detail.• Ability to manage multiple projects simultaneously.Additional Requirements:• Willingness to travel to client sites as needed.• Language proficiency: English, Arabic is a plusVerticalTechnology",Duncan & Ross,Palantir Consultant,https://www.naukrigulf.com/palantir-consultant-jobs-in-riyadh-saudi-arabia-in-duncan-ross-3-to-5-years-n-cd-40000186-jid-040924500381
,2 - 4 Years,Jeddah,,Bachelors in Computer Application(Computers),"Job DescriptionRoles & ResponsibilitiesJob purpose statementAnalyse performance of system, processes and maintenance activities on site, make reports/dashboards, communicate performance, evaluate results and improve system, processes and maintenance activities.ScopeDeveloping visual reports, KPI scorecards, and dashboards using BI software s. Performance evaluation and improvement of system scope as determined in the service contract. By analyzing the performance of the system, possible bottlenecks can be detected before causing delays. This will increase the efficiency of the system, decrease down time and maximize flow.Qualifications and abilitiesEducation level Bachelor / master's degree Minimum 2 years experience in any of BI Tools such as(Power BI, SPLUNK, Tableau or SAP)Experience with analyzing process flows Process orientated Analytical capabilities Excellent verbal and oral skills in English language.ResponsibilitiesDeveloping visual reports, KPI scorecards, and dashboards using BI software s. Develop, maintain, and improve methods to gain and use relevant performance data Connecting data sources, importing data, and transforming data for Business intelligence. Analytical thinking for translating data into informative reports and visuals Analyse system, process and maintenance activity performance Evaluate and improve system, process and maintenance activity performance Communicate performance status and improvement actions internally and with customer Initiate and implement revisions, modifications and, retrofits (RMR);List of key activitiesEvaluate data of performance indicators, make reports, search for improvement possibilities, initiate improvement possibilities to customer.Work pattern.DayDifferentiatorDraws up action plan and can clarify it.Executes plan: Analyses customer systems and processes.Monitors quality, progress, costs and information provision.Uses the analyses to come up with usable insights and proposals for improvements.Draws up clear and convincing reports.Is systematically and actively involved in his/her own professional development.Advises the customers to take the right technical changes to his material handling solution.Can activate and convince maintenance teams/engineers to implement system adjustment. Supports SPM and integration engineer during project implementation.All-round and perceived specialist in specific area. Familiar with standard methods/techniques.",Vanderlande,Process Engineer I,https://www.naukrigulf.com/process-engineer-i-jobs-in-jeddah-saudi-arabia-in-vanderlande-2-to-4-years-n-cd-10008568-jid-030924500010
,7 - 9 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & Responsibilities Overview Driving business growth, improving operational efficiency, and leading cross-functional initiatives. This role requires a blend of strategic thinking, analytical competence, and excellent leadership skills to manage various aspects of the business effectively.Key responsibilities and accountabilitiesStrategic Planning and Execution:• Develop and implement business strategies to achieve the business unit goals and objectives.• Analyze market trends, competitive landscape, and business performance to inform strategic decisions.• Lead cross-functional teams to execute strategic initiatives and projects.Operational Management:• Oversee day-to-day business operations, ensuring efficiency and effectiveness across departments.• Identify opportunities for process improvements and implement best practices.• Monitor and manage key performance indicators (KPIs) to drive operational excellence.Financial Oversight:• Prepare and manage budgets, forecasts, and financial reports.• Analyze financial data to identify trends, variances, and areas for improvement.• Work with finance teams to ensure accurate financial planning and analysis.Team Leadership and Development:• Lead, mentor, and develop a high-performing team.• Foster a collaborative and inclusive work environment that encourages innovation and growth.• Conduct performance evaluations and implement development plans for team members.Stakeholder Management:• Build and maintain strong relationships with internal and external stakeholders.• Communicate business performance, strategic initiatives, and project updates to senior leadership and other key stakeholders.• Represent the company at industry events, conferences, and meetings as required.Risk Management:• Identify potential business risks and develop mitigation strategies.• Ensure compliance with industry regulations, company policies, and ethical standards.• Implement and monitor risk management frameworks and practices.Requirements• Bachelor s degree or higher in Business Administration, Management, Finance, or a related field.• Proven experience (typically 7+ years) in a senior management role within a similar industry.• Strong strategic planning and business development skills.• Excellent analytical and problem-solving abilities.• Exceptional leadership and team management skills.• Strong financial acumen with experience in budgeting and financial analysis.• Excellent communication and interpersonal skills.• Ability to work effectively in a fast-paced, dynamic environment.• Experience in the VAS and Digital Interactive and Gaming Products.• Proficiency in business intelligence tools and data analysis software.• Project management certification (e.g., PMP) or experience is a plus.",Middle East Broadcasting Networks Inc.,Business Manager,https://www.naukrigulf.com/business-manager-jobs-in-riyadh-saudi-arabia-in-middle-east-broadcasting-networks-inc-7-to-9-years-n-cd-10000150-jid-180724500168
,2 - 5 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & ResponsibilitiesDubizzle Group has the unique distinction of being an iconic, homegrown brand with a strong presence across the Middle East and Pakistan. Connecting millions of users across the region, we are committed to delivering the best online search experience. Dubizzle Group is the largest classifieds player in emerging markets which operates leading brands in the Greater MENA, South Asia & Southeast Asia Regions.As part of Dubizzle Group, Dubizzle KSA is hiring for a Sales Account Manager to acquire new clients, drive sales, and increase revenue. You will be responsible for building and maintaining relationships with businesses and individuals in your assigned territory. This role requires a proactive and persuasive individual who can effectively communicate our value proposition, understand customer needs, and provide tailored product solutions to increase the company s revenue.In this role, you will:   Perform outside field sales, client visits and outreach, on-boarding, renewal, and consumption  Develop in-depth knowledge of the company s products & packages  Identify and research potential customers or accounts within the assigned territory.  Utilise various sources such as online directories, networking events, trade shows, and cold calling to generate leads and expand the customer base.  Drive sales by making client visits and pitching the company s products & packages in line with customers  needs  Use sales scripts offered by the company to drive sales and respond to customer rebuttals  Conduct regular follow-ups with clients to understand their evolving needs and identify opportunities to upsell or sell supplementary products and value-added services  Foster and sustain relationships with customers to encourage repeat business  Accurately record and process details of customers  purchase orders in the CRM  Continuously improve the customer experience and ensure customer satisfaction  Meet monthly KPIs & revenue targets  Ensure timely payment collection from customers  Monitor market trends, competitor activities, and customer feedback to identify opportunities for improvement and growth.  Provide accurate and timely sales reports, forecasts, and market intelligence to management.  Represent the company at industry events, trade shows, and exhibitions to expand brand presence and network with potential clients.  Continuously update product knowledge and industry trends to effectively communicate features and benefits to clients.  Maintain accurate and up-to-date sales records, customer information, and activity reports using CRM (Customer Relationship Management) systems or other designated tools.  Provide regular sales forecasts, pipeline updates, and performance reports to sales management.  Identify and classify customer profiles, i.e. B2B, B2C, C2C.",Bayut.com,Sales Account Manager,https://www.naukrigulf.com/sales-account-manager-jobs-in-riyadh-saudi-arabia-in-bayut-com-2-to-5-years-n-cd-10002769-jid-160224500640
