posted,Experience,location,jobType,Education,description,name,title,feed
,3 - 5 Years,Saudi Arabia,,Any Graduation(),"Job DescriptionRoles & Responsibilities**Overview**Pinnacle Solutions is looking for a CH-47F Quality Control Inspector to work in Saudi Arabia.Functions as the Aviation Maintenance Quality Control technical inspector under the direction of the Aviation Quality Control (QC) Manager on a CH-47F aircraft. Functions as the data analyst technical compliance documentation administrator, CH-47 Weight and Balance technician and the technical expert on the aircraft ensuring airworthiness.**Responsibilities**+ Ensures that maintenance quality control functional activities and procedures among designated organizations are aligned and synchronized with maintenance process and procedures to achieve established platform Operational Readiness (OR) rates IAW contractual requirements.+ Responsible for the assistance to QC Manager in establishing and enforcing maintenance quality control processes, procedures, records and reports, that provide immediate situational awareness of platform OR rates.+ Assists QC Manager in establishing daily maintenance quality control organizational goals with production control, objectives and priorities for implementation in order to achieve stated OR rates.+ Assists with establishing the maintenance quality control processes, procedures, standards, measures, reports in support of the maintenance program.+ Reports to directed inquiries, investigations, and research analysis related to quality control maintenance processes and supporting maintenance activities to the Maintenance Manager through the Quality Control Manager.+ Responsible to remain current in any required certification, training, and qualifications of the quality control technical inspectors  functions.+ Attends a daily production control meeting for coordination and synchronization with maintenance section representative and SCM representative as required.+ Ensures all Quality control maintenance operations and related maintenance support activities are conducted in a safe manner.+ Inspects back shops as directed by the Quality Control Manager.+ Maintains aircraft historical with 100% accuracy.+ Determines requirement to conduct a Post Maintenance Check Flight (PMCF) / Functional Check Flight (FCF) and provides inspection criteria interpretation to maintenance staff.+ Proficient in the use of common measuring tools, precision measuring gages and alignment fixtures (GFE).+ Performs as Weight and Balance (W&B) technician to complete Weight and Balance records/forms for all assigned aircraft and complete all appropriate Weight and Balance documentation according to the RSLFAC directives and applicable manuals.+ Communicates effectively with QC/PC Manager with Safety and Mission Accomplishment always at the forefront.+ Supports, in coordination with the Maintenance Lead and QC Manager, the Downed Aircraft Recovery Team (DART) process and procedure.+ Provides On-The-Job training, coaching, and mentoring to RSLFAC personnel in all aspects of Quality Control, Safety and Performance of maintenance activities.+ Other duties as assigned and or directed by Quality Control Manager.**Qualifications**+ Ten (10) years cumulative experience in rotary aviation maintenance.+ Five (5) years' experience as an MH or CH-47D/E/F/G aircraft mechanic or maintenance technician.+ Three (3) years' experience as a CH-47D/F Technical Inspector.+ Graduate of a US Military aviation maintenance course (15 Series).+ Graduate of ALC (BNCOC).+ Proficient in the use of AWBS software.+ Proficient in the use of computer-hosted interactive technical manuals, aircraft maintenance forms, and other aircraft-related documentation.+ Proficient in MS Office software.+ Professional verbal, written, and interpersonal communication skills.+ Ability to effectively communicate with the customer in a professional and courteous manner.+ Possess a valid issued driver s license.+ Successfully pass an overseas deployment physical upon hire.+ HS diploma or equivalent required.+ Must be a US Citizen.**Desired Qualifications:**+ Five (5) years' experience as aviation Quality Control Inspector or Supervisor.+ Associate degree in aviation management.+ FAA A&P certificate.We are an equal opportunity employer and comply with all applicable federal, state, and local fair employment practices laws. All applicants will receive consideration for employment, without regard to race, color, religion, creed, national origin, gender or gender-identity, age, marital status, sexual orientation, veteran status, disability, pregnancy or parental status, or any other basis prohibited by law. If you are an individual with a disability, or have known limitations related to pregnancy, childbirth, or related medical conditions, and would like to request a reasonable accommodation for any part of the employment process, please contact us at job-assist@akima.com or 571-353-7053 (information about job applications status is not available at this contact information).**Job:** Military Specific Occupations**Travel:** Yes, 25% of the time**Organization:** Pinnacle Solutions**Clearance:** Not Applicable**Work Type:** On-Site**Remote:** No**ReqID:** 2024-13281",Akima Holding,CH-47F Quality Control Inspector,https://www.naukrigulf.com/ch-47f-quality-control-inspector-jobs-in-saudi-arabia-in-akima-holding-3-to-5-years-n-cd-10003717-jid-260924500205
,5 - 10 Years,Saudi Arabia,,Any Graduation(),"Job DescriptionRoles & Responsibilities   ASIAPOWER OFFICE TIMING: 10.00 AM TO 6.30 PM (MONDAY TO SATURDAY)    Urgently required for an International Steel & Metal Manufacturing Company in Saudi Arabia.    MATERIAL SITE SERVICE DEPARTMENT   -Diploma with minimum 5 years experience in relevant field. -Review and update technical documents (Work instruction, procedure, JD, etc ) -Data analyst, data verification, Data entry.  -Experience to maintain network devices.  -File document in physical and digital records.  -Minimum 2 years computer software technology or science in IT.    Certificate Requirement  -University degree.  -Age 25 - 40  -Spoken English - Excellent  -Written English - Excellent -Computer literate, able to access & input data on SAP, Windows, MS-Office etc - Excellent",Asiapower Recruitment Consultants Limited,Document /Data Clerk Controller (AG-796),https://www.naukrigulf.com/document-data-clerk-controller-jobs-in-saudi-arabia-in-asiapower-recruitment-consultants-limited-5-to-10-years-n-cd-20010126-jid-281024501465
,2 - 4 Years,Saudi Arabia,,Any Graduation(),"Job DescriptionRoles & Responsibilities   ASIAPOWER OFFICE TIMING: 10.00 AM TO 6.30 PM (MONDAY TO SATURDAY)    Urgently required for an International Steel & Metal Manufacturing Company in Saudi Arabia.    SCRAP SLAG DEPARTMENT   -University degree - BS. -Diploma with 2 years minimum experience  -Computer literate, able to access & input data on SAP, Windows, MS-Office etc.- Excellent  -Review and update technical documents (Work instruction , procedure, JD , etc )  -Data analyst, data Verification, Data entry.  -Experience to maintain network devices. -File document in physical and digital records.  -Age 25 - 40  -Spoken English - Excellent  -Written English - Excellent",Asiapower Recruitment Consultants Limited,Document Scrap Controller (AG - 796),https://www.naukrigulf.com/document-scrap-controller-jobs-in-saudi-arabia-in-asiapower-recruitment-consultants-limited-2-to-4-years-n-cd-20010126-jid-281024501485
,,,,,,,,https://www.naukrigulf.com/uh60-technical-inspector-jobs-in-saudi-arabia-in-vectrus-5-to-10-years-n-cd-10002403-jid-141024500442
,5 - 10 Years,Saudi Arabia,,Any Graduation(),"Job DescriptionRoles & ResponsibilitiesOverview Serves as the AH64/AH6i Technical Inspector, operating within the role of Aviation Maintenance Quality Control/Quality Assurance (QC/QA) under the direction of the QC Manager. Responsibilities include inspecting and signing off on red 'X' and circle red 'X' conditions related to aircraft systems and components, conducting inspections on airframe, power-train, power-plant, armament, electrical, and avionics systems. Determines the necessity for Maintenance Test Flight (MTF)/Maintenance Operational Check (MOC) and interprets inspection criteria for maintenance staff. Utilizes common measuring tools, precision measuring gauges, and alignment fixtures (GFE). Assists the Customer in maintaining a current technical library and applicable aircraft forms and records. Collaborates with Weight and Balance (W&B) technicians to complete records and documentation according to Customer directives. Acts as the site QC Data Analyst and administers technical and compliance documentation. Establishes maintenance quality control processes, procedures, standards, and reports, ensuring safe operations in all related activities. Conducts maintenance and technical inspector training, inputting OJT training data into the learning management system database. Responsibilities Performs quality technical inspection of aircraft, equipment, vehicles, aircraft components, parts, and systems (including avionics, electrical, instrument and armament) as required by functional assignment. Performs quality and safety inspections of on-site equipment and tools used in aircraft maintenance, vehicles, and equipment. Performs in-progress and final quality technical inspections during maintenance, repair, modification, rework, and overhaul of aircraft, aircraft components, and component parts. Inspects job procedural forms and maintenance forms used in the performance of aircraft maintenance, vehicle and equipment maintenance to assure compliance with approved methods and procedures. Assists in preparation, processing, and answering of Quality Deficiency Reports (QDRs). Assists in aircraft accident investigations, prepares estimated cost of damage reports as required. Establish the maintenance quality control processes, procedures, standards, measures, and reports in support of the maintenance program and in coordination with Supply Chain Management (SCM) activities. Directs inquires, investigations, and research analysis related to quality control maintenance processes and supporting maintenance activities, to the QC Manager. Ensures all quality control maintenance operations and related maintenance support activities are conducted in a safe manner. In coordination with the QC Manager, supports the Downed Aircraft Recovery Team (DART) processes and procedures. Conducts maintenance training and technical inspector training as required. Other tasks as directed by the QC Manager. Qualifications Minimum Qualifications High school diploma or equivalent; additional education or training in related field is beneficial. Bachelor s Degree preferred. Federal Aviation Administration (FAA) Inspector Authorization (IA) certificate. AH-6i TI and training experience. FAA Airframe and Powerplant certificate. Ten (10) years  experience AH-6i, MD-500 series, MH-6, OH-58, AH-64 Experience Requirements: Experience as an AH-6i, MD-500 series, MH-6, OH-58, AH-64 MDS Aircraft Technical Inspector. Note: Post hire AH-6i familiarization course will be required if applicant is not an A&P, AH-6i, MD500 series, MH-6, OH-58 or AH-64 qualified mechanic. Five (5) years  experience maintaining specific or similar Mission Design Series (MDS). Able to use the Automated Weight and Balance Software (AWBS). We are committed to an inclusive and diverse workplace that values and supports the contributions of each individual. This commitment along with our common Vision and Values of Integrity, Respect, and Responsibility, allows us to leverage differences, encourage innovation and expand our success in the global marketplace.",Vectrus,"AH64, AH6i Technical Inspector",https://www.naukrigulf.com/ah64-ah6i-technical-inspector-jobs-in-saudi-arabia-in-vectrus-5-to-10-years-n-cd-10002403-jid-160924500325
,3 - 6 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & Responsibilities Your exceptional talent and ambition will be instrumental in shaping the future of our app. You'll translate complex financial concepts into visually stunning and intuitively user-friendly experiences. You'll be involved in the design journey, from user research and understanding their needs to crafting eye-catching wireframes, prototypes, and high-fidelity mockups.  Collaboration is key, so you'll work closely with engineers and data analysts to ensure a seamless stunning design and flawless development.• Create wireframes, prototypes, and high-fidelity mockups for new features and functionalities• Collaborate with product managers, UX designers, and engineers to translate product vision into stunning and functional UI designs.• Ensure consistency with the app's design system and brand guidelines.• Conduct user research and analysis to understand user needs, pain points, and behaviors.• Support in writing and maintaining product specifications.• Stay updated on the latest trends in fintech and UX design.• Support in design visual applications",Malaa Technologies,Senior Product Designer,https://www.naukrigulf.com/senior-product-designer-jobs-in-riyadh-saudi-arabia-in-malaa-technologies-3-to-6-years-n-cd-40001951-jid-300824500943
,5 - 10 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & ResponsibilitiesJob Description:We are seeking an experienced and dynamic Project Manager to lead and oversee our surveying and geospatial projects. The ideal candidate will have a strong background in surveying technologies, project management, and client relations. This role involves managing projects from conception through completion, ensuring that they are delivered on time, within scope, and within budget.Key Responsibilities:• Project Management: Lead and manage surveying projects, including drone surveys, spatial analysis, and mobile mapping services, ensuring successful delivery according to client requirements.• Team Coordination: Oversee and coordinate with cross-functional teams, including surveyors, data analysts, and GIS specialists, to ensure project milestones are met.• Client Engagement: Act as the primary point of contact for clients, maintaining strong relationships and ensuring client satisfaction throughout the project lifecycle.• Technical Oversight :Provide technical guidance and oversight to ensure the accuracy and quality of surveying data and deliverables.• Budget & Resource Management: Develop and manage project budgets, allocate resources effectively, and ensure efficient use of company assets.• Compliance: Ensure all projects comply with industry standards, safety regulationsQualifications:• Bachelor s degree in Surveying, Geomatics, Geospatial Science• Minimum of 5 years of experience in project management, with a focus on surveying and geospatial services.• Proficiency in using surveying and GIS software (e.g., AutoCAD Civil 3D, ArcGIS, DroneDeploy).• Strong understanding of drone technology, mobile mapping, and spatial analysis techniques.• Excellent leadership, communication, and interpersonal skills.• PMP or other relevant project management certification is a plus.• Ability to manage multiple projects simultaneously and work under pressure.",Alqotr,Project Manager Surveying &amp Geospatial Services,https://www.naukrigulf.com/project-manager-surveying-amp-geospatial-services-jobs-in-riyadh-saudi-arabia-in-alqotr-5-to-10-years-n-cd-40001682-jid-130824501538
,15 - 17 Years,Riyadh,,Bachelors in Computer Application(Computers),"Job DescriptionRoles & ResponsibilitiesWe are seeking a highly skilled and experienced Senior Spatial Data Systems Analyst to join our dynamic team. The ideal candidate will possess extensive knowledge of the nature of work organization and team management, along with a strong ability to analyze data and work with various spatial applications and databases, as well as maps and satellite imagery. Excellent proficiency in computer software and a keen eye for quality control of outputs are essential for this role.Responsibilities:• Lead and manage a team to ensure efficient organization of workflows and effective delivery of projects related to spatial data analysis.• Analyze complex spatial data sets to extract meaningful insights and support decision-making processes.• Utilize various spatial applications, database systems, and geographic information systems (GIS) to prepare and analyze data.• Create, maintain, and enhance maps and spatial visualizations to communicate findings effectively.• Conduct quality assurance and quality control on data outputs to ensure accuracy and reliability.• Collaborate with cross-functional teams to integrate spatial data into wider organizational projects.• Stay updated on technological advancements in GIS and spatial data systems.Requirements""• Bachelor s degree or equivalent qualification in Geographic Information Systems (GIS), Computer Science, or a related field.• Minimum 15 years of experience.• Proven experience in a similar analytical role, with a strong emphasis on spatial data systems.• In-depth knowledge of spatial databases, mapping applications, and remote sensing technologies.• Strong analytical skills and attention to detail, with the ability to interpret complex data.• Excellent leadership and team management abilities.• Proficiency in relevant computer software and tools used in spatial data analysis.",2p Perfect Presentation,Senior Spatial Data Systems Analyst,https://www.naukrigulf.com/senior-spatial-data-systems-analyst-jobs-in-riyadh-saudi-arabia-in-2p-perfect-presentation-15-to-17-years-n-cd-40001842-jid-090924500528
,4 - 8 Years,Riyadh,,Bachelor of Science(Computers),"Job DescriptionRoles & Responsibilities JLL empowers you to shape a brighter way . Our people at JLL and JLL Technologies are shaping the future of real estate for a better world by combining world class services, advisory and technology for our clients. We are committed to hiring the best, most talented people  and empowering them to  thrive, grow meaningful careers and to find a place where they belong.  Whether you ve got deep experience in commercial real estate, skilled trades or technology, or you re looking to apply your relevant experience to a new industry, join our team as we help shape a brighter way forward.   We seek a detail-oriented Junior Analyst to join our Commercial Offices & Retail Team in Riyadh (KSA). The successful candidate will be crucial in maintaining data integrity and supporting research initiatives.Key Responsibilities:•  Support the Offices and Retail team with data base consistency and quality • Uploading relevant data in an internal CRM / property data base platform• Learning to understand the structure of commercial lease contracts in MEA• Exposure to corporate property data and research platforms• Working closely with the operations and research teams to understand what type of information is captured in quarterly property reviews and reportsRequirements :• Bachelor's degree in Business, Economics, Real Estate, or a related field• Strong analytical skills and attention to detail• Proficiency in Microsoft Office Suite, particularly Excel• Ability to learn and adapt to new software and database systems quickly• Excellent organizational and time management skills• Strong written and verbal communication skills in English (Arabic is a plus)• Ability to work independently and as part of a team• Interest in commercial real estate and market researchPreferred Qualifications:• Previous experience with CRM systems or property databases• Familiarity with the MEA real estate market• Basic understanding of commercial lease structuresThis position offers an excellent opportunity for growth and learning within the commercial real estate industry. The successful candidate will gain valuable insights into market trends, data analysis, and property management practices.",Jones Lang LaSalle,Junior Analyst - Data & Reporting,https://www.naukrigulf.com/junior-analyst-data-reporting-jobs-in-riyadh-saudi-arabia-in-jones-lang-lasalle-4-to-8-years-n-cd-10000514-jid-160924500545
,2 - 4 Years,Riyadh,,Bachelor of Science,"Job DescriptionRoles & ResponsibilitiesJob DescriptionResponsible for overseeing the organization s data management strategies to ensure data integrity, accessibility, and security. This role involves developing and implementing data governance policies, monitoring data quality, and managing data lifecycle processes and plays a critical role in enabling data-driven decision-making and enhancing overall data management practices.Develop and enforce data management policies and procedures to ensure data integrity and security.Monitor and assess data quality, identifying discrepancies and implementing corrective measures.Design and implement systems for collecting, storing, and managing data efficiently.Analyze complex data sets to derive actionable insights and support decision-making processes.Plan and execute data migration projects, ensuring minimal disruption and data loss.Maintain and optimize databases, ensuring they are secure, backed up, and accessible.Work closely with IT, data analysts, and other departments to align data management strategies with organizational goals.Create and maintain documentation related to data management processes, policies, and systems.Ensure compliance with relevant data protection regulations and industry standards.Facilitate data integration from various sources to create a unified view of organizational data.Generate regular reports and dashboards to communicate data insights to stakeholders.Stay updated on industry trends and emerging technologies related to data management to continually improve practices.Performs all duties in a professional, effective and confidential manner.Performs all other related duties as required or assigned.Requirements and ResponsibilitiesBachelor s Degree inComputer Science, Information Technology, Data Science, or related area with a minimum experience two (2) years.Master s Degree in Computer Science, Information Technology, Data Science, or related area",King Khaled Eye Specialist Hospital (KKESH),Data Management Specialist,https://www.naukrigulf.com/data-management-specialist-jobs-in-riyadh-saudi-arabia-in-king-khaled-eye-specialist-hospital-2-to-4-years-n-cd-10000999-jid-031124500167
