posted,Experience,location,jobType,Education,description,name,title,feed
Employer ActivePosted Today,4 - 11 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & ResponsibilitiesJob OverviewWe are seeking a Senior Solutions Manager to join our dynamic team. This role is for the data science and advanced analytics team.The manager will be responsible to engage, analyze and work with data holders to design and develop use cases for actionable insights for value with their data for their organization as well as their clients and stakeholders.As a Senior Solutions Specialist, you will be responsible for both business development and stakeholder engagement, while also being hands-on with solutioning. You will be expected to understand the needs of our clients, develop strategies to meet these needs, and implement solutions that deliver value to both the client and our organization.This role is integral to our organization that services various healthcare data holders such as Electronic Medical Records (EMR), registry, claims, supply chain, and more.The role would involve leveraging advanced analytics to drive strategic decision making and empowering businesses. Essential Functions- Experience in leading team of Data Scientists and Analysts, providing guidance and vision in solutioning business problems, mentoring and coaching junior team members.- Perform quantitative and qualitative analysis to drive proposed solutions- Leveraging the internal data expertise and coupling with industry views.- Strong stakeholder management skills, requires collaboration with peers, colleagues and mid-level to senior managers in driving data driven recommendations and strategies.- Experience in data analysis, data extraction/manipulation Qualifications:  Languages: Arabic and English is preferred.  Master's Degree Statistics, Mathematics, Information Technology, Bio-informatics or related field.  Demonstrated organizational skills required to oversee a project from concept to completion.Required Background:- Ability to work under stringent deadlines and be multi-task oriented.- Innovative thinking on conceptual products and services, knowledge of state-of-the-art statistical/longitudinal/data mining methods, and independent personal development in new database sources. - Experience with healthcare industry strongly desired.- Highly effective communication skillset- Experience with statistics and basic statistical modeling techniques (i.e., regression, decision tree, random forest, clustering, segmentationetc.)- Self-motivated to identify opportunities and propose solutions to business partners.- 7-11 years of experience in Data Analytics, Insight Generation and/or Data Science- 4+ years of experience working in healthcare organizations or data analytics organizations to translate business problems into insights, with demonstratable experience of delivering strategic insights and recommendations.",iqvia,Senior Solution Manager Data & AI,https://www.naukrigulf.com/senior-solution-manager-data-ai-jobs-in-riyadh-saudi-arabia-in-iqvia-4-to-11-years-n-cd-10005730-jid-260724500711
Posted on 17 Jul,3 Years,Riyadh,,"Bachelor of Technology/Engineering(), Bachelor of Science(Computers)","Job DescriptionRoles & ResponsibilitiesWe are seeking a highly skilled and motivated Senior Data Engineer to join our dynamic team. This role is integral to our mission of designing, building, and maintaining scalable databases, Data warehouse, and data pipelines to support production analytical workloads, Machine learning workloads, and internal business reporting. As a Senior Data Engineer, you will ensure the accuracy and reliability of our data infrastructure while collaborating closely with data scientists to deploy and scale machine learning models.Responsibilities- Data Pipelines: Design, build, and maintain scalable databases and data pipelines for production analytical workloads and internal business reporting, ensuring accuracy and understanding of both technical and business contexts.- ClickHouse Management: Manage ClickHouse instances to ensure high performance, cost efficiency, and scalability.- CDC Management: Oversee change data capture feeds from production databases, ensuring smooth ingestion into downstream pipelines.- Data Consistency: Develop and optimize processes to monitor data consistency and accuracy.- Schema Migrations: Handle schema migrations from source databases feeding data through CDC and reflect them if needed on any existing analytical pipeline. And implement processes to ensure efficient schema migrations in the data warehouse.- Technical Support and Communication: Provide clear documentation, tools, and support to help the engineering team with building and using analytical pipelines.- Collaboration: Work closely with data scientists to deploy and scale machine learning models.- Performance Tuning:** Optimize application and query performance using profiling tools.- Problem Solving: Identify and address root causes of issues, considering the broader context.Qualifications- Bachelor's degree in Computer Science, Software Engineering, or a related field, or equivalent experience.- Expertise in relational databases like PostgreSQL, with a focus on performance optimization.- Experience with ClickHouse or other OLAP databases.- 3+ years of data engineering experience.- Ability to work in a fast-paced startup environment with constantly evolving requirements.- Strong skills in data modeling, warehousing, and building ETL pipelines.- Knowledge of batch and streaming data architectures such as Kafka and RedPandas.- Proficiency in Python or other programming languages such as Go, Java, or Scala.- Familiarity with big data tools and frameworks like Spark.- Experience integrating machine learning models into data pipelines.",Malaa Technologies,Senior Data Engineer,https://www.naukrigulf.com/senior-data-engineer-jobs-in-riyadh-saudi-arabia-in-malaa-technologies-3-years-n-cd-20010162-jid-180724501483
Employer ActivePosted 2 days ago,8 - 12 Years,Dhahran,,Bachelor of Science(Computers),"Job DescriptionRoles & ResponsibilitiesJob SummaryWe are seeking a seasoned  Business System Analyst  to serve in the role of  Financial Data Scientist  to join the Digital Solutions & Data Management Division of the Digital Finance Department. Digital Finance Department (DFD) is responsible for the coordination, development, and management of information systems used in financial accounting, treasury, financial planning & forecasting, performance management and the entire suite of digital solutions for the Finance Business line. Digital Implementation Division is responsible for providing program management services for implementation, rollout and support of finance system solutions through digital technologies including advanced analytics, Robotic Process Automation (RPA) and Advanced Analytics technologies including Artificial Intelligence solutions and SAP solutions using Business Warehouse (BW) and Analytics Cloud (SAC). The department personnel are multidisciplinary professionals with key focus on Financial Applications functional experience and IT technical background. The Business System Analyst s primary role is to champion the identification, evaluation, design, coordinate implementation and facilitate rollout of Artificial Intelligence centric solutions in the Finance organization. The analyst will also lead implementation initiatives where required in addition to managing post implementation support.Key Responsibilities:• Utilize a robust value-centric methodology to identify valuable opportunities enabled by AI/ML, Predictive/Prescriptive Analytics, Generative AI, Chatbots, and other technologies.• Leverage best practices to recommend and advocate for the transformation of finance functions with AI.• Conduct exploratory data analysis and leverage AI algorithms to derive value for finance functions, such as forecasting and anomaly detection.• Ideate AI solutions, develop scope, design, and facilitate implementation of digital solutions, and coordinate change management.• Continuously upkeep and train AI models to ensure integrity and traceability.• Design, develop, and implement AI-powered solutions to automate manual tasks, optimize processes, and enhance data-driven decision-making in Financial Accounting, Treasury, Performance management, and Investor Relations.• Collaborate closely with business stakeholders to understand their needs, translate them into technical requirements, and deliver impactful solutions. Assess requirements related to Finance AI use cases; Perform option evaluation; Provide support for implementation.• Develop and maintain machine learning models for tasks such as financial forecasting, fraud detection, anomaly detection, risk assessment, and investor sentiment analysis.• Clean, transform, and analyze large datasets from various sources to ensure data quality and prepare it for modeling.• Stay up-to-date on the latest advancements in AI and machine learning, identify potential applications for the finance function, and propose relevant pilot projects.• Communicate technical concepts and findings effectively to both technical and non-technical audiences.• Participate in cross-functional initiatives to integrate AI and data science into broader business transformation efforts.• Organize and facilitate workshops with different users and consultants to document processes and drive transformation.• Lead the delivery and execution of key digital initiatives. Participate in solutions development through projects and programs, collaborating with business and technology groups.• Maintain, support, and optimize digital solutions.Requirements:• Willingness to relocate to Dhahran, Saudi Arabia. • Hold a Bachelor s degree in Engineering, Computer Science, Mathematics, Statistics, or IT from a recognized and approved program. Possession of an advanced business degree (e.g., MBA) and/or relevant professional certification (e.g., CMA, CFA, CPA) is preferred but not required.• Have six to eight years of experience in Data Science, Artificial Intelligence, and other related advanced analytics implementations for financial systems.• Possess expertise in Python programming languages and libraries such as NumPy, pandas, scikit-learn, TensorFlow, or PyTorch.• Have proficiency in UI programming, particularly with React.• Demonstrate skills to leverage Google Cloud or Azure Cloud for advanced analytics, which is desirable.• Showcase a thorough understanding of various aspects of implementing AI systems in Finance, including articulation and measurement of benefits, evaluation of technical and execution options, critical success factors, and project risks.• Have project experience implementing AI solutions and the ability to analyze business requirements, evaluate and recommend technical options, and support the execution process for implementing such solutions. Preference for involvement in hands-on technical solution management.",Client of Matcha Talent,Senior Business Systems Analyst,https://www.naukrigulf.com/senior-business-systems-analyst-jobs-in-saudi-arabia-in-client-of-matcha-talent-8-to-12-years-n-cd-50000097-jid-240724500701
Employer ActivePosted 1 day ago,4 - 8 Years,Riyadh,,Bachelor of Science(Computers),"Job DescriptionRoles & Responsibilities This position is on behalf of one of our client companies, not a direct role with ImployWe seek a visionary and results-oriented Chief Data Officer (CDO) to shape our data strategy and unlock its full potential. You'll play a pivotal role in transforming data into actionable insights, guiding data governance, and fostering a data-driven culture across the organization.Responsibilities:• Develop and implement a comprehensive data strategy aligned with business goals.• Oversee data governance, ensuring data quality, security, and compliance.• Lead the identification, acquisition, and integration of new data sources.• Champion data analytics and drive the use of data-driven decision making.• Manage a team of data scientists, engineers, and analysts.• Build strong relationships with key stakeholders across the business.Qualifications:• Proven track record of developing and implementing successful data strategies.• Deep understanding of data governance, data quality, and data security best practices.• Expertise in data management technologies (e.g., data warehouses, data lakes).• Strong analytical and problem-solving skills.• Excellent communication and leadership abilities.Benefits:• Competitive salary and benefits package.• Opportunity to lead a high-impact role shaping the future of the company.• Collaborative and dynamic work environment.• Continuous learning and development opportunities.Be the architect of our data-driven future! We offer a rewarding career for a passionate and experienced CDO.Job Info:Job Category: TechnologyJob Level: Senior Manager / Senior AdvisorSet Alerts for similar jobs",Client of imploy,Chief Data Officer,https://www.naukrigulf.com/chief-data-officer-jobs-in-riyadh-saudi-arabia-in-client-of-imploy-4-to-8-years-n-cd-50000292-jid-250724500207
Posted on 17 Jul,4 - 7 Years,Riyadh,,Bachelor of Technology/Engineering,"Job DescriptionRoles & ResponsibilitiesJob Description:We are looking for an experienced and detail-oriented Senior Data Engineer to join our team. As a Senior Data Engineer, you will play a crucial role in designing, implementing, and optimizing our data infrastructure, ensuring that our systems are effective, scalable, and maintainable.Responsibilities Data Architecture and Design: Develop and maintain scalable data architectures and pipelines to support data integration, processing, and analysis. Data Integration: Design and implement data ingestion processes from various data sources into our data warehouse. ETL/ELT Processes: Build robust ETL/ELT processes using tools like Apache Airflow, Talend, or similar, ensuring data quality and integrity. Database Management: Manage and optimize databases, ensuring high availability, performance, and security. Data Quality and Governance: Implement data quality checks, data profiling, and data governance practices to ensure the accuracy and reliability of data. Collaboration: Work closely with data scientists, analysts, and business stakeholders to understand data requirements and translate them into technical solutions. Documentation: Create and maintain comprehensive documentation for data processes, architectures, and best practices. Performance Optimization: Optimize and tune data processes for improved performance and scalability.Requirements Experience: Minimum 4 years of experience in a Data Engineering role, with a strong understanding of data architecture, ETL processes, and database management. Technical Skills: Proficiency with SQL, Python, and data engineering tools such as Apache Kafka, Apache Spark, and Hadoop. Database Expertise: Hands-on experience with relational and non-relational databases like PostgreSQL, MySQL, MongoDB, etc. Cloud Platforms: Experience with cloud platforms such as AWS, Google Cloud, or Azure including services like Redshift, BigQuery, or Snowflake. Data Warehousing: Expertise in data warehousing concepts and best practices. Problem-Solving Skills: Strong analytical and problem-solving skills, with the ability to troubleshoot complex data issues. Communication: Excellent verbal and written communication skills in English. Team Collaboration: Proven ability to work collaboratively in a team-oriented environment.Preferred QualificationsExperience with Docker and Kubernetes for containerization and orchestration.Familiarity with machine learning workflows and data science tooling.Knowledge of data visualization tools such as Tableau, PowerBI, or Looker.If you are a proactive and passionate data engineer with a commitment to excellence, we encourage you to apply and join our dynamic team. Together, we can build a robust data infrastructure that drives informed business decisions and innovative solutions.",NICE ONE |,Senior Data Engineer,https://www.naukrigulf.com/senior-data-engineer-jobs-in-riyadh-saudi-arabia-in-nice-one-4-to-7-years-n-cd-20010162-jid-180724501303
Posted on 10 Jul,10 - 12 Years,Riyadh,,Bachelor of Technology/Engineering,"Job DescriptionRoles & ResponsibilitiesTools & Solutions is an A-to-Z Business Solutions, initiating win-win business solutions for over 500 companies, including governmental organizations, for the last ten years.In the Data & Innovation department, we design and deploy innovative conceptual Data strategies that help our clients overcome business challenges. We collaborate with multiple clients to provide services and products in the field of data governance and management. We provide consulting services and Technology implementation accompanied by a set of tools that we have developed to help our clients achieve their desired goals.We are currently seeking a highly skilled Data Engineer to join our team and contribute to our success. The ideal candidate will play a crucial role in designing, developing, and maintaining scalable data projects. This individual will work closely with stakeholders to ensure data integrity and optimize performance, supporting our business intelligence and analytics needs.Responsibilities:Design, develop, and maintain scalable data pipelines and architectures.Collect, process, and analyze large datasets from various sources to support business intelligence and analytics.Implement data integration solutions to ensure seamless data flow between systems and databases.Collaborate with data scientists, analysts, and other stakeholders to understand data needs and deliver high-quality data solutions.Ensure data quality and integrity by performing regular data cleansing and validation.Optimize and tune database performance to handle large volumes of data efficiently.Develop and enforce data security and privacy policies to protect sensitive information.Monitor and troubleshoot data pipelines, addressing any issues or bottlenecks that arise.Create and maintain comprehensive documentation of data processes, pipelines, and architectures.Stay updated with emerging technologies and industry best practices in data engineering.Requirements:Degree in Computer Science, Information Technology, or similar degree.Bachelor s degree in computer science, Information Technology, or a related field.Proven experience as a Data Engineer or in a similar role.Strong proficiency in SQL and experience with relational databases (e.g., My SQL, Postgre SQL).Experience with big data technologies (e.g., Hadoop, Spark, Kafka).Proficiency in programming languages such as Python, Java, or Scala.Experience with data warehousing solutions Familiarity with ETL tools and processes.Knowledge of data modeling, data architecture, and data governance principles.Strong problem-solving skills and attention to detail.Excellent communication skills, both verbal and written, in English and Arabic Preferable.",Tools & Solutions,Data Engineer,https://www.naukrigulf.com/data-engineer-jobs-in-riyadh-saudi-arabia-in-tools-solutions-10-to-12-years-n-cd-20010162-jid-110724501794
Posted on 8 Jul,7 - 10 Years,Riyadh,,Bachelor of Technology/Engineering,"Job DescriptionRoles & ResponsibilitiesPosition Overview: We are seeking a skilled Azure Data Engineer to join ourteam. The ideal candidate will be responsible for designing, implementing, andmaintaining data solutions on the Azure platform. This role requires a deepunderstanding of Azure data services, strong data engineering skills, and theability to work with cross-functional teams to meet business requirements.Key Responsibilities• Design and develop scalable data pipelines and dataintegration solutions using Azure Data Factory, Azure Databricks, and AzureSynapse.• Implement data storage solutions using Azure SQL Database,Azure Data Lake, and Azure Cosmos DB.• Ensure data quality and integrity through robust datavalidation and cleansing processes.• Optimize data solutions for performance, scalability, andcost-efficiency.• Collaborate with data analysts, data scientists, andbusiness stakeholders to understand data requirements and deliver effectivesolutions.• Develop and maintain ETL processes to extract, transform,and load data from various sources.• Monitor and troubleshoot data pipelines to ensure reliableand timely data delivery.• Document data engineering processes and solutions forreference and compliance.Required Skills• + 7 years of experience• Proficiency in Azure data services, including Azure DataFactory, Azure Databricks, Azure Synapse, and Azure SQL Database.• Strong SQL skills for data manipulation and queryoptimization.• Experience with data modeling and database design.• Knowledge of ETL processes and tools.• Familiarity with data storage solutions such as Azure DataLake and Azure Cosmos DB.• Understanding of data governance and data security bestpractices.• Ability to work collaboratively with cross-functional teams.• Excellent problem-solving skills and the ability totroubleshoot data issues.• Strong communication skills to document processes andinteract with stakeholders.• Experience with programming languages such as Python orScala, Spark pool.",Client of Proven SA,Data Engineer,https://www.naukrigulf.com/data-engineer-jobs-in-riyadh-saudi-arabia-in-client-of-proven-sa-7-to-10-years-n-cd-10050507-jid-090724500887
Posted on 3 Jul,5 - 10 Years,Riyadh,,Bachelor of Technology/Engineering,"Job DescriptionRoles & ResponsibilitiesWe are seeking a skilled and innovative Big Data Engineer tojoin our dynamic team. The Big Data Engineer will be responsible for designing,developing, and maintaining our big data infrastructure, ensuring the efficientprocessing and analysis of large datasets. The ideal candidate should have astrong background in big data technologies, and data engineering, and a passionfor leveraging data to drive business insights. If you are a creative problemsolver with expertise in big data technologies, we invite you to apply for thisexciting opportunity.Key Responsibilities:• Designand implement scalable and efficient big data architectures. • Evaluateand select appropriate big data technologies based on projectrequirements. • Developdata pipelines for the ingestion and processing of large datasets. • Ensuredata quality and reliability throughout the processing flow. • Implementand optimize data storage solutions for structured and unstructured data. • Manageand maintain big data storage infrastructure. • Performdata transformation and manipulation using big data processingframeworks. • Optimizedata transformation processes for performance and efficiency. • Identifyand resolve performance bottlenecks in big data systems. • Implementoptimizations for data processing speed and resource utilization. • Collaboratewith data scientists, analysts, and other stakeholders to understand datarequirements. • Workclosely with IT teams to integrate big data solutions into the overalltechnology ecosystem. • Implementsecurity measures to protect big data systems and sensitive information. • Ensurecompliance with data privacy and regulatory requirements. Qualifications:• Minimumof 5 years of experience in big data engineering or a related field. • Bachelor'sor Master's degree in Computer Science, Information Technology, or arelevant field. Skills and Competencies:• Proficiencyin big data technologies such as Apache Hadoop, Spark, and Kafka. • Experiencewith distributed computing and storage systems. • Strongprogramming skills in languages like Java, Python, or Scala. • Problem-solvingand analytical thinking. Job Info:Job Category: TechnologyJob Level: Senior",Client of imploy,Big Data Engineer,https://www.naukrigulf.com/big-data-engineer-jobs-in-riyadh-saudi-arabia-in-client-of-imploy-5-to-10-years-n-cd-50000292-jid-040724501889
Posted on 3 Jul,3 - 4 Years,Riyadh,,Bachelor of Science(Computers),"Job DescriptionRoles & ResponsibilitiesWe are seeking an experienced and innovative AI Solutions Architect to lead the design and implementation of AI solutions for our clients.Responsibilities:Collaborate with clients to understand their business objectives, technical requirements, and AI use cases.Design end-to-end AI solutions that address clients' needs and leverage the latest advancements in AI technology.Develop architecture blueprints, solution designs, and technical specifications for AI projects.Identify and evaluate AI technologies, frameworks, and platforms to support solution development.Lead technical discussions and presentations with clients to explain solution designs and benefits.Work closely with cross-functional teams, including data scientists, engineers, and project managers, to implement AI solutions.Provide technical guidance and support to development teams throughout the project lifecycle.Ensure alignment of AI solutions with industry best practices, security standards, and regulatory requirements.Stay informed about the latest trends and developments in AI technology and provide recommendations for continuous improvement.Collaborate with sales and business development teams to support pre-sales activities and client engagements.Qualifications:Bachelor's or master's degree in Computer Science, Engineering, or related field.years of experience in AI solution architecture, machine learning, or a related field.Strong understanding of AI technologies, including machine learning, deep learning, natural language processing, and computer vision.Experience designing and implementing AI solutions in real-world environments.Proficiency in programming languages such as Python, Java, or C++.Experience with AI frameworks and platforms such as TensorFlow, PyTorch, or Azure ML.Strong problem-solving and analytical skills.Excellent communication, presentation, and stakeholder management skills.Ability to work effectively in a fast-paced, dynamic environment.Job Info:Job Category: GeneralJob Level: Senior",Client of imploy,AI Solutions Architect,https://www.naukrigulf.com/ai-solutions-architect-jobs-in-riyadh-saudi-arabia-in-client-of-imploy-3-to-4-years-n-cd-50000292-jid-040724501223
Posted 30+ days ago,1 - 8 Years,Eastern Province,,Any Graduation,"Job DescriptionRoles & ResponsibilitiesAUSTRALIA/NZ CAMPAIGN - MEGA WORKSHOPWe will be running an extensive campaign for jobs in Saudi Arabia during the last week in April. Preference for these jobs, is for Australia and New Zealand natives, or people currently based in Australia and New Zealand.We are seeking a seasoned ""Business System Analyst"" to serve in the role of ""Financial Data Scientist"" to join the Digital Solutions & Data Management Division of the Digital Finance Department.Digital Finance Department (DFD) is responsible for the coordination, development, and management of information systems used in financial accounting, treasury, financial planning & forecasting, performance management and the entire suite of digital solutions for the Finance Business line. Digital Implementation Division is responsible for providing program management services for implementation, rollout and support of finance system solutions through digital technologies including advanced analytics, Robotic Process Automation (RPA) and Advanced Analytics technologies including Artificial Intelligence solutions and SAP solutions using Business Warehouse (BW) and Analytics Cloud (SAC). The department personnel are multidisciplinary professionals with key focus on Financial Applications functional experience and IT technical background.The Business System Analyst's primary role is to champion the identification, evaluation, design, coordinate implementation and facilitate rollout of Artificial Intelligence centric solutions in the Finance organization. The analyst will also lead implementation initiatives where required in addition to managing post implementation support.The successful candidate will:  pursue a robust value centric methodology to identify valuable opportunities enabled by AI/ML, Predictive/Prescriptive Analytics, Generative AI, Chatbots and other technologies  leverage best practices to recommend and advocate transformation of finance functions with AI  conduct exploratory data analysis, leverage AI algorithms to derive value for finance functions, such as for forecasting, anomaly detection etc.  ideate AI solutions, develop scope, design and facilitate implementation of digital solutions, and coordinate change management  Continuous upkeep and training of AI models to ensure integrity and traceability Duties and responsibilitiesYou will be required to perform the following:  Design, develop, and implement AI-powered solutions to automate manual tasks, optimize processes, and enhance data-driven decision-making in Financial Accounting, Treasury, Performance management and Investor Relations.  Work closely with business stakeholders to understand their needs, translate them into technical requirements, and deliver impactful solutions. Assess requirements related to Finance AI uses cases; Perform option evaluation; Provide support for implementation  Develop and maintain machine learning models for tasks such as financial forecasting, fraud detection, anomaly detection, risk assessment, and investor sentiment analysis.  Clean, transform, and analyze large datasets from various sources to ensure data quality and prepare it for modeling.  Stay up-to-date on the latest advancements in AI and machine learning, identify potential applications for the finance function, and propose relevant pilot projects.  Communicate technical concepts and findings effectively to both technical and non-technical audiences.  Participate in cross-functional initiatives to integrate AI and data science into broader business transformation efforts.  Organize and facilitate workshops with different users and consultants to document processes and drive transformation  Lead the delivery and execution of key digital initiatives. Participate in solutions development through projects and programs, collaborating with business and technology groups.  Maintain, support and optimize digital solutions.Minimum requirementsAs the successful candidate you will hold a Bachelor's degree in Engineering, Computer Science, Mathematics, Statistics or IT from a recognized and approved program. Possession of an advanced business degree (e.g. MBA) and/or relevant professional certification (e.g. CMA, CFA, CPA) is preferred but not required.You will have six to eight years' experience in Data Science, Artificial Intelligence and other related advanced analytics implementation of financial systems. Expertise in Python programming languages and libraries such as NumPy, pandas, scikit-learn, TensorFlow, or PyTorch is required. UI programming, such as with React, is required.Skills to leverage Google Cloud or Azure Cloud for advanced analytics is desirable.You will be able to demonstrate a thorough understanding of the various aspects of implementing AI systems in Finance including articulation and measurement of benefits, evaluation of technical and execution options, critical success factors, and project risks.You must have project experience implementing AI solutions and will be able to analyze the business requirements, evaluate and recommend technical options and support the execution process for implementing such solutions. Ability to get involved in hands on technical solution management is preferred.Company Benefits  Permanent Employment on an Indefinite Term Employment Agreement.  Company Incentive Plan: This is a broad-based annual and performance based incentive plan based on company and individual performance, base salary, and length of service during the plan year. The objective of this plan is to drive organizational performance, as well as, recognize and reward your contributions beyond the normal annual merit increases.  Annual repatriation travel allowance: An annual cash payment that more than covers airfare costs to your home country. You have full flexibility to use this payment in any way you choose.  Annual vacation: You can look forward to up to 38 calendar days of paid leave each year. In addition, you'll typically be granted between 9 and 11 days of national public holidays each year.  Severance award: In accordance with the Saudi labor law, a severance award is payable by the company to employees who leave after two years or more of satisfactory service. The severance award is based on length of continuous service and final base pay. The severance award can be a substantial benefit for longer service employees.",Bounty Hunter World,Business Systems Analyst,https://www.naukrigulf.com/business-systems-analyst-jobs-in-dammam-khobar-eastern-province-saudi-arabia-in-bounty-hunter-world-1-to-8-years-n-cd-20010029-jid-180424501302
