,posted,location,jobType,description,name,title,feed,date_of_scrape,Job Role,Job_ind,day,Month,Year,days_ago,experience,Tools,Soft Skills,Industry Skills,education,keyword_count
7,Posted 30+ days ago,Riyadh,Full Time,"Job DescriptionRoles & ResponsibilitiesResponsibility:Support Smart System Operations Manager to fulfill the below responsibilities for smart solutions in smart platform:Manage internal and external resources to provide Lv.2, Lv.3 technical supportPerform testing collaboration with respective partiesProvide general consulting from domain expert perspective on a need basis:Provide recommendations on solution design, sprint planning, and developmentProvide input for IT strategy development and internal operations from domain expert perspectiveOther responsibilities related to operations of smart systemsQualificationRelevant experience: 5 years and aboveBachelor's or Master's degree in Computer Science, Computer Engineering, or a related fieldAt least 10 years of experience in System Design, with at least 5 years of experience in smart platform software architecture, including AI platform, big data platform, incident platform, etc.Strong understanding of system design components, IoT components and various smart platform AI systemsExcellent communication skills and the ability to work effectively in a team environmentStrong understanding of troubleshooting and system debuggingStrong leadership and mentorship skill",OnePoint Consultant DWC LLC,Smart System Expert (IT Expert) –Smart Platform,https://www.naukrigulf.com/smart-system-expert-smart-platform-jobs-in-riyadh-saudi-arabia-in-one-point-human-resource-management-consultants-4-to-8-years-n-cd-83636-jid-180424000049,2024-06-10,DATA ENGINEER,2,10,6,2024,30,4-8,[],"['collaboration', 'communication', 'communication skills', 'design', 'leadership', 'mentorship', 'planning']",['big data'],['bachelor'],1
9,Posted on 15 May,Saudi Arabia,,"Job DescriptionRoles & ResponsibilitiesRole & responsibilitiesJob Description: Data ModelerLocation: Riyadh, Kingdom of Saudi Arabia (KSA)Position Overview: We are looking for a highly skilled Data Modeler to join our team in Riyadh, KSA. The ideal candidate will have more than 5 years of experience in data modeling and database design, with a strong background in developing scalable and efficient data models for complex business environments. Proficiency in Arabic is preferred, along with excellent communication and analytical skills.Key Responsibilities:1. ER Modeling : Design, develop, and maintain conceptual, logical, and physical data models for OLTP systems.2. Dimensional Modeling : Apply dimensional modeling techniques to design data warehouses, data marts, and OLAP cubes for analytical reporting and business intelligence. Develop star schemas, snowflake schemas, and other dimensional models to support complex analysis and querying requirements3. Database Design: Design and optimize relational and non-relational databases to ensure performance, scalability, and reliability. Define data structures, relationships, constraints, and indexing strategies based on best practices and industry standards.4. Collaboration and Communication: Work closely with cross-functional teams including data engineers, business analysts, and software developers to align data modeling efforts with business requirements. Communicate technical concepts and recommendations to non-technical stakeholders in a clear and concise manner.5. Documentation and Knowledge Sharing: Document data models, database designs, and technical specifications to facilitate knowledge transfer and maintain system documentation. Provide training and support to junior team members as needed.Qualifications:• Bachelor's or Master's degree in Computer Science, Engineering, or a related field.• Minimum 5 years of professional experience in data modeling and database design.• Proficiency in data modeling tools such as ERwin, ER/Studio, or PowerDesigner.• Strong understanding of relational database concepts (SQL, normalization, indexing) and dimensional modeling techniques.• Experience with both relational databases (e.g., Oracle, SQL Server, PostgreSQL) and NoSQL databases (e.g., MongoDB, Cassandra, DynamoDB).• Familiarity with data warehouse technologies (e.g., Dimensional Modeling, Data Lake, Big Data) .• Proficiency in SQL for data manipulation and querying.• Ability to work independently and collaboratively in a fast-paced environment.• Proficiency in Arabic language is preferred.• Strong communication and interpersonal skills.",Anthroplace Consulting,Data Modeller,https://www.naukrigulf.com/data-modeller-jobs-in-saudi-arabia-in-anthroplace-consulting-5-to-7-years-n-cd-20010126-jid-150524501064,2024-06-10,DATA ENGINEER,2,10,6,2024,49,5-7,"['snowflake', 'nosql', 'sqlserver', 'cassandra', 'sql', 'oracle', 'mongodb']","['analysis', 'analytical skills', 'collaborative', 'communication', 'design', 'interpersonal skills', 'professional']","['business intelligence', 'data manipulation', 'data modeling', 'database design']","['bachelor', 'master']",8
10,Posted on 29 May,Saudi Arabia,,"Job DescriptionRoles & ResponsibilitiesJob Title: Senior Tableau Developer Location: Riyadh, Saudi Arabia Contract Duration: 6 MonthsJob Overview: We are seeking a highly skilled and experienced Senior Tableau Developer with over 10 years of experience in BI and data visualization for a 6-month contract role based in Riyadh, Saudi Arabia. The ideal candidate will be responsible for leading the development, maintenance, and management of advanced reporting, analytics, dashboards, and other BI solutions using Tableau. This role demands a deep understanding of data visualization best practices, strong technical acumen, and the ability to transform complex data into actionable insights.Key Responsibilities:Leadership and Strategy:  Technical Leadership: Lead and mentor a team of Tableau developers, providing technical guidance and best practices.BI Strategy Development: Develop and implement BI strategies that align with business goals, leveraging Tableau's capabilities.Advanced Tableau Development:  Complex Dashboard Design: Design, develop, and maintain highly interactive and visually compelling Tableau dashboards and reports tailored to meet strategic business requirements.Innovative Visualization Techniques: Utilize advanced Tableau features such as parameters, calculated fields, groups, sets, and advanced chart types to provide deep insights and intuitive user experiences.Performance Tuning: Optimize the performance of Tableau dashboards, ensuring quick load times and efficient data retrieval for large datasets.Data Architecture and Integration:  Data Source Integration: Connect Tableau to various sophisticated data sources (SQL databases, cloud services, Big Data platforms) ensuring seamless data integration.Advanced ETL Processes: Design and implement complex ETL processes to transform raw data into clean, usable datasets for Tableau.Data Modeling and Warehousing: Develop robust data models and data warehousing solutions to support scalable Tableau reports and dashboards.Collaboration and Stakeholder Management:  Requirement Analysis: Collaborate with senior business stakeholders to gather and understand high-level requirements, translating business needs into detailed technical specifications for Tableau solutions.Cross-functional Team Collaboration: Work closely with data engineers, analysts, other developers, and IT teams to integrate Tableau solutions within the broader data architecture.Security and Compliance:  Data Governance: Ensure data accuracy, consistency, and security across all Tableau reports and dashboards by implementing and adhering to strict data governance and security best practices.Regulatory Compliance: Ensure that all BI solutions comply with relevant industry standards and regulations (e.g., GDPR, CCPA).Support and Training:  End-user Training: Provide advanced training and support to end-users to maximize the utility and adoption of Tableau dashboards.Documentation: Maintain comprehensive documentation of Tableau development processes, data sources, workflows, and best practices.Continuous Improvement:  Stay Updated: Keep abreast of the latest trends and advancements in Tableau and data visualization technologies.Innovation and Improvement: Identify opportunities for process improvements and implement enhancements to optimize the performance, scalability, and usability of Tableau solutions.Qualifications:• Education: Bachelors or Master s degree in Computer Science, Information Technology, Data Science, or a related field.• Experience: Minimum of 10 years of experience in BI and data visualization, with at least 5 years of focused experience as a Tableau Developer.• Technical Expertise: • Advanced proficiency in Tableau Desktop and Tableau Server.• Strong SQL skills and extensive experience with relational databases (e.g., MySQL, SQL Server, Oracle).• In-depth knowledge of data warehousing concepts and complex ETL processes.• Proficiency in data modeling and preparation tools.• Analytical Skills: Exceptional analytical and problem-solving skills, with the ability to interpret complex data and translate it into actionable insights.• Communication Skills: Strong communication and interpersonal skills, with the ability to collaborate effectively with senior cross-functional teams and stakeholders.Preferred Skills:• Additional BI Tools: Experience with other BI tools such as Power BI, QlikView, or Looker.• Programming Languages: Advanced knowledge of programming languages such as Python or R for data analysis and automation.• Cloud Platforms: Experience with cloud-based BI solutions and data sources (e.g., AWS, Azure, Google Cloud).• Agile Methodologies: Experience leading projects in an Agile/Scrum environment.• Certifications: Tableau certification (e.g., Tableau Desktop Specialist, Tableau Desktop Certified Associate).",Royal Cyber,Tableau Developer,https://www.naukrigulf.com/tableau-developer-jobs-in-saudi-arabia-in-royal-cyber-10-to-20-years-n-cd-20010126-jid-290524500132,2024-06-10,DATA ENGINEER,2,10,6,2024,35,10-20,"['azure', 'python', 'sqlserver', 'powerbi', 'aws', 'sql', 'tableau', 'mysql', 'cloud']","['accuracy', 'analysis', 'communication', 'focus', 'insight', 'interpersonal skills', 'problem-solving', 'responsible']","['cloud', 'data analysis', 'data architecture', 'data governance', 'data integration', 'data modeling', 'data visualization', 'data warehousing', 'ml', 'problem-solving skills', 'transform']",['bachelor'],14
11,Posted 30+ days ago,Jeddah,,"Job DescriptionRoles & ResponsibilitiesWe are looking for a passionate Data Analyst.The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data Analyst will develop queries, reports, dashboards, and troubleshoot data issue. They will also monitor performance and quality control plans to identify improvements. Data Analyst will assist business departments in interpreting information, reports and dashboards and respond to their requests/questions. In addition, Data Analyst will assist data scientists in different AI projects, data engineers in requirements related to data preparation/management/governance, and data quality assurance officers in data integrity and cleansing activities.Responsibilities• Identify and acquire data from different data sources (production, warehouse, external sources) and organize the data in usable formats.• Develop and implement data collection systems, pipelines, data analytics and other strategies that optimize statistical efficiency and quality.• Interpret data, analyze results using statistical techniques, create visualizations of data and provide reports, and dashboards.• Identify, analyze, and interpret trends or patterns in complex data sets.• Use BI tools to analyze data, and extract useful business insights.• Filter and  clean  data by reviewing reports, dashboards, and performance indicators to locate and correct problems • Locate and define new process improvement opportunities.• Supporting business departments and responding to their data-related requests and keeping track of these requests.• Supporting data engineers in identifying and revising reporting requirements.• Supporting initiatives for data integrity and normalization.• Training end-users on new reports and dashboards.• Work with management to prioritize business and information needs.",Salla,Data Analyst,https://www.naukrigulf.com/data-analyst-jobs-in-jeddah-saudi-arabia-in-salla-2-to-4-years-n-cd-10008634-jid-231123500253,2024-06-10,DATA ENGINEER,2,10,6,2024,30,2-4,[],"['analysis', 'design', 'initiative', 'insight', 'integrity', 'passion']",['extract'],['bachelor'],4
12,Posted 30+ days ago,Riyadh,,"Job DescriptionRoles & ResponsibilitiesJob Role:Quant, a pioneering Saudi enterprise, leads the charge in digital transformation by leveraging the vast array of data resources available in the fourth industrial revolution. We are deeply committed to delivering exceptional Data Science and AI SaaS products and solutions, with a specialized focus on the real estate sector through Suhail and the retail sector through Fruits360. Our talented dream team possesses unique expertise, enabling us to achieve a track record of marvels, from analyzing more than a trillion data records to serving hundreds of clients across more than 10 industries. Our strategic international and local partnerships alongside our expertise have positioned us as trailblazers in the global transition towards data-driven economies.The core of Quant is Data Science, and hence it requires highly capable individuals that can deliver the level of quality our clients have grown accustomed to, and to have a mindset that s highly agile, critical and curious. The Data Scientist is required to collect, analyze and interpret large data sets in order to develop data-driven solutions, insights, and visualizations for difficult business challenges.Job Responsibilities:• Collaborate with key stakeholders to understand their needs and challenges through their data in order to devise potential solutions.• Mine and analyze data from stakeholders  databases in alignment with their requirements to conclude optimization recommendations.• Research and develop statistical learning models for data analysis.• Implement new statistical or other mathematical methodologies as needed for specific models or analysis.• Optimize joint development efforts through appropriate database use and project design.• Enhancing data collection procedures to include information that is relevant for building analytic systems.• Creating automated anomaly detection systems and constant tracking of its performance.• Documenting reports and developing presentations that include the project deliverables, findings and recommendations with key decision makers.• Extending company s data with third party sources of information when needed.• Staying up-to-date with the latest technology trends.Requirements  Academic Prerequisites:Bachelors and/or Master s degree in Statistics, Mathematics or another quantitative field and/or Computer Science.Skills Required:• proficiency in python.• proficiency in data science frameworks such as scikit-learn, ts-learn, scipy, tensorflow, pytorch, etc• Has sensible statistical knowledge.• Experience in data visualization.• Experience in analytics• Good grasp of data engineering concepts and tools.Skills Required:• Experience in geospatial data and analytics.• Experience and time series analytics.• Experience in unsupervised machine learning.• Experience in transactional databases.• Experience in modelling.• Experience in data engineering tasks.",Quant,Data Scientist,https://www.naukrigulf.com/data-scientist-jobs-in-riyadh-saudi-arabia-in-quant-4-to-5-years-n-cd-40000787-jid-130324500096,2024-06-10,DATA ENGINEER,2,10,6,2024,30,4-5,"['python', 'tensorflow', 'pytorch', 'scikit-learn']","['analysis', 'design', 'focus', 'insight']","['data analysis', 'data visualization', 'machine learning', 'transform']",[],4
13,Posted 3 days ago,Jeddah,,"Job DescriptionRoles & ResponsibilitiesSalla, a leading e-commerce platform, is seeking a detail-oriented and highly motivated Data Quality Assurance Specialist to join our team. As a Data Quality Assurance Specialist, you will be responsible for ensuring the accuracy and integrity of our data, as well as implementing and maintaining data quality best practices. You will work closely with the data team to identify and resolve data quality issues, develop data quality metrics and reports, and provide recommendations for improvement. The ideal candidate has a strong attention to detail, excellent analytical skills, and a passion for maintaining high data quality standards. Responsibilities• Develop and implement data quality assurance strategies and processes.• Monitor and analyze data quality across various data sources and systems.• Identify and resolve data quality issues and inconsistencies.• Create and maintain data quality documentation and procedures.• Collaborate with data engineers and data analysts to improve data quality.• Develop and implement data validation and cleansing procedures.• Design and generate data quality reports and metrics.• Communicate data quality issues and recommendations to stakeholders.• Stay up-to-date with industry best practices and emerging trends in data quality assurance.",Salla,Data Quality Assurance Specialist,https://www.naukrigulf.com/data-quality-assurance-specialist-jobs-in-jeddah-saudi-arabia-in-salla-2-to-5-years-n-cd-10008634-jid-070624500481,2024-06-10,DATA ENGINEER,2,10,6,2024,3,2-5,[],"['accuracy', 'analytical skills', 'attention to detail', 'integrity', 'motivated', 'passion', 'responsible']",['metrics'],['bachelor'],1
14,Posted on 24 May,Riyadh,,"Job DescriptionRoles & ResponsibilitiesKEY ACCOUNTABILITIES:DescriptionPerformance IndicatorsThe general duties of the Lead Engineer, Cost Estimating include:• Assists in the coordination of execution, schedule, costing, estimating and scoping strategies for proposed projects and in the development and preparation of project specific documentation, standards and specifications.• Assist with the management of the Assurance group and the department, including strategic planning, budgets, staff requirements, work schedules, and the preparation of progress and management reports, and meeting Department and BU goals and KPIs, but with a focus on managing the department budget and tracking actuals against the Business plan.• Assists with the scoping and preparation of tenders to appoint consultants to assist SPD with project studies; assists with the subsequent appointment and management of consultants, including monitoring the study budget and providing guidance to consultants, reviewing and assessing the capital and operating cost estimates compiled by them.• Assists with Risk Management. Responsible for the management of the department risk related to budgets and cost estimating and ensures that risks identified are addressed during the studies. • Promotes and ensures adherence to the corporate policies and procedures (HR, Procurement, Financials, HSE) and management systems (MSHEM and MCIS) • Assists with the Assurance group and the department resource planning.• Manages updating of cost estimates and budgets subject to change of scope, schedule, bids, market conditions and department workload and related activities. • Prepare and present conceptual, preliminary and detailed cost estimates for projects (for the different stages of a project over its lifecycle) and studies and other activities undertaken by SPD. • Prepare and/or review cost and schedule estimates for the activities of consultants and other services providers that assist the department with study and related work.• Prepare and/or review cost and schedule estimates for study and related work planned and/or executed by the department.• Establish and maintain a cost database for SPD. The database will be used to provide input to and benchmark for project and study cost estimates and provide input for compiling and managing the department budget.• The cost database will also contain labor and material costs for study and construction activities, related time activities and will be updated on a continuous basis as predicted costs actualize or new data is acquired.• Establish and maintain a preferred vendor and service provider list for SPD.• Prepare, price and/or review of Bills of Quantity (BOQ) or material take-offs from engineering documentation and 3D-models, as required for bids or estimating costs.• Assist Procurement with obtaining bids and quotes from construction contractors, subcontractors or subconsultants, vendors, service and general/specialist suppliers, both to appoint such, purchase goods or provide input for cost estimates. The annual KPIs to monitor the performance of the Lead Engineer against his key accountabilities will be selected and set from the following list:• Assurance, Compliance:BU, Mngt and customer feedback on Project compliance. Validation cycle time.• Business Plan: Adherence to planned project budgets and schedules.Efficient change mngt.Achieving Milestones.• Validation, meetings, and reviews:Action (from meetings, workshops) turnaround time.Peer, Customer and Mngt feedback on efficiency, collaboration.• Risk: Effective risk mngt for the project and relevant study stage with timely mitigation and close out• EDMS and Database Set up and use of corporate EDMS for all project documentation.Set up and maintain the cost database.Monitoring deliverables.• SafetyDevelops safe working habits.Complies with EHSS policy and practices.• IndividualOngoing training.Professionalism, feedback from peers, customers and mngt.Quality and timely production of deliverables.COMMUNICATIONS & WORKING RELATIONSHIPS:Sustained communication, interaction, engagement and reporting with peers, management and other stakeholders within the department, BM&NM BU and Ma aden.Similarly will be required to interact and communicate periodically with consultants, contractors, and service providers, and all project stakeholders regarding the project and study execution and progress.Display the ability to communicate in person, in writing, or by telephone or e-mail, or other approved communication methods.Be skilled in participating in, facilitating and conducting professional, clear and concise verbal communications, meetings and workshops.Display the ability to work in, and lead as required, multi-disciplinary teams with both external and internal resources.Job relevant information (BOUNDARIES & DECISION-MAKING AUTHORITY):Develops project specific execution plans, work procedures and methodologies to ensure optimal personal and team performance in accordance with established practices, corporate and industry requirements and professional standards. Displays the ability to work independently and responsibly with diligence and minimum oversight within the bounds of the approved corporate and departmental authority matrix.Is able to travel and spend time away from the departmental office, typically on mine sites or in third party offices.Completed assignments are subject to validation and review by others, including peers and management.Perform all regular or ad hoc duties as per the assigned project charter, or as directed by management.  QUALIFICATIONS, EXPERIENCE & SKILLS:The qualifications, skills, knowledge and experience required to successfully deliver the duties of the Principle Engineer: Cost Estimator and Data Management include:• Mandatory bachelor s degree or equivalent tertiary qualification in engineering• Additional qualifications, training and/or experience in Estimating, Financial Analysis, Project Management and Controls, Digitization, and database management are recommended.• At least 7-10 years estimating, project, study, and mining experience, with a preference for specific experience in capital estimating for base metals and minerals projects.• Computer literate, with a working knowledge of scheduling and engineering software, cost estimating software and corporate enterprise systems• Proficient in English, both for verbal and written communications.",Ma'aden Aluminium Company (MAC),"Lead Engineer, Cost Estimator & Data Management II",https://www.naukrigulf.com/lead-engineer-cost-estimator-data-management-ii-jobs-in-riyadh-saudi-arabia-in-ma-aden-aluminium-company-7-to-10-years-n-cd-10002084-jid-240524500052,2024-06-10,DATA ENGINEER,2,10,6,2024,40,7-10,[],"['collaboration', 'communication', 'coordination', 'focus', 'planning', 'professional', 'verbal communication', 'written communication']",['monitoring'],[],1
15,Posted 30+ days ago,Riyadh,,"Job DescriptionRoles & ResponsibilitiesThis is a remote position.Job Role:Quant, a pioneering Saudi enterprise, leads the charge in digital transformation by leveraging the vast array of data resources available in the fourth industrial revolution. We are deeply committed to delivering exceptional Data Science and AI SaaS products and solutions, with a specialized focus on the real estate sector through Suhail and the retail sector through Fruits360. Our talented dream team possesses unique expertise, enabling us to achieve a track record of marvels, from analyzing more than a trillion data records to serving hundreds of clients across more than 10 industries. Our strategic international and local partnerships alongside our expertise have positioned us as trailblazers in the global transition towards data-driven economies.We are a dynamic and forward-thinking organization committed to leveraging data-driven initiatives to shape the future. Join our team and play a pivotal role in driving our data strategy forward.Key Responsibilities:• Identify and integrate data sources to meet business stakeholder requirements.• Address data quality issues in collaboration with data source owners.• Deploy advanced algorithms, analytics programs, and statistical methods.• Perform Extract, Transform, Load (ETL) operations to prepare data for analysis.• Design and maintain scalable data pipelines in Azure cloud environment.• Integrate new data management technologies and tools.• Build datasets to support data-driven insights and decision-making.• Orchestrate workflows using Apache Airflow for efficient data pipeline execution.• Develop customized software components and analytics applications.• Collaborate with colleagues to ensure a flexible and scalable data platform.• Maintain project documentation.RequirementsRequirements & Preferred Certifications:• Bachelor's and/or Master s degree in Computer Science or related field.• Relevant certifications are preferred.Preferred Skillset:• 5+ years of experience in data engineering roles, with a proven track record of delivering complex projects.• Familiarity with data architecture and big data technologies.• 5+ years of experience in Python(OpenCV, Pandas, NumPy, PySpark), C#(Entity framework and API Integration) , and web frameworks(.NET).• 5+ years of experience in Databases (SQL: Microsoft SQL Server, PostgreSQL, MySQL; NoSQL: MongoDB, Elasticsearch)• 2+ years of experience in Apache Airflow.• Technical writing experience for documentation.• Alteryx experience is plus.• Experience with machine learning is plus.• Data Visualization Tools: Tableau, PowerBI experience is a plus.Preferred Personal Qualities:• Agile and adaptable mindset.• Critical and logical thinking abilities.• Innovation and forward-thinking approach.• Pragmatism and passion for data.• Commitment to professional growth.• Ability to thrive in a diverse work environment.• Proficiency in English and Arabic (speaking, writing, and reading)."",""Work_Experience"":""4-5 years"",""",Quant,Data Integration Engineer,https://www.naukrigulf.com/data-integration-engineer-jobs-in-riyadh-saudi-arabia-in-quant-2-to-5-years-n-cd-40000787-jid-290224500438,2024-06-10,DATA ENGINEER,2,10,6,2024,30,2-5,"['azure', 'sqlserver', 'tableau', 'pandas', 'numpy', 'cloud', 'sql', 'postgresql', 'mysql', 'mongodb']","['analysis', 'collaboration', 'decision-making', 'focus', 'initiative', 'insight', 'organization', 'passion', 'professional']","['big data', 'cloud', 'data architecture', 'data pipelines', 'machine learning', 'transform']",['bachelor'],12
16,Posted 30+ days ago,Saudi Arabia,,"Job DescriptionRoles & ResponsibilitiesThe Sales & Operations Planning Division s (S&OP) charter is to optimize crude allocation and the operations of global manufacturing facilities in order to maximize revenue, increase profitability, and capture international market opportunities. The division also acts as the linear programming (LP) gatekeeper for wholly owned refineries and the integrated global MPIMS model, which is used for optimizing global crude allocation and exploration of new international markets and integration options. Data scientist is to analyze and structure large amounts of raw live and historical data, build algorithms and solutions around the data to drive decision making within the company. This role will be at the core of the forecasting and predictive digital strategy of the company, to support the development of state-of-the-art solution for the Downstream Digital Center. In this role, the data scientist should be highly analytical, with strong skills in analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. The position requires in-depth knowledge of research, machine learning, artificial intelligence and complex algorithmic development. The data scientists will work as part of the Technical Support team of the Downstream Digital Center under Fuels. They will be working on developing solutions and algorithms for the whole downstream business. The solutions will have cross downstream entities scope and will be relying on a database consolidating all downstream entities live and historical data. The solutions developed will have a high impact, as they will drive collaboration and decision making, for day-to-day operations as well as long-term business development. The Downstream Digital Center Technical Support team will be interacting with all the downstream entities to collect their solution request. The Technical Support team will also be interacting and leveraging the other SAO IT and technical entities for support in developing the solutions.Duties & ResponsibilitiesData Scientist Job Responsibilities:• Formulates and leads guided, multifaceted analytic studies against large volumes of data.• Interprets and analyzes data using exploratory mathematic and statistical techniques based on the scientific method.• Coordinates research and analytic activities utilizing various data points (unstructured and structured) and employ programming to clean, massage, and organize the data.• Experiments against data points, provide information based on experiment results and provide previously undiscovered solutions to command data challenges.• Leads all data experiments tasked by the Data Science Team.• Coordinates with Data Engineers to build data environments providing data identified by Data Analysts, Data Integrators, Knowledge Managers, and Intel Analysts.• Develops methodology and processes for prioritization and scheduling of projects.• Analyzes problems and determines root causes.• Defines company data assets (data models), spark, sparkSQL, and hiveSQL jobs to populate data models.• Works closely with all business units and engineering teams to develop strategy for long term data platform architecture.Data Scientist Qualifications / Skills:• Advanced analytical knowledge of data• Conducting big data analysis• Data conditioning• Programming advanced computing• Developing algorithms• Developing software and data models• Executing predictive analyticsMinimum Requirements• Master s degree in Operations Research, Industrial Engineering, Applied Mathematics, Statistics, Physics, Computer Science, or related fields• 5-7 years of professional experience• Proficient with one or more programming languages (Java, C++, Python, R, etc.)• Demonstrated experience applying data science methods to real-world data problems• Experience utilizing visualization tools to take advantage of the growing volume of available information",Saudi Aramco,Downstream Data Scientist,https://www.naukrigulf.com/downstream-data-scientist-jobs-in-saudi-arabia-in-saudi-aramco-5-to-7-years-n-cd-10000003-jid-290124500572,2024-06-10,DATA ENGINEER,2,10,6,2024,30,5-7,"['python', 'spark']","['analysis', 'collaboration', 'decision making', 'prioritization', 'problem-solving', 'professional', 'research']","['big data', 'data analysis', 'machine learning', 'problem-solving skills', 'statistics']",['bachelor'],4
17,Posted 30+ days ago,Riyadh,,"Job DescriptionRoles & ResponsibilitiesAbout the Role:We are seeking a skilled and experienced Data Intelligence Manager to join our team and drive strategic data projects for our Commercial team. In this role, you will work closely within the area of Revenue Management & WorkForce Management to conduct various analyses to identify opportunities for data-driven insights and deliver actionable recommendations.Responsibilities:• Act as the primary point of contact for the Revenue Management & WorkForce Management business unit regarding their data needs.• Develop and execute analytical projects that leverage internal and external data sources to deliver insights and recommendations to drive business results.• Lead data projects from concept to delivery, including data requirements gathering, data modeling, analysis, visualization, with a key focus on deriving actionable insights and making data-driven recommendations• Collaborate with cross-functional teams to define detailed use cases for analytic and monetization initiatives.• Translate business requirements into technical requirements for data engineers.• Monitor performance and quality control plans to identify areas for improvement.• Train and mentor junior analysts as needed.Profile Requirements:• Bachelors or Masters degree in a STEM field or business administration.• 5+ years of experience in data analytics, with demonstrated experience leading data-driven projects.• Strong analytical skills and knowledge of advanced statistical, analytical, and visualization tools (Tableau, PowerBI, Microstrategy, etc) and methodologies• Proficiency in Google Analytics, SQL and querying databases• Strong business acumen with a demonstrated ability to understand business strategy and translate it into data-driven recommendations.• Excellent presentation skills, including the ability to effectively communicate complex data insights to stakeholders at all levels of the organization.• Experience in creating executive presentations and reports that clearly and concisely convey analytical findings and recommendations• Ability to think creatively and develop innovative solutions to complex business problems using data and analytics.• Experience working in a fast-paced, dynamic environment and managing multiple projects simultaneously while meeting deadlines and maintaining a high level of accuracy and attention to detail.• Prior experience in the travel and/or ecommerce industry is preferred.• Experience in managing junior analysts is preferred.• Fluent in English, and fluency in Arabic is an advantage.• If you are a self-starter with excellent analytical skills and a passion for using data to drive business growth, we encourage you to apply for this exciting opportunity.",Almosafer,Manager - Data Intelligence,https://www.naukrigulf.com/manager-data-intelligence-jobs-in-riyadh-saudi-arabia-in-almosafer-5-to-7-years-n-cd-40001351-jid-220224501115,2024-06-10,DATA ENGINEER,2,10,6,2024,30,5-7,['sql'],"['accuracy', 'analysis', 'analytical skills', 'attention to detail', 'focus', 'initiative', 'insight', 'organization', 'passion', 'presentation skills']",['data modeling'],[],3
